<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
DLF_F3,06/01/2022,09:57:00,342.50,342.50,342.50,342.50,1651,29700
DLF_F3,06/01/2022,10:03:00,341.00,341.00,341.00,341.00,1650,31350
DLF_F3,06/01/2022,10:44:00,341.00,341.00,341.00,341.00,3300,31350
DLF_F3,06/01/2022,14:25:00,336.60,336.60,336.60,336.60,3300,28050
DLF_F3,06/01/2022,14:26:00,336.40,336.40,336.40,336.40,1650,28050
DLF_F3,06/01/2022,14:32:00,335.35,335.35,335.35,335.35,1650,33000
DLF_F3,06/01/2022,15:26:00,335.35,335.35,335.35,335.35,1650,34650
DLF_F3,06/02/2022,09:24:00,339.00,339.00,339.00,339.00,1651,36300
DLF_F3,06/02/2022,09:53:00,338.50,338.50,338.50,338.50,1650,37950
DLF_F3,06/02/2022,12:36:00,338.30,338.30,338.30,338.30,1650,39600
DLF_F3,06/02/2022,13:49:00,338.30,338.30,338.30,338.30,1650,39600
DLF_F3,06/03/2022,11:11:00,339.95,339.95,339.95,339.95,1651,39600
DLF_F3,06/03/2022,11:25:00,338.90,338.90,338.90,338.90,1650,39600
DLF_F3,06/03/2022,13:21:00,334.00,334.00,334.00,334.00,1650,41250
DLF_F3,06/03/2022,13:30:00,334.00,334.00,334.00,334.00,1650,41250
DLF_F3,06/03/2022,14:04:00,333.90,333.90,333.90,333.90,1650,41250
DLF_F3,06/03/2022,14:30:00,332.90,332.90,332.90,332.90,1650,39600
DLF_F3,06/03/2022,15:21:00,332.80,332.80,332.80,332.80,1650,37950
DLF_F3,06/06/2022,10:04:00,325.00,325.00,325.00,325.00,1651,37950
DLF_F3,06/06/2022,10:06:00,325.00,325.00,325.00,325.00,1650,37950
DLF_F3,06/06/2022,10:24:00,326.00,326.00,326.00,326.00,1650,37950
DLF_F3,06/06/2022,10:25:00,326.00,326.00,326.00,326.00,1650,37950
DLF_F3,06/06/2022,11:39:00,327.50,327.50,327.50,327.50,1650,41250
DLF_F3,06/06/2022,11:54:00,328.60,328.60,328.60,328.60,1650,41250
DLF_F3,06/06/2022,13:03:00,330.00,330.00,330.00,330.00,1650,41250
DLF_F3,06/06/2022,13:04:00,330.00,330.00,330.00,330.00,1650,41250
DLF_F3,06/06/2022,13:38:00,330.00,330.00,330.00,330.00,1650,42900
DLF_F3,06/06/2022,15:28:00,327.95,327.95,327.95,327.95,4950,42900
DLF_F3,06/07/2022,09:47:00,322.55,322.55,322.55,322.55,3301,44550
DLF_F3,06/07/2022,09:59:00,322.00,322.00,322.00,322.00,1650,47850
DLF_F3,06/07/2022,10:02:00,320.80,320.80,320.80,320.80,1650,49500
DLF_F3,06/07/2022,10:04:00,320.80,320.80,320.80,320.80,3300,51150
DLF_F3,06/07/2022,10:09:00,320.80,320.80,320.80,320.80,1650,47850
DLF_F3,06/07/2022,10:30:00,320.50,320.50,320.00,320.00,4950,49500
DLF_F3,06/07/2022,10:35:00,319.80,319.80,319.80,319.80,1650,49500
DLF_F3,06/07/2022,11:28:00,316.00,316.00,316.00,316.00,1650,51150
DLF_F3,06/07/2022,11:36:00,316.00,316.00,316.00,316.00,1650,51150
DLF_F3,06/07/2022,11:39:00,317.55,317.55,317.55,317.55,1650,52800
DLF_F3,06/07/2022,12:20:00,317.50,317.50,317.50,317.50,1650,54450
DLF_F3,06/07/2022,12:34:00,317.50,317.50,317.50,317.50,1650,54450
DLF_F3,06/07/2022,12:53:00,317.60,317.60,317.60,317.60,1650,56100
DLF_F3,06/07/2022,12:54:00,317.60,317.60,317.60,317.60,1650,56100
DLF_F3,06/07/2022,14:19:00,317.50,317.50,317.50,317.50,1650,57750
DLF_F3,06/07/2022,14:23:00,318.05,318.05,318.05,318.05,1650,59400
DLF_F3,06/07/2022,14:55:00,318.50,318.50,318.50,318.50,1650,59400
DLF_F3,06/07/2022,15:00:00,318.60,318.60,318.60,318.60,1650,61050
DLF_F3,06/07/2022,15:20:00,319.65,319.65,319.65,319.65,1650,59400
DLF_F3,06/07/2022,15:21:00,319.70,319.70,319.70,319.70,4950,62700
DLF_F3,06/07/2022,15:29:00,319.05,319.05,319.05,319.05,1650,64350
DLF_F3,06/08/2022,09:17:00,321.25,321.25,321.25,321.25,3301,64350
DLF_F3,06/08/2022,09:19:00,319.80,319.80,319.80,319.80,1650,64350
DLF_F3,06/08/2022,10:03:00,319.00,319.00,319.00,319.00,1650,64350
DLF_F3,06/08/2022,10:07:00,317.00,317.00,317.00,317.00,1650,62700
DLF_F3,06/08/2022,10:08:00,317.00,317.00,317.00,317.00,1650,62700
DLF_F3,06/08/2022,10:09:00,317.00,319.60,317.00,319.60,6600,62700
DLF_F3,06/08/2022,10:10:00,319.65,319.65,319.65,319.65,3300,62700
DLF_F3,06/08/2022,10:17:00,321.20,321.20,321.20,321.20,1650,62700
DLF_F3,06/08/2022,10:29:00,323.40,323.40,323.40,323.40,1650,64350
DLF_F3,06/08/2022,10:31:00,325.55,325.55,325.55,325.55,1650,62700
DLF_F3,06/08/2022,10:34:00,325.55,325.55,325.55,325.55,1650,62700
DLF_F3,06/08/2022,10:38:00,327.00,327.00,327.00,327.00,1650,64350
DLF_F3,06/08/2022,10:54:00,330.00,330.00,330.00,330.00,6600,64350
DLF_F3,06/08/2022,11:00:00,330.00,330.00,330.00,330.00,1650,69300
DLF_F3,06/08/2022,11:31:00,330.00,330.00,330.00,330.00,1650,69300
DLF_F3,06/08/2022,11:43:00,328.00,328.00,328.00,328.00,1650,69300
DLF_F3,06/08/2022,11:56:00,329.10,329.10,329.10,329.10,1650,69300
DLF_F3,06/08/2022,12:13:00,328.80,328.80,328.80,328.80,1650,69300
DLF_F3,06/08/2022,14:11:00,324.00,324.00,324.00,324.00,6600,70950
DLF_F3,06/08/2022,14:18:00,324.30,324.30,324.30,324.30,1650,77550
DLF_F3,06/08/2022,14:19:00,325.00,325.00,325.00,325.00,3300,77550
DLF_F3,06/09/2022,09:15:00,322.05,322.05,322.05,322.05,1651,79200
DLF_F3,06/09/2022,11:25:00,322.35,322.35,322.35,322.35,1650,77550
DLF_F3,06/09/2022,11:30:00,322.35,322.35,322.35,322.35,3300,79200
DLF_F3,06/09/2022,12:29:00,322.15,322.15,322.15,322.15,8250,79200
DLF_F3,06/09/2022,13:05:00,321.60,321.60,321.60,321.60,1650,85800
DLF_F3,06/09/2022,15:00:00,321.60,321.60,321.60,321.60,3300,84150
DLF_F3,06/10/2022,09:23:00,323.00,323.00,323.00,323.00,1651,82500
DLF_F3,06/10/2022,10:20:00,322.50,322.50,322.50,322.50,1650,82500
DLF_F3,06/10/2022,10:54:00,322.50,322.50,322.50,322.50,1650,82500
DLF_F3,06/10/2022,10:55:00,325.85,325.85,325.85,325.85,1650,82500
DLF_F3,06/10/2022,11:10:00,325.00,325.00,325.00,325.00,1650,84150
DLF_F3,06/10/2022,11:21:00,323.55,323.55,323.55,323.55,1650,84150
DLF_F3,06/10/2022,15:21:00,322.00,322.00,322.00,322.00,1650,85800
DLF_F3,06/10/2022,15:24:00,322.00,322.00,322.00,322.00,1650,87450
DLF_F3,06/10/2022,15:28:00,322.50,322.50,322.50,322.50,1650,87450
DLF_F3,06/13/2022,09:16:00,312.75,312.75,312.70,312.70,11552,87450
DLF_F3,06/13/2022,09:19:00,311.50,311.50,311.50,311.50,6600,75900
DLF_F3,06/13/2022,09:22:00,310.80,310.80,310.80,310.80,1650,75900
DLF_F3,06/13/2022,09:29:00,309.35,309.35,308.60,308.60,6600,77550
DLF_F3,06/13/2022,09:30:00,308.00,308.00,308.00,308.00,1650,82500
DLF_F3,06/13/2022,09:34:00,306.60,306.60,306.60,306.60,3300,84150
DLF_F3,06/13/2022,09:41:00,306.20,306.20,306.20,306.20,1650,85800
DLF_F3,06/13/2022,09:43:00,306.20,306.20,306.20,306.20,1650,85800
DLF_F3,06/13/2022,09:58:00,307.60,307.60,307.60,307.60,3300,85800
DLF_F3,06/13/2022,10:02:00,307.45,307.45,307.45,307.45,1650,89100
DLF_F3,06/13/2022,10:03:00,307.45,307.45,307.45,307.45,1650,90750
DLF_F3,06/13/2022,10:19:00,306.60,306.60,306.00,306.00,3300,92400
DLF_F3,06/13/2022,11:19:00,306.00,306.00,306.00,306.00,1650,94050
DLF_F3,06/13/2022,11:27:00,309.80,309.80,309.80,309.80,1650,94050
DLF_F3,06/13/2022,11:58:00,308.00,308.00,308.00,308.00,1650,95700
DLF_F3,06/13/2022,12:32:00,307.00,307.00,307.00,307.00,3300,95700
DLF_F3,06/13/2022,13:34:00,307.20,307.20,307.20,307.20,1650,95700
DLF_F3,06/13/2022,13:56:00,306.60,306.60,306.60,306.60,1650,95700
DLF_F3,06/13/2022,14:02:00,306.40,306.40,306.40,306.40,1650,95700
DLF_F3,06/13/2022,14:05:00,306.10,306.10,306.10,306.10,1650,97350
DLF_F3,06/13/2022,14:19:00,305.60,305.60,305.60,305.60,1650,99000
DLF_F3,06/13/2022,14:46:00,305.60,305.60,305.60,305.60,1650,97350
DLF_F3,06/13/2022,15:05:00,307.45,307.45,307.45,307.45,1650,95700
DLF_F3,06/13/2022,15:22:00,308.40,308.40,308.40,308.40,1650,95700
DLF_F3,06/13/2022,15:25:00,308.30,308.30,308.30,308.30,1650,95700
DLF_F3,06/13/2022,15:28:00,309.05,309.05,309.05,309.05,1650,94050
DLF_F3,06/14/2022,09:41:00,308.10,310.40,308.10,310.40,16502,94050
DLF_F3,06/14/2022,09:52:00,310.45,310.45,310.45,310.45,1650,105600
DLF_F3,06/14/2022,10:10:00,310.45,310.45,310.45,310.45,1650,105600
DLF_F3,06/14/2022,10:13:00,309.85,309.85,309.85,309.85,8250,107250
DLF_F3,06/14/2022,10:14:00,310.20,310.20,310.20,310.20,4950,107250
DLF_F3,06/14/2022,10:15:00,310.85,310.85,310.85,310.85,1650,107250
DLF_F3,06/14/2022,10:16:00,311.80,311.80,311.80,311.80,3300,107250
DLF_F3,06/14/2022,10:17:00,312.10,312.10,312.10,312.10,8250,107250
DLF_F3,06/14/2022,10:18:00,312.10,312.10,312.10,312.10,1650,118800
DLF_F3,06/14/2022,10:19:00,312.00,312.00,312.00,312.00,4950,118800
DLF_F3,06/14/2022,10:31:00,312.45,312.45,312.45,312.45,3300,125400
DLF_F3,06/14/2022,10:59:00,318.55,318.55,318.55,318.55,4950,123750
DLF_F3,06/14/2022,11:03:00,319.50,319.50,319.50,319.50,3300,123750
DLF_F3,06/14/2022,11:10:00,319.50,319.50,319.50,319.50,1650,127050
DLF_F3,06/14/2022,11:30:00,319.50,319.50,319.50,319.50,1650,125400
DLF_F3,06/14/2022,12:31:00,315.00,315.00,315.00,315.00,3300,125400
DLF_F3,06/14/2022,12:32:00,314.60,314.60,314.60,314.60,4950,125400
DLF_F3,06/14/2022,12:42:00,314.60,314.60,314.60,314.60,1650,125400
DLF_F3,06/14/2022,12:58:00,312.50,312.50,312.50,312.50,4950,118800
DLF_F3,06/14/2022,14:51:00,315.00,315.00,315.00,315.00,1650,118800
DLF_F3,06/14/2022,15:03:00,314.40,314.40,314.40,314.40,4950,120450
DLF_F3,06/14/2022,15:28:00,315.15,315.15,315.15,315.15,1650,117150
DLF_F3,06/15/2022,09:20:00,317.30,317.30,316.70,316.70,3302,118800
DLF_F3,06/15/2022,09:24:00,315.25,315.25,315.25,315.25,1650,120450
DLF_F3,06/15/2022,09:32:00,315.25,315.25,315.25,315.25,3300,120450
DLF_F3,06/15/2022,10:06:00,315.50,315.50,315.50,315.50,1650,122100
DLF_F3,06/15/2022,10:15:00,315.40,315.40,315.40,315.40,1650,123750
