<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
GLENMARK_F1,06/01/2022,09:15:00,394.10,396.45,394.00,396.45,9202,6448050
GLENMARK_F1,06/01/2022,09:16:00,395.30,396.20,395.30,395.50,9200,6448050
GLENMARK_F1,06/01/2022,09:17:00,395.00,395.00,394.10,394.10,17250,6460700
GLENMARK_F1,06/01/2022,09:18:00,393.80,395.45,393.65,395.45,14950,6460700
GLENMARK_F1,06/01/2022,09:19:00,395.50,396.00,395.50,396.00,9200,6460700
GLENMARK_F1,06/01/2022,09:20:00,396.60,396.60,395.40,395.40,24150,6471050
GLENMARK_F1,06/01/2022,09:22:00,396.25,397.00,396.25,396.55,25300,6471050
GLENMARK_F1,06/01/2022,09:23:00,396.30,396.30,396.30,396.30,2300,6471050
GLENMARK_F1,06/01/2022,09:24:00,397.00,398.00,396.70,398.00,11500,6486000
GLENMARK_F1,06/01/2022,09:25:00,398.00,398.00,396.95,396.95,3450,6486000
GLENMARK_F1,06/01/2022,09:26:00,397.05,397.35,396.70,396.70,3450,6480250
GLENMARK_F1,06/01/2022,09:27:00,396.75,397.05,396.70,397.05,4600,6480250
GLENMARK_F1,06/01/2022,09:28:00,396.50,396.50,396.50,396.50,1150,6480250
GLENMARK_F1,06/01/2022,09:29:00,396.30,396.50,396.05,396.15,5750,6483700
GLENMARK_F1,06/01/2022,09:30:00,396.05,396.60,395.20,396.15,21850,6483700
GLENMARK_F1,06/01/2022,09:31:00,396.00,396.00,395.20,395.20,2300,6483700
GLENMARK_F1,06/01/2022,09:32:00,395.50,395.80,395.50,395.80,6900,6484850
GLENMARK_F1,06/01/2022,09:33:00,396.00,396.00,395.15,395.45,12650,6484850
GLENMARK_F1,06/01/2022,09:35:00,394.95,395.65,394.95,395.65,5750,6484850
GLENMARK_F1,06/01/2022,09:36:00,395.40,395.40,395.10,395.25,5750,6488300
GLENMARK_F1,06/01/2022,09:37:00,394.50,394.50,394.30,394.50,5750,6488300
GLENMARK_F1,06/01/2022,09:38:00,394.50,394.50,394.50,394.50,4600,6488300
GLENMARK_F1,06/01/2022,09:39:00,394.75,394.75,394.55,394.55,5750,6496350
GLENMARK_F1,06/01/2022,09:40:00,394.85,394.85,394.25,394.25,3450,6496350
GLENMARK_F1,06/01/2022,09:41:00,393.70,394.20,393.65,394.20,12650,6499800
GLENMARK_F1,06/01/2022,09:42:00,394.25,394.25,394.25,394.25,1150,6499800
GLENMARK_F1,06/01/2022,09:43:00,394.05,395.30,394.05,395.30,11500,6499800
GLENMARK_F1,06/01/2022,09:44:00,394.55,394.55,394.00,394.00,25300,6520500
GLENMARK_F1,06/01/2022,09:45:00,394.00,394.60,394.00,394.20,5750,6520500
GLENMARK_F1,06/01/2022,09:46:00,394.45,394.65,394.15,394.65,5750,6520500
GLENMARK_F1,06/01/2022,09:47:00,394.45,394.45,394.15,394.15,4600,6525100
GLENMARK_F1,06/01/2022,09:48:00,394.20,394.20,394.20,394.20,1150,6525100
GLENMARK_F1,06/01/2022,09:49:00,394.40,395.00,394.40,395.00,2300,6525100
GLENMARK_F1,06/01/2022,09:50:00,395.00,396.00,395.00,396.00,8050,6529700
GLENMARK_F1,06/01/2022,09:51:00,395.45,395.45,395.45,395.45,1150,6529700
GLENMARK_F1,06/01/2022,09:52:00,394.90,394.90,394.90,394.90,1150,6529700
GLENMARK_F1,06/01/2022,09:53:00,395.20,395.20,395.20,395.20,1150,6529700
GLENMARK_F1,06/01/2022,09:56:00,394.50,394.50,394.25,394.25,3450,6530850
GLENMARK_F1,06/01/2022,09:57:00,394.60,394.60,394.60,394.60,1150,6530850
GLENMARK_F1,06/01/2022,09:59:00,395.30,395.30,395.00,395.10,8050,6530850
GLENMARK_F1,06/01/2022,10:00:00,395.40,395.60,395.40,395.60,4600,6532000
GLENMARK_F1,06/01/2022,10:01:00,395.05,395.05,395.05,395.05,3450,6532000
GLENMARK_F1,06/01/2022,10:02:00,395.10,395.10,395.10,395.10,2300,6532000
GLENMARK_F1,06/01/2022,10:03:00,395.00,395.90,394.45,394.45,35650,6534300
