<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
ICICIGI_F2,06/01/2022,10:04:00,1263.05,1263.05,1263.05,1263.05,426,36125
ICICIGI_F2,06/01/2022,10:10:00,1265.50,1265.50,1265.50,1265.50,425,36125
ICICIGI_F2,06/01/2022,11:00:00,1265.50,1265.50,1265.50,1265.50,425,36550
ICICIGI_F2,06/01/2022,11:04:00,1262.00,1262.00,1262.00,1262.00,425,36550
ICICIGI_F2,06/01/2022,12:59:00,1260.00,1260.00,1260.00,1260.00,425,36975
ICICIGI_F2,06/01/2022,13:18:00,1257.00,1257.00,1257.00,1257.00,425,36975
ICICIGI_F2,06/01/2022,13:29:00,1252.90,1252.90,1252.90,1252.90,850,36975
ICICIGI_F2,06/01/2022,13:36:00,1252.55,1252.55,1252.55,1252.55,425,36975
ICICIGI_F2,06/01/2022,14:07:00,1252.55,1252.55,1252.55,1252.55,425,37400
ICICIGI_F2,06/01/2022,14:23:00,1255.65,1255.65,1255.65,1255.65,425,37400
ICICIGI_F2,06/01/2022,14:28:00,1254.90,1254.90,1254.90,1254.90,425,37825
ICICIGI_F2,06/01/2022,14:52:00,1255.15,1255.15,1255.15,1255.15,425,37825
ICICIGI_F2,06/01/2022,14:58:00,1255.65,1255.65,1255.65,1255.65,425,37825
ICICIGI_F2,06/01/2022,15:00:00,1256.70,1256.70,1256.70,1256.70,425,37825
ICICIGI_F2,06/01/2022,15:11:00,1259.40,1259.40,1259.40,1259.40,425,37825
ICICIGI_F2,06/01/2022,15:16:00,1260.25,1260.25,1260.25,1260.25,425,37400
ICICIGI_F2,06/01/2022,15:25:00,1259.15,1259.15,1259.15,1259.15,425,37400
ICICIGI_F2,06/02/2022,09:36:00,1253.05,1253.05,1253.05,1253.05,426,35275
ICICIGI_F2,06/02/2022,09:42:00,1250.55,1250.55,1250.55,1250.55,425,35700
ICICIGI_F2,06/02/2022,09:46:00,1244.05,1244.05,1244.00,1244.00,1275,36125
ICICIGI_F2,06/02/2022,09:47:00,1245.05,1246.00,1245.05,1246.00,1275,36550
ICICIGI_F2,06/02/2022,10:00:00,1242.85,1242.85,1242.85,1242.85,1275,36975
ICICIGI_F2,06/02/2022,10:06:00,1242.45,1242.45,1242.45,1242.45,425,36975
ICICIGI_F2,06/02/2022,10:49:00,1241.00,1241.00,1241.00,1241.00,425,36550
ICICIGI_F2,06/02/2022,10:55:00,1237.60,1237.60,1237.60,1237.60,425,36975
ICICIGI_F2,06/02/2022,10:57:00,1237.60,1237.60,1237.60,1237.60,425,37400
ICICIGI_F2,06/02/2022,11:03:00,1238.40,1238.40,1238.40,1238.40,425,37825
