<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
IDFCFIRSTB_F3,06/01/2022,09:16:00,36.45,36.45,36.45,36.45,15001,225000
IDFCFIRSTB_F3,06/01/2022,11:18:00,36.65,36.65,36.65,36.65,15000,225000
IDFCFIRSTB_F3,06/01/2022,11:52:00,36.65,36.65,36.65,36.65,15000,240000
IDFCFIRSTB_F3,06/01/2022,12:52:00,36.65,36.65,36.65,36.65,15000,240000
IDFCFIRSTB_F3,06/01/2022,13:26:00,36.50,36.50,36.50,36.50,15000,255000
IDFCFIRSTB_F3,06/01/2022,13:30:00,36.45,36.45,36.45,36.45,15000,255000
IDFCFIRSTB_F3,06/01/2022,14:15:00,36.45,36.45,36.45,36.45,15000,255000
IDFCFIRSTB_F3,06/01/2022,14:16:00,36.40,36.40,36.40,36.40,15000,270000
IDFCFIRSTB_F3,06/01/2022,14:45:00,36.30,36.30,36.30,36.30,15000,285000
IDFCFIRSTB_F3,06/02/2022,10:35:00,36.60,36.60,36.60,36.60,15001,285000
IDFCFIRSTB_F3,06/02/2022,10:49:00,36.50,36.50,36.50,36.50,15000,285000
IDFCFIRSTB_F3,06/02/2022,12:01:00,36.50,36.50,36.50,36.50,15000,300000
IDFCFIRSTB_F3,06/02/2022,12:44:00,36.35,36.35,36.35,36.35,15000,315000
IDFCFIRSTB_F3,06/03/2022,09:19:00,37.10,37.10,37.10,37.10,15001,315000
IDFCFIRSTB_F3,06/03/2022,09:28:00,37.00,37.00,37.00,37.00,15000,330000
IDFCFIRSTB_F3,06/03/2022,09:44:00,37.00,37.00,37.00,37.00,15000,330000
IDFCFIRSTB_F3,06/03/2022,10:02:00,37.00,37.00,37.00,37.00,30000,315000
IDFCFIRSTB_F3,06/03/2022,10:08:00,36.75,36.75,36.75,36.75,15000,315000
IDFCFIRSTB_F3,06/03/2022,12:28:00,36.50,36.50,36.50,36.50,15000,315000
IDFCFIRSTB_F3,06/03/2022,13:42:00,36.10,36.10,36.10,36.10,45000,330000
IDFCFIRSTB_F3,06/03/2022,13:43:00,36.10,36.10,36.10,36.10,30000,330000
IDFCFIRSTB_F3,06/03/2022,14:09:00,36.10,36.10,36.10,36.10,15000,345000
IDFCFIRSTB_F3,06/03/2022,14:23:00,36.05,36.05,36.05,36.05,15000,345000
IDFCFIRSTB_F3,06/03/2022,15:03:00,35.80,35.80,35.80,35.80,30000,360000
IDFCFIRSTB_F3,06/03/2022,15:04:00,35.70,35.70,35.70,35.70,15000,390000
IDFCFIRSTB_F3,06/06/2022,09:27:00,35.40,35.40,35.40,35.40,15001,405000
IDFCFIRSTB_F3,06/06/2022,09:32:00,35.30,35.30,35.30,35.30,15000,405000
IDFCFIRSTB_F3,06/06/2022,09:40:00,35.25,35.25,35.25,35.25,30000,405000
IDFCFIRSTB_F3,06/06/2022,09:51:00,35.25,35.25,35.25,35.25,15000,405000
IDFCFIRSTB_F3,06/06/2022,10:07:00,35.45,35.45,35.45,35.45,15000,405000
IDFCFIRSTB_F3,06/06/2022,10:29:00,35.55,35.55,35.55,35.55,30000,390000
IDFCFIRSTB_F3,06/06/2022,10:35:00,35.55,35.55,35.55,35.55,45000,405000
IDFCFIRSTB_F3,06/06/2022,12:48:00,35.55,35.55,35.55,35.55,15000,375000
IDFCFIRSTB_F3,06/06/2022,13:33:00,35.65,35.65,35.65,35.65,15000,390000
IDFCFIRSTB_F3,06/06/2022,14:01:00,35.65,35.65,35.65,35.65,15000,405000
IDFCFIRSTB_F3,06/06/2022,14:02:00,35.65,35.65,35.65,35.65,15000,405000
IDFCFIRSTB_F3,06/06/2022,14:07:00,35.70,35.70,35.70,35.70,15000,420000
IDFCFIRSTB_F3,06/06/2022,15:24:00,35.70,35.70,35.70,35.70,15000,420000
IDFCFIRSTB_F3,06/06/2022,15:28:00,35.65,35.65,35.65,35.65,15000,435000
IDFCFIRSTB_F3,06/07/2022,09:21:00,35.45,35.45,35.45,35.45,15001,435000
IDFCFIRSTB_F3,06/07/2022,09:25:00,35.50,35.50,35.50,35.50,15000,435000
IDFCFIRSTB_F3,06/07/2022,09:43:00,35.50,35.50,35.50,35.50,15000,450000
IDFCFIRSTB_F3,06/07/2022,09:52:00,35.35,35.35,35.35,35.35,15000,465000
IDFCFIRSTB_F3,06/07/2022,11:01:00,35.35,35.35,35.35,35.35,15000,480000
