<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
IDFC_F3,06/03/2022,09:18:00,51.85,51.85,51.85,51.85,20001,30000
IDFC_F3,06/03/2022,10:41:00,51.45,51.45,51.45,51.45,10000,50000
IDFC_F3,06/06/2022,09:28:00,49.80,49.80,49.80,49.80,20001,60000
IDFC_F3,06/06/2022,11:51:00,49.95,49.95,49.95,49.95,10000,60000
IDFC_F3,06/07/2022,10:02:00,49.75,49.75,49.75,49.75,10001,60000
IDFC_F3,06/08/2022,10:07:00,49.40,49.40,49.40,49.40,10001,60000
IDFC_F3,06/09/2022,15:26:00,50.60,50.60,50.60,50.60,30001,70000
IDFC_F3,06/10/2022,09:31:00,49.75,49.75,49.75,49.75,30001,80000
IDFC_F3,06/14/2022,14:51:00,46.45,46.45,46.45,46.45,10001,60000
IDFC_F3,06/15/2022,09:35:00,46.35,46.35,46.35,46.35,10001,70000
IDFC_F3,06/15/2022,14:55:00,47.05,47.05,47.05,47.05,10000,70000
IDFC_F3,06/15/2022,14:58:00,47.05,47.05,47.05,47.05,10000,80000
IDFC_F3,06/16/2022,09:25:00,47.20,47.20,47.20,47.20,10001,90000
IDFC_F3,06/16/2022,09:45:00,46.90,46.90,46.90,46.90,10000,100000
IDFC_F3,06/16/2022,12:03:00,46.15,46.15,46.15,46.15,10000,100000
IDFC_F3,06/16/2022,14:05:00,45.50,45.50,45.50,45.50,10000,110000
IDFC_F3,06/17/2022,09:19:00,44.65,44.65,44.65,44.65,10001,110000
IDFC_F3,06/17/2022,09:20:00,44.70,44.80,44.70,44.80,20000,120000
IDFC_F3,06/17/2022,09:41:00,44.80,44.80,44.80,44.80,10000,130000
IDFC_F3,06/17/2022,12:54:00,45.15,45.15,45.15,45.15,10000,130000
IDFC_F3,06/17/2022,15:29:00,45.15,45.15,45.15,45.15,1,130000
IDFC_F3,06/20/2022,09:31:00,44.55,44.55,44.55,44.55,10001,130000
IDFC_F3,06/20/2022,10:20:00,44.55,44.55,44.55,44.55,10000,140000
IDFC_F3,06/20/2022,13:56:00,42.80,42.80,42.80,42.80,10000,150000
IDFC_F3,06/20/2022,14:44:00,42.80,42.80,42.80,42.80,10000,150000
IDFC_F3,06/21/2022,10:04:00,44.05,44.05,44.05,44.05,10001,150000
IDFC_F3,06/21/2022,13:39:00,45.15,45.15,45.15,45.15,10000,160000
IDFC_F3,06/21/2022,14:39:00,45.30,45.30,45.30,45.30,20000,150000
IDFC_F3,06/21/2022,14:56:00,45.30,45.30,45.30,45.30,20000,150000
IDFC_F3,06/21/2022,15:11:00,45.80,45.80,45.80,45.80,30000,150000
IDFC_F3,06/21/2022,15:29:00,45.90,45.90,45.90,45.90,10000,150000
IDFC_F3,06/22/2022,11:10:00,45.30,45.30,45.30,45.30,10001,150000
IDFC_F3,06/23/2022,10:37:00,46.15,46.15,46.15,46.15,10001,150000
IDFC_F3,06/23/2022,11:23:00,46.45,46.45,46.45,46.45,10000,160000
IDFC_F3,06/24/2022,09:20:00,48.15,48.15,48.15,48.15,10001,150000
IDFC_F3,06/27/2022,09:28:00,49.80,49.80,49.80,49.80,10001,150000
IDFC_F3,06/27/2022,09:40:00,50.00,50.00,50.00,50.00,10000,150000
IDFC_F3,06/27/2022,11:18:00,50.00,50.00,50.00,50.00,10000,150000
IDFC_F3,06/27/2022,11:35:00,49.50,49.50,49.50,49.50,10000,160000
IDFC_F3,06/27/2022,11:55:00,49.35,49.35,49.35,49.35,10000,170000
IDFC_F3,06/27/2022,12:03:00,49.35,49.35,49.35,49.35,10000,170000
IDFC_F3,06/27/2022,12:11:00,49.40,49.40,49.40,49.40,10000,170000
IDFC_F3,06/27/2022,13:32:00,50.15,50.15,50.15,50.15,10000,170000
IDFC_F3,06/27/2022,14:20:00,50.15,50.15,50.15,50.15,10000,180000
IDFC_F3,06/27/2022,15:29:00,49.95,49.95,49.95,49.95,10000,170000
IDFC_F3,06/28/2022,09:18:00,49.60,49.60,49.60,49.60,10001,170000
IDFC_F3,06/28/2022,09:20:00,49.60,49.60,49.60,49.60,10000,170000
IDFC_F3,06/28/2022,09:22:00,49.50,49.50,49.50,49.50,10000,180000
IDFC_F3,06/28/2022,09:31:00,49.60,49.60,49.50,49.50,30002,180000
IDFC_F3,06/28/2022,10:04:00,49.50,49.50,49.50,49.50,10000,190000
IDFC_F3,06/28/2022,11:29:00,49.90,49.90,49.90,49.90,50000,190000
IDFC_F3,06/28/2022,11:30:00,50.00,50.00,50.00,50.00,50000,240000
IDFC_F3,06/28/2022,12:51:00,50.00,50.20,50.00,50.20,30000,310000
IDFC_F3,06/28/2022,14:18:00,50.20,50.20,50.20,50.20,40000,320000
IDFC_F3,06/28/2022,14:20:00,50.00,50.00,50.00,50.00,20000,320000
IDFC_F3,06/28/2022,14:30:00,50.00,50.00,50.00,50.00,20000,320000
IDFC_F3,06/28/2022,14:31:00,50.00,50.00,50.00,50.00,20000,320000
IDFC_F3,06/28/2022,15:13:00,49.95,49.95,49.95,49.95,10000,350000
IDFC_F3,06/28/2022,15:23:00,50.10,50.10,50.10,50.10,80000,340000
IDFC_F3,06/29/2022,09:27:00,49.45,49.45,49.45,49.45,10001,410000
IDFC_F3,06/29/2022,09:31:00,49.35,49.35,49.35,49.35,10000,400000
IDFC_F3,06/29/2022,09:58:00,49.35,49.35,49.35,49.35,50000,390000
IDFC_F3,06/29/2022,10:18:00,50.20,50.20,50.20,50.20,10000,440000
IDFC_F3,06/29/2022,10:19:00,49.95,49.95,49.95,49.95,10000,440000
IDFC_F3,06/29/2022,10:29:00,50.00,50.00,50.00,50.00,10000,450000
IDFC_F3,06/29/2022,10:31:00,50.20,50.20,50.20,50.20,10000,460000
IDFC_F3,06/29/2022,10:49:00,50.00,50.00,50.00,50.00,10000,460000
IDFC_F3,06/29/2022,10:50:00,49.95,49.95,49.95,49.95,10000,460000
IDFC_F3,06/29/2022,10:51:00,49.95,49.95,49.95,49.95,40000,470000
IDFC_F3,06/29/2022,10:55:00,49.80,49.80,49.80,49.80,10000,470000
IDFC_F3,06/29/2022,13:10:00,49.80,49.80,49.80,49.80,10000,470000
IDFC_F3,06/29/2022,13:27:00,49.80,49.80,49.80,49.80,80000,470000
IDFC_F3,06/29/2022,13:43:00,49.80,49.80,49.80,49.80,20000,550000
IDFC_F3,06/29/2022,14:09:00,49.95,49.95,49.90,49.90,20000,570000
IDFC_F3,06/29/2022,14:59:00,49.90,49.90,49.90,49.90,10000,580000
IDFC_F3,06/29/2022,15:13:00,50.05,50.05,50.05,50.05,10000,580000
IDFC_F3,06/29/2022,15:22:00,50.30,50.30,50.30,50.30,20000,580000
IDFC_F3,06/30/2022,14:14:00,49.45,49.45,49.40,49.40,40002,600000
IDFC_F3,06/30/2022,15:07:00,49.20,49.20,49.20,49.20,10000,630000
IDFC_F3,06/30/2022,15:21:00,49.10,49.10,49.10,49.10,10000,620000
IDFC_F3,06/30/2022,15:25:00,49.10,49.10,49.10,49.10,10000,620000
