<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
INDIAMART_F3,06/01/2022,09:24:00,4546.60,4546.60,4546.60,4546.60,151,2400
INDIAMART_F3,06/01/2022,11:08:00,4544.75,4544.75,4544.75,4544.75,150,2550
INDIAMART_F3,06/01/2022,11:54:00,4544.75,4544.75,4544.75,4544.75,150,2550
INDIAMART_F3,06/01/2022,13:29:00,4550.00,4550.00,4550.00,4550.00,300,2700
INDIAMART_F3,06/01/2022,13:31:00,4448.45,4448.45,4448.45,4448.45,150,3000
INDIAMART_F3,06/01/2022,13:51:00,4448.45,4448.45,4448.45,4448.45,150,3150
INDIAMART_F3,06/01/2022,13:52:00,4469.90,4469.90,4469.90,4469.90,150,3150
INDIAMART_F3,06/02/2022,14:47:00,4493.40,4493.40,4493.40,4493.40,151,3300
INDIAMART_F3,06/02/2022,15:04:00,4484.00,4484.00,4484.00,4484.00,150,3450
INDIAMART_F3,06/02/2022,15:06:00,4484.00,4484.00,4484.00,4484.00,150,3450
INDIAMART_F3,06/03/2022,09:56:00,4541.25,4541.25,4541.25,4541.25,151,3750
INDIAMART_F3,06/03/2022,13:01:00,4451.00,4451.00,4451.00,4451.00,150,3900
INDIAMART_F3,06/06/2022,10:19:00,4299.10,4299.10,4299.10,4299.10,451,4050
INDIAMART_F3,06/06/2022,10:27:00,4304.00,4304.00,4304.00,4304.00,150,4500
INDIAMART_F3,06/06/2022,10:30:00,4304.00,4304.00,4274.60,4274.60,300,4650
INDIAMART_F3,06/06/2022,10:39:00,4286.60,4286.60,4286.60,4286.60,150,4950
INDIAMART_F3,06/06/2022,10:40:00,4275.00,4278.40,4275.00,4278.40,300,4950
INDIAMART_F3,06/06/2022,10:41:00,4274.45,4274.45,4274.45,4274.45,150,4950
INDIAMART_F3,06/06/2022,11:01:00,4274.45,4274.45,4274.45,4274.45,150,5550
INDIAMART_F3,06/06/2022,12:30:00,4272.00,4272.00,4272.00,4272.00,150,5700
INDIAMART_F3,06/06/2022,13:18:00,4272.00,4272.00,4272.00,4272.00,300,5850
INDIAMART_F3,06/06/2022,13:44:00,4288.15,4288.15,4288.15,4288.15,150,6150
INDIAMART_F3,06/06/2022,14:13:00,4342.00,4342.00,4342.00,4342.00,300,6300
INDIAMART_F3,06/06/2022,15:10:00,4342.00,4342.00,4342.00,4342.00,150,6600
INDIAMART_F3,06/06/2022,15:18:00,4225.90,4225.90,4225.90,4225.90,150,6600
INDIAMART_F3,06/06/2022,15:19:00,4305.00,4305.00,4305.00,4305.00,150,6750
INDIAMART_F3,06/07/2022,09:34:00,4274.90,4275.05,4274.90,4275.05,452,6900
INDIAMART_F3,06/07/2022,10:40:00,4271.20,4271.20,4271.20,4271.20,300,6900
INDIAMART_F3,06/07/2022,10:46:00,4271.20,4271.20,4271.20,4271.20,300,7500
INDIAMART_F3,06/07/2022,14:12:00,4200.00,4200.00,4200.00,4200.00,150,7800
INDIAMART_F3,06/07/2022,14:46:00,4200.00,4200.00,4200.00,4200.00,150,7950
INDIAMART_F3,06/07/2022,14:50:00,4204.45,4204.45,4204.45,4204.45,150,8100
INDIAMART_F3,06/07/2022,14:59:00,4195.80,4195.80,4195.80,4195.80,150,8250
INDIAMART_F3,06/07/2022,15:00:00,4195.80,4195.80,4195.80,4195.80,150,8250
INDIAMART_F3,06/07/2022,15:14:00,4234.85,4234.85,4234.85,4234.85,450,8400
INDIAMART_F3,06/07/2022,15:18:00,4212.20,4212.20,4212.20,4212.20,150,8850
INDIAMART_F3,06/07/2022,15:20:00,4238.40,4238.40,4238.40,4238.40,300,8850
INDIAMART_F3,06/07/2022,15:28:00,4235.00,4235.00,4235.00,4235.00,150,9150
INDIAMART_F3,06/08/2022,10:27:00,4227.65,4227.65,4227.65,4227.65,151,9150
INDIAMART_F3,06/08/2022,11:28:00,4224.45,4224.45,4224.45,4224.45,150,9150
INDIAMART_F3,06/08/2022,15:17:00,4224.45,4224.45,4224.45,4224.45,150,9150
INDIAMART_F3,06/09/2022,13:55:00,4220.40,4220.40,4220.40,4220.40,151,9300
INDIAMART_F3,06/09/2022,15:21:00,4276.20,4276.20,4276.20,4276.20,150,9450
INDIAMART_F3,06/09/2022,15:22:00,4276.25,4276.25,4276.25,4276.25,150,9450
INDIAMART_F3,06/10/2022,09:24:00,4221.25,4221.25,4221.25,4221.25,151,9300
INDIAMART_F3,06/10/2022,11:32:00,4152.00,4152.00,4151.25,4151.25,300,9450
INDIAMART_F3,06/13/2022,13:56:00,3970.00,3970.00,3970.00,3970.00,151,9750
INDIAMART_F3,06/14/2022,10:09:00,4025.65,4025.65,4025.65,4025.65,151,9900
INDIAMART_F3,06/14/2022,10:10:00,4011.20,4011.20,4011.20,4011.20,150,9900
INDIAMART_F3,06/14/2022,10:11:00,4010.00,4010.00,4010.00,4010.00,300,9900
INDIAMART_F3,06/14/2022,10:27:00,4006.00,4006.00,4006.00,4006.00,150,9600
INDIAMART_F3,06/14/2022,10:45:00,4006.00,4006.00,4006.00,4006.00,1200,9450
INDIAMART_F3,06/14/2022,10:46:00,4023.00,4023.00,4023.00,4023.00,750,9450
INDIAMART_F3,06/14/2022,11:20:00,4036.60,4036.60,4036.60,4036.60,600,7650
INDIAMART_F3,06/14/2022,11:23:00,4038.25,4038.25,4038.25,4038.25,300,7650
INDIAMART_F3,06/14/2022,11:36:00,4057.25,4057.25,4057.25,4057.25,150,6750
INDIAMART_F3,06/14/2022,11:42:00,4057.25,4057.25,4057.25,4057.25,450,6600
INDIAMART_F3,06/14/2022,11:47:00,4054.60,4054.60,4054.60,4054.60,300,6300
INDIAMART_F3,06/14/2022,15:29:00,3954.75,3954.75,3954.75,3954.75,450,6000
INDIAMART_F3,06/15/2022,09:47:00,3958.00,3958.00,3958.00,3958.00,151,5700
INDIAMART_F3,06/15/2022,10:04:00,3953.00,3953.00,3952.10,3952.10,300,5850
INDIAMART_F3,06/15/2022,12:24:00,3952.10,3952.10,3952.10,3952.10,150,5700
INDIAMART_F3,06/15/2022,14:58:00,4070.00,4070.00,4070.00,4070.00,300,5700
INDIAMART_F3,06/15/2022,15:00:00,4070.00,4070.00,4070.00,4070.00,150,5700
INDIAMART_F3,06/15/2022,15:01:00,4070.00,4070.00,4070.00,4070.00,1200,5850
