<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
LTI_F3,06/01/2022,09:17:00,4270.00,4279.60,4270.00,4279.60,451,3600
LTI_F3,06/01/2022,09:18:00,4281.85,4281.85,4281.85,4281.85,150,3600
LTI_F3,06/01/2022,09:19:00,4281.85,4281.85,4281.85,4281.85,150,3600
LTI_F3,06/01/2022,09:20:00,4281.85,4281.85,4281.85,4281.85,150,3600
LTI_F3,06/01/2022,09:23:00,4277.35,4277.35,4277.35,4277.35,150,3900
LTI_F3,06/01/2022,09:56:00,4220.75,4220.75,4220.75,4220.75,150,4050
LTI_F3,06/01/2022,12:49:00,4220.75,4220.75,4220.75,4220.75,150,4200
LTI_F3,06/02/2022,09:22:00,4250.30,4250.30,4250.30,4250.30,151,4200
LTI_F3,06/02/2022,09:27:00,4236.30,4236.30,4236.30,4236.30,300,4050
LTI_F3,06/02/2022,10:18:00,4236.30,4236.30,4236.30,4236.30,150,3750
LTI_F3,06/02/2022,10:42:00,4317.00,4317.00,4317.00,4317.00,150,3750
LTI_F3,06/02/2022,10:43:00,4317.00,4317.00,4317.00,4317.00,150,3750
LTI_F3,06/02/2022,10:50:00,4317.00,4317.00,4317.00,4317.00,150,3900
LTI_F3,06/02/2022,10:59:00,4327.40,4327.40,4327.40,4327.40,150,3750
LTI_F3,06/02/2022,11:37:00,4327.40,4327.40,4327.40,4327.40,150,3750
LTI_F3,06/02/2022,12:03:00,4327.40,4327.40,4327.40,4327.40,150,3600
LTI_F3,06/02/2022,13:12:00,4305.05,4305.05,4305.05,4305.05,300,3750
LTI_F3,06/02/2022,14:58:00,4304.00,4304.00,4304.00,4304.00,150,4050
LTI_F3,06/02/2022,15:05:00,4314.05,4314.05,4314.05,4314.05,150,3900
LTI_F3,06/02/2022,15:27:00,4320.00,4320.00,4320.00,4320.00,150,3900
LTI_F3,06/02/2022,15:28:00,4324.00,4324.00,4324.00,4324.00,150,3900
LTI_F3,06/02/2022,15:29:00,4328.00,4328.00,4328.00,4328.00,150,3900
LTI_F3,06/03/2022,09:26:00,4406.40,4406.40,4406.40,4406.40,151,4050
LTI_F3,06/03/2022,09:30:00,4387.55,4387.55,4387.55,4387.55,300,4200
LTI_F3,06/03/2022,10:06:00,4387.55,4387.55,4387.55,4387.55,150,4050
LTI_F3,06/03/2022,10:21:00,4419.50,4419.50,4419.50,4419.50,150,3900
LTI_F3,06/03/2022,10:23:00,4421.25,4421.25,4421.25,4421.25,150,4050
LTI_F3,06/03/2022,10:39:00,4421.25,4421.25,4421.25,4421.25,150,4050
LTI_F3,06/03/2022,10:55:00,4397.85,4397.85,4397.85,4397.85,150,3900
LTI_F3,06/03/2022,11:08:00,4378.10,4378.10,4378.10,4378.10,150,3900
LTI_F3,06/03/2022,12:41:00,4372.00,4372.00,4372.00,4372.00,150,3900
LTI_F3,06/03/2022,12:44:00,4372.00,4372.00,4372.00,4372.00,150,3750
LTI_F3,06/03/2022,13:35:00,4350.30,4350.30,4350.30,4350.30,150,3900
LTI_F3,06/03/2022,13:41:00,4348.00,4348.00,4348.00,4348.00,150,3750
LTI_F3,06/03/2022,13:54:00,4341.90,4341.90,4341.90,4341.90,150,3900
LTI_F3,06/03/2022,14:31:00,4341.90,4341.90,4341.90,4341.90,150,4050
