<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
PFC_F3,06/01/2022,09:23:00,110.50,110.50,110.50,110.50,6201,55800
PFC_F3,06/01/2022,09:54:00,109.80,109.80,109.80,109.80,6200,62000
PFC_F3,06/01/2022,10:36:00,109.80,109.80,109.80,109.80,6200,68200
PFC_F3,06/01/2022,10:47:00,110.15,110.15,110.15,110.15,6200,68200
PFC_F3,06/01/2022,11:11:00,110.15,110.15,110.15,110.15,6200,74400
PFC_F3,06/01/2022,11:12:00,110.15,110.15,110.15,110.15,6200,74400
PFC_F3,06/02/2022,09:43:00,109.00,109.00,109.00,109.00,6201,80600
PFC_F3,06/02/2022,09:54:00,109.60,109.60,109.60,109.60,6200,86800
PFC_F3,06/02/2022,12:20:00,109.90,109.90,109.90,109.90,6200,93000
PFC_F3,06/02/2022,12:22:00,110.05,110.05,110.05,110.05,6200,86800
PFC_F3,06/02/2022,13:20:00,110.55,110.55,110.55,110.55,6200,93000
PFC_F3,06/02/2022,13:46:00,110.60,110.60,110.60,110.60,6200,99200
PFC_F3,06/02/2022,14:10:00,110.95,110.95,110.95,110.95,6200,93000
PFC_F3,06/02/2022,14:58:00,111.25,111.25,111.25,111.25,6200,86800
PFC_F3,06/02/2022,15:05:00,111.25,111.25,111.25,111.25,6200,86800
PFC_F3,06/03/2022,15:18:00,110.15,110.15,110.15,110.15,6201,86800
PFC_F3,06/03/2022,15:25:00,110.25,110.25,110.25,110.25,6200,93000
PFC_F3,06/03/2022,15:28:00,110.25,110.25,110.25,110.25,6200,93000
PFC_F3,06/06/2022,09:39:00,107.30,107.30,107.30,107.30,6201,93000
PFC_F3,06/06/2022,09:41:00,107.30,107.30,107.30,107.30,6200,93000
PFC_F3,06/06/2022,09:57:00,107.80,107.80,107.80,107.80,6200,105400
PFC_F3,06/06/2022,10:04:00,107.80,107.80,107.80,107.80,6200,111600
PFC_F3,06/06/2022,10:16:00,107.35,107.35,107.35,107.35,6200,117800
PFC_F3,06/06/2022,11:46:00,107.40,107.40,107.40,107.40,6200,117800
PFC_F3,06/06/2022,11:52:00,107.75,107.75,107.75,107.75,6200,124000
PFC_F3,06/06/2022,12:05:00,107.60,107.60,107.60,107.60,6200,130200
PFC_F3,06/06/2022,12:17:00,107.80,107.80,107.80,107.80,6200,130200
PFC_F3,06/06/2022,12:43:00,108.05,108.05,108.05,108.05,6200,130200
