<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
SHREECEM_F3,06/01/2022,13:12:00,21300.00,21300.00,21300.00,21300.00,26,125
SHREECEM_F3,06/01/2022,15:13:00,21180.00,21180.00,21180.00,21180.00,50,150
SHREECEM_F3,06/01/2022,15:23:00,21169.40,21169.40,21169.40,21169.40,25,175
SHREECEM_F3,06/03/2022,09:25:00,20800.00,20800.00,20750.00,20750.00,76,175
SHREECEM_F3,06/03/2022,09:26:00,20750.00,20857.20,20750.00,20857.20,50,250
SHREECEM_F3,06/03/2022,09:28:00,20750.00,20750.00,20750.00,20750.00,100,250
SHREECEM_F3,06/03/2022,09:29:00,20750.00,20750.00,20750.00,20750.00,25,250
SHREECEM_F3,06/03/2022,09:30:00,20750.00,20750.00,20750.00,20750.00,25,425
SHREECEM_F3,06/03/2022,09:32:00,20500.00,20500.00,20500.00,20500.00,25,450
SHREECEM_F3,06/03/2022,09:33:00,20485.60,20485.60,20250.00,20250.00,50,450
SHREECEM_F3,06/03/2022,09:36:00,20250.00,20250.00,20250.00,20250.00,25,525
SHREECEM_F3,06/03/2022,09:48:00,20310.60,20310.85,20310.60,20310.85,50,550
SHREECEM_F3,06/03/2022,09:51:00,20350.00,20350.00,20350.00,20350.00,25,575
SHREECEM_F3,06/03/2022,09:52:00,20300.00,20300.00,20300.00,20300.00,25,575
SHREECEM_F3,06/03/2022,10:01:00,20300.00,20300.00,20300.00,20300.00,50,575
SHREECEM_F3,06/03/2022,10:10:00,20412.85,20412.85,20412.85,20412.85,25,675
SHREECEM_F3,06/03/2022,10:13:00,20300.00,20300.00,20300.00,20300.00,25,675
SHREECEM_F3,06/03/2022,10:16:00,20259.95,20259.95,20200.00,20200.00,100,700
SHREECEM_F3,06/03/2022,10:28:00,20191.90,20191.90,20191.90,20191.90,25,775
SHREECEM_F3,06/03/2022,10:37:00,20150.00,20150.00,20150.00,20150.00,25,800
SHREECEM_F3,06/03/2022,10:42:00,20100.00,20100.00,20100.00,20100.00,25,825
SHREECEM_F3,06/03/2022,10:52:00,20100.00,20100.00,20100.00,20100.00,25,825
SHREECEM_F3,06/03/2022,10:53:00,20156.95,20156.95,20150.00,20150.00,50,875
SHREECEM_F3,06/03/2022,10:54:00,20190.75,20190.75,20190.75,20190.75,50,875
SHREECEM_F3,06/03/2022,11:12:00,20234.70,20234.70,20234.70,20234.70,25,950
SHREECEM_F3,06/03/2022,11:23:00,20200.10,20200.10,20200.10,20200.10,25,950
SHREECEM_F3,06/03/2022,12:08:00,20339.60,20339.60,20339.60,20339.60,25,1000
SHREECEM_F3,06/03/2022,12:13:00,20300.00,20300.00,20300.00,20300.00,25,1000
SHREECEM_F3,06/03/2022,12:31:00,20210.05,20210.05,20210.05,20210.05,25,1025
SHREECEM_F3,06/03/2022,12:32:00,20210.00,20210.00,20210.00,20210.00,25,1025
SHREECEM_F3,06/03/2022,13:01:00,20210.50,20210.50,20210.50,20210.50,50,1075
SHREECEM_F3,06/03/2022,13:04:00,20201.00,20201.00,20201.00,20201.00,25,1125
SHREECEM_F3,06/03/2022,13:05:00,20175.00,20175.00,20175.00,20175.00,25,1125
SHREECEM_F3,06/03/2022,13:24:00,20101.00,20101.00,20101.00,20101.00,25,1175
SHREECEM_F3,06/03/2022,13:35:00,20190.90,20190.90,20190.90,20190.90,25,1200
SHREECEM_F3,06/03/2022,13:54:00,20135.00,20135.00,20135.00,20135.00,25,1225
SHREECEM_F3,06/03/2022,14:25:00,20050.05,20050.05,20050.05,20050.05,25,1250
SHREECEM_F3,06/03/2022,14:38:00,20050.05,20050.05,20050.05,20050.05,25,1275
SHREECEM_F3,06/03/2022,14:41:00,20101.00,20101.00,20100.00,20100.00,50,1250
SHREECEM_F3,06/03/2022,14:53:00,20100.00,20100.00,20100.00,20100.00,25,1300
SHREECEM_F3,06/03/2022,15:00:00,20054.95,20054.95,20054.95,20054.95,25,1325
SHREECEM_F3,06/03/2022,15:07:00,20051.15,20051.15,20051.15,20051.15,50,1325
SHREECEM_F3,06/03/2022,15:13:00,20051.15,20051.15,20051.15,20051.15,25,1350
SHREECEM_F3,06/03/2022,15:21:00,20100.00,20100.00,20100.00,20100.00,25,1350
SHREECEM_F3,06/03/2022,15:22:00,20100.00,20100.00,20100.00,20100.00,25,1350
SHREECEM_F3,06/03/2022,15:23:00,20150.00,20150.00,20150.00,20150.00,25,1350
SHREECEM_F3,06/03/2022,15:25:00,20147.50,20147.50,20147.50,20147.50,25,1400
SHREECEM_F3,06/03/2022,15:27:00,20075.00,20075.00,20075.00,20075.00,25,1400
SHREECEM_F3,06/03/2022,15:28:00,20050.00,20050.00,20050.00,20050.00,25,1400
SHREECEM_F3,06/03/2022,15:29:00,20000.00,20000.00,20000.00,20000.00,25,1400
