<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
TATACONSUM_F3,06/01/2022,09:35:00,767.00,767.00,767.00,767.00,901,2700
TATACONSUM_F3,06/01/2022,09:51:00,765.00,765.00,765.00,765.00,900,3600
TATACONSUM_F3,06/06/2022,13:45:00,771.60,771.60,771.60,771.60,901,2700
TATACONSUM_F3,06/07/2022,10:20:00,760.00,760.00,760.00,760.00,901,2700
TATACONSUM_F3,06/08/2022,10:08:00,750.00,750.00,750.00,750.00,901,1800
TATACONSUM_F3,06/10/2022,11:02:00,760.00,760.00,760.00,760.00,1801,1800
TATACONSUM_F3,06/10/2022,11:30:00,757.20,757.20,757.20,757.20,900,3600
TATACONSUM_F3,06/10/2022,15:04:00,756.85,756.85,756.85,756.85,900,4500
TATACONSUM_F3,06/15/2022,13:00:00,745.20,745.20,745.20,745.20,901,5400
TATACONSUM_F3,06/16/2022,10:07:00,745.10,745.10,745.10,745.10,901,6300
TATACONSUM_F3,06/16/2022,10:45:00,741.00,741.00,741.00,741.00,900,7200
TATACONSUM_F3,06/16/2022,13:32:00,726.00,726.00,726.00,726.00,900,7200
TATACONSUM_F3,06/16/2022,13:35:00,726.00,726.00,726.00,726.00,900,7200
TATACONSUM_F3,06/16/2022,14:31:00,726.00,726.00,726.00,726.00,1800,8100
TATACONSUM_F3,06/16/2022,14:54:00,725.00,725.00,725.00,725.00,900,9000
TATACONSUM_F3,06/16/2022,15:12:00,725.00,725.00,725.00,725.00,900,9000
TATACONSUM_F3,06/17/2022,09:54:00,731.90,731.90,731.90,731.90,901,9900
TATACONSUM_F3,06/17/2022,09:56:00,731.10,731.10,731.10,731.10,900,9000
TATACONSUM_F3,06/17/2022,10:45:00,724.15,724.15,724.15,724.15,900,9000
TATACONSUM_F3,06/17/2022,10:46:00,724.15,724.15,724.15,724.15,900,9000
TATACONSUM_F3,06/17/2022,11:00:00,724.15,724.15,724.15,724.15,1800,9000
TATACONSUM_F3,06/17/2022,15:29:00,718.60,718.60,718.60,718.60,1,9000
TATACONSUM_F3,06/21/2022,14:04:00,729.00,729.00,729.00,729.00,901,9000
TATACONSUM_F3,06/22/2022,09:29:00,726.50,726.50,726.50,726.50,901,9000
TATACONSUM_F3,06/22/2022,09:30:00,725.00,725.00,725.00,725.00,900,9000
TATACONSUM_F3,06/22/2022,10:07:00,721.00,721.00,721.00,721.00,900,9900
TATACONSUM_F3,06/22/2022,10:09:00,721.00,721.00,720.50,720.50,1800,10800
TATACONSUM_F3,06/22/2022,10:10:00,720.50,720.50,720.50,720.50,900,10800
TATACONSUM_F3,06/22/2022,12:00:00,713.35,713.35,713.35,713.35,2700,12600
TATACONSUM_F3,06/22/2022,13:13:00,711.10,711.10,711.10,711.10,900,15300
TATACONSUM_F3,06/23/2022,13:08:00,712.00,712.00,712.00,712.00,901,15300
