<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
TORNTPOWER_F3,06/01/2022,10:50:00,465.05,465.05,465.05,465.05,1501,4500
TORNTPOWER_F3,06/01/2022,15:04:00,476.00,476.00,476.00,476.00,1500,4500
TORNTPOWER_F3,06/03/2022,09:17:00,476.00,476.00,476.00,476.00,3001,4500
TORNTPOWER_F3,06/03/2022,15:11:00,465.30,465.30,465.30,465.30,1500,7500
TORNTPOWER_F3,06/06/2022,09:43:00,463.60,463.60,463.60,463.60,1501,9000
TORNTPOWER_F3,06/06/2022,09:48:00,465.55,465.55,465.55,465.55,1500,10500
TORNTPOWER_F3,06/06/2022,09:50:00,465.70,465.70,465.70,465.70,1500,10500
TORNTPOWER_F3,06/06/2022,09:55:00,465.70,465.70,465.70,465.70,1500,12000
TORNTPOWER_F3,06/06/2022,13:21:00,457.55,457.55,457.55,457.55,1500,13500
TORNTPOWER_F3,06/08/2022,09:41:00,450.70,450.70,450.70,450.70,3001,15000
TORNTPOWER_F3,06/08/2022,11:00:00,455.15,455.15,455.15,455.15,3000,16500
TORNTPOWER_F3,06/13/2022,09:25:00,456.40,456.40,456.40,456.40,1501,15000
TORNTPOWER_F3,06/13/2022,13:43:00,446.00,446.00,446.00,446.00,1500,13500
TORNTPOWER_F3,06/13/2022,13:46:00,443.65,443.65,443.65,443.65,1500,15000
TORNTPOWER_F3,06/13/2022,14:50:00,443.65,443.65,443.65,443.65,1500,15000
TORNTPOWER_F3,06/13/2022,15:26:00,444.45,444.45,444.45,444.45,1500,15000
TORNTPOWER_F3,06/14/2022,10:19:00,454.60,454.60,454.60,454.60,1501,15000
TORNTPOWER_F3,06/14/2022,10:37:00,456.10,456.10,456.10,456.10,1500,15000
TORNTPOWER_F3,06/14/2022,12:58:00,461.50,461.50,461.50,461.50,1500,15000
TORNTPOWER_F3,06/14/2022,13:49:00,463.60,463.60,463.60,463.60,1500,16500
TORNTPOWER_F3,06/14/2022,14:13:00,463.60,463.60,463.60,463.60,1500,16500
TORNTPOWER_F3,06/15/2022,09:36:00,465.65,465.65,465.65,465.65,3001,18000
TORNTPOWER_F3,06/15/2022,10:09:00,473.95,473.95,473.95,473.95,1500,16500
TORNTPOWER_F3,06/15/2022,11:09:00,475.90,475.90,475.90,475.90,1500,16500
TORNTPOWER_F3,06/15/2022,12:09:00,475.90,475.90,467.90,467.90,3000,18000
