<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
BAJFINANCE_F3,06/01/2023,09:35:00,7050.7500,7050.7500,7050.7500,7050.7500,126,11000,
BAJFINANCE_F3,06/01/2023,09:51:00,7078.8501,7078.8501,7078.8501,7078.8501,125,11125,
BAJFINANCE_F3,06/01/2023,10:26:00,7085.0000,7085.0000,7085.0000,7085.0000,125,11125,
BAJFINANCE_F3,06/01/2023,10:38:00,7093.1499,7093.1499,7093.1499,7093.1499,125,11250,
BAJFINANCE_F3,06/01/2023,11:12:00,7098.1499,7098.1499,7098.1499,7098.1499,125,11250,
BAJFINANCE_F3,06/01/2023,11:14:00,7100.0000,7100.0000,7100.0000,7100.0000,125,11250,
BAJFINANCE_F3,06/01/2023,11:25:00,7109.2998,7109.2998,7109.2998,7109.2998,125,11500,
BAJFINANCE_F3,06/01/2023,11:33:00,7109.2998,7109.2998,7109.2998,7109.2998,125,11625,
BAJFINANCE_F3,06/01/2023,11:37:00,7107.9502,7107.9502,7107.9502,7107.9502,125,11750,
BAJFINANCE_F3,06/01/2023,11:50:00,7112.9502,7112.9502,7112.9502,7112.9502,125,11750,
BAJFINANCE_F3,06/01/2023,11:57:00,7134.0000,7134.0000,7134.0000,7134.0000,250,11875,
BAJFINANCE_F3,06/01/2023,12:01:00,7135.0000,7135.0000,7135.0000,7135.0000,125,11875,
BAJFINANCE_F3,06/01/2023,12:02:00,7140.0000,7140.0000,7140.0000,7140.0000,250,11875,
BAJFINANCE_F3,06/01/2023,12:17:00,7140.0000,7140.0000,7114.5000,7114.5000,250,12125,
BAJFINANCE_F3,06/01/2023,12:55:00,7120.7500,7120.7500,7120.7500,7120.7500,125,12125,
BAJFINANCE_F3,06/01/2023,12:58:00,7124.4502,7124.4502,7124.4502,7124.4502,250,12250,
BAJFINANCE_F3,06/01/2023,14:46:00,7115.0000,7115.0000,7115.0000,7115.0000,250,12125,
BAJFINANCE_F3,06/01/2023,14:56:00,7127.9502,7127.9502,7127.9502,7127.9502,250,11875,
BAJFINANCE_F3,06/01/2023,15:23:00,7124.9502,7124.9502,7124.9502,7124.9502,125,12000,
BAJFINANCE_F3,06/01/2023,15:26:00,7120.0000,7120.0000,7120.0000,7120.0000,125,12000,
BAJFINANCE_F3,06/01/2023,15:27:00,7129.6499,7129.6499,7129.6499,7129.6499,125,12000,
BAJFINANCE_F3,06/01/2023,15:29:00,7124.2002,7124.2002,7124.2002,7124.2002,250,12000,
BAJFINANCE_F3,06/02/2023,09:16:00,7150.0000,7156.6499,7150.0000,7156.6499,376,12250,
BAJFINANCE_F3,06/02/2023,09:19:00,7158.2002,7158.2002,7158.2002,7158.2002,125,12375,
BAJFINANCE_F3,06/02/2023,09:21:00,7158.2002,7158.2002,7158.2002,7158.2002,125,12375,
BAJFINANCE_F3,06/02/2023,09:22:00,7179.7998,7179.7998,7179.7998,7179.7998,125,12375,
BAJFINANCE_F3,06/02/2023,09:37:00,7179.7998,7179.7998,7179.7998,7179.7998,125,12500,
BAJFINANCE_F3,06/02/2023,09:38:00,7170.0000,7170.0000,7170.0000,7170.0000,250,12500,
BAJFINANCE_F3,06/02/2023,09:41:00,7170.0000,7170.0000,7170.0000,7170.0000,500,12500,
BAJFINANCE_F3,06/02/2023,10:04:00,7127.2002,7127.2002,7127.2002,7127.2002,125,12625,
BAJFINANCE_F3,06/02/2023,10:13:00,7110.0000,7110.0000,7110.0000,7110.0000,250,12625,
BAJFINANCE_F3,06/02/2023,10:19:00,7110.0000,7110.0000,7110.0000,7110.0000,125,12625,
BAJFINANCE_F3,06/02/2023,10:27:00,7120.0498,7120.0498,7120.0498,7120.0498,125,12625,
BAJFINANCE_F3,06/02/2023,11:06:00,7126.1001,7126.1001,7126.1001,7126.1001,125,12625,
BAJFINANCE_F3,06/02/2023,11:18:00,7136.0498,7136.0498,7136.0498,7136.0498,125,12750,
BAJFINANCE_F3,06/02/2023,11:29:00,7130.2500,7130.2500,7130.2500,7130.2500,125,12750,
BAJFINANCE_F3,06/02/2023,12:44:00,7117.0498,7117.0498,7117.0498,7117.0498,125,12750,
BAJFINANCE_F3,06/02/2023,13:27:00,7146.0000,7146.0000,7146.0000,7146.0000,125,12750,
BAJFINANCE_F3,06/02/2023,13:36:00,7159.6001,7159.6001,7159.6001,7159.6001,125,12875,
BAJFINANCE_F3,06/02/2023,13:41:00,7164.0000,7164.0000,7164.0000,7164.0000,250,12750,
BAJFINANCE_F3,06/02/2023,13:42:00,7164.0000,7164.0000,7164.0000,7164.0000,1000,12750,
BAJFINANCE_F3,06/02/2023,13:44:00,7162.2002,7162.2002,7162.2002,7162.2002,250,12750,
BAJFINANCE_F3,06/02/2023,13:45:00,7162.2002,7162.2002,7162.2002,7162.2002,125,13625,
BAJFINANCE_F3,06/02/2023,13:51:00,7155.0000,7155.0000,7155.0000,7155.0000,125,13625,
BAJFINANCE_F3,06/02/2023,14:30:00,7123.5000,7123.5000,7123.5000,7123.5000,125,13625,
BAJFINANCE_F3,06/02/2023,15:09:00,7140.0000,7140.0000,7140.0000,7140.0000,125,13750,
BAJFINANCE_F3,06/02/2023,15:26:00,7129.9502,7129.9502,7129.9502,7129.9502,125,13875,
BAJFINANCE_F3,06/05/2023,09:36:00,7140.0000,7140.0000,7140.0000,7140.0000,126,13875,
BAJFINANCE_F3,06/05/2023,09:42:00,7135.0000,7135.0000,7135.0000,7135.0000,125,13875,
BAJFINANCE_F3,06/05/2023,09:43:00,7135.0000,7135.0000,7135.0000,7135.0000,125,13875,
BAJFINANCE_F3,06/05/2023,10:05:00,7135.0000,7135.0000,7135.0000,7135.0000,125,13625,
BAJFINANCE_F3,06/05/2023,11:32:00,7144.1499,7144.1499,7144.1499,7144.1499,125,13750,
BAJFINANCE_F3,06/05/2023,12:08:00,7133.1499,7133.2002,7133.1499,7133.2002,625,13750,
BAJFINANCE_F3,06/05/2023,12:28:00,7124.6499,7124.6499,7124.6499,7124.6499,125,14375,
BAJFINANCE_F3,06/05/2023,13:10:00,7124.6499,7124.6499,7124.6499,7124.6499,1250,14500,
BAJFINANCE_F3,06/05/2023,13:11:00,7148.7500,7148.7500,7148.7500,7148.7500,250,14500,
BAJFINANCE_F3,06/05/2023,13:53:00,7150.0000,7150.0000,7150.0000,7150.0000,125,15500,
BAJFINANCE_F3,06/05/2023,14:33:00,7150.0000,7150.0000,7150.0000,7150.0000,125,15500,
BAJFINANCE_F3,06/05/2023,15:09:00,7135.2002,7135.2002,7135.2002,7135.2002,250,15500,
BAJFINANCE_F3,06/05/2023,15:16:00,7140.2500,7140.2500,7140.2500,7140.2500,125,15500,
BAJFINANCE_F3,06/06/2023,09:21:00,7147.2500,7147.2500,7147.2500,7147.2500,251,15500,
BAJFINANCE_F3,06/06/2023,09:36:00,7138.0000,7138.0000,7138.0000,7138.0000,250,15750,
BAJFINANCE_F3,06/06/2023,10:00:00,7138.0000,7146.7002,7138.0000,7146.7002,250,15500,
BAJFINANCE_F3,06/06/2023,10:02:00,7157.2998,7157.2998,7157.2998,7157.2998,125,15500,
BAJFINANCE_F3,06/06/2023,10:08:00,7157.2998,7157.2998,7157.2998,7157.2998,125,15875,
BAJFINANCE_F3,06/06/2023,10:40:00,7167.0000,7167.0000,7167.0000,7167.0000,125,15875,
BAJFINANCE_F3,06/06/2023,10:46:00,7167.0000,7167.0000,7167.0000,7167.0000,125,16000,
BAJFINANCE_F3,06/06/2023,11:16:00,7175.0000,7175.0000,7175.0000,7175.0000,125,16000,
BAJFINANCE_F3,06/06/2023,11:22:00,7175.0000,7175.0000,7175.0000,7175.0000,1875,16000,
BAJFINANCE_F3,06/06/2023,11:29:00,7174.2500,7174.2500,7174.2500,7174.2500,125,17875,
BAJFINANCE_F3,06/06/2023,11:37:00,7174.2500,7174.2500,7174.2500,7174.2500,125,18000,
BAJFINANCE_F3,06/06/2023,11:46:00,7177.8999,7177.8999,7177.8999,7177.8999,125,18125,
BAJFINANCE_F3,06/06/2023,11:49:00,7185.7998,7185.7998,7185.7998,7185.7998,125,18250,
BAJFINANCE_F3,06/06/2023,11:51:00,7195.0000,7195.0000,7195.0000,7195.0000,125,18250,
BAJFINANCE_F3,06/06/2023,11:57:00,7195.0000,7195.0000,7195.0000,7195.0000,125,18250,
BAJFINANCE_F3,06/06/2023,11:58:00,7188.7998,7188.7998,7188.7998,7188.7998,125,18250,
BAJFINANCE_F3,06/06/2023,12:11:00,7188.0000,7188.0000,7188.0000,7188.0000,125,18250,
BAJFINANCE_F3,06/06/2023,12:23:00,7186.7002,7186.7002,7186.7002,7186.7002,125,18250,
BAJFINANCE_F3,06/06/2023,12:45:00,7175.3999,7175.3999,7175.3999,7175.3999,125,18375,
BAJFINANCE_F3,06/06/2023,13:06:00,7172.2998,7172.2998,7172.2998,7172.2998,125,18375,
BAJFINANCE_F3,06/06/2023,13:16:00,7180.0000,7180.0000,7180.0000,7180.0000,125,18250,
BAJFINANCE_F3,06/06/2023,13:37:00,7186.7998,7186.7998,7186.7998,7186.7998,125,18250,
BAJFINANCE_F3,06/06/2023,14:17:00,7176.3999,7176.3999,7176.3999,7176.3999,125,18250,
BAJFINANCE_F3,06/06/2023,15:07:00,7195.0000,7195.0000,7195.0000,7195.0000,250,18250,
BAJFINANCE_F3,06/06/2023,15:11:00,7198.9502,7198.9502,7198.9502,7198.9502,125,18500,
BAJFINANCE_F3,06/06/2023,15:12:00,7209.0000,7209.0000,7209.0000,7209.0000,125,18500,
BAJFINANCE_F3,06/06/2023,15:16:00,7209.0000,7209.0000,7209.0000,7209.0000,125,18375,
BAJFINANCE_F3,06/06/2023,15:24:00,7217.4502,7217.4502,7217.4502,7217.4502,250,18375,
BAJFINANCE_F3,06/07/2023,09:47:00,7169.5498,7169.5498,7169.5498,7169.5498,126,18125,
BAJFINANCE_F3,06/07/2023,10:12:00,7169.3999,7169.3999,7169.3999,7169.3999,125,18125,
BAJFINANCE_F3,06/07/2023,11:40:00,7150.3501,7150.3501,7150.3501,7150.3501,250,18125,
BAJFINANCE_F3,06/07/2023,11:59:00,7150.3501,7150.3501,7150.3501,7150.3501,125,18125,
BAJFINANCE_F3,06/07/2023,12:03:00,7168.0000,7168.0000,7168.0000,7168.0000,250,18250,
BAJFINANCE_F3,06/07/2023,12:16:00,7165.3501,7165.3501,7165.3501,7165.3501,250,18250,
BAJFINANCE_F3,06/07/2023,14:03:00,7165.3501,7165.3501,7165.3501,7165.3501,125,18250,
BAJFINANCE_F3,06/07/2023,14:34:00,7164.9502,7178.1001,7164.9502,7178.1001,250,18250,
BAJFINANCE_F3,06/07/2023,14:48:00,7178.1001,7178.1001,7178.1001,7178.1001,125,18375,
BAJFINANCE_F3,06/07/2023,15:04:00,7176.5000,7176.5000,7176.5000,7176.5000,125,18375,
BAJFINANCE_F3,06/08/2023,09:49:00,7166.0000,7166.0000,7166.0000,7166.0000,126,18375,
BAJFINANCE_F3,06/08/2023,10:17:00,7160.0000,7160.0000,7160.0000,7160.0000,250,18500,
BAJFINANCE_F3,06/08/2023,10:29:00,7160.0000,7160.0000,7160.0000,7160.0000,125,18250,
BAJFINANCE_F3,06/08/2023,10:34:00,7157.3501,7157.3501,7157.3501,7157.3501,125,18375,
BAJFINANCE_F3,06/08/2023,11:20:00,7155.0000,7155.0000,7146.5000,7146.5000,250,18375,
BAJFINANCE_F3,06/08/2023,11:45:00,7126.0000,7126.0000,7126.0000,7126.0000,125,18250,
BAJFINANCE_F3,06/08/2023,11:48:00,7120.0000,7120.0000,7120.0000,7120.0000,125,18125,
BAJFINANCE_F3,06/08/2023,11:50:00,7105.0000,7105.0000,7105.0000,7105.0000,125,18125,
BAJFINANCE_F3,06/08/2023,12:03:00,7100.0498,7100.0498,7100.0498,7100.0498,125,18000,
BAJFINANCE_F3,06/08/2023,12:15:00,7100.0498,7100.0498,7100.0498,7100.0498,125,18000,
BAJFINANCE_F3,06/08/2023,12:40:00,7100.0000,7100.0000,7100.0000,7100.0000,125,17875,
BAJFINANCE_F3,06/08/2023,12:49:00,7100.0000,7100.0000,7100.0000,7100.0000,125,17875,
BAJFINANCE_F3,06/08/2023,12:53:00,7109.8999,7109.8999,7109.8999,7109.8999,125,17875,
BAJFINANCE_F3,06/08/2023,12:57:00,7111.2500,7111.2500,7109.7998,7109.7998,250,17875,
BAJFINANCE_F3,06/08/2023,13:09:00,7110.0000,7110.0000,7110.0000,7110.0000,125,17875,
BAJFINANCE_F3,06/08/2023,14:05:00,7122.8999,7122.8999,7122.8999,7122.8999,125,17750,
BAJFINANCE_F3,06/08/2023,14:08:00,7120.0000,7120.0000,7118.7500,7118.7500,250,17875,
BAJFINANCE_F3,06/08/2023,14:10:00,7112.0000,7112.0000,7112.0000,7112.0000,125,17875,
BAJFINANCE_F3,06/08/2023,14:12:00,7110.0000,7110.0000,7110.0000,7110.0000,125,17875,
BAJFINANCE_F3,06/08/2023,14:55:00,7108.4502,7108.4502,7108.4502,7108.4502,125,17875,
BAJFINANCE_F3,06/08/2023,15:05:00,7107.0498,7107.0498,7107.0498,7107.0498,125,18000,
BAJFINANCE_F3,06/08/2023,15:10:00,7107.5000,7107.5000,7107.5000,7107.5000,125,18000,
BAJFINANCE_F3,06/08/2023,15:12:00,7107.0000,7107.0000,7107.0000,7107.0000,125,18125,
BAJFINANCE_F3,06/09/2023,09:18:00,7127.0000,7127.0000,7127.0000,7127.0000,126,18125,
BAJFINANCE_F3,06/09/2023,09:21:00,7132.7998,7132.7998,7132.7998,7132.7998,125,18250,
BAJFINANCE_F3,06/09/2023,09:22:00,7142.0000,7142.0000,7142.0000,7142.0000,375,18250,
BAJFINANCE_F3,06/09/2023,09:32:00,7125.3501,7125.3501,7125.3501,7125.3501,250,18250,
BAJFINANCE_F3,06/09/2023,09:38:00,7107.0000,7107.0000,7107.0000,7107.0000,125,18500,
BAJFINANCE_F3,06/09/2023,10:05:00,7107.0000,7107.0000,7107.0000,7107.0000,125,18375,
BAJFINANCE_F3,06/09/2023,11:30:00,7157.2998,7157.2998,7157.2998,7157.2998,125,18375,
BAJFINANCE_F3,06/09/2023,11:54:00,7157.2998,7157.2998,7157.2998,7157.2998,125,18375,
BAJFINANCE_F3,06/09/2023,12:00:00,7160.0000,7160.0000,7160.0000,7160.0000,125,18375,
BAJFINANCE_F3,06/09/2023,15:26:00,7160.0000,7160.0000,7160.0000,7160.0000,125,18375,
BAJFINANCE_F3,06/09/2023,15:29:00,7136.6001,7136.6001,7136.6001,7136.6001,125,18375,
BAJFINANCE_F3,06/12/2023,09:18:00,7156.0000,7156.0000,7156.0000,7156.0000,126,18500,
BAJFINANCE_F3,06/12/2023,10:38:00,7176.0000,7176.0000,7176.0000,7176.0000,125,18500,
BAJFINANCE_F3,06/12/2023,10:41:00,7176.0000,7176.0000,7176.0000,7176.0000,125,18625,
BAJFINANCE_F3,06/12/2023,11:40:00,7167.2500,7167.2500,7167.2500,7167.2500,125,18625,
BAJFINANCE_F3,06/12/2023,12:03:00,7180.0000,7180.0000,7180.0000,7180.0000,125,18750,
BAJFINANCE_F3,06/12/2023,12:20:00,7185.0000,7185.0000,7185.0000,7185.0000,125,18750,
BAJFINANCE_F3,06/12/2023,14:50:00,7190.0000,7190.0000,7190.0000,7190.0000,125,18750,
BAJFINANCE_F3,06/12/2023,14:58:00,7200.0000,7200.0000,7200.0000,7200.0000,250,18750,
BAJFINANCE_F3,06/12/2023,15:29:00,7200.0000,7200.0000,7200.0000,7200.0000,125,19000,
BAJFINANCE_F3,06/13/2023,09:21:00,7219.0498,7219.0498,7219.0498,7219.0498,126,19000,
BAJFINANCE_F3,06/13/2023,09:22:00,7225.1499,7225.1499,7225.1499,7225.1499,125,19000,
BAJFINANCE_F3,06/13/2023,09:26:00,7225.1499,7225.1499,7225.1499,7225.1499,125,19125,
