<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
COLPAL_F2,06/01/2023,09:19:00,1628.9500,1628.9500,1628.9500,1628.9500,351,12950,
COLPAL_F2,06/01/2023,09:26:00,1633.9000,1633.9000,1633.9000,1633.9000,350,13300,
COLPAL_F2,06/01/2023,09:44:00,1633.9000,1633.9000,1633.9000,1633.9000,350,13650,
COLPAL_F2,06/01/2023,09:56:00,1638.8000,1638.8000,1638.8000,1638.8000,700,13650,
COLPAL_F2,06/01/2023,09:57:00,1639.8000,1639.8000,1639.8000,1639.8000,350,13650,
COLPAL_F2,06/01/2023,09:58:00,1639.8000,1639.8000,1639.8000,1639.8000,350,13650,
COLPAL_F2,06/01/2023,10:06:00,1642.7500,1642.7500,1642.7500,1642.7500,350,14350,
COLPAL_F2,06/01/2023,10:08:00,1642.7500,1642.7500,1640.9000,1640.9000,700,14350,
COLPAL_F2,06/01/2023,10:11:00,1638.3500,1638.3500,1638.3500,1638.3500,350,14350,
COLPAL_F2,06/01/2023,10:24:00,1635.5500,1635.5500,1635.5500,1635.5500,350,14350,
COLPAL_F2,06/01/2023,10:42:00,1635.5500,1635.5500,1635.5500,1635.5500,350,14350,
COLPAL_F2,06/01/2023,11:03:00,1633.0000,1633.0000,1633.0000,1633.0000,350,14000,
COLPAL_F2,06/01/2023,12:25:00,1626.8500,1626.8500,1626.8500,1626.8500,350,13650,
COLPAL_F2,06/01/2023,13:12:00,1626.5500,1626.5500,1626.5500,1626.5500,350,13650,
COLPAL_F2,06/01/2023,13:39:00,1626.5500,1626.5500,1626.5500,1626.5500,350,13650,
COLPAL_F2,06/01/2023,14:46:00,1633.1000,1633.1000,1633.1000,1633.1000,350,14000,
COLPAL_F2,06/01/2023,15:24:00,1628.8500,1628.8500,1628.8500,1628.8500,700,14000,
COLPAL_F2,06/02/2023,11:14:00,1630.6000,1630.6000,1630.6000,1630.6000,351,14000,
COLPAL_F2,06/02/2023,14:34:00,1629.3500,1629.3500,1629.3500,1629.3500,350,14000,
COLPAL_F2,06/02/2023,15:16:00,1629.3500,1629.3500,1629.3500,1629.3500,350,14000,
COLPAL_F2,06/02/2023,15:18:00,1631.2000,1631.2000,1631.2000,1631.2000,350,14000,
