<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
GUJGASLTD_F3,06/01/2023,09:20:00,495.5000,495.5000,495.5000,495.5000,1251,10000,
GUJGASLTD_F3,06/01/2023,09:27:00,493.3000,493.3000,493.3000,493.3000,2500,11250,
GUJGASLTD_F3,06/01/2023,09:28:00,493.3000,493.3000,493.3000,493.3000,1250,11250,
GUJGASLTD_F3,06/01/2023,09:34:00,502.3500,502.3500,502.3500,502.3500,2500,10000,
GUJGASLTD_F3,06/01/2023,09:35:00,503.5000,503.5000,503.5000,503.5000,3750,10000,
GUJGASLTD_F3,06/01/2023,09:56:00,503.5000,503.5000,503.5000,503.5000,1250,16250,
GUJGASLTD_F3,06/01/2023,09:57:00,503.0000,503.0000,503.0000,503.0000,1250,16250,
GUJGASLTD_F3,06/01/2023,10:41:00,495.0000,495.0000,495.0000,495.0000,1250,17500,
GUJGASLTD_F3,06/01/2023,11:03:00,495.0000,495.0000,495.0000,495.0000,1250,18750,
GUJGASLTD_F3,06/01/2023,12:23:00,499.1000,499.1000,499.1000,499.1000,2500,20000,
GUJGASLTD_F3,06/01/2023,12:24:00,499.0000,499.0000,499.0000,499.0000,1250,20000,
GUJGASLTD_F3,06/01/2023,12:46:00,497.5000,497.5000,497.5000,497.5000,1250,23750,
GUJGASLTD_F3,06/01/2023,13:30:00,501.0000,501.0000,501.0000,501.0000,2500,22500,
GUJGASLTD_F3,06/01/2023,15:15:00,492.9500,492.9500,492.9500,492.9500,1250,25000,
GUJGASLTD_F3,06/01/2023,15:25:00,492.9500,492.9500,492.9500,492.9500,2500,26250,
GUJGASLTD_F3,06/01/2023,15:26:00,493.0000,493.0000,493.0000,493.0000,1250,26250,
GUJGASLTD_F3,06/02/2023,10:30:00,488.0000,488.0000,488.0000,488.0000,1251,30000,
GUJGASLTD_F3,06/02/2023,10:45:00,488.0000,488.0000,488.0000,488.0000,1250,31250,
GUJGASLTD_F3,06/02/2023,10:49:00,487.6500,487.6500,487.6500,487.6500,8750,32500,
GUJGASLTD_F3,06/02/2023,10:56:00,487.7000,487.7000,487.7000,487.7000,1250,41250,
GUJGASLTD_F3,06/02/2023,10:58:00,487.4500,487.4500,487.4500,487.4500,1250,42500,
GUJGASLTD_F3,06/02/2023,10:59:00,487.0500,487.0500,487.0500,487.0500,1250,42500,
