<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
HINDCOPPER_F2,06/01/2023,09:16:00,114.2500,114.2500,114.2500,114.2500,5301,927500,
HINDCOPPER_F2,06/01/2023,09:19:00,114.4000,114.4000,114.4000,114.4000,5300,932800,
HINDCOPPER_F2,06/01/2023,09:20:00,114.4000,114.4000,114.4000,114.4000,10600,932800,
HINDCOPPER_F2,06/01/2023,09:24:00,114.4000,114.4000,114.3000,114.3000,15900,938100,
HINDCOPPER_F2,06/01/2023,09:25:00,114.0500,114.0500,113.9000,113.9000,10600,938100,
HINDCOPPER_F2,06/01/2023,09:31:00,113.8000,113.8000,113.7000,113.7000,10600,938100,
HINDCOPPER_F2,06/01/2023,09:35:00,113.7000,113.7000,113.7000,113.7000,5300,932800,
HINDCOPPER_F2,06/01/2023,09:40:00,113.7500,113.7500,113.7500,113.7500,10600,932800,
HINDCOPPER_F2,06/01/2023,09:43:00,113.5500,113.5500,113.5500,113.5500,5300,932800,
HINDCOPPER_F2,06/01/2023,09:45:00,113.5000,113.5000,113.5000,113.5000,5300,932800,
HINDCOPPER_F2,06/01/2023,09:50:00,113.4500,113.4500,113.4500,113.4500,5300,932800,
HINDCOPPER_F2,06/01/2023,09:55:00,113.4500,113.4500,113.4500,113.4500,5300,932800,
HINDCOPPER_F2,06/01/2023,09:56:00,113.2000,113.2000,113.2000,113.2000,21200,932800,
HINDCOPPER_F2,06/01/2023,09:58:00,113.1500,113.1500,113.1500,113.1500,47700,922200,
HINDCOPPER_F2,06/01/2023,10:03:00,113.1500,113.1500,113.1500,113.1500,5300,911600,
HINDCOPPER_F2,06/01/2023,10:15:00,113.4500,113.4500,113.4500,113.4500,5300,911600,
HINDCOPPER_F2,06/01/2023,10:21:00,113.4500,113.4500,113.4500,113.4500,5300,906300,
HINDCOPPER_F2,06/01/2023,10:32:00,113.1000,113.1000,113.1000,113.1000,5300,901000,
HINDCOPPER_F2,06/01/2023,10:33:00,113.0000,113.0000,113.0000,113.0000,5300,906300,
HINDCOPPER_F2,06/01/2023,10:43:00,113.0000,113.1000,113.0000,113.1000,15900,901000,
HINDCOPPER_F2,06/01/2023,11:16:00,112.8500,112.8500,112.8500,112.8500,10600,901000,
HINDCOPPER_F2,06/01/2023,11:22:00,112.8500,112.8500,112.8500,112.8500,5300,901000,
HINDCOPPER_F2,06/01/2023,11:38:00,112.9000,112.9000,112.9000,112.9000,5300,901000,
HINDCOPPER_F2,06/01/2023,11:43:00,112.9000,112.9000,112.9000,112.9000,5300,895700,
HINDCOPPER_F2,06/01/2023,11:44:00,113.0500,113.0500,113.0500,113.0500,15900,895700,
HINDCOPPER_F2,06/01/2023,11:45:00,113.1000,113.1000,113.1000,113.1000,5300,895700,
HINDCOPPER_F2,06/01/2023,12:08:00,113.2000,113.2000,113.2000,113.2000,5300,879800,
HINDCOPPER_F2,06/01/2023,13:34:00,113.6000,113.6500,113.6000,113.6500,10600,879800,
HINDCOPPER_F2,06/01/2023,13:52:00,114.2000,114.2000,114.2000,114.2000,5300,879800,
HINDCOPPER_F2,06/01/2023,13:56:00,113.7000,113.7000,113.7000,113.7000,5300,879800,
HINDCOPPER_F2,06/01/2023,14:00:00,113.8000,113.8000,113.8000,113.8000,10600,879800,
HINDCOPPER_F2,06/01/2023,14:14:00,113.0500,113.0500,113.0500,113.0500,5300,879800,
HINDCOPPER_F2,06/01/2023,14:15:00,113.0000,113.0000,112.9000,112.9000,10600,869200,
HINDCOPPER_F2,06/01/2023,14:20:00,112.9000,112.9000,112.9000,112.9000,10600,874500,
HINDCOPPER_F2,06/01/2023,14:31:00,112.7500,112.7500,112.7500,112.7500,5300,869200,
HINDCOPPER_F2,06/01/2023,14:33:00,112.7500,112.7500,112.7500,112.7500,10600,874500,
HINDCOPPER_F2,06/01/2023,14:37:00,112.6500,112.6500,112.6500,112.6500,10600,879800,
HINDCOPPER_F2,06/01/2023,14:47:00,112.6500,112.6500,112.6500,112.6500,5300,874500,
HINDCOPPER_F2,06/01/2023,15:09:00,112.5500,112.5500,112.5500,112.5500,5300,879800,
HINDCOPPER_F2,06/01/2023,15:19:00,112.5500,112.5500,112.5500,112.5500,5300,879800,
HINDCOPPER_F2,06/01/2023,15:20:00,112.6000,112.6000,112.6000,112.6000,5300,879800,
HINDCOPPER_F2,06/01/2023,15:22:00,112.6500,112.6500,112.6500,112.6500,5300,869200,
HINDCOPPER_F2,06/01/2023,15:24:00,112.5500,112.5500,112.5500,112.5500,5300,869200,
HINDCOPPER_F2,06/01/2023,15:29:00,112.3500,112.3500,112.3500,112.3500,10600,869200,
HINDCOPPER_F2,06/02/2023,09:15:00,113.5000,113.5000,113.5000,113.5000,5301,863900,
HINDCOPPER_F2,06/02/2023,09:19:00,113.5000,113.5000,113.5000,113.5000,10600,863900,
HINDCOPPER_F2,06/02/2023,09:40:00,114.6000,114.6000,114.6000,114.6000,5300,853300,
HINDCOPPER_F2,06/02/2023,09:42:00,115.1000,115.1000,115.1000,115.1000,5300,853300,
HINDCOPPER_F2,06/02/2023,09:43:00,115.1000,115.1000,115.1000,115.1000,5300,853300,
HINDCOPPER_F2,06/02/2023,09:47:00,114.6000,114.6000,114.6000,114.6000,5300,853300,
HINDCOPPER_F2,06/02/2023,09:52:00,114.6500,114.6500,114.6500,114.6500,5300,853300,
HINDCOPPER_F2,06/02/2023,09:53:00,114.6000,114.6000,114.3000,114.3000,15900,863900,
HINDCOPPER_F2,06/02/2023,09:54:00,114.1000,114.1000,114.1000,114.1000,21200,863900,
HINDCOPPER_F2,06/02/2023,10:03:00,114.3000,114.3000,114.3000,114.3000,5300,842700,
HINDCOPPER_F2,06/02/2023,10:04:00,114.3000,114.3000,114.3000,114.3000,5300,842700,
HINDCOPPER_F2,06/02/2023,10:05:00,114.3000,114.3000,114.3000,114.3000,15900,842700,
HINDCOPPER_F2,06/02/2023,10:07:00,114.4500,114.5500,114.4500,114.5500,10600,826800,
HINDCOPPER_F2,06/02/2023,10:10:00,114.8000,114.8000,114.8000,114.8000,5300,821500,
HINDCOPPER_F2,06/02/2023,10:28:00,114.5000,114.5000,114.5000,114.5000,5300,826800,
