<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
METROPOLIS_F1,06/01/2023,09:15:00,1308.6000,1312.8500,1308.6000,1312.8500,1202,884800,
METROPOLIS_F1,06/01/2023,09:17:00,1321.8500,1321.8500,1321.8500,1321.8500,2400,884800,
METROPOLIS_F1,06/01/2023,09:18:00,1323.0500,1325.8000,1323.0500,1325.8000,6000,885200,
METROPOLIS_F1,06/01/2023,09:20:00,1329.7500,1329.7500,1327.6000,1328.0000,5200,887200,
METROPOLIS_F1,06/01/2023,09:21:00,1327.0500,1328.0000,1326.5000,1328.0000,2000,887200,
METROPOLIS_F1,06/01/2023,09:22:00,1327.0000,1328.6500,1327.0000,1328.6500,2800,887200,
METROPOLIS_F1,06/01/2023,09:23:00,1331.0000,1331.0000,1327.9500,1328.3500,7600,886400,
METROPOLIS_F1,06/01/2023,09:24:00,1328.5000,1328.7500,1328.5000,1328.7500,800,886400,
METROPOLIS_F1,06/01/2023,09:25:00,1329.0000,1330.0000,1328.2500,1330.0000,2400,886400,
METROPOLIS_F1,06/01/2023,09:26:00,1331.0000,1332.0000,1330.1500,1330.1500,2800,886400,
METROPOLIS_F1,06/01/2023,09:27:00,1332.0000,1332.0000,1331.3500,1332.0000,3200,888400,
METROPOLIS_F1,06/01/2023,09:28:00,1332.5000,1332.5000,1332.5000,1332.5000,400,888400,
METROPOLIS_F1,06/01/2023,09:29:00,1332.5000,1334.1500,1331.3000,1334.1500,3200,887200,
METROPOLIS_F1,06/01/2023,09:30:00,1334.8000,1335.0000,1334.8000,1335.0000,3200,887200,
METROPOLIS_F1,06/01/2023,09:31:00,1335.0500,1336.1000,1332.8000,1332.8000,4000,887200,
METROPOLIS_F1,06/01/2023,09:32:00,1333.0500,1333.0500,1331.5000,1331.5000,800,888000,
METROPOLIS_F1,06/01/2023,09:33:00,1328.0500,1328.0500,1326.8000,1326.8000,800,888000,
METROPOLIS_F1,06/01/2023,09:34:00,1326.8000,1327.8500,1326.8000,1327.8500,800,888000,
METROPOLIS_F1,06/01/2023,09:36:00,1329.0000,1329.0000,1325.7500,1327.0000,13200,888800,
METROPOLIS_F1,06/01/2023,09:37:00,1327.4500,1328.1500,1327.4500,1328.1500,800,888800,
METROPOLIS_F1,06/01/2023,09:38:00,1329.8000,1329.8000,1328.3000,1328.3000,1200,894800,
METROPOLIS_F1,06/01/2023,09:41:00,1329.4500,1331.5000,1329.4500,1331.5000,8000,894800,
METROPOLIS_F1,06/01/2023,09:42:00,1334.1500,1334.1500,1334.1500,1334.1500,800,889200,
METROPOLIS_F1,06/01/2023,09:43:00,1334.3500,1334.9500,1333.5000,1333.5000,1600,889200,
METROPOLIS_F1,06/01/2023,09:45:00,1329.4000,1330.2500,1329.4000,1330.2500,1200,890400,
METROPOLIS_F1,06/01/2023,09:46:00,1329.7500,1330.0000,1329.7500,1330.0000,800,890400,
METROPOLIS_F1,06/01/2023,09:47:00,1329.9000,1329.9000,1329.9000,1329.9000,400,890400,
METROPOLIS_F1,06/01/2023,09:48:00,1329.0500,1329.0500,1329.0500,1329.0500,400,890400,
METROPOLIS_F1,06/01/2023,09:49:00,1328.9500,1328.9500,1328.9500,1328.9500,400,890400,
METROPOLIS_F1,06/01/2023,09:50:00,1328.4500,1328.4500,1326.4500,1326.4500,1600,890400,
METROPOLIS_F1,06/01/2023,09:52:00,1327.0000,1328.0500,1326.1000,1326.1000,1200,890400,
METROPOLIS_F1,06/01/2023,09:53:00,1327.0000,1330.0000,1327.0000,1330.0000,5600,890800,
METROPOLIS_F1,06/01/2023,09:56:00,1331.7000,1331.7000,1331.6000,1331.6000,800,890800,
