<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
RAMCOCEM_F2,06/01/2023,09:15:00,905.0000,905.0000,905.0000,905.0000,851,148750,
RAMCOCEM_F2,06/01/2023,09:50:00,909.0000,909.0000,909.0000,909.0000,850,147900,
RAMCOCEM_F2,06/01/2023,09:54:00,909.0000,909.0000,909.0000,909.0000,3400,147900,
RAMCOCEM_F2,06/01/2023,09:56:00,909.0000,909.0000,909.0000,909.0000,1700,147900,
RAMCOCEM_F2,06/01/2023,09:57:00,909.0000,909.0000,909.0000,909.0000,2550,153000,
RAMCOCEM_F2,06/01/2023,09:58:00,911.0000,911.0000,911.0000,911.0000,850,153000,
RAMCOCEM_F2,06/01/2023,10:13:00,911.0000,911.0000,911.0000,911.0000,850,156400,
RAMCOCEM_F2,06/01/2023,10:36:00,912.2000,912.2000,912.2000,912.2000,850,157250,
RAMCOCEM_F2,06/01/2023,10:38:00,912.5000,912.5000,912.5000,912.5000,850,157250,
RAMCOCEM_F2,06/01/2023,10:39:00,912.5000,912.5000,912.5000,912.5000,850,156400,
RAMCOCEM_F2,06/01/2023,12:57:00,912.9500,912.9500,912.9500,912.9500,850,156400,
RAMCOCEM_F2,06/01/2023,13:00:00,913.0000,913.0000,913.0000,913.0000,11050,156400,
RAMCOCEM_F2,06/01/2023,13:18:00,913.0500,913.0500,913.0500,913.0500,850,161500,
RAMCOCEM_F2,06/01/2023,14:09:00,913.0500,913.0500,913.0500,913.0500,850,161500,
RAMCOCEM_F2,06/01/2023,14:39:00,906.7500,906.7500,906.7500,906.7500,850,162350,
RAMCOCEM_F2,06/01/2023,15:19:00,907.1500,907.1500,907.1500,907.1500,850,162350,
RAMCOCEM_F2,06/02/2023,09:32:00,911.0000,911.0000,911.0000,911.0000,851,162350,
RAMCOCEM_F2,06/02/2023,10:25:00,908.2000,908.2000,908.2000,908.2000,850,162350,
RAMCOCEM_F2,06/02/2023,10:34:00,908.2000,908.2000,908.2000,908.2000,850,162350,
RAMCOCEM_F2,06/02/2023,10:37:00,910.0000,910.0000,910.0000,910.0000,850,161500,
RAMCOCEM_F2,06/02/2023,10:40:00,910.3500,910.3500,910.3500,910.3500,1700,161500,
RAMCOCEM_F2,06/02/2023,10:51:00,911.0000,911.0000,911.0000,911.0000,4250,162350,
RAMCOCEM_F2,06/02/2023,10:52:00,911.0000,911.0000,911.0000,911.0000,850,162350,
RAMCOCEM_F2,06/02/2023,11:14:00,910.2000,910.2000,910.2000,910.2000,850,166600,
RAMCOCEM_F2,06/02/2023,11:26:00,909.7500,909.7500,909.7500,909.7500,850,167450,
RAMCOCEM_F2,06/02/2023,11:34:00,912.9500,912.9500,912.9500,912.9500,7650,166600,
RAMCOCEM_F2,06/02/2023,11:39:00,912.9500,912.9500,912.9500,912.9500,3400,170000,
RAMCOCEM_F2,06/02/2023,11:40:00,911.0000,911.0000,911.0000,911.0000,850,170000,
RAMCOCEM_F2,06/02/2023,12:07:00,912.0000,912.0000,912.0000,912.0000,3400,171700,
RAMCOCEM_F2,06/02/2023,12:09:00,912.0000,912.0000,912.0000,912.0000,1700,174250,
RAMCOCEM_F2,06/02/2023,12:11:00,914.0000,914.0000,914.0000,914.0000,2550,174250,
RAMCOCEM_F2,06/02/2023,13:16:00,914.0000,914.0000,914.0000,914.0000,10200,175950,
RAMCOCEM_F2,06/02/2023,13:20:00,912.0000,912.0000,912.0000,912.0000,1700,183600,
RAMCOCEM_F2,06/02/2023,13:53:00,912.0000,912.0000,912.0000,912.0000,5950,183600,
RAMCOCEM_F2,06/02/2023,14:00:00,912.0000,912.0000,912.0000,912.0000,850,183600,
RAMCOCEM_F2,06/02/2023,15:09:00,914.0000,914.0000,914.0000,914.0000,5100,183600,
RAMCOCEM_F2,06/02/2023,15:12:00,914.6500,914.6500,914.6500,914.6500,3400,183600,
RAMCOCEM_F2,06/02/2023,15:22:00,914.6500,914.6500,914.6500,914.6500,850,185300,
RAMCOCEM_F2,06/02/2023,15:24:00,913.2500,913.2500,913.2500,913.2500,850,186150,
RAMCOCEM_F2,06/02/2023,15:27:00,914.0000,914.0000,914.0000,914.0000,1700,186150,
RAMCOCEM_F2,06/05/2023,09:15:00,914.0000,914.0000,914.0000,914.0000,2550,186150,
RAMCOCEM_F2,06/05/2023,09:16:00,914.0000,914.0000,914.0000,914.0000,850,186150,
RAMCOCEM_F2,06/05/2023,09:18:00,918.0000,918.0000,918.0000,918.0000,850,187850,
RAMCOCEM_F2,06/05/2023,09:20:00,918.0500,918.0500,918.0500,918.0500,850,187850,
RAMCOCEM_F2,06/05/2023,09:24:00,918.0500,918.0500,918.0500,918.0500,850,187850,
RAMCOCEM_F2,06/05/2023,09:32:00,910.9500,910.9500,910.9500,910.9500,1700,187850,
RAMCOCEM_F2,06/05/2023,09:35:00,910.0000,910.0000,910.0000,910.0000,850,187000,
RAMCOCEM_F2,06/05/2023,09:54:00,916.3000,916.3000,916.3000,916.3000,850,187000,
RAMCOCEM_F2,06/05/2023,10:06:00,916.3000,916.3000,916.3000,916.3000,850,187000,
RAMCOCEM_F2,06/05/2023,10:09:00,917.6500,917.6500,917.6500,917.6500,850,187000,
RAMCOCEM_F2,06/05/2023,11:29:00,914.0000,914.0000,914.0000,914.0000,850,187850,
RAMCOCEM_F2,06/05/2023,11:31:00,915.0000,915.0000,915.0000,915.0000,10200,187000,
