<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
SUNTV_F2,06/01/2023,09:18:00,455.0000,455.0000,455.0000,455.0000,1501,103500,
SUNTV_F2,06/01/2023,09:21:00,452.6000,452.6000,452.6000,452.6000,1500,102000,
SUNTV_F2,06/01/2023,09:22:00,452.6000,452.6000,452.6000,452.6000,1500,102000,
SUNTV_F2,06/01/2023,09:23:00,452.6000,453.4000,452.6000,453.4000,3000,102000,
SUNTV_F2,06/01/2023,09:24:00,454.3000,454.3000,454.3000,454.3000,3000,102000,
SUNTV_F2,06/01/2023,09:29:00,456.6000,456.6000,456.6000,456.6000,1500,99000,
SUNTV_F2,06/01/2023,09:31:00,456.6000,456.6000,454.8500,454.8500,3000,100500,
SUNTV_F2,06/01/2023,09:34:00,457.4000,457.4000,457.4000,457.4000,1500,99000,
SUNTV_F2,06/01/2023,09:38:00,457.4000,457.4000,457.4000,457.4000,1500,97500,
SUNTV_F2,06/01/2023,09:39:00,456.4000,456.4000,456.4000,456.4000,1500,96000,
SUNTV_F2,06/01/2023,09:42:00,456.8000,456.8000,456.8000,456.8000,1500,96000,
SUNTV_F2,06/01/2023,09:43:00,458.0000,458.0000,458.0000,458.0000,1500,96000,
SUNTV_F2,06/01/2023,09:44:00,458.2000,458.2000,458.2000,458.2000,6000,96000,
SUNTV_F2,06/01/2023,10:10:00,457.0000,457.0000,457.0000,457.0000,10500,96000,
SUNTV_F2,06/01/2023,10:14:00,457.0000,457.0000,457.0000,457.0000,10500,87000,
SUNTV_F2,06/01/2023,10:16:00,457.0000,457.0000,457.0000,457.0000,6000,81000,
SUNTV_F2,06/01/2023,10:23:00,457.0000,457.0000,457.0000,457.0000,1500,78000,
SUNTV_F2,06/01/2023,10:25:00,457.0000,457.0000,457.0000,457.0000,1500,78000,
SUNTV_F2,06/01/2023,10:41:00,455.0000,455.0000,455.0000,455.0000,1500,76500,
SUNTV_F2,06/01/2023,10:42:00,456.3000,456.3000,456.3000,456.3000,1500,76500,
SUNTV_F2,06/01/2023,10:49:00,455.0500,455.0500,455.0500,455.0500,1500,76500,
SUNTV_F2,06/01/2023,10:50:00,455.7000,455.7000,455.7000,455.7000,4500,76500,
SUNTV_F2,06/01/2023,11:59:00,454.3000,454.3000,454.3000,454.3000,1500,81000,
SUNTV_F2,06/01/2023,14:38:00,456.8000,456.8000,456.8000,456.8000,1500,79500,
SUNTV_F2,06/01/2023,15:00:00,457.3000,457.3000,457.3000,457.3000,1500,81000,
SUNTV_F2,06/01/2023,15:12:00,458.0000,458.0000,458.0000,458.0000,3000,81000,
SUNTV_F2,06/01/2023,15:13:00,458.5500,458.5500,458.5500,458.5500,1500,81000,
