<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BHEL_F2,03/02/2022,09:15:00,49.50,49.75,49.35,49.75,31502,4935000
BHEL_F2,03/02/2022,09:16:00,50.05,50.05,50.05,50.05,21000,4935000
BHEL_F2,03/02/2022,09:17:00,50.05,50.20,50.05,50.20,157500,4935000
BHEL_F2,03/02/2022,09:18:00,50.25,50.25,50.25,50.25,10500,4935000
BHEL_F2,03/02/2022,09:19:00,50.40,50.40,50.40,50.40,21000,4935000
BHEL_F2,03/02/2022,09:22:00,50.55,50.60,50.55,50.60,105000,4977000
BHEL_F2,03/02/2022,09:23:00,50.60,50.60,50.60,50.60,10500,4977000
BHEL_F2,03/02/2022,09:24:00,50.70,50.70,50.70,50.70,10500,4882500
BHEL_F2,03/02/2022,09:25:00,50.70,50.70,50.70,50.70,10500,4882500
BHEL_F2,03/02/2022,09:26:00,50.65,50.65,50.60,50.60,31500,4872000
BHEL_F2,03/02/2022,09:30:00,50.50,50.50,50.50,50.50,10500,4861500
BHEL_F2,03/02/2022,09:35:00,50.55,50.55,50.55,50.55,21000,4861500
BHEL_F2,03/02/2022,09:36:00,50.70,50.80,50.70,50.80,21000,4861500
BHEL_F2,03/02/2022,09:39:00,50.90,50.90,50.90,50.90,10500,4851000
BHEL_F2,03/02/2022,09:43:00,50.90,50.90,50.90,50.90,10500,4861500
BHEL_F2,03/02/2022,09:45:00,50.90,50.90,50.90,50.90,10500,4861500
BHEL_F2,03/02/2022,09:46:00,51.20,51.20,51.20,51.20,94500,4861500
BHEL_F2,03/02/2022,09:47:00,51.20,51.20,51.20,51.20,21000,4861500
BHEL_F2,03/02/2022,09:48:00,50.90,50.95,50.60,50.60,52500,4861500
BHEL_F2,03/02/2022,09:50:00,50.60,50.60,50.60,50.60,10500,4861500
BHEL_F2,03/02/2022,10:01:00,50.40,50.40,50.40,50.40,10500,4935000
BHEL_F2,03/02/2022,10:08:00,50.75,50.75,50.75,50.75,10500,4935000
BHEL_F2,03/02/2022,10:29:00,50.90,50.90,50.90,50.90,10500,4945500
BHEL_F2,03/02/2022,10:32:00,50.90,50.90,50.90,50.90,10500,4945500
BHEL_F2,03/02/2022,10:45:00,50.85,50.85,50.85,50.85,10500,4935000
BHEL_F2,03/02/2022,10:54:00,51.10,51.10,51.10,51.10,10500,4935000
BHEL_F2,03/02/2022,10:59:00,51.05,51.05,51.05,51.05,21000,4935000
BHEL_F2,03/02/2022,11:04:00,51.05,51.05,51.05,51.05,10500,4956000
BHEL_F2,03/02/2022,11:08:00,51.00,51.00,51.00,51.00,10500,4956000
BHEL_F2,03/02/2022,11:17:00,51.10,51.10,51.10,51.10,10500,4945500
BHEL_F2,03/02/2022,11:26:00,51.30,51.30,51.30,51.30,10500,4956000
BHEL_F2,03/02/2022,12:07:00,51.30,51.30,51.30,51.30,10500,4956000
BHEL_F2,03/02/2022,12:11:00,50.55,50.55,50.55,50.55,10500,4945500
BHEL_F2,03/02/2022,12:18:00,50.55,50.55,50.55,50.55,10500,4945500
BHEL_F2,03/02/2022,12:35:00,50.30,50.30,50.30,50.30,21000,4956000
BHEL_F2,03/02/2022,12:37:00,50.25,50.25,50.25,50.25,21000,4945500
BHEL_F2,03/02/2022,12:38:00,50.15,50.15,50.15,50.15,10500,4945500
BHEL_F2,03/02/2022,12:40:00,50.25,50.25,50.25,50.25,21000,4935000
BHEL_F2,03/02/2022,12:41:00,50.00,50.00,50.00,50.00,84000,4935000
BHEL_F2,03/02/2022,12:42:00,50.25,50.25,50.25,50.25,10500,4935000
BHEL_F2,03/02/2022,12:54:00,50.10,50.10,50.10,50.10,10500,4935000
BHEL_F2,03/02/2022,12:56:00,50.05,50.05,50.05,50.05,10500,4935000
BHEL_F2,03/02/2022,12:59:00,50.35,50.35,50.35,50.35,10500,4935000
BHEL_F2,03/02/2022,13:01:00,50.35,50.35,50.35,50.35,10500,4945500
BHEL_F2,03/02/2022,13:06:00,50.40,50.40,50.40,50.40,10500,4956000
BHEL_F2,03/02/2022,13:07:00,50.45,50.45,50.45,50.45,10500,4956000
BHEL_F2,03/02/2022,13:16:00,50.30,50.30,50.30,50.30,31500,4956000
BHEL_F2,03/02/2022,13:17:00,50.30,50.30,50.30,50.30,10500,4956000
BHEL_F2,03/02/2022,13:18:00,50.40,50.40,50.40,50.40,10500,4914000
