<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
CANFINHOME_F2,03/02/2022,09:37:00,580.00,580.00,580.00,580.00,976,40950
CANFINHOME_F2,03/02/2022,10:12:00,577.00,577.00,577.00,577.00,1950,40950
CANFINHOME_F2,03/02/2022,10:15:00,576.50,576.50,576.50,576.50,9750,39975
CANFINHOME_F2,03/02/2022,11:35:00,575.00,575.00,575.00,575.00,1950,39975
CANFINHOME_F2,03/02/2022,11:38:00,571.05,571.05,571.05,571.05,975,39975
CANFINHOME_F2,03/02/2022,12:23:00,570.00,570.00,570.00,570.00,975,42900
CANFINHOME_F2,03/02/2022,12:33:00,568.00,568.00,568.00,568.00,1950,43875
CANFINHOME_F2,03/02/2022,13:41:00,564.95,564.95,564.95,564.95,975,44850
CANFINHOME_F2,03/02/2022,13:49:00,564.95,564.95,564.95,564.95,975,44850
CANFINHOME_F2,03/02/2022,15:13:00,576.90,576.90,576.90,576.90,975,44850
CANFINHOME_F2,03/02/2022,15:18:00,576.90,576.90,576.90,576.90,975,43875
CANFINHOME_F2,03/03/2022,09:15:00,576.90,576.90,576.90,576.90,1950,43875
CANFINHOME_F2,03/03/2022,09:24:00,576.90,576.90,576.90,576.90,975,44850
CANFINHOME_F2,03/03/2022,10:14:00,578.00,578.00,578.00,578.00,1950,43875
CANFINHOME_F2,03/03/2022,11:25:00,578.00,578.00,578.00,578.00,975,43875
CANFINHOME_F2,03/03/2022,12:20:00,578.00,578.00,578.00,578.00,975,43875
CANFINHOME_F2,03/03/2022,12:27:00,567.90,568.05,567.90,568.05,5850,43875
CANFINHOME_F2,03/03/2022,12:53:00,571.50,571.50,571.50,571.50,975,41925
CANFINHOME_F2,03/03/2022,13:21:00,567.00,567.00,567.00,567.00,975,41925
CANFINHOME_F2,03/03/2022,14:15:00,566.00,566.00,566.00,566.00,975,42900
CANFINHOME_F2,03/03/2022,15:28:00,564.75,564.75,564.75,564.75,975,42900
CANFINHOME_F2,03/04/2022,09:21:00,558.45,558.45,558.25,558.25,2927,43875
CANFINHOME_F2,03/04/2022,09:39:00,553.00,553.00,553.00,553.00,975,43875
CANFINHOME_F2,03/04/2022,10:15:00,553.00,553.00,553.00,553.00,975,44850
CANFINHOME_F2,03/04/2022,10:27:00,553.00,553.00,553.00,553.00,975,44850
CANFINHOME_F2,03/04/2022,10:32:00,553.00,553.00,553.00,553.00,975,44850
CANFINHOME_F2,03/04/2022,10:37:00,553.35,553.35,553.35,553.35,1950,45825
CANFINHOME_F2,03/04/2022,10:40:00,550.00,550.00,550.00,550.00,975,46800
CANFINHOME_F2,03/04/2022,10:53:00,550.00,550.00,550.00,550.00,975,46800
CANFINHOME_F2,03/04/2022,11:02:00,550.00,550.00,550.00,550.00,975,46800
CANFINHOME_F2,03/04/2022,12:02:00,553.25,553.25,553.25,553.25,975,47775
CANFINHOME_F2,03/04/2022,12:20:00,555.40,555.40,555.40,555.40,2925,46800
