<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
MCX_F1,03/02/2022,09:15:00,1267.95,1279.15,1259.80,1279.15,7701,1890700
MCX_F1,03/02/2022,09:16:00,1295.80,1295.80,1288.25,1288.25,31500,1890700
MCX_F1,03/02/2022,09:17:00,1289.90,1297.95,1289.90,1297.95,12600,1890700
MCX_F1,03/02/2022,09:18:00,1300.00,1307.90,1294.30,1307.90,29050,1890700
MCX_F1,03/02/2022,09:19:00,1307.90,1311.50,1303.15,1311.50,13300,1890700
MCX_F1,03/02/2022,09:20:00,1314.40,1319.95,1310.65,1314.90,20300,1888950
MCX_F1,03/02/2022,09:21:00,1314.95,1331.95,1313.70,1325.25,28350,1888950
MCX_F1,03/02/2022,09:22:00,1326.00,1330.25,1320.20,1321.00,14350,1888950
MCX_F1,03/02/2022,09:23:00,1324.10,1328.70,1320.55,1327.95,9100,1856050
MCX_F1,03/02/2022,09:24:00,1328.00,1339.25,1323.85,1339.25,37450,1856050
MCX_F1,03/02/2022,09:25:00,1339.25,1339.25,1330.85,1332.90,6650,1856050
MCX_F1,03/02/2022,09:26:00,1330.85,1335.90,1329.50,1329.50,20300,1874950
MCX_F1,03/02/2022,09:27:00,1333.95,1333.95,1329.45,1329.45,6650,1874950
MCX_F1,03/02/2022,09:28:00,1328.00,1335.95,1325.15,1330.50,12600,1874950
MCX_F1,03/02/2022,09:29:00,1335.00,1335.00,1332.80,1332.95,2100,1846250
MCX_F1,03/02/2022,09:30:00,1335.45,1335.45,1328.65,1329.00,7350,1846250
MCX_F1,03/02/2022,09:31:00,1329.90,1330.20,1329.90,1330.20,1400,1846250
MCX_F1,03/02/2022,09:32:00,1329.50,1330.00,1328.10,1330.00,1750,1845200
MCX_F1,03/02/2022,09:33:00,1328.05,1328.15,1326.80,1327.90,5950,1845200
MCX_F1,03/02/2022,09:34:00,1327.90,1329.00,1327.90,1329.00,1050,1845200
MCX_F1,03/02/2022,09:35:00,1328.25,1330.00,1326.40,1327.30,2450,1825600
MCX_F1,03/02/2022,09:36:00,1329.55,1329.55,1327.00,1327.00,1750,1825600
MCX_F1,03/02/2022,09:37:00,1327.95,1341.10,1327.00,1341.10,16450,1825600
MCX_F1,03/02/2022,09:38:00,1343.40,1361.95,1343.40,1361.95,68250,1838900
MCX_F1,03/02/2022,09:39:00,1358.00,1359.85,1355.95,1359.45,15400,1838900
MCX_F1,03/02/2022,09:40:00,1359.45,1359.45,1353.60,1357.40,12250,1838900
MCX_F1,03/02/2022,09:41:00,1356.35,1356.35,1350.00,1352.20,12950,1846600
MCX_F1,03/02/2022,09:42:00,1352.35,1354.00,1348.30,1349.95,10850,1846600
MCX_F1,03/02/2022,09:43:00,1349.85,1355.90,1349.85,1355.75,12250,1846600
MCX_F1,03/02/2022,09:44:00,1355.00,1356.50,1349.10,1349.10,16100,1849050
MCX_F1,03/02/2022,09:45:00,1347.25,1353.30,1346.00,1352.90,18200,1849050
MCX_F1,03/02/2022,09:46:00,1352.40,1357.45,1352.40,1355.00,11550,1849050
MCX_F1,03/02/2022,09:47:00,1355.00,1355.00,1354.75,1355.00,1750,1849050
MCX_F1,03/02/2022,09:48:00,1354.40,1354.95,1351.45,1352.00,3850,1815100
MCX_F1,03/02/2022,09:49:00,1351.00,1355.95,1351.00,1355.30,3500,1815100
MCX_F1,03/02/2022,09:50:00,1355.25,1357.95,1354.00,1357.95,6650,1814750
MCX_F1,03/02/2022,09:51:00,1357.85,1367.90,1357.00,1367.90,16800,1814750
MCX_F1,03/02/2022,09:52:00,1367.90,1367.90,1361.00,1363.15,10500,1814750
MCX_F1,03/02/2022,09:53:00,1360.20,1365.00,1357.75,1365.00,9450,1803900
MCX_F1,03/02/2022,09:54:00,1365.00,1376.75,1364.70,1375.70,25900,1803900
MCX_F1,03/02/2022,09:55:00,1375.95,1375.95,1368.00,1370.00,25200,1803900
MCX_F1,03/02/2022,09:56:00,1369.00,1374.60,1366.65,1372.00,12600,1785000
MCX_F1,03/02/2022,09:57:00,1372.90,1373.55,1369.95,1371.95,19950,1785000
MCX_F1,03/02/2022,09:58:00,1371.15,1384.70,1371.15,1384.70,32550,1785000
MCX_F1,03/02/2022,09:59:00,1384.60,1384.95,1378.95,1380.50,30450,1794450
MCX_F1,03/02/2022,10:00:00,1381.50,1383.85,1373.85,1383.85,25900,1794450
MCX_F1,03/02/2022,10:01:00,1381.60,1386.20,1379.65,1382.55,37800,1794450
MCX_F1,03/02/2022,10:02:00,1384.35,1387.00,1380.00,1380.95,24150,1808450
MCX_F1,03/02/2022,10:03:00,1380.85,1383.50,1378.05,1381.95,16450,1808450
MCX_F1,03/02/2022,10:04:00,1381.00,1381.45,1378.05,1379.95,9450,1808450
MCX_F1,03/02/2022,10:05:00,1380.20,1382.00,1377.55,1377.55,4900,1786400
MCX_F1,03/02/2022,10:06:00,1378.00,1379.15,1375.80,1378.30,10500,1786400
MCX_F1,03/02/2022,10:07:00,1379.80,1383.00,1379.35,1379.35,6300,1786400
MCX_F1,03/02/2022,10:08:00,1383.00,1383.00,1381.00,1382.00,1400,1786400
MCX_F1,03/02/2022,10:09:00,1379.05,1380.95,1379.00,1380.95,2800,1788150
MCX_F1,03/02/2022,10:10:00,1380.65,1380.65,1378.45,1379.00,2100,1788150
MCX_F1,03/02/2022,10:11:00,1379.05,1381.80,1379.05,1380.00,1050,1761900
MCX_F1,03/02/2022,10:12:00,1380.00,1380.05,1379.90,1380.05,1050,1761900
MCX_F1,03/02/2022,10:13:00,1380.00,1380.00,1377.35,1377.50,5950,1761900
MCX_F1,03/02/2022,10:14:00,1378.05,1391.75,1378.05,1391.75,22050,1760500
MCX_F1,03/02/2022,10:15:00,1391.75,1393.00,1388.05,1390.65,12950,1760500
MCX_F1,03/02/2022,10:16:00,1390.95,1391.85,1389.00,1390.05,3500,1760500
MCX_F1,03/02/2022,10:17:00,1390.00,1391.95,1388.00,1391.95,13650,1758750
MCX_F1,03/02/2022,10:18:00,1390.80,1399.95,1390.80,1398.20,57050,1758750
MCX_F1,03/02/2022,10:19:00,1400.00,1400.50,1395.00,1395.55,13650,1758750
MCX_F1,03/02/2022,10:20:00,1397.15,1397.30,1386.90,1386.90,12950,1778350
MCX_F1,03/02/2022,10:21:00,1387.00,1387.70,1385.05,1387.25,7000,1778350
MCX_F1,03/02/2022,10:22:00,1385.10,1386.50,1385.10,1386.50,3500,1778350
MCX_F1,03/02/2022,10:23:00,1386.65,1391.40,1386.10,1391.40,7000,1779050
MCX_F1,03/02/2022,10:24:00,1391.15,1391.15,1387.00,1387.00,3850,1779050
MCX_F1,03/02/2022,10:25:00,1385.00,1386.05,1382.55,1385.00,9100,1779050
MCX_F1,03/02/2022,10:26:00,1384.05,1384.05,1384.00,1384.00,700,1779050
MCX_F1,03/02/2022,10:27:00,1383.00,1388.20,1382.30,1388.20,4200,1776250
MCX_F1,03/02/2022,10:28:00,1388.10,1388.10,1385.55,1385.55,1050,1776250
MCX_F1,03/02/2022,10:29:00,1387.35,1387.35,1381.05,1383.70,10850,1779400
MCX_F1,03/02/2022,10:30:00,1383.50,1384.30,1382.55,1382.60,2450,1779400
MCX_F1,03/02/2022,10:31:00,1381.90,1383.65,1381.90,1383.65,1400,1779400
MCX_F1,03/02/2022,10:32:00,1382.55,1383.15,1382.50,1382.50,2100,1779400
MCX_F1,03/02/2022,10:33:00,1382.30,1382.70,1382.00,1382.00,2450,1778000
MCX_F1,03/02/2022,10:34:00,1383.00,1384.10,1383.00,1383.10,2450,1778000
MCX_F1,03/02/2022,10:35:00,1383.00,1383.00,1383.00,1383.00,350,1776600
MCX_F1,03/02/2022,10:36:00,1382.95,1382.95,1382.00,1382.00,1750,1776600
MCX_F1,03/02/2022,10:37:00,1382.00,1382.00,1378.70,1378.70,3500,1776600
MCX_F1,03/02/2022,10:38:00,1379.10,1379.10,1378.65,1378.65,1050,1776600
MCX_F1,03/02/2022,10:39:00,1377.10,1378.00,1377.10,1378.00,1750,1774150
MCX_F1,03/02/2022,10:40:00,1378.40,1378.40,1375.55,1375.60,5600,1774150
MCX_F1,03/02/2022,10:41:00,1376.55,1379.00,1376.25,1378.30,3500,1768550
MCX_F1,03/02/2022,10:42:00,1377.60,1377.60,1376.80,1377.20,2100,1768550
MCX_F1,03/02/2022,10:43:00,1376.75,1376.75,1376.00,1376.05,2450,1768550
MCX_F1,03/02/2022,10:45:00,1375.55,1375.75,1374.25,1375.75,3500,1768550
MCX_F1,03/02/2022,10:46:00,1374.60,1377.50,1374.60,1377.50,3500,1768550
MCX_F1,03/02/2022,10:47:00,1376.50,1376.65,1374.45,1374.85,2800,1768550
MCX_F1,03/02/2022,10:48:00,1374.00,1374.00,1372.90,1373.00,3500,1768900
MCX_F1,03/02/2022,10:49:00,1372.05,1372.05,1370.15,1371.60,3850,1768900
MCX_F1,03/02/2022,10:51:00,1373.15,1373.15,1372.25,1372.60,1400,1768550
MCX_F1,03/02/2022,10:52:00,1372.30,1372.90,1372.25,1372.25,1750,1768550
MCX_F1,03/02/2022,10:53:00,1373.00,1373.00,1373.00,1373.00,700,1769250
MCX_F1,03/02/2022,10:54:00,1372.00,1373.45,1372.00,1373.45,1050,1769250
MCX_F1,03/02/2022,10:55:00,1374.45,1374.45,1373.00,1373.00,2450,1769250
MCX_F1,03/02/2022,10:56:00,1372.75,1372.75,1371.15,1372.45,2800,1768900
MCX_F1,03/02/2022,10:57:00,1371.00,1371.00,1369.85,1369.85,3150,1768900
MCX_F1,03/02/2022,10:58:00,1371.00,1375.65,1371.00,1375.65,3500,1768900
MCX_F1,03/02/2022,10:59:00,1376.95,1377.15,1371.75,1373.50,9100,1772400
MCX_F1,03/02/2022,11:00:00,1373.45,1373.45,1372.00,1372.40,2450,1772400
