<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
METROPOLIS_F2,03/02/2022,09:58:00,1949.00,1949.00,1949.00,1949.00,201,19200
METROPOLIS_F2,03/02/2022,11:19:00,1941.70,1941.70,1941.70,1941.70,200,19000
METROPOLIS_F2,03/02/2022,11:59:00,1933.95,1933.95,1933.95,1933.95,200,19200
METROPOLIS_F2,03/02/2022,12:06:00,1933.95,1933.95,1933.95,1933.95,200,19200
METROPOLIS_F2,03/02/2022,12:16:00,1950.15,1950.15,1950.15,1950.15,200,19200
METROPOLIS_F2,03/02/2022,12:54:00,1944.70,1944.70,1944.70,1944.70,200,19400
METROPOLIS_F2,03/02/2022,13:19:00,1951.20,1951.20,1951.20,1951.20,200,19400
METROPOLIS_F2,03/02/2022,13:34:00,1951.20,1951.20,1951.20,1951.20,200,19400
METROPOLIS_F2,03/02/2022,13:53:00,1991.00,1991.00,1991.00,1991.00,200,19200
METROPOLIS_F2,03/02/2022,13:54:00,1991.00,1991.00,1991.00,1991.00,200,19200
METROPOLIS_F2,03/02/2022,15:03:00,1961.00,1961.00,1955.00,1955.00,400,19400
METROPOLIS_F2,03/02/2022,15:15:00,1959.90,1959.90,1959.90,1959.90,200,19600
METROPOLIS_F2,03/02/2022,15:16:00,1960.65,1960.65,1960.65,1960.65,200,19600
METROPOLIS_F2,03/02/2022,15:23:00,1955.90,1955.90,1955.90,1955.90,200,19400
METROPOLIS_F2,03/03/2022,09:25:00,1964.95,1965.00,1964.95,1965.00,402,19400
METROPOLIS_F2,03/03/2022,10:02:00,1958.75,1958.75,1958.75,1958.75,200,19200
METROPOLIS_F2,03/03/2022,10:33:00,1958.75,1958.75,1958.75,1958.75,200,19200
METROPOLIS_F2,03/03/2022,10:35:00,1961.30,1961.30,1961.30,1961.30,200,19200
METROPOLIS_F2,03/03/2022,10:39:00,1968.55,1968.55,1968.55,1968.55,200,19200
METROPOLIS_F2,03/03/2022,10:47:00,1970.00,1970.00,1970.00,1970.00,200,19000
METROPOLIS_F2,03/03/2022,11:10:00,1996.05,1996.05,1996.05,1996.05,200,19000
METROPOLIS_F2,03/03/2022,11:16:00,2000.10,2000.10,2000.10,2000.10,400,18800
METROPOLIS_F2,03/03/2022,11:17:00,2000.10,2000.10,2000.10,2000.10,200,18800
METROPOLIS_F2,03/03/2022,11:37:00,1981.10,1981.10,1981.10,1981.10,200,19400
METROPOLIS_F2,03/03/2022,11:43:00,1985.65,1985.65,1985.65,1985.65,200,19400
METROPOLIS_F2,03/03/2022,11:55:00,1972.00,1972.00,1972.00,1972.00,200,19400
METROPOLIS_F2,03/03/2022,12:21:00,1972.00,1972.00,1972.00,1972.00,400,19600
METROPOLIS_F2,03/03/2022,12:45:00,1958.75,1958.75,1958.75,1958.75,200,20000
METROPOLIS_F2,03/03/2022,15:06:00,1960.00,1960.00,1960.00,1960.00,200,20200
METROPOLIS_F2,03/03/2022,15:22:00,1962.50,1962.50,1962.50,1962.50,200,20400
METROPOLIS_F2,03/03/2022,15:29:00,1954.95,1954.95,1954.95,1954.95,200,20400
METROPOLIS_F2,03/04/2022,09:26:00,1918.70,1918.70,1918.70,1918.70,201,20400
METROPOLIS_F2,03/04/2022,09:36:00,1921.05,1921.05,1921.05,1921.05,200,20400
METROPOLIS_F2,03/04/2022,09:51:00,1921.05,1921.05,1921.05,1921.05,200,20400
METROPOLIS_F2,03/04/2022,10:01:00,1900.45,1900.45,1900.45,1900.45,200,20400
METROPOLIS_F2,03/04/2022,10:02:00,1906.20,1906.20,1906.20,1906.20,400,20400
METROPOLIS_F2,03/04/2022,10:03:00,1900.00,1900.00,1900.00,1900.00,400,21000
METROPOLIS_F2,03/04/2022,10:04:00,1895.00,1895.00,1895.00,1895.00,200,21000
METROPOLIS_F2,03/04/2022,10:09:00,1895.00,1895.00,1895.00,1895.00,200,21400
METROPOLIS_F2,03/04/2022,10:25:00,1881.95,1881.95,1881.95,1881.95,200,21400
METROPOLIS_F2,03/04/2022,10:38:00,1871.45,1871.45,1871.45,1871.45,400,21400
METROPOLIS_F2,03/04/2022,10:40:00,1871.55,1871.55,1871.55,1871.55,200,21400
METROPOLIS_F2,03/04/2022,10:42:00,1871.55,1871.55,1871.55,1871.55,200,22000
METROPOLIS_F2,03/04/2022,10:44:00,1866.45,1866.45,1866.45,1866.45,400,22000
METROPOLIS_F2,03/04/2022,10:59:00,1866.45,1866.45,1866.45,1866.45,200,22400
METROPOLIS_F2,03/04/2022,11:07:00,1869.35,1869.35,1869.35,1869.35,200,22600
METROPOLIS_F2,03/04/2022,11:11:00,1865.45,1865.45,1865.45,1865.45,200,22800
METROPOLIS_F2,03/04/2022,11:38:00,1865.45,1865.45,1865.45,1865.45,200,23000
METROPOLIS_F2,03/04/2022,12:00:00,1910.85,1910.85,1910.85,1910.85,200,23200
METROPOLIS_F2,03/04/2022,12:12:00,1913.85,1913.85,1913.85,1913.85,200,23400
METROPOLIS_F2,03/04/2022,12:23:00,1906.05,1906.05,1906.05,1906.05,200,23600
METROPOLIS_F2,03/04/2022,12:32:00,1916.95,1916.95,1916.95,1916.95,200,23800
METROPOLIS_F2,03/04/2022,12:39:00,1916.95,1921.35,1916.95,1921.35,1400,24000
METROPOLIS_F2,03/04/2022,12:41:00,1921.35,1921.35,1921.35,1921.35,600,24000
METROPOLIS_F2,03/04/2022,12:45:00,1916.45,1916.45,1916.45,1916.45,200,24800
METROPOLIS_F2,03/04/2022,12:46:00,1918.00,1918.00,1918.00,1918.00,200,24800
METROPOLIS_F2,03/04/2022,12:48:00,1918.00,1918.00,1918.00,1918.00,200,24800
METROPOLIS_F2,03/04/2022,12:51:00,1921.65,1921.65,1921.65,1921.65,200,24800
METROPOLIS_F2,03/04/2022,13:04:00,1932.35,1932.35,1932.35,1932.35,600,24800
METROPOLIS_F2,03/04/2022,13:27:00,1929.25,1929.25,1929.25,1929.25,200,24600
METROPOLIS_F2,03/04/2022,14:42:00,1920.00,1920.00,1920.00,1920.00,400,24800
METROPOLIS_F2,03/04/2022,15:00:00,1917.10,1917.10,1917.10,1917.10,200,25200
METROPOLIS_F2,03/04/2022,15:13:00,1896.75,1896.75,1896.75,1896.75,200,25000
METROPOLIS_F2,03/04/2022,15:15:00,1895.95,1895.95,1895.95,1895.95,200,25000
METROPOLIS_F2,03/04/2022,15:25:00,1885.10,1885.10,1885.10,1885.10,200,24800
METROPOLIS_F2,03/04/2022,15:29:00,1883.85,1883.85,1883.85,1883.85,200,25000
METROPOLIS_F2,03/07/2022,09:19:00,1820.00,1835.75,1820.00,1835.75,601,22400
METROPOLIS_F2,03/07/2022,09:32:00,1835.75,1835.75,1835.75,1835.75,400,22800
METROPOLIS_F2,03/07/2022,15:08:00,1847.45,1847.45,1847.45,1847.45,200,23200
METROPOLIS_F2,03/07/2022,15:12:00,1873.40,1873.40,1873.40,1873.40,200,23200
METROPOLIS_F2,03/07/2022,15:14:00,1877.70,1877.70,1877.70,1877.70,200,23200
METROPOLIS_F2,03/08/2022,10:03:00,1891.10,1891.10,1891.10,1891.10,201,23200
METROPOLIS_F2,03/08/2022,10:15:00,1903.95,1903.95,1903.95,1903.95,200,23400
METROPOLIS_F2,03/08/2022,10:19:00,1903.95,1903.95,1903.95,1903.95,200,23400
METROPOLIS_F2,03/08/2022,10:20:00,1903.95,1903.95,1898.75,1898.75,400,23200
METROPOLIS_F2,03/08/2022,10:31:00,1903.95,1903.95,1903.95,1903.95,800,23000
METROPOLIS_F2,03/08/2022,11:40:00,1888.85,1888.85,1888.85,1888.85,400,22400
METROPOLIS_F2,03/08/2022,11:50:00,1888.85,1888.85,1888.85,1888.85,200,22400
METROPOLIS_F2,03/08/2022,13:02:00,1891.10,1891.10,1891.10,1891.10,200,22200
METROPOLIS_F2,03/08/2022,14:35:00,1899.55,1899.55,1899.55,1899.55,200,22000
METROPOLIS_F2,03/08/2022,14:54:00,1910.00,1910.00,1910.00,1910.00,400,22000
METROPOLIS_F2,03/08/2022,14:59:00,1910.00,1910.00,1910.00,1910.00,200,22200
METROPOLIS_F2,03/08/2022,15:00:00,1910.00,1910.00,1910.00,1910.00,200,22200
METROPOLIS_F2,03/08/2022,15:24:00,1893.75,1893.75,1893.75,1893.75,200,22000
METROPOLIS_F2,03/08/2022,15:25:00,1892.60,1892.60,1892.60,1892.60,400,22200
METROPOLIS_F2,03/09/2022,09:17:00,1889.00,1889.00,1889.00,1889.00,201,22000
METROPOLIS_F2,03/09/2022,09:27:00,1926.40,1926.40,1926.40,1926.40,200,21800
METROPOLIS_F2,03/09/2022,11:08:00,1926.40,1926.40,1926.40,1926.40,200,21800
METROPOLIS_F2,03/09/2022,11:16:00,1926.40,1926.40,1926.40,1926.40,200,21800
METROPOLIS_F2,03/09/2022,11:32:00,1934.70,1934.70,1934.70,1934.70,200,22000
METROPOLIS_F2,03/09/2022,12:21:00,1939.50,1940.00,1939.50,1940.00,600,22000
METROPOLIS_F2,03/09/2022,12:29:00,1940.00,1940.00,1940.00,1940.00,800,22600
METROPOLIS_F2,03/09/2022,12:30:00,1938.35,1938.35,1938.35,1938.35,200,22600
METROPOLIS_F2,03/09/2022,12:31:00,1940.00,1940.00,1940.00,1940.00,200,23200
METROPOLIS_F2,03/09/2022,12:38:00,1933.10,1933.10,1933.10,1933.10,800,23400
METROPOLIS_F2,03/09/2022,12:56:00,1940.50,1940.50,1940.50,1940.50,200,23600
METROPOLIS_F2,03/09/2022,13:12:00,1944.95,1944.95,1944.95,1944.95,400,23600
METROPOLIS_F2,03/09/2022,13:14:00,1949.65,1949.65,1949.65,1949.65,400,23600
METROPOLIS_F2,03/09/2022,13:15:00,1950.25,1950.25,1950.25,1950.25,200,23600
METROPOLIS_F2,03/09/2022,13:25:00,1950.90,1950.90,1950.90,1950.90,200,23400
METROPOLIS_F2,03/09/2022,13:34:00,1950.90,1950.90,1950.90,1950.90,400,23600
METROPOLIS_F2,03/09/2022,13:35:00,1947.00,1947.00,1947.00,1947.00,400,23600
METROPOLIS_F2,03/09/2022,13:40:00,1950.75,1950.75,1950.75,1950.75,800,23400
METROPOLIS_F2,03/09/2022,13:47:00,1958.90,1958.90,1958.90,1958.90,200,23400
METROPOLIS_F2,03/09/2022,13:48:00,1958.90,1958.90,1958.90,1958.90,400,23600
METROPOLIS_F2,03/09/2022,13:53:00,1952.00,1952.00,1952.00,1952.00,600,23800
METROPOLIS_F2,03/09/2022,13:54:00,1952.00,1952.00,1952.00,1952.00,200,23800
METROPOLIS_F2,03/09/2022,13:56:00,1959.20,1959.20,1959.20,1959.20,200,23800
METROPOLIS_F2,03/09/2022,14:13:00,1962.65,1962.65,1962.65,1962.65,600,24000
METROPOLIS_F2,03/09/2022,14:44:00,1960.00,1960.00,1960.00,1960.00,200,24200
METROPOLIS_F2,03/09/2022,14:45:00,1962.00,1962.00,1962.00,1962.00,400,24200
METROPOLIS_F2,03/09/2022,14:57:00,1950.00,1950.00,1950.00,1950.00,200,24400
METROPOLIS_F2,03/09/2022,15:01:00,1939.85,1939.85,1932.70,1932.70,400,24600
METROPOLIS_F2,03/09/2022,15:22:00,1942.15,1942.15,1942.15,1942.15,200,24600
METROPOLIS_F2,03/09/2022,15:23:00,1941.10,1941.10,1941.10,1941.10,200,24600
METROPOLIS_F2,03/09/2022,15:24:00,1942.80,1942.80,1942.80,1942.80,200,24600
METROPOLIS_F2,03/10/2022,09:15:00,2049.15,2049.15,2045.40,2045.40,802,24400
METROPOLIS_F2,03/10/2022,09:17:00,1963.00,1963.00,1963.00,1963.00,200,24400
METROPOLIS_F2,03/10/2022,09:20:00,1963.00,1963.00,1963.00,1963.00,200,24600
METROPOLIS_F2,03/10/2022,09:25:00,1976.85,1976.85,1976.85,1976.85,200,24600
METROPOLIS_F2,03/10/2022,09:31:00,1976.05,1976.05,1976.05,1976.05,200,24800
METROPOLIS_F2,03/10/2022,09:35:00,1975.00,1975.00,1975.00,1975.00,400,24800
METROPOLIS_F2,03/10/2022,09:38:00,1972.55,1972.55,1968.00,1968.00,800,25000
METROPOLIS_F2,03/10/2022,09:39:00,1963.00,1963.00,1963.00,1963.00,200,25400
