<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
NATIONALUM_F3,03/02/2022,09:16:00,125.60,126.00,125.60,126.00,34001,119000
NATIONALUM_F3,03/02/2022,09:17:00,126.00,126.00,126.00,126.00,17000,144500
NATIONALUM_F3,03/02/2022,09:20:00,126.10,126.10,126.10,126.10,8500,153000
NATIONALUM_F3,03/02/2022,09:23:00,126.50,126.50,126.50,126.50,8500,153000
NATIONALUM_F3,03/02/2022,09:25:00,127.60,127.60,127.60,127.60,8500,170000
NATIONALUM_F3,03/02/2022,09:26:00,127.60,127.60,127.60,127.60,8500,170000
NATIONALUM_F3,03/02/2022,09:30:00,127.60,127.60,127.20,127.20,42500,178500
NATIONALUM_F3,03/02/2022,09:38:00,127.65,127.65,127.65,127.65,17000,187000
NATIONALUM_F3,03/02/2022,09:43:00,127.85,127.85,127.85,127.85,8500,187000
NATIONALUM_F3,03/02/2022,09:56:00,127.85,127.85,127.85,127.85,8500,187000
NATIONALUM_F3,03/02/2022,10:07:00,127.60,127.60,127.60,127.60,8500,195500
NATIONALUM_F3,03/02/2022,10:23:00,128.40,128.40,128.40,128.40,8500,187000
NATIONALUM_F3,03/02/2022,10:25:00,128.55,128.55,128.55,128.55,8500,195500
NATIONALUM_F3,03/02/2022,10:28:00,128.55,128.55,128.55,128.55,17000,204000
NATIONALUM_F3,03/02/2022,10:30:00,128.30,128.30,128.30,128.30,8500,204000
NATIONALUM_F3,03/02/2022,10:33:00,128.45,128.45,128.45,128.45,8500,204000
NATIONALUM_F3,03/02/2022,10:37:00,128.60,128.60,128.60,128.60,8500,212500
NATIONALUM_F3,03/02/2022,10:45:00,128.65,128.65,128.65,128.65,25500,212500
NATIONALUM_F3,03/02/2022,10:46:00,128.60,128.60,128.60,128.60,8500,212500
NATIONALUM_F3,03/02/2022,10:51:00,128.40,128.40,128.40,128.40,8500,221000
NATIONALUM_F3,03/02/2022,10:56:00,128.00,128.00,128.00,128.00,17000,229500
NATIONALUM_F3,03/02/2022,11:00:00,127.55,127.55,127.55,127.55,8500,221000
NATIONALUM_F3,03/02/2022,11:03:00,127.35,127.35,127.35,127.35,8500,221000
NATIONALUM_F3,03/02/2022,11:04:00,127.75,127.75,127.75,127.75,17000,221000
NATIONALUM_F3,03/02/2022,11:09:00,127.65,127.65,127.65,127.65,17000,229500
NATIONALUM_F3,03/02/2022,11:13:00,127.65,127.65,127.65,127.65,8500,238000
NATIONALUM_F3,03/02/2022,11:21:00,127.90,127.90,127.90,127.90,8500,246500
NATIONALUM_F3,03/02/2022,12:23:00,126.40,126.40,126.40,126.40,42500,255000
NATIONALUM_F3,03/02/2022,12:44:00,125.90,125.90,125.90,125.90,8500,263500
NATIONALUM_F3,03/02/2022,12:49:00,125.90,126.40,125.90,126.40,17000,272000
NATIONALUM_F3,03/02/2022,12:59:00,126.60,126.60,126.60,126.60,17000,280500
NATIONALUM_F3,03/02/2022,13:21:00,127.00,127.00,126.90,126.90,34000,297500
NATIONALUM_F3,03/02/2022,13:31:00,127.10,127.10,127.10,127.10,8500,297500
NATIONALUM_F3,03/02/2022,13:41:00,127.10,127.10,127.10,127.10,51000,306000
NATIONALUM_F3,03/02/2022,13:42:00,127.05,127.05,127.05,127.05,17000,323000
NATIONALUM_F3,03/02/2022,15:23:00,126.70,126.70,126.70,126.70,8500,331500
NATIONALUM_F3,03/02/2022,15:24:00,126.65,126.65,126.65,126.65,8500,331500
NATIONALUM_F3,03/02/2022,15:27:00,126.65,126.65,126.65,126.65,34000,340000
NATIONALUM_F3,03/02/2022,15:28:00,126.65,126.65,126.65,126.65,8500,340000
NATIONALUM_F3,03/03/2022,09:17:00,129.80,130.00,129.80,130.00,25501,357000
