<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
PETRONET_F3,03/02/2022,09:36:00,216.95,216.95,216.95,216.95,3001,9000
PETRONET_F3,03/02/2022,10:05:00,216.35,216.35,216.35,216.35,3000,12000
PETRONET_F3,03/02/2022,12:06:00,215.50,215.50,215.50,215.50,3000,12000
PETRONET_F3,03/02/2022,13:17:00,215.50,215.50,215.50,215.50,3000,12000
PETRONET_F3,03/02/2022,15:02:00,217.45,217.45,217.45,217.45,3000,15000
PETRONET_F3,03/02/2022,15:22:00,217.45,217.45,217.45,217.45,3000,18000
PETRONET_F3,03/02/2022,15:25:00,217.00,217.00,217.00,217.00,3000,18000
PETRONET_F3,03/04/2022,10:01:00,214.95,214.95,214.95,214.95,3001,15000
PETRONET_F3,03/04/2022,12:16:00,214.95,214.95,214.95,214.95,3000,18000
PETRONET_F3,03/07/2022,11:26:00,216.00,216.00,216.00,216.00,3001,15000
PETRONET_F3,03/08/2022,09:31:00,221.65,221.65,221.65,221.65,3001,18000
PETRONET_F3,03/08/2022,09:42:00,220.60,220.60,220.60,220.60,3000,18000
PETRONET_F3,03/08/2022,09:49:00,220.40,220.40,220.40,220.40,3000,18000
PETRONET_F3,03/08/2022,15:13:00,220.40,220.40,220.40,220.40,3000,21000
PETRONET_F3,03/09/2022,09:31:00,218.00,218.00,218.00,218.00,3001,21000
PETRONET_F3,03/09/2022,09:38:00,218.00,218.00,218.00,218.00,3000,24000
PETRONET_F3,03/09/2022,14:55:00,214.55,214.55,214.55,214.55,6000,27000
PETRONET_F3,03/10/2022,09:22:00,212.00,212.00,212.00,212.00,3001,33000
PETRONET_F3,03/10/2022,09:34:00,212.65,212.65,212.65,212.65,6000,36000
PETRONET_F3,03/10/2022,09:40:00,212.65,212.65,212.65,212.65,3000,33000
PETRONET_F3,03/10/2022,09:49:00,210.50,210.50,210.50,210.50,3000,36000
PETRONET_F3,03/10/2022,10:02:00,210.00,210.00,210.00,210.00,3000,36000
PETRONET_F3,03/10/2022,10:25:00,210.00,210.00,210.00,210.00,3000,42000
PETRONET_F3,03/10/2022,11:50:00,210.00,210.00,210.00,210.00,3000,45000
PETRONET_F3,03/10/2022,12:30:00,210.45,210.45,210.45,210.45,3000,48000
PETRONET_F3,03/10/2022,13:12:00,211.00,211.00,211.00,211.00,3000,51000
PETRONET_F3,03/10/2022,14:03:00,211.50,211.50,211.50,211.50,3000,54000
PETRONET_F3,03/10/2022,15:28:00,211.00,211.00,211.00,211.00,3000,51000
PETRONET_F3,03/11/2022,09:26:00,209.00,209.00,209.00,209.00,3001,54000
PETRONET_F3,03/11/2022,11:08:00,208.55,208.55,208.55,208.55,3000,57000
PETRONET_F3,03/11/2022,11:29:00,208.55,208.55,208.55,208.55,3000,60000
PETRONET_F3,03/11/2022,12:15:00,209.70,209.70,209.70,209.70,3000,63000
PETRONET_F3,03/11/2022,14:39:00,211.80,211.80,211.80,211.80,3000,60000
PETRONET_F3,03/11/2022,14:59:00,211.80,211.80,211.80,211.80,3000,63000
PETRONET_F3,03/11/2022,15:17:00,211.80,211.80,211.80,211.80,3000,66000
PETRONET_F3,03/14/2022,10:11:00,208.05,208.05,208.05,208.05,3001,63000
PETRONET_F3,03/14/2022,10:42:00,207.35,207.35,207.35,207.35,3000,66000
PETRONET_F3,03/14/2022,10:56:00,207.15,207.15,207.15,207.15,6000,69000
PETRONET_F3,03/14/2022,11:59:00,206.25,206.25,206.25,206.25,3000,75000
PETRONET_F3,03/14/2022,12:16:00,206.05,206.05,206.05,206.05,3000,78000
PETRONET_F3,03/14/2022,12:17:00,206.00,206.00,206.00,206.00,6000,78000
PETRONET_F3,03/14/2022,12:50:00,206.00,206.00,206.00,206.00,3000,87000
