<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
RAIN_F2,03/02/2022,09:15:00,182.00,182.00,181.05,181.05,5001,362500
RAIN_F2,03/02/2022,09:16:00,181.05,183.95,181.05,183.95,5000,362500
RAIN_F2,03/02/2022,09:18:00,186.45,188.35,186.45,188.35,5000,365000
RAIN_F2,03/02/2022,09:20:00,191.70,192.25,191.70,192.25,10000,365000
RAIN_F2,03/02/2022,09:24:00,189.20,189.20,189.20,189.20,5000,362500
RAIN_F2,03/02/2022,09:25:00,189.10,189.10,189.10,189.10,2500,362500
RAIN_F2,03/02/2022,09:27:00,189.70,189.70,189.70,189.70,5000,360000
RAIN_F2,03/02/2022,09:29:00,189.70,189.70,189.70,189.70,5000,360000
RAIN_F2,03/02/2022,09:31:00,189.60,189.60,189.60,189.60,2500,360000
RAIN_F2,03/02/2022,09:32:00,189.25,189.25,189.00,189.00,5000,362500
RAIN_F2,03/02/2022,09:40:00,187.50,187.50,187.50,187.50,5000,360000
RAIN_F2,03/02/2022,09:46:00,188.00,188.00,188.00,188.00,2500,362500
RAIN_F2,03/02/2022,09:52:00,188.30,188.30,188.30,188.30,2500,362500
RAIN_F2,03/02/2022,09:57:00,187.55,187.55,187.55,187.55,2500,365000
RAIN_F2,03/02/2022,10:04:00,187.70,187.70,187.70,187.70,2500,362500
RAIN_F2,03/02/2022,10:07:00,187.20,187.20,187.20,187.20,2500,362500
RAIN_F2,03/02/2022,10:22:00,188.00,188.00,188.00,188.00,2500,362500
RAIN_F2,03/02/2022,10:33:00,187.65,187.65,187.65,187.65,5000,362500
RAIN_F2,03/02/2022,10:54:00,187.15,187.15,187.15,187.15,2500,365000
RAIN_F2,03/02/2022,10:55:00,187.15,187.15,187.15,187.15,2500,365000
RAIN_F2,03/02/2022,11:05:00,187.45,187.45,187.45,187.45,2500,365000
RAIN_F2,03/02/2022,11:26:00,185.95,186.25,185.95,186.25,5000,367500
RAIN_F2,03/02/2022,11:30:00,185.00,185.00,185.00,185.00,2500,370000
RAIN_F2,03/02/2022,11:32:00,186.20,186.20,186.20,186.20,2500,372500
RAIN_F2,03/02/2022,11:37:00,186.20,186.20,186.20,186.20,2500,372500
RAIN_F2,03/02/2022,12:38:00,184.00,184.00,184.00,184.00,2500,370000
RAIN_F2,03/02/2022,13:50:00,184.55,184.55,184.55,184.55,7500,372500
RAIN_F2,03/02/2022,14:31:00,182.90,182.90,182.90,182.90,15000,377500
RAIN_F2,03/02/2022,14:40:00,183.00,183.00,183.00,183.00,2500,370000
RAIN_F2,03/02/2022,14:46:00,182.95,182.95,182.95,182.95,2500,370000
RAIN_F2,03/02/2022,15:05:00,183.00,183.00,183.00,183.00,2500,372500
RAIN_F2,03/02/2022,15:08:00,183.00,183.00,183.00,183.00,2500,372500
