<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
SRTRANSFIN_F3,03/02/2022,14:20:00,1066.20,1066.20,1066.20,1066.20,401,3600
SRTRANSFIN_F3,03/02/2022,14:22:00,1075.15,1075.15,1075.15,1075.15,400,3600
SRTRANSFIN_F3,03/02/2022,14:25:00,1077.65,1077.65,1077.65,1077.65,400,4000
SRTRANSFIN_F3,03/03/2022,09:37:00,1105.10,1105.10,1105.10,1105.10,401,4400
SRTRANSFIN_F3,03/03/2022,09:43:00,1100.60,1100.60,1100.60,1100.60,400,4400
SRTRANSFIN_F3,03/03/2022,09:48:00,1095.95,1095.95,1095.95,1095.95,400,4400
SRTRANSFIN_F3,03/03/2022,12:42:00,1095.95,1095.95,1095.95,1095.95,800,4400
SRTRANSFIN_F3,03/03/2022,14:44:00,1113.50,1113.50,1113.50,1113.50,400,4400
SRTRANSFIN_F3,03/04/2022,09:29:00,1103.60,1103.60,1103.60,1103.60,401,4800
SRTRANSFIN_F3,03/04/2022,09:38:00,1104.45,1104.45,1104.45,1104.45,400,5200
SRTRANSFIN_F3,03/04/2022,14:23:00,1104.45,1104.45,1104.45,1104.45,400,5200
SRTRANSFIN_F3,03/07/2022,09:44:00,1010.30,1010.30,1010.30,1010.30,401,5600
SRTRANSFIN_F3,03/07/2022,10:52:00,1040.80,1040.80,1040.80,1040.80,400,5600
SRTRANSFIN_F3,03/07/2022,10:55:00,1047.90,1047.90,1047.90,1047.90,400,5600
SRTRANSFIN_F3,03/07/2022,11:26:00,1047.90,1047.90,1047.90,1047.90,400,5600
SRTRANSFIN_F3,03/08/2022,10:08:00,1030.35,1030.35,1030.35,1030.35,801,0
SRTRANSFIN_F3,03/08/2022,13:39:00,1024.15,1024.15,1024.15,1024.15,400,6800
SRTRANSFIN_F3,03/09/2022,09:47:00,1050.95,1050.95,1050.95,1050.95,401,7200
SRTRANSFIN_F3,03/09/2022,10:27:00,1050.00,1050.00,1050.00,1050.00,400,7600
SRTRANSFIN_F3,03/09/2022,11:01:00,1050.00,1050.00,1050.00,1050.00,400,7600
SRTRANSFIN_F3,03/09/2022,13:19:00,1049.95,1049.95,1049.95,1049.95,400,8000
SRTRANSFIN_F3,03/10/2022,09:16:00,1093.00,1093.00,1093.00,1093.00,401,7600
SRTRANSFIN_F3,03/10/2022,09:17:00,1090.00,1090.00,1090.00,1090.00,1200,7600
SRTRANSFIN_F3,03/10/2022,09:24:00,1077.80,1077.80,1077.80,1077.80,400,8000
SRTRANSFIN_F3,03/10/2022,09:40:00,1077.80,1077.80,1077.80,1077.80,400,8000
SRTRANSFIN_F3,03/10/2022,10:12:00,1090.00,1090.00,1090.00,1090.00,400,8000
SRTRANSFIN_F3,03/10/2022,12:45:00,1070.00,1070.00,1070.00,1070.00,400,8400
SRTRANSFIN_F3,03/10/2022,12:46:00,1070.00,1070.00,1070.00,1070.00,400,8400
SRTRANSFIN_F3,03/10/2022,13:43:00,1065.00,1065.00,1065.00,1065.00,800,8800
SRTRANSFIN_F3,03/10/2022,13:50:00,1060.00,1060.00,1060.00,1060.00,400,8800
SRTRANSFIN_F3,03/10/2022,13:51:00,1060.00,1060.00,1060.00,1060.00,400,8800
SRTRANSFIN_F3,03/10/2022,13:55:00,1058.00,1058.00,1058.00,1058.00,400,9200
SRTRANSFIN_F3,03/10/2022,14:17:00,1058.00,1058.00,1058.00,1058.00,400,9600
SRTRANSFIN_F3,03/10/2022,15:12:00,1077.65,1077.65,1077.65,1077.65,400,9600
SRTRANSFIN_F3,03/10/2022,15:14:00,1077.20,1080.00,1077.20,1080.00,1200,9200
SRTRANSFIN_F3,03/10/2022,15:25:00,1075.00,1075.00,1075.00,1075.00,1200,9200
SRTRANSFIN_F3,03/10/2022,15:29:00,1073.00,1073.00,1073.00,1073.00,800,10400
SRTRANSFIN_F3,03/11/2022,09:20:00,1076.20,1076.20,1076.20,1076.20,401,10400
SRTRANSFIN_F3,03/11/2022,10:03:00,1090.00,1090.00,1090.00,1090.00,1600,10800
SRTRANSFIN_F3,03/11/2022,10:08:00,1091.00,1091.00,1091.00,1091.00,400,10800
SRTRANSFIN_F3,03/11/2022,10:45:00,1091.00,1091.00,1091.00,1091.00,400,10800
SRTRANSFIN_F3,03/11/2022,11:27:00,1086.00,1086.00,1086.00,1086.00,1600,10800
SRTRANSFIN_F3,03/11/2022,11:28:00,1087.00,1087.00,1087.00,1087.00,800,10800
SRTRANSFIN_F3,03/11/2022,13:49:00,1093.00,1093.00,1093.00,1093.00,400,9600
SRTRANSFIN_F3,03/11/2022,13:55:00,1097.00,1097.00,1097.00,1097.00,400,9200
SRTRANSFIN_F3,03/11/2022,14:52:00,1098.65,1098.65,1098.65,1098.65,800,9600
SRTRANSFIN_F3,03/11/2022,15:26:00,1096.00,1096.00,1096.00,1096.00,400,9200
SRTRANSFIN_F3,03/11/2022,15:29:00,1097.00,1097.00,1097.00,1097.00,400,9200
SRTRANSFIN_F3,03/14/2022,09:24:00,1090.00,1090.00,1090.00,1090.00,801,9600
SRTRANSFIN_F3,03/14/2022,11:30:00,1095.80,1095.80,1095.80,1095.80,400,10000
SRTRANSFIN_F3,03/14/2022,11:39:00,1099.25,1099.25,1099.25,1099.25,800,10000
SRTRANSFIN_F3,03/14/2022,11:44:00,1099.25,1099.25,1099.25,1099.25,400,10800
SRTRANSFIN_F3,03/14/2022,11:50:00,1094.05,1094.05,1094.05,1094.05,400,10800
SRTRANSFIN_F3,03/14/2022,11:58:00,1092.00,1092.00,1092.00,1092.00,400,11200
SRTRANSFIN_F3,03/14/2022,14:51:00,1100.00,1100.00,1100.00,1100.00,400,11600
SRTRANSFIN_F3,03/14/2022,14:57:00,1109.00,1109.00,1109.00,1109.00,400,11600
SRTRANSFIN_F3,03/14/2022,14:58:00,1112.00,1112.00,1112.00,1112.00,1200,12000
SRTRANSFIN_F3,03/14/2022,15:01:00,1114.60,1114.60,1114.60,1114.60,400,10800
SRTRANSFIN_F3,03/15/2022,09:50:00,1135.00,1135.00,1135.00,1135.00,401,10800
SRTRANSFIN_F3,03/15/2022,09:54:00,1136.00,1136.00,1136.00,1136.00,400,10800
SRTRANSFIN_F3,03/15/2022,09:56:00,1136.00,1136.00,1136.00,1136.00,2800,10800
SRTRANSFIN_F3,03/15/2022,10:05:00,1141.85,1141.85,1141.85,1141.85,800,10800
SRTRANSFIN_F3,03/15/2022,10:11:00,1141.85,1141.85,1141.85,1141.85,1600,10800
SRTRANSFIN_F3,03/15/2022,10:29:00,1140.70,1140.70,1140.70,1140.70,400,12000
SRTRANSFIN_F3,03/15/2022,10:47:00,1140.70,1140.70,1140.70,1140.70,400,12400
SRTRANSFIN_F3,03/15/2022,11:14:00,1138.70,1138.70,1138.70,1138.70,400,12400
SRTRANSFIN_F3,03/15/2022,11:17:00,1135.00,1135.00,1135.00,1135.00,400,12400
SRTRANSFIN_F3,03/15/2022,12:00:00,1131.80,1131.80,1131.80,1131.80,400,12800
SRTRANSFIN_F3,03/15/2022,12:21:00,1124.85,1124.85,1124.85,1124.85,400,12400
SRTRANSFIN_F3,03/15/2022,12:40:00,1118.00,1118.00,1118.00,1118.00,400,12400
SRTRANSFIN_F3,03/15/2022,13:01:00,1113.00,1113.00,1113.00,1113.00,400,12400
SRTRANSFIN_F3,03/15/2022,13:15:00,1110.00,1110.00,1110.00,1110.00,400,12400
SRTRANSFIN_F3,03/15/2022,14:02:00,1104.05,1104.05,1104.00,1104.00,800,12800
SRTRANSFIN_F3,03/15/2022,14:26:00,1100.00,1100.00,1100.00,1100.00,800,13200
SRTRANSFIN_F3,03/15/2022,14:37:00,1100.00,1100.00,1100.00,1100.00,400,14000
SRTRANSFIN_F3,03/15/2022,15:00:00,1104.10,1104.10,1104.10,1104.10,400,14400
SRTRANSFIN_F3,03/15/2022,15:02:00,1100.00,1100.00,1100.00,1100.00,2000,14800
SRTRANSFIN_F3,03/15/2022,15:19:00,1099.55,1099.55,1099.55,1099.55,400,16000
SRTRANSFIN_F3,03/16/2022,09:22:00,1116.05,1116.10,1116.05,1116.10,802,16000
SRTRANSFIN_F3,03/16/2022,09:24:00,1110.00,1110.00,1110.00,1110.00,400,16800
SRTRANSFIN_F3,03/16/2022,09:52:00,1110.00,1110.00,1110.00,1110.00,400,16400
SRTRANSFIN_F3,03/16/2022,12:31:00,1138.00,1138.00,1138.00,1138.00,400,16000
SRTRANSFIN_F3,03/16/2022,12:49:00,1138.00,1138.00,1138.00,1138.00,800,15600
SRTRANSFIN_F3,03/16/2022,15:01:00,1129.95,1129.95,1129.95,1129.95,400,14800
SRTRANSFIN_F3,03/16/2022,15:27:00,1118.40,1118.40,1118.40,1118.40,400,15200
SRTRANSFIN_F3,03/17/2022,09:30:00,1150.00,1150.00,1150.00,1150.00,401,15200
SRTRANSFIN_F3,03/17/2022,09:31:00,1152.00,1152.00,1152.00,1152.00,400,15200
SRTRANSFIN_F3,03/17/2022,09:36:00,1152.00,1152.00,1151.00,1151.00,800,14800
SRTRANSFIN_F3,03/17/2022,09:37:00,1152.00,1152.00,1152.00,1152.00,800,14800
SRTRANSFIN_F3,03/17/2022,09:45:00,1144.95,1144.95,1144.95,1144.95,400,13200
SRTRANSFIN_F3,03/17/2022,09:47:00,1144.95,1144.95,1144.95,1144.95,2000,13200
SRTRANSFIN_F3,03/17/2022,10:11:00,1145.45,1145.45,1145.45,1145.45,400,11200
SRTRANSFIN_F3,03/17/2022,10:13:00,1144.00,1144.00,1144.00,1144.00,400,11200
SRTRANSFIN_F3,03/17/2022,10:37:00,1142.95,1142.95,1142.95,1142.95,400,11600
SRTRANSFIN_F3,03/17/2022,10:59:00,1142.95,1142.95,1142.95,1142.95,400,12000
SRTRANSFIN_F3,03/17/2022,11:09:00,1146.50,1146.50,1146.50,1146.50,800,12400
SRTRANSFIN_F3,03/17/2022,11:18:00,1147.20,1147.20,1147.20,1147.20,400,12400
SRTRANSFIN_F3,03/17/2022,11:29:00,1150.00,1150.00,1150.00,1150.00,400,12400
SRTRANSFIN_F3,03/17/2022,11:43:00,1149.55,1149.55,1149.55,1149.55,400,12000
SRTRANSFIN_F3,03/17/2022,12:33:00,1145.60,1145.60,1145.60,1145.60,400,12400
SRTRANSFIN_F3,03/17/2022,13:07:00,1144.95,1144.95,1144.95,1144.95,400,12400
SRTRANSFIN_F3,03/17/2022,13:53:00,1145.95,1145.95,1145.95,1145.95,400,12000
SRTRANSFIN_F3,03/17/2022,13:54:00,1146.00,1146.65,1146.00,1146.65,1200,11600
SRTRANSFIN_F3,03/17/2022,15:29:00,1137.50,1137.50,1137.50,1137.50,400,12000
SRTRANSFIN_F3,03/21/2022,09:19:00,1131.40,1131.40,1131.40,1131.40,401,11600
SRTRANSFIN_F3,03/21/2022,09:28:00,1125.00,1125.00,1125.00,1125.00,400,12000
SRTRANSFIN_F3,03/21/2022,09:29:00,1125.00,1125.00,1125.00,1125.00,800,12000
SRTRANSFIN_F3,03/21/2022,09:38:00,1115.00,1115.00,1115.00,1115.00,400,12800
SRTRANSFIN_F3,03/21/2022,09:40:00,1113.85,1113.85,1113.85,1113.85,400,12800
SRTRANSFIN_F3,03/21/2022,09:47:00,1113.40,1113.40,1113.40,1113.40,400,13200
SRTRANSFIN_F3,03/21/2022,10:02:00,1113.00,1113.00,1113.00,1113.00,400,13200
SRTRANSFIN_F3,03/21/2022,10:05:00,1112.00,1112.00,1112.00,1112.00,400,13200
SRTRANSFIN_F3,03/21/2022,10:06:00,1110.00,1110.00,1110.00,1110.00,400,14000
SRTRANSFIN_F3,03/21/2022,10:10:00,1110.00,1110.00,1110.00,1110.00,400,14000
SRTRANSFIN_F3,03/21/2022,10:41:00,1099.95,1099.95,1099.95,1099.95,2000,14400
SRTRANSFIN_F3,03/21/2022,11:03:00,1099.95,1099.95,1099.95,1099.95,400,16000
SRTRANSFIN_F3,03/21/2022,11:07:00,1105.00,1105.00,1105.00,1105.00,800,16400
SRTRANSFIN_F3,03/21/2022,12:06:00,1100.00,1100.00,1100.00,1100.00,400,17200
SRTRANSFIN_F3,03/21/2022,12:14:00,1102.50,1102.50,1102.50,1102.50,800,17600
SRTRANSFIN_F3,03/21/2022,12:15:00,1102.50,1102.50,1102.50,1102.50,800,17600
SRTRANSFIN_F3,03/21/2022,12:30:00,1103.90,1103.90,1103.90,1103.90,400,19200
SRTRANSFIN_F3,03/21/2022,12:33:00,1102.05,1102.05,1102.05,1102.05,400,19200
