<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
SYNGENE_F3,03/02/2022,14:40:00,538.00,538.00,538.00,538.00,851,0
SYNGENE_F3,03/15/2022,12:51:00,572.85,572.85,572.85,572.85,851,850
SYNGENE_F3,03/16/2022,13:26:00,580.20,580.20,580.20,580.20,851,1700
SYNGENE_F3,03/21/2022,10:52:00,599.00,599.00,599.00,599.00,851,1700
SYNGENE_F3,03/23/2022,12:37:00,599.00,599.00,599.00,599.00,851,2550
SYNGENE_F3,03/23/2022,14:23:00,619.65,619.65,619.65,619.65,850,2550
SYNGENE_F3,03/24/2022,09:28:00,599.05,599.05,599.05,599.05,851,3400
SYNGENE_F3,03/24/2022,15:01:00,595.00,595.00,595.00,595.00,850,4250
SYNGENE_F3,03/24/2022,15:16:00,593.60,593.60,593.60,593.60,850,5100
SYNGENE_F3,03/25/2022,10:27:00,594.05,594.05,594.05,594.05,851,5100
SYNGENE_F3,03/25/2022,12:57:00,584.00,584.00,584.00,584.00,850,5100
SYNGENE_F3,03/25/2022,14:02:00,583.00,583.00,583.00,583.00,850,5950
SYNGENE_F3,03/29/2022,11:33:00,587.25,587.25,587.25,587.25,851,6800
SYNGENE_F3,03/29/2022,12:44:00,589.00,589.00,589.00,589.00,1700,7650
SYNGENE_F3,03/30/2022,13:59:00,604.00,604.00,604.00,604.00,851,6800
SYNGENE_F3,03/31/2022,10:21:00,604.00,604.00,604.00,604.00,851,6800
