<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
TORNTPOWER_F3,03/08/2022,13:07:00,465.00,465.00,465.00,465.00,3001,1500
TORNTPOWER_F3,03/16/2022,13:04:00,482.85,482.90,482.85,482.90,3002,4500
TORNTPOWER_F3,03/16/2022,13:16:00,482.90,482.90,482.90,482.90,1500,7500
TORNTPOWER_F3,03/16/2022,14:20:00,484.90,484.90,484.90,484.90,1500,9000
TORNTPOWER_F3,03/17/2022,11:48:00,487.85,487.85,487.85,487.85,1501,9000
TORNTPOWER_F3,03/17/2022,12:42:00,485.30,485.30,485.30,485.30,1500,9000
TORNTPOWER_F3,03/17/2022,14:58:00,485.30,485.30,485.30,485.30,1500,7500
TORNTPOWER_F3,03/22/2022,12:39:00,478.75,478.75,478.75,478.75,1501,9000
TORNTPOWER_F3,03/22/2022,12:42:00,480.70,480.70,480.70,480.70,1500,10500
TORNTPOWER_F3,03/22/2022,14:47:00,485.70,485.70,485.70,485.70,1500,12000
TORNTPOWER_F3,03/22/2022,15:23:00,486.25,486.25,486.25,486.25,1500,13500
TORNTPOWER_F3,03/22/2022,15:26:00,486.50,486.50,486.50,486.50,1500,13500
TORNTPOWER_F3,03/23/2022,13:45:00,486.50,486.50,486.00,486.00,3001,12000
TORNTPOWER_F3,03/24/2022,14:02:00,491.00,491.00,491.00,491.00,1501,15000
TORNTPOWER_F3,03/25/2022,09:19:00,495.05,495.05,495.05,495.05,3001,13500
TORNTPOWER_F3,03/25/2022,09:46:00,491.00,491.00,491.00,491.00,1500,16500
TORNTPOWER_F3,03/25/2022,10:03:00,490.95,490.95,490.95,490.95,1500,16500
TORNTPOWER_F3,03/25/2022,10:17:00,489.00,489.00,489.00,489.00,1500,18000
TORNTPOWER_F3,03/25/2022,12:08:00,489.00,489.00,489.00,489.00,1500,18000
TORNTPOWER_F3,03/28/2022,14:03:00,487.40,487.40,487.40,487.40,1501,18000
TORNTPOWER_F3,03/28/2022,15:29:00,491.85,491.85,491.85,491.85,1500,19500
TORNTPOWER_F3,03/29/2022,09:26:00,494.00,494.00,494.00,494.00,1501,21000
TORNTPOWER_F3,03/29/2022,09:27:00,493.65,493.65,493.65,493.65,1500,22500
TORNTPOWER_F3,03/29/2022,09:39:00,493.65,493.65,493.65,493.65,1500,24000
TORNTPOWER_F3,03/29/2022,10:29:00,493.65,493.65,493.65,493.65,1500,22500
TORNTPOWER_F3,03/29/2022,10:38:00,492.60,492.60,492.60,492.60,1500,22500
TORNTPOWER_F3,03/29/2022,11:20:00,491.85,491.85,491.85,491.85,1500,21000
TORNTPOWER_F3,03/29/2022,11:54:00,491.40,491.40,491.40,491.40,1500,21000
TORNTPOWER_F3,03/29/2022,13:18:00,491.15,491.15,491.15,491.15,1500,21000
TORNTPOWER_F3,03/30/2022,09:19:00,493.35,493.35,493.35,493.35,1501,21000
TORNTPOWER_F3,03/30/2022,11:13:00,491.00,491.00,491.00,491.00,1500,22500
TORNTPOWER_F3,03/30/2022,14:26:00,490.00,490.00,490.00,490.00,1500,21000
TORNTPOWER_F3,03/30/2022,14:38:00,487.75,487.75,487.75,487.75,1500,19500
TORNTPOWER_F3,03/30/2022,14:43:00,487.55,487.55,487.55,487.55,1500,21000
TORNTPOWER_F3,03/31/2022,09:32:00,491.00,491.00,491.00,491.00,1501,22500
