<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
ABFRL_F3,03/02/2023,13:11:00,241.05,241.05,241.05,241.05,2601,2600
ABFRL_F3,03/03/2023,09:24:00,241.50,241.50,241.50,241.50,2601,2600
ABFRL_F3,03/03/2023,10:38:00,239.45,239.45,239.45,239.45,2600,5200
ABFRL_F3,03/03/2023,11:42:00,239.45,239.45,239.45,239.45,2600,7800
ABFRL_F3,03/09/2023,13:01:00,239.55,239.60,239.55,239.60,7802,10400
ABFRL_F3,03/13/2023,10:01:00,236.00,236.00,236.00,236.00,2601,7800
ABFRL_F3,03/13/2023,10:14:00,235.50,235.50,235.50,235.50,2600,10400
ABFRL_F3,03/14/2023,10:57:00,225.50,225.50,225.50,225.50,2601,13000
ABFRL_F3,03/14/2023,11:41:00,225.00,225.00,225.00,225.00,2600,15600
ABFRL_F3,03/14/2023,12:29:00,225.60,225.60,225.00,225.00,10400,18200
ABFRL_F3,03/14/2023,13:50:00,222.80,222.80,222.80,222.80,2600,18200
ABFRL_F3,03/14/2023,14:34:00,222.80,222.80,222.80,222.80,2600,20800
ABFRL_F3,03/14/2023,15:19:00,222.00,222.00,222.00,222.00,2600,23400
ABFRL_F3,03/14/2023,15:20:00,221.30,221.30,221.30,221.30,2600,23400
ABFRL_F3,03/15/2023,09:16:00,221.70,221.70,221.70,221.70,2601,23400
ABFRL_F3,03/15/2023,09:21:00,219.00,219.00,219.00,219.00,10400,26000
ABFRL_F3,03/15/2023,09:22:00,219.00,219.00,219.00,219.00,5200,26000
ABFRL_F3,03/15/2023,09:23:00,219.00,219.00,219.00,219.00,7800,33800
ABFRL_F3,03/15/2023,09:24:00,219.00,219.00,219.00,219.00,20800,33800
ABFRL_F3,03/15/2023,09:25:00,220.05,220.05,219.00,219.00,7800,33800
ABFRL_F3,03/15/2023,09:26:00,219.20,219.20,219.20,219.20,2600,33800
ABFRL_F3,03/15/2023,09:30:00,219.20,219.20,219.20,219.20,2600,57200
