<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BRITANNIA_F3,03/01/2023,13:40:00,4412.00,4412.00,4412.00,4412.00,201,1800
BRITANNIA_F3,03/01/2023,14:26:00,4412.90,4412.90,4412.90,4412.90,200,2000
BRITANNIA_F3,03/01/2023,14:27:00,4415.00,4415.00,4415.00,4415.00,200,1800
BRITANNIA_F3,03/03/2023,10:38:00,4450.00,4450.00,4450.00,4450.00,401,2000
BRITANNIA_F3,03/03/2023,10:39:00,4450.00,4450.00,4450.00,4450.00,400,2000
BRITANNIA_F3,03/03/2023,10:45:00,4450.00,4450.00,4450.00,4450.00,400,2800
BRITANNIA_F3,03/03/2023,10:46:00,4450.00,4450.00,4450.00,4450.00,200,2800
BRITANNIA_F3,03/03/2023,10:47:00,4450.00,4450.00,4450.00,4450.00,200,2800
BRITANNIA_F3,03/03/2023,13:08:00,4446.00,4446.00,4446.00,4446.00,800,3600
BRITANNIA_F3,03/06/2023,09:17:00,4397.70,4397.70,4397.70,4397.70,401,4400
BRITANNIA_F3,03/06/2023,09:23:00,4410.50,4410.50,4410.50,4410.50,200,4200
BRITANNIA_F3,03/06/2023,09:46:00,4410.50,4410.50,4410.50,4410.50,200,4400
BRITANNIA_F3,03/06/2023,10:41:00,4344.50,4344.50,4344.50,4344.50,200,4400
BRITANNIA_F3,03/06/2023,15:25:00,4344.50,4344.50,4344.50,4344.50,200,4600
BRITANNIA_F3,03/08/2023,09:27:00,4391.70,4391.70,4391.70,4391.70,201,4600
BRITANNIA_F3,03/10/2023,09:19:00,4355.75,4355.75,4355.75,4355.75,201,4600
BRITANNIA_F3,03/10/2023,09:24:00,4376.65,4376.65,4376.65,4376.65,200,4600
BRITANNIA_F3,03/10/2023,09:28:00,4400.00,4400.00,4400.00,4400.00,600,4600
BRITANNIA_F3,03/13/2023,15:24:00,4360.00,4360.00,4360.00,4360.00,1201,5200
BRITANNIA_F3,03/13/2023,15:26:00,4360.00,4360.00,4360.00,4360.00,200,5200
BRITANNIA_F3,03/14/2023,09:16:00,4360.00,4360.00,4360.00,4360.00,201,6600
BRITANNIA_F3,03/15/2023,11:05:00,4299.55,4299.55,4299.55,4299.55,201,6400
BRITANNIA_F3,03/15/2023,11:48:00,4320.00,4320.00,4320.00,4320.00,800,6200
BRITANNIA_F3,03/15/2023,11:50:00,4320.00,4320.00,4320.00,4320.00,200,6200
BRITANNIA_F3,03/15/2023,11:52:00,4320.00,4320.00,4320.00,4320.00,600,6200
BRITANNIA_F3,03/15/2023,12:01:00,4320.00,4320.00,4320.00,4320.00,800,5600
BRITANNIA_F3,03/15/2023,14:13:00,4320.00,4320.00,4320.00,4320.00,200,5400
BRITANNIA_F3,03/16/2023,09:27:00,4337.10,4337.10,4337.10,4337.10,201,5400
BRITANNIA_F3,03/16/2023,09:55:00,4335.00,4335.00,4335.00,4335.00,400,5600
BRITANNIA_F3,03/16/2023,10:36:00,4335.00,4335.00,4335.00,4335.00,200,5600
BRITANNIA_F3,03/16/2023,13:37:00,4350.00,4350.00,4350.00,4350.00,400,5600
