<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
CHAMBLFERT_F3,03/01/2023,11:00:00,284.65,284.65,284.65,284.65,1501,1500
CHAMBLFERT_F3,03/01/2023,12:38:00,283.95,283.95,283.95,283.95,1500,3000
CHAMBLFERT_F3,03/01/2023,12:43:00,283.95,283.95,283.95,283.95,1500,4500
CHAMBLFERT_F3,03/01/2023,13:35:00,286.80,286.80,286.80,286.80,1500,6000
CHAMBLFERT_F3,03/03/2023,09:46:00,286.30,286.30,286.30,286.30,1501,7500
CHAMBLFERT_F3,03/06/2023,09:20:00,290.15,290.15,290.00,290.00,3002,9000
CHAMBLFERT_F3,03/06/2023,09:23:00,291.10,291.10,291.10,291.10,1500,10500
CHAMBLFERT_F3,03/06/2023,09:39:00,295.20,295.20,295.20,295.20,1500,10500
CHAMBLFERT_F3,03/06/2023,09:45:00,295.50,295.50,295.50,295.50,1500,12000
CHAMBLFERT_F3,03/06/2023,09:59:00,295.50,295.50,295.50,295.50,1500,13500
CHAMBLFERT_F3,03/06/2023,10:01:00,294.35,294.35,294.35,294.35,1500,13500
CHAMBLFERT_F3,03/06/2023,12:28:00,294.00,294.00,294.00,294.00,1500,12000
CHAMBLFERT_F3,03/06/2023,15:07:00,294.15,294.15,294.15,294.15,1500,13500
CHAMBLFERT_F3,03/09/2023,10:07:00,298.10,298.10,298.10,298.10,1501,12000
CHAMBLFERT_F3,03/09/2023,13:45:00,295.00,295.00,295.00,295.00,1500,10500
CHAMBLFERT_F3,03/09/2023,15:17:00,294.50,294.50,294.50,294.50,3000,10500
CHAMBLFERT_F3,03/09/2023,15:18:00,294.50,294.50,294.50,294.50,1500,10500
CHAMBLFERT_F3,03/09/2023,15:27:00,294.50,294.50,294.50,294.50,1500,13500
CHAMBLFERT_F3,03/10/2023,15:00:00,291.00,291.00,291.00,291.00,1501,15000
CHAMBLFERT_F3,03/14/2023,11:23:00,278.80,278.80,278.80,278.80,1501,15000
CHAMBLFERT_F3,03/16/2023,09:49:00,276.50,276.50,276.50,276.50,4501,15000
CHAMBLFERT_F3,03/16/2023,10:23:00,279.55,279.55,279.55,279.55,1500,15000
CHAMBLFERT_F3,03/16/2023,10:57:00,280.00,280.00,280.00,280.00,1500,15000
CHAMBLFERT_F3,03/16/2023,13:10:00,281.00,281.00,281.00,281.00,1500,15000
CHAMBLFERT_F3,03/17/2023,09:35:00,282.00,282.00,282.00,282.00,1501,15000
CHAMBLFERT_F3,03/17/2023,09:40:00,282.50,282.50,282.50,282.50,1500,16500
CHAMBLFERT_F3,03/17/2023,11:30:00,282.50,282.50,282.50,282.50,1500,18000
CHAMBLFERT_F3,03/20/2023,09:22:00,275.80,275.80,275.80,275.80,1501,19500
CHAMBLFERT_F3,03/20/2023,10:40:00,272.00,272.00,272.00,272.00,1500,18000
CHAMBLFERT_F3,03/20/2023,11:02:00,271.75,271.75,271.75,271.75,1500,18000
CHAMBLFERT_F3,03/20/2023,11:12:00,271.45,271.45,271.45,271.45,1500,19500
CHAMBLFERT_F3,03/20/2023,12:00:00,270.10,270.10,270.10,270.10,1500,19500
CHAMBLFERT_F3,03/20/2023,12:21:00,268.00,268.00,268.00,268.00,1500,21000
CHAMBLFERT_F3,03/20/2023,13:13:00,268.00,268.00,268.00,268.00,1500,22500
CHAMBLFERT_F3,03/20/2023,13:18:00,270.90,270.90,270.90,270.90,1500,24000
CHAMBLFERT_F3,03/20/2023,13:27:00,271.60,271.60,271.60,271.60,1500,25500
CHAMBLFERT_F3,03/20/2023,13:28:00,271.00,271.00,271.00,271.00,1500,25500
CHAMBLFERT_F3,03/20/2023,13:59:00,271.00,271.00,271.00,271.00,1500,25500
CHAMBLFERT_F3,03/21/2023,09:24:00,273.40,273.40,273.40,273.40,1501,27000
CHAMBLFERT_F3,03/21/2023,10:03:00,272.80,272.80,272.80,272.80,1500,28500
CHAMBLFERT_F3,03/21/2023,11:03:00,272.80,272.80,272.80,272.80,3000,30000
CHAMBLFERT_F3,03/21/2023,12:08:00,273.50,273.50,273.50,273.50,1500,30000
CHAMBLFERT_F3,03/21/2023,14:20:00,274.70,274.70,274.70,274.70,3000,31500
CHAMBLFERT_F3,03/21/2023,14:26:00,274.70,274.70,274.70,274.70,1500,33000
CHAMBLFERT_F3,03/21/2023,14:41:00,274.95,274.95,274.95,274.95,1500,33000
CHAMBLFERT_F3,03/22/2023,09:40:00,276.00,276.00,276.00,276.00,1501,34500
CHAMBLFERT_F3,03/23/2023,10:39:00,274.05,274.05,274.05,274.05,1501,36000
CHAMBLFERT_F3,03/23/2023,13:07:00,271.45,271.45,271.45,271.45,3000,36000
CHAMBLFERT_F3,03/23/2023,13:58:00,271.45,271.45,271.45,271.45,4500,36000
CHAMBLFERT_F3,03/23/2023,14:11:00,273.75,273.75,273.75,273.75,1500,36000
CHAMBLFERT_F3,03/24/2023,09:27:00,271.25,271.25,271.25,271.25,1501,36000
CHAMBLFERT_F3,03/24/2023,09:57:00,270.25,270.25,270.25,270.25,1500,36000
CHAMBLFERT_F3,03/24/2023,10:28:00,268.55,268.55,268.55,268.55,1500,36000
CHAMBLFERT_F3,03/24/2023,11:25:00,268.30,268.30,268.30,268.30,3000,34500
CHAMBLFERT_F3,03/24/2023,11:35:00,268.30,268.30,268.30,268.30,1500,33000
CHAMBLFERT_F3,03/24/2023,11:39:00,268.15,268.15,268.15,268.15,1500,31500
CHAMBLFERT_F3,03/24/2023,12:22:00,268.15,268.15,268.15,268.15,4500,31500
CHAMBLFERT_F3,03/27/2023,09:37:00,265.85,265.90,265.85,265.90,3002,36000
CHAMBLFERT_F3,03/27/2023,09:42:00,265.90,265.90,265.90,265.90,1500,39000
CHAMBLFERT_F3,03/27/2023,09:49:00,265.00,265.00,265.00,265.00,1500,40500
CHAMBLFERT_F3,03/27/2023,09:50:00,264.05,264.05,264.05,264.05,1500,40500
CHAMBLFERT_F3,03/27/2023,10:14:00,264.05,264.05,264.05,264.05,1500,40500
CHAMBLFERT_F3,03/27/2023,11:05:00,262.75,262.75,262.75,262.75,1500,40500
CHAMBLFERT_F3,03/27/2023,12:33:00,262.40,262.40,262.40,262.40,1500,42000
CHAMBLFERT_F3,03/27/2023,12:55:00,262.00,262.00,262.00,262.00,1500,42000
CHAMBLFERT_F3,03/27/2023,12:57:00,262.00,262.00,262.00,262.00,1500,43500
CHAMBLFERT_F3,03/27/2023,13:02:00,262.00,262.00,262.00,262.00,1500,45000
CHAMBLFERT_F3,03/27/2023,13:12:00,262.20,262.20,262.20,262.20,1500,46500
CHAMBLFERT_F3,03/27/2023,14:06:00,260.85,260.85,260.85,260.85,1500,48000
CHAMBLFERT_F3,03/27/2023,14:07:00,260.35,260.35,260.35,260.35,1500,49500
CHAMBLFERT_F3,03/27/2023,14:37:00,260.35,260.35,260.35,260.35,1500,49500
CHAMBLFERT_F3,03/27/2023,15:17:00,259.20,259.20,259.20,259.20,1500,49500
CHAMBLFERT_F3,03/27/2023,15:28:00,258.70,258.70,258.70,258.70,1500,51000
CHAMBLFERT_F3,03/28/2023,09:15:00,258.80,258.80,258.80,258.80,1501,52500
CHAMBLFERT_F3,03/28/2023,09:16:00,258.90,258.90,258.90,258.90,9000,52500
CHAMBLFERT_F3,03/28/2023,09:47:00,258.10,258.10,258.10,258.10,1500,54000
CHAMBLFERT_F3,03/28/2023,10:09:00,257.30,257.30,257.30,257.30,3000,55500
CHAMBLFERT_F3,03/28/2023,10:25:00,256.85,256.85,256.85,256.85,3000,54000
CHAMBLFERT_F3,03/28/2023,10:32:00,255.60,255.60,255.60,255.60,1500,57000
CHAMBLFERT_F3,03/28/2023,10:33:00,255.50,255.50,255.50,255.50,6000,57000
CHAMBLFERT_F3,03/28/2023,10:40:00,255.45,255.45,255.45,255.45,1500,64500
CHAMBLFERT_F3,03/28/2023,10:51:00,255.45,255.45,255.45,255.45,3000,66000
CHAMBLFERT_F3,03/28/2023,10:59:00,255.90,255.90,255.90,255.90,1500,69000
CHAMBLFERT_F3,03/28/2023,13:52:00,254.70,254.70,254.70,254.70,1500,70500
CHAMBLFERT_F3,03/28/2023,14:01:00,254.65,254.65,254.65,254.65,1500,72000
CHAMBLFERT_F3,03/28/2023,14:02:00,252.65,252.65,252.65,252.65,1500,72000
CHAMBLFERT_F3,03/28/2023,14:14:00,252.65,254.50,252.65,254.50,4500,0
CHAMBLFERT_F3,03/28/2023,14:18:00,254.50,254.50,254.50,254.50,1500,76500
CHAMBLFERT_F3,03/28/2023,15:13:00,255.00,255.00,255.00,255.00,1500,78000
CHAMBLFERT_F3,03/29/2023,09:22:00,253.00,253.00,253.00,253.00,1501,79500
CHAMBLFERT_F3,03/29/2023,09:26:00,252.80,252.80,252.80,252.80,3000,81000
CHAMBLFERT_F3,03/29/2023,09:27:00,252.80,252.80,252.80,252.80,1500,84000
CHAMBLFERT_F3,03/29/2023,09:44:00,256.65,256.65,256.65,256.65,1500,84000
CHAMBLFERT_F3,03/29/2023,09:52:00,257.15,257.15,257.15,257.15,1500,85500
CHAMBLFERT_F3,03/29/2023,09:58:00,257.15,257.15,257.15,257.15,1500,87000
CHAMBLFERT_F3,03/29/2023,10:04:00,258.30,258.30,258.30,258.30,3000,88500
CHAMBLFERT_F3,03/29/2023,10:08:00,257.40,257.40,257.40,257.40,1500,91500
CHAMBLFERT_F3,03/29/2023,11:06:00,259.55,259.55,259.55,259.55,3000,93000
CHAMBLFERT_F3,03/29/2023,11:07:00,259.45,259.45,259.45,259.45,1500,93000
CHAMBLFERT_F3,03/29/2023,11:08:00,259.30,259.30,258.75,258.75,6000,93000
CHAMBLFERT_F3,03/29/2023,11:09:00,258.10,258.10,258.10,258.10,1500,102000
CHAMBLFERT_F3,03/29/2023,11:22:00,259.05,259.05,259.05,259.05,3000,103500
CHAMBLFERT_F3,03/29/2023,11:48:00,258.90,258.90,258.90,258.90,1500,105000
CHAMBLFERT_F3,03/29/2023,12:09:00,258.40,258.40,258.40,258.40,1500,106500
CHAMBLFERT_F3,03/29/2023,12:12:00,258.55,258.55,258.55,258.55,3000,108000
CHAMBLFERT_F3,03/29/2023,12:18:00,258.65,258.65,258.65,258.65,1500,111000
CHAMBLFERT_F3,03/29/2023,12:20:00,258.65,258.65,258.65,258.65,1500,111000
CHAMBLFERT_F3,03/29/2023,12:29:00,258.95,258.95,258.95,258.95,1500,114000
CHAMBLFERT_F3,03/29/2023,12:49:00,258.60,258.60,258.60,258.60,1500,115500
CHAMBLFERT_F3,03/29/2023,13:02:00,259.55,259.55,259.55,259.55,1500,117000
CHAMBLFERT_F3,03/29/2023,13:12:00,261.35,261.35,261.35,261.35,1500,115500
CHAMBLFERT_F3,03/29/2023,13:18:00,261.35,261.35,261.35,261.35,1500,117000
CHAMBLFERT_F3,03/29/2023,13:29:00,261.35,261.35,261.35,261.35,1500,118500
CHAMBLFERT_F3,03/29/2023,13:36:00,261.35,261.35,261.35,261.35,1500,118500
CHAMBLFERT_F3,03/29/2023,14:03:00,261.90,261.90,261.90,261.90,1500,120000
CHAMBLFERT_F3,03/29/2023,14:12:00,262.40,262.40,262.40,262.40,1500,120000
CHAMBLFERT_F3,03/29/2023,14:43:00,262.40,262.40,262.40,262.40,6000,121500
CHAMBLFERT_F3,03/29/2023,14:52:00,261.95,261.95,261.95,261.95,1500,127500
CHAMBLFERT_F3,03/29/2023,14:58:00,262.80,262.80,262.80,262.80,1500,129000
CHAMBLFERT_F3,03/29/2023,15:02:00,263.95,263.95,263.95,263.95,21000,130500
CHAMBLFERT_F3,03/29/2023,15:03:00,263.95,263.95,263.95,263.95,1500,130500
CHAMBLFERT_F3,03/29/2023,15:08:00,263.35,263.35,263.35,263.35,3000,153000
CHAMBLFERT_F3,03/29/2023,15:09:00,263.30,263.30,263.30,263.30,1500,153000
CHAMBLFERT_F3,03/29/2023,15:14:00,263.45,263.45,263.45,263.45,1500,154500
CHAMBLFERT_F3,03/29/2023,15:17:00,263.45,263.45,263.45,263.45,1500,154500
CHAMBLFERT_F3,03/29/2023,15:18:00,263.60,263.60,263.60,263.60,7500,154500
CHAMBLFERT_F3,03/29/2023,15:19:00,263.60,263.60,263.60,263.60,1500,150000
CHAMBLFERT_F3,03/29/2023,15:20:00,263.60,263.60,263.60,263.60,3000,150000
CHAMBLFERT_F3,03/29/2023,15:21:00,263.40,263.40,263.35,263.35,10500,150000
CHAMBLFERT_F3,03/29/2023,15:26:00,263.05,263.05,263.05,263.05,1500,163500
