<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
INDIACEM_F3,03/02/2023,13:38:00,199.05,199.05,199.05,199.05,2901,2900
INDIACEM_F3,03/06/2023,09:33:00,204.50,204.50,204.50,204.50,2901,0
INDIACEM_F3,03/10/2023,10:54:00,200.00,200.00,200.00,200.00,2901,2900
INDIACEM_F3,03/14/2023,11:05:00,187.10,187.10,187.10,187.10,2901,2900
INDIACEM_F3,03/14/2023,13:35:00,190.00,190.00,190.00,190.00,2900,5800
INDIACEM_F3,03/15/2023,12:39:00,196.90,196.90,196.90,196.90,2901,8700
INDIACEM_F3,03/15/2023,14:39:00,195.80,195.80,195.80,195.80,2900,8700
INDIACEM_F3,03/16/2023,09:18:00,192.25,192.25,192.25,192.25,5801,8700
INDIACEM_F3,03/16/2023,10:48:00,195.70,195.70,195.70,195.70,2900,14500
INDIACEM_F3,03/16/2023,13:17:00,196.30,196.30,196.30,196.30,2900,17400
INDIACEM_F3,03/17/2023,09:15:00,196.50,196.50,196.50,196.50,2901,17400
INDIACEM_F3,03/17/2023,09:26:00,197.50,197.50,197.50,197.50,2900,20300
INDIACEM_F3,03/17/2023,11:14:00,197.50,197.50,197.50,197.50,2900,17400
INDIACEM_F3,03/17/2023,11:22:00,193.85,193.85,193.85,193.85,2900,17400
INDIACEM_F3,03/17/2023,12:27:00,192.00,192.00,192.00,192.00,2900,17400
INDIACEM_F3,03/17/2023,15:08:00,192.00,192.00,192.00,192.00,2900,20300
INDIACEM_F3,03/20/2023,09:28:00,190.15,190.15,190.15,190.15,2901,23200
INDIACEM_F3,03/20/2023,09:41:00,189.55,189.55,189.55,189.55,2900,23200
INDIACEM_F3,03/20/2023,09:44:00,188.00,188.00,188.00,188.00,2900,26100
INDIACEM_F3,03/20/2023,10:06:00,187.05,187.05,187.05,187.05,2900,29000
INDIACEM_F3,03/20/2023,12:00:00,185.90,185.90,185.90,185.90,5800,31900
INDIACEM_F3,03/20/2023,12:55:00,181.80,181.80,181.80,181.80,2900,26100
INDIACEM_F3,03/20/2023,12:59:00,181.80,181.80,181.80,181.80,2900,23200
