<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
MARUTI_F3,03/01/2023,11:09:00,8830.00,8830.00,8830.00,8830.00,101,400
MARUTI_F3,03/01/2023,12:50:00,8898.45,8898.45,8898.45,8898.45,100,500
MARUTI_F3,03/01/2023,14:50:00,8900.00,8900.00,8900.00,8900.00,100,600
MARUTI_F3,03/01/2023,15:17:00,8900.00,8900.00,8900.00,8900.00,100,700
MARUTI_F3,03/02/2023,09:15:00,8840.00,8840.00,8840.00,8840.00,101,800
MARUTI_F3,03/02/2023,09:17:00,8838.90,8838.90,8838.90,8838.90,100,800
MARUTI_F3,03/02/2023,09:19:00,8838.90,8838.90,8838.90,8838.90,100,700
MARUTI_F3,03/02/2023,09:22:00,8810.00,8810.00,8810.00,8810.00,100,700
MARUTI_F3,03/02/2023,09:28:00,8810.00,8810.00,8810.00,8810.00,100,700
MARUTI_F3,03/02/2023,09:33:00,8800.90,8800.90,8800.90,8800.90,100,700
MARUTI_F3,03/02/2023,10:37:00,8758.00,8758.00,8758.00,8758.00,100,700
MARUTI_F3,03/02/2023,10:41:00,8750.00,8750.00,8750.00,8750.00,100,800
MARUTI_F3,03/02/2023,11:10:00,8730.00,8730.00,8730.00,8730.00,100,800
MARUTI_F3,03/02/2023,11:16:00,8730.00,8730.00,8730.00,8730.00,400,800
MARUTI_F3,03/02/2023,11:38:00,8746.70,8746.70,8746.70,8746.70,100,1200
MARUTI_F3,03/02/2023,11:46:00,8729.00,8729.00,8729.00,8729.00,100,1300
MARUTI_F3,03/02/2023,12:27:00,8729.00,8729.00,8729.00,8729.00,100,1400
MARUTI_F3,03/02/2023,13:16:00,8738.00,8738.00,8738.00,8738.00,100,1400
MARUTI_F3,03/02/2023,13:34:00,8732.00,8732.00,8732.00,8732.00,100,1400
MARUTI_F3,03/02/2023,13:36:00,8725.00,8725.00,8725.00,8725.00,100,1400
MARUTI_F3,03/02/2023,14:10:00,8700.00,8700.00,8700.00,8700.00,100,1500
MARUTI_F3,03/02/2023,14:18:00,8700.00,8700.00,8700.00,8700.00,100,1600
MARUTI_F3,03/02/2023,14:42:00,8708.00,8708.00,8708.00,8708.00,200,1700
MARUTI_F3,03/02/2023,14:43:00,8702.00,8702.00,8702.00,8702.00,100,1800
MARUTI_F3,03/02/2023,14:44:00,8700.00,8700.00,8700.00,8700.00,100,1800
