<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
SUNTV_F3,03/02/2023,14:35:00,446.80,446.80,446.80,446.80,1501,3000
SUNTV_F3,03/03/2023,15:16:00,449.50,449.50,449.50,449.50,1501,4500
SUNTV_F3,03/13/2023,09:15:00,446.85,446.85,445.00,445.00,3001,6000
SUNTV_F3,03/13/2023,12:20:00,434.10,434.10,434.10,434.10,1500,7500
SUNTV_F3,03/14/2023,10:27:00,431.00,431.00,431.00,431.00,1501,9000
SUNTV_F3,03/15/2023,11:22:00,434.90,434.90,434.90,434.90,1501,10500
SUNTV_F3,03/16/2023,13:34:00,440.65,440.65,440.65,440.65,1501,10500
SUNTV_F3,03/17/2023,14:55:00,434.55,434.55,434.55,434.55,1501,12000
SUNTV_F3,03/22/2023,13:49:00,443.50,443.50,443.50,443.50,1501,10500
SUNTV_F3,03/23/2023,09:45:00,439.95,439.95,439.95,439.95,1501,10500
SUNTV_F3,03/23/2023,11:19:00,434.00,434.00,434.00,434.00,1500,10500
SUNTV_F3,03/23/2023,12:23:00,433.20,433.20,433.20,433.20,1500,12000
SUNTV_F3,03/23/2023,15:24:00,433.20,433.20,433.20,433.20,1500,13500
SUNTV_F3,03/24/2023,10:24:00,431.85,431.85,431.85,431.85,1501,13500
SUNTV_F3,03/24/2023,13:03:00,429.90,429.90,429.90,429.90,1500,13500
SUNTV_F3,03/24/2023,14:14:00,428.00,428.00,428.00,428.00,1500,15000
SUNTV_F3,03/24/2023,14:18:00,427.50,427.50,427.50,427.50,1500,16500
SUNTV_F3,03/24/2023,14:52:00,424.90,424.90,424.90,424.90,1500,18000
SUNTV_F3,03/24/2023,15:01:00,424.90,424.90,424.90,424.90,1500,19500
SUNTV_F3,03/27/2023,10:01:00,421.00,421.00,421.00,421.00,3001,21000
SUNTV_F3,03/27/2023,10:43:00,421.45,421.45,421.45,421.45,3000,24000
SUNTV_F3,03/27/2023,10:52:00,421.45,421.45,421.45,421.45,1500,25500
SUNTV_F3,03/27/2023,11:13:00,419.00,419.00,419.00,419.00,1500,25500
SUNTV_F3,03/27/2023,11:55:00,418.80,418.80,418.80,418.80,1500,27000
SUNTV_F3,03/27/2023,12:06:00,418.80,418.80,418.80,418.80,4500,28500
SUNTV_F3,03/27/2023,13:02:00,417.00,417.00,417.00,417.00,1500,33000
SUNTV_F3,03/27/2023,13:42:00,415.00,415.00,415.00,415.00,1500,34500
SUNTV_F3,03/27/2023,15:29:00,415.00,415.00,415.00,415.00,1500,36000
SUNTV_F3,03/28/2023,09:15:00,415.00,415.00,415.00,415.00,1501,36000
SUNTV_F3,03/28/2023,11:01:00,410.25,410.25,410.25,410.25,3000,37500
SUNTV_F3,03/28/2023,11:32:00,405.00,405.00,405.00,405.00,3000,40500
SUNTV_F3,03/28/2023,11:41:00,405.00,405.00,405.00,405.00,4500,43500
SUNTV_F3,03/28/2023,11:49:00,405.00,405.00,405.00,405.00,1500,39000
SUNTV_F3,03/28/2023,12:20:00,402.00,402.00,402.00,402.00,4500,40500
SUNTV_F3,03/28/2023,14:05:00,402.00,402.00,402.00,402.00,1500,45000
SUNTV_F3,03/28/2023,14:31:00,402.00,402.00,402.00,402.00,1500,46500
SUNTV_F3,03/28/2023,14:38:00,407.50,407.50,407.50,407.50,1500,46500
SUNTV_F3,03/28/2023,14:46:00,406.00,406.00,406.00,406.00,1500,46500
SUNTV_F3,03/28/2023,15:00:00,405.40,405.40,405.40,405.40,1500,48000
SUNTV_F3,03/28/2023,15:28:00,404.25,404.25,404.25,404.25,3000,49500
SUNTV_F3,03/29/2023,09:35:00,403.70,403.70,403.70,403.70,1501,49500
SUNTV_F3,03/29/2023,10:14:00,409.55,409.55,409.55,409.55,1500,51000
SUNTV_F3,03/29/2023,10:46:00,409.55,409.55,409.55,409.55,1500,52500
SUNTV_F3,03/29/2023,12:23:00,406.25,406.25,406.25,406.25,1500,54000
SUNTV_F3,03/29/2023,12:33:00,405.30,405.30,405.30,405.30,1500,55500
SUNTV_F3,03/29/2023,12:36:00,405.40,405.40,405.40,405.40,1500,57000
SUNTV_F3,03/29/2023,12:54:00,405.70,405.70,405.70,405.70,1500,58500
SUNTV_F3,03/29/2023,13:11:00,407.70,407.70,407.70,407.70,1500,58500
SUNTV_F3,03/29/2023,13:33:00,408.75,408.75,408.75,408.75,3000,58500
SUNTV_F3,03/29/2023,13:47:00,408.40,408.40,408.40,408.40,3000,61500
SUNTV_F3,03/29/2023,13:50:00,409.25,409.25,409.25,409.25,1500,64500
SUNTV_F3,03/29/2023,14:45:00,409.55,409.55,409.55,409.55,1500,66000
SUNTV_F3,03/29/2023,14:52:00,410.70,410.70,410.70,410.70,1500,64500
SUNTV_F3,03/29/2023,15:06:00,412.30,412.30,412.30,412.30,3000,66000
SUNTV_F3,03/29/2023,15:23:00,413.00,413.00,413.00,413.00,1500,67500
