<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
AARTIIND_F3,05/02/2022,10:22:00,867.00,867.00,867.00,867.00,851,4250
AARTIIND_F3,05/02/2022,10:35:00,867.00,867.00,867.00,867.00,850,5100
AARTIIND_F3,05/02/2022,11:24:00,867.00,867.00,867.00,867.00,850,5100
AARTIIND_F3,05/02/2022,12:31:00,873.85,873.85,873.85,873.85,850,5950
AARTIIND_F3,05/02/2022,15:01:00,873.85,873.85,873.85,873.85,850,5950
AARTIIND_F3,05/02/2022,15:28:00,850.05,850.05,850.05,850.05,850,6800
AARTIIND_F3,05/04/2022,13:45:00,848.00,848.00,848.00,848.00,851,7650
AARTIIND_F3,05/04/2022,14:51:00,841.45,841.45,841.45,841.45,850,8500
AARTIIND_F3,05/05/2022,13:29:00,849.00,849.00,849.00,849.00,851,8500
AARTIIND_F3,05/05/2022,14:05:00,839.15,839.15,839.15,839.15,850,9350
AARTIIND_F3,05/06/2022,09:34:00,820.00,820.00,820.00,820.00,851,10200
AARTIIND_F3,05/06/2022,10:58:00,809.20,809.20,809.20,809.20,850,10200
AARTIIND_F3,05/06/2022,11:51:00,800.00,800.00,800.00,800.00,1700,11050
AARTIIND_F3,05/06/2022,12:25:00,801.35,801.35,801.35,801.35,850,12750
AARTIIND_F3,05/06/2022,13:42:00,801.35,801.35,801.35,801.35,850,12750
AARTIIND_F3,05/06/2022,13:47:00,799.00,799.00,799.00,799.00,850,13600
AARTIIND_F3,05/06/2022,13:50:00,799.00,799.00,799.00,799.00,850,14450
AARTIIND_F3,05/06/2022,14:56:00,793.00,793.00,793.00,793.00,850,13600
AARTIIND_F3,05/06/2022,15:08:00,792.65,792.65,792.65,792.65,850,14450
AARTIIND_F3,05/06/2022,15:21:00,792.65,792.65,792.65,792.65,850,14450
AARTIIND_F3,05/06/2022,15:22:00,796.65,796.65,796.25,796.25,1700,14450
AARTIIND_F3,05/09/2022,09:25:00,789.50,789.50,789.50,789.50,851,15300
AARTIIND_F3,05/09/2022,09:45:00,793.00,793.00,793.00,793.00,850,16150
AARTIIND_F3,05/09/2022,11:17:00,793.00,793.00,793.00,793.00,850,16150
AARTIIND_F3,05/09/2022,11:30:00,795.60,795.60,795.60,795.60,850,17850
AARTIIND_F3,05/09/2022,12:07:00,795.60,795.60,795.60,795.60,850,18700
AARTIIND_F3,05/09/2022,14:09:00,784.00,784.00,784.00,784.00,850,18700
AARTIIND_F3,05/09/2022,14:15:00,777.30,777.30,777.30,777.30,850,18700
AARTIIND_F3,05/09/2022,14:25:00,777.30,777.30,777.30,777.30,850,18700
AARTIIND_F3,05/09/2022,15:23:00,777.30,777.30,777.30,777.30,850,19550
AARTIIND_F3,05/10/2022,10:53:00,783.00,783.00,783.00,783.00,851,19550
AARTIIND_F3,05/10/2022,13:52:00,784.00,784.00,784.00,784.00,850,20400
AARTIIND_F3,05/10/2022,14:31:00,784.00,784.00,784.00,784.00,850,21250
AARTIIND_F3,05/11/2022,09:52:00,776.00,776.00,776.00,776.00,851,22100
AARTIIND_F3,05/11/2022,10:54:00,764.00,764.00,764.00,764.00,850,22950
AARTIIND_F3,05/11/2022,10:56:00,761.50,761.50,761.50,761.50,850,22950
AARTIIND_F3,05/11/2022,11:23:00,761.50,761.50,761.50,761.50,850,22950
AARTIIND_F3,05/11/2022,11:55:00,761.50,761.50,761.50,761.50,850,22100
AARTIIND_F3,05/11/2022,12:47:00,755.00,755.00,755.00,755.00,850,22950
AARTIIND_F3,05/11/2022,12:52:00,754.55,754.55,754.55,754.55,850,22950
AARTIIND_F3,05/11/2022,12:56:00,751.15,751.15,751.15,751.15,850,22950
AARTIIND_F3,05/11/2022,13:15:00,749.15,749.15,749.15,749.15,850,22950
AARTIIND_F3,05/11/2022,13:16:00,749.15,749.15,749.15,749.15,1700,22100
AARTIIND_F3,05/11/2022,13:47:00,760.80,760.80,760.80,760.80,850,22100
AARTIIND_F3,05/11/2022,15:08:00,748.00,748.00,748.00,748.00,1700,22950
AARTIIND_F3,05/11/2022,15:12:00,750.10,750.10,750.10,750.10,850,24650
AARTIIND_F3,05/11/2022,15:29:00,750.10,750.10,750.10,750.10,850,25500
AARTIIND_F3,05/12/2022,09:38:00,741.00,741.00,741.00,741.00,851,26350
AARTIIND_F3,05/12/2022,10:10:00,740.70,740.70,740.70,740.70,1700,27200
AARTIIND_F3,05/12/2022,10:13:00,740.00,740.00,740.00,740.00,850,27200
AARTIIND_F3,05/12/2022,11:17:00,740.00,740.00,740.00,740.00,850,28050
AARTIIND_F3,05/12/2022,12:50:00,751.50,751.50,751.50,751.50,3400,28050
AARTIIND_F3,05/12/2022,13:20:00,752.15,752.15,752.15,752.15,850,31450
AARTIIND_F3,05/12/2022,14:13:00,752.15,752.15,752.15,752.15,850,30600
AARTIIND_F3,05/12/2022,14:14:00,736.85,736.85,736.85,736.85,850,30600
AARTIIND_F3,05/13/2022,09:47:00,760.00,760.00,760.00,760.00,851,30600
AARTIIND_F3,05/13/2022,12:07:00,769.55,769.55,769.55,769.55,850,29750
AARTIIND_F3,05/13/2022,12:40:00,769.55,769.55,769.55,769.55,1700,29750
AARTIIND_F3,05/13/2022,15:18:00,750.00,750.00,750.00,750.00,850,30600
AARTIIND_F3,05/16/2022,09:54:00,762.70,762.70,762.70,762.70,851,30600
AARTIIND_F3,05/16/2022,09:56:00,767.35,767.35,767.35,767.35,850,31450
AARTIIND_F3,05/16/2022,10:01:00,767.35,767.35,767.35,767.35,850,32300
AARTIIND_F3,05/16/2022,12:05:00,755.00,755.00,755.00,755.00,850,33150
AARTIIND_F3,05/17/2022,14:00:00,774.05,774.05,774.05,774.05,851,32300
AARTIIND_F3,05/17/2022,15:26:00,775.00,775.00,775.00,775.00,850,31450
AARTIIND_F3,05/18/2022,09:28:00,783.00,783.00,783.00,783.00,851,32300
AARTIIND_F3,05/18/2022,09:34:00,781.00,781.00,781.00,781.00,850,33150
AARTIIND_F3,05/18/2022,09:56:00,781.00,781.00,781.00,781.00,850,34000
AARTIIND_F3,05/18/2022,10:02:00,785.40,785.40,785.40,785.40,850,34850
