<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BANKBARODA_F3,05/02/2022,11:11:00,112.10,112.10,112.10,112.10,5851,29250
BANKBARODA_F3,05/04/2022,09:35:00,113.40,113.40,113.40,113.40,5851,35100
BANKBARODA_F3,05/04/2022,10:59:00,114.10,114.10,114.05,114.05,251550,216450
BANKBARODA_F3,05/04/2022,11:02:00,114.05,114.05,114.05,114.05,23400,216450
BANKBARODA_F3,05/04/2022,11:19:00,114.05,114.05,114.05,114.05,117000,298350
BANKBARODA_F3,05/04/2022,11:22:00,114.15,114.20,114.15,114.20,11700,415350
BANKBARODA_F3,05/04/2022,11:25:00,114.30,114.30,114.30,114.30,5850,421200
BANKBARODA_F3,05/04/2022,11:31:00,114.30,114.30,114.30,114.30,5850,427050
BANKBARODA_F3,05/04/2022,11:59:00,113.15,113.15,113.15,113.15,5850,427050
BANKBARODA_F3,05/04/2022,12:01:00,113.15,113.15,113.15,113.15,29250,432900
BANKBARODA_F3,05/04/2022,12:02:00,113.15,113.15,113.15,113.15,99450,538200
BANKBARODA_F3,05/04/2022,12:03:00,113.15,113.15,113.15,113.15,23400,538200
BANKBARODA_F3,05/04/2022,12:04:00,113.15,113.15,113.15,113.15,175500,538200
BANKBARODA_F3,05/04/2022,12:05:00,113.15,113.15,113.15,113.15,64350,538200
BANKBARODA_F3,05/04/2022,13:46:00,113.15,113.15,113.15,113.15,5850,824850
BANKBARODA_F3,05/04/2022,13:47:00,113.15,113.15,113.15,113.15,29250,824850
BANKBARODA_F3,05/04/2022,14:04:00,111.90,111.90,111.90,111.90,23400,859950
BANKBARODA_F3,05/04/2022,14:33:00,109.00,109.00,109.00,109.00,5850,877500
BANKBARODA_F3,05/04/2022,14:58:00,107.60,107.60,107.60,107.60,11700,883350
BANKBARODA_F3,05/04/2022,15:04:00,107.00,107.00,107.00,107.00,17550,889200
BANKBARODA_F3,05/04/2022,15:05:00,106.95,106.95,106.95,106.95,5850,889200
