<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
HDFCBANK_F1,05/02/2022,09:15:00,1360.00,1361.90,1352.10,1358.85,250253,79441448
HDFCBANK_F1,05/02/2022,09:16:00,1358.05,1361.20,1358.05,1361.20,141350,79441448
HDFCBANK_F1,05/02/2022,09:17:00,1360.60,1361.55,1358.05,1359.00,136950,79601504
HDFCBANK_F1,05/02/2022,09:18:00,1359.30,1361.45,1358.95,1361.45,99550,79601504
HDFCBANK_F1,05/02/2022,09:19:00,1361.25,1365.90,1360.90,1365.00,133100,79601504
HDFCBANK_F1,05/02/2022,09:20:00,1365.55,1365.60,1364.70,1365.20,122650,79714248
HDFCBANK_F1,05/02/2022,09:21:00,1364.75,1365.40,1364.20,1365.00,111650,79714248
HDFCBANK_F1,05/02/2022,09:22:00,1364.70,1365.35,1361.15,1361.80,139700,79714248
HDFCBANK_F1,05/02/2022,09:23:00,1362.10,1362.70,1360.80,1361.20,88000,79796200
HDFCBANK_F1,05/02/2022,09:24:00,1361.40,1363.00,1361.00,1362.50,48400,79796200
HDFCBANK_F1,05/02/2022,09:25:00,1362.55,1363.35,1362.20,1362.80,54450,79796200
HDFCBANK_F1,05/02/2022,09:26:00,1362.95,1363.50,1361.70,1361.85,39600,79816000
HDFCBANK_F1,05/02/2022,09:27:00,1361.45,1363.80,1360.40,1363.80,70400,79816000
HDFCBANK_F1,05/02/2022,09:28:00,1363.70,1363.95,1361.60,1361.85,52800,79816000
HDFCBANK_F1,05/02/2022,09:29:00,1361.85,1362.95,1361.60,1362.10,38500,79829200
HDFCBANK_F1,05/02/2022,09:30:00,1362.10,1363.30,1360.75,1363.00,86900,79829200
HDFCBANK_F1,05/02/2022,09:31:00,1362.75,1362.75,1361.50,1362.45,50600,79829200
HDFCBANK_F1,05/02/2022,09:32:00,1362.10,1362.30,1360.95,1361.25,63800,79849552
HDFCBANK_F1,05/02/2022,09:33:00,1361.20,1362.00,1360.80,1361.70,25850,79849552
HDFCBANK_F1,05/02/2022,09:34:00,1361.50,1364.00,1361.40,1363.45,42900,79849552
HDFCBANK_F1,05/02/2022,09:35:00,1363.00,1363.70,1362.60,1363.45,22550,79808848
HDFCBANK_F1,05/02/2022,09:36:00,1363.60,1365.95,1362.45,1363.95,188650,79808848
HDFCBANK_F1,05/02/2022,09:37:00,1364.70,1366.00,1363.90,1365.70,41250,79808848
HDFCBANK_F1,05/02/2022,09:38:00,1365.55,1368.05,1365.25,1367.90,67650,79879248
HDFCBANK_F1,05/02/2022,09:39:00,1367.70,1368.90,1367.40,1368.25,68200,79879248
HDFCBANK_F1,05/02/2022,09:40:00,1368.25,1370.00,1368.00,1369.70,83050,79879248
HDFCBANK_F1,05/02/2022,09:41:00,1369.70,1372.40,1369.65,1371.25,175450,79907848
HDFCBANK_F1,05/02/2022,09:42:00,1372.05,1372.30,1370.70,1371.65,58850,79907848
HDFCBANK_F1,05/02/2022,09:43:00,1371.95,1372.00,1371.15,1371.50,70950,79907848
HDFCBANK_F1,05/02/2022,09:44:00,1371.50,1374.30,1371.35,1374.30,88550,79967800
HDFCBANK_F1,05/02/2022,09:45:00,1374.40,1374.50,1372.25,1372.60,76450,79967800
HDFCBANK_F1,05/02/2022,09:46:00,1372.30,1372.30,1370.50,1371.55,58850,79967800
HDFCBANK_F1,05/02/2022,09:47:00,1371.30,1371.50,1370.50,1371.05,47300,79989248
HDFCBANK_F1,05/02/2022,09:48:00,1371.05,1372.50,1371.05,1372.20,33000,79989248
HDFCBANK_F1,05/02/2022,09:49:00,1372.45,1372.95,1371.15,1371.80,39050,79989248
HDFCBANK_F1,05/02/2022,09:50:00,1371.90,1372.50,1371.35,1372.50,51150,79974400
HDFCBANK_F1,05/02/2022,09:51:00,1372.35,1373.50,1371.90,1373.50,57200,79974400
HDFCBANK_F1,05/02/2022,09:52:00,1373.50,1377.20,1373.50,1376.30,146300,79974400
HDFCBANK_F1,05/02/2022,09:53:00,1376.00,1376.05,1374.85,1375.15,108350,79972200
HDFCBANK_F1,05/02/2022,09:54:00,1375.50,1375.50,1374.40,1375.50,58300,79972200
HDFCBANK_F1,05/02/2022,09:55:00,1375.60,1376.85,1375.10,1376.20,61600,79972200
HDFCBANK_F1,05/02/2022,09:56:00,1376.55,1377.50,1375.45,1376.50,74800,79961752
HDFCBANK_F1,05/02/2022,09:57:00,1376.50,1376.65,1375.10,1375.10,47850,79961752
HDFCBANK_F1,05/02/2022,09:58:00,1375.50,1375.90,1375.00,1375.25,52250,79961752
HDFCBANK_F1,05/02/2022,09:59:00,1375.10,1375.25,1374.40,1375.00,88550,79984848
HDFCBANK_F1,05/02/2022,10:00:00,1374.95,1377.20,1374.95,1376.60,62700,79984848
HDFCBANK_F1,05/02/2022,10:01:00,1376.60,1377.60,1375.45,1377.60,47300,79984848
HDFCBANK_F1,05/02/2022,10:02:00,1377.05,1378.85,1377.05,1377.70,98450,80009600
HDFCBANK_F1,05/02/2022,10:03:00,1377.90,1378.70,1376.75,1376.75,67650,80009600
HDFCBANK_F1,05/02/2022,10:04:00,1377.05,1377.10,1373.35,1375.60,71500,80009600
HDFCBANK_F1,05/02/2022,10:05:00,1375.85,1376.35,1373.75,1374.35,50050,79817104
HDFCBANK_F1,05/02/2022,10:06:00,1374.25,1374.95,1373.80,1374.25,39600,79817104
HDFCBANK_F1,05/02/2022,10:07:00,1374.15,1374.20,1371.15,1373.55,135300,79817104
HDFCBANK_F1,05/02/2022,10:08:00,1373.05,1374.35,1371.50,1372.00,71500,79875952
HDFCBANK_F1,05/02/2022,10:09:00,1372.00,1373.55,1372.00,1373.15,57200,79875952
HDFCBANK_F1,05/02/2022,10:10:00,1373.15,1374.30,1373.15,1374.25,15400,79875952
HDFCBANK_F1,05/02/2022,10:11:00,1374.10,1374.55,1373.50,1374.25,28050,79863296
HDFCBANK_F1,05/02/2022,10:12:00,1374.50,1375.65,1374.25,1375.50,34650,79863296
HDFCBANK_F1,05/02/2022,10:13:00,1375.30,1375.55,1374.90,1375.25,18150,79863296
HDFCBANK_F1,05/02/2022,10:14:00,1375.00,1375.70,1374.85,1375.30,39600,79877600
HDFCBANK_F1,05/02/2022,10:15:00,1375.50,1377.20,1375.50,1376.40,42900,79877600
HDFCBANK_F1,05/02/2022,10:16:00,1376.40,1376.50,1375.25,1376.25,33000,79877600
HDFCBANK_F1,05/02/2022,10:17:00,1376.00,1377.40,1376.00,1377.00,45650,79871000
HDFCBANK_F1,05/02/2022,10:18:00,1377.25,1377.25,1375.65,1376.55,39050,79871000
HDFCBANK_F1,05/02/2022,10:19:00,1376.65,1377.25,1376.10,1377.10,29700,79871000
HDFCBANK_F1,05/02/2022,10:20:00,1377.10,1377.85,1377.10,1377.55,55000,79899048
HDFCBANK_F1,05/02/2022,10:21:00,1377.25,1377.70,1376.95,1377.30,47300,79899048
HDFCBANK_F1,05/02/2022,10:22:00,1377.50,1378.00,1377.35,1378.00,29150,79899048
HDFCBANK_F1,05/02/2022,10:23:00,1377.95,1378.90,1375.10,1375.10,67100,79825904
HDFCBANK_F1,05/02/2022,10:24:00,1375.25,1376.65,1375.15,1375.60,39050,79825904
HDFCBANK_F1,05/02/2022,10:25:00,1375.90,1377.10,1375.65,1377.10,45650,79825904
HDFCBANK_F1,05/02/2022,10:26:00,1377.00,1377.70,1376.55,1377.70,20900,79856704
HDFCBANK_F1,05/02/2022,10:27:00,1377.80,1377.90,1377.00,1377.25,52800,79856704
HDFCBANK_F1,05/02/2022,10:28:00,1377.25,1377.25,1376.50,1376.85,26400,79856704
HDFCBANK_F1,05/02/2022,10:29:00,1376.85,1377.45,1376.70,1376.90,37400,79827552
HDFCBANK_F1,05/02/2022,10:30:00,1376.80,1377.20,1375.85,1376.60,40150,79827552
HDFCBANK_F1,05/02/2022,10:31:00,1376.80,1377.65,1376.40,1377.65,34100,79827552
HDFCBANK_F1,05/02/2022,10:32:00,1377.95,1377.95,1376.70,1377.00,29700,79852848
HDFCBANK_F1,05/02/2022,10:33:00,1377.30,1378.00,1377.10,1378.00,29150,79852848
HDFCBANK_F1,05/02/2022,10:34:00,1378.00,1378.60,1377.40,1377.90,55550,79852848
HDFCBANK_F1,05/02/2022,10:35:00,1378.00,1378.10,1375.80,1375.80,22550,79850096
HDFCBANK_F1,05/02/2022,10:36:00,1376.05,1376.85,1376.05,1376.70,5500,79850096
HDFCBANK_F1,05/02/2022,10:37:00,1376.80,1377.80,1376.70,1377.80,21450,79850096
HDFCBANK_F1,05/02/2022,10:38:00,1377.40,1378.00,1377.30,1377.65,13750,79850096
HDFCBANK_F1,05/02/2022,10:39:00,1377.60,1378.70,1377.45,1378.25,27500,79850096
HDFCBANK_F1,05/02/2022,10:40:00,1378.30,1378.45,1377.80,1377.95,18150,79850096
HDFCBANK_F1,05/02/2022,10:41:00,1378.00,1378.35,1377.85,1378.35,17050,79856704
HDFCBANK_F1,05/02/2022,10:42:00,1378.35,1378.35,1377.50,1377.50,12650,79856704
HDFCBANK_F1,05/02/2022,10:43:00,1378.05,1378.50,1377.70,1378.50,22000,79856704
HDFCBANK_F1,05/02/2022,10:44:00,1378.50,1380.55,1378.30,1379.70,74250,79830304
HDFCBANK_F1,05/02/2022,10:45:00,1379.85,1379.85,1378.35,1378.70,36300,79830304
HDFCBANK_F1,05/02/2022,10:46:00,1378.65,1378.95,1377.55,1377.80,40700,79830304
HDFCBANK_F1,05/02/2022,10:47:00,1377.80,1377.90,1377.05,1377.55,48950,79863296
HDFCBANK_F1,05/02/2022,10:48:00,1377.60,1378.25,1377.55,1378.10,13200,79863296
HDFCBANK_F1,05/02/2022,10:49:00,1377.95,1378.90,1377.85,1378.55,22550,79863296
HDFCBANK_F1,05/02/2022,10:50:00,1378.75,1379.25,1378.45,1378.55,51700,79814352
HDFCBANK_F1,05/02/2022,10:51:00,1379.10,1379.10,1377.65,1377.65,30800,79814352
HDFCBANK_F1,05/02/2022,10:52:00,1377.55,1377.60,1377.30,1377.40,25850,79814352
HDFCBANK_F1,05/02/2022,10:53:00,1377.50,1377.95,1377.10,1377.40,30800,79824800
HDFCBANK_F1,05/02/2022,10:54:00,1377.05,1377.50,1375.50,1375.60,23650,79824800
HDFCBANK_F1,05/02/2022,10:55:00,1375.40,1375.95,1375.30,1375.80,15400,79824800
