<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
IDFC_F2,05/02/2022,09:24:00,57.20,57.20,57.15,57.15,50001,590000
IDFC_F2,05/02/2022,09:32:00,57.15,57.15,56.95,56.95,30000,630000
IDFC_F2,05/02/2022,09:34:00,56.95,56.95,56.95,56.95,10000,630000
IDFC_F2,05/02/2022,09:38:00,57.15,57.15,57.15,57.15,10000,630000
IDFC_F2,05/02/2022,09:48:00,57.10,57.10,57.10,57.10,10000,640000
IDFC_F2,05/02/2022,10:28:00,57.10,57.10,57.10,57.10,10000,640000
IDFC_F2,05/02/2022,10:30:00,56.85,56.85,56.85,56.85,10000,630000
IDFC_F2,05/02/2022,10:55:00,56.85,56.85,56.85,56.85,10000,630000
IDFC_F2,05/02/2022,11:03:00,56.55,56.55,56.55,56.55,10000,620000
IDFC_F2,05/02/2022,11:17:00,56.15,56.15,56.15,56.15,90000,620000
IDFC_F2,05/02/2022,11:21:00,55.90,55.90,55.90,55.90,20000,620000
IDFC_F2,05/02/2022,11:57:00,55.90,55.90,55.90,55.90,10000,620000
IDFC_F2,05/02/2022,12:23:00,56.70,56.70,56.70,56.70,10000,620000
IDFC_F2,05/02/2022,15:07:00,56.65,56.65,56.65,56.65,10000,630000
IDFC_F2,05/02/2022,15:09:00,56.65,56.65,56.65,56.65,10000,630000
IDFC_F2,05/02/2022,15:15:00,56.75,56.75,56.75,56.75,10000,620000
IDFC_F2,05/02/2022,15:25:00,56.80,56.80,56.80,56.80,10000,630000
IDFC_F2,05/04/2022,09:28:00,57.05,57.05,56.75,56.75,40001,620000
IDFC_F2,05/04/2022,09:44:00,57.00,57.00,57.00,57.00,10000,620000
IDFC_F2,05/04/2022,10:36:00,57.20,57.20,57.20,57.20,10000,630000
IDFC_F2,05/04/2022,10:38:00,57.35,57.35,57.35,57.35,10000,630000
IDFC_F2,05/04/2022,10:43:00,57.90,57.90,57.90,57.90,10000,620000
IDFC_F2,05/04/2022,11:39:00,57.90,57.90,57.90,57.90,10000,620000
IDFC_F2,05/04/2022,13:15:00,57.00,57.00,57.00,57.00,10000,630000
