<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
IGL_F3,05/02/2022,09:25:00,347.80,347.80,347.80,347.80,2751,63250
IGL_F3,05/02/2022,09:26:00,347.65,347.65,347.65,347.65,1375,63250
IGL_F3,05/02/2022,09:27:00,346.00,346.00,346.00,346.00,2750,63250
IGL_F3,05/02/2022,09:30:00,344.55,345.95,344.55,345.95,4125,66000
IGL_F3,05/02/2022,09:32:00,344.50,344.50,344.50,344.50,1375,66000
IGL_F3,05/02/2022,10:15:00,344.50,344.50,344.50,344.50,1375,67375
IGL_F3,05/02/2022,10:22:00,349.70,349.70,349.70,349.70,2750,68750
IGL_F3,05/02/2022,10:31:00,351.90,351.90,351.90,351.90,1375,68750
IGL_F3,05/02/2022,10:36:00,351.90,351.90,351.90,351.90,2750,70125
IGL_F3,05/02/2022,10:39:00,352.35,352.35,352.35,352.35,1375,70125
IGL_F3,05/02/2022,10:42:00,353.00,353.00,353.00,353.00,1375,71500
IGL_F3,05/02/2022,11:48:00,353.00,353.00,353.00,353.00,1375,72875
IGL_F3,05/02/2022,11:49:00,350.45,350.45,350.45,350.45,1375,72875
IGL_F3,05/02/2022,11:52:00,350.80,350.80,350.80,350.80,1375,75625
IGL_F3,05/02/2022,11:57:00,349.10,349.10,349.10,349.10,1375,75625
IGL_F3,05/02/2022,13:17:00,349.00,349.00,349.00,349.00,1375,74250
IGL_F3,05/02/2022,14:11:00,344.25,344.25,344.25,344.25,1375,74250
IGL_F3,05/02/2022,14:27:00,344.25,344.25,344.25,344.25,1375,74250
IGL_F3,05/02/2022,14:28:00,345.65,345.65,345.65,345.65,1375,74250
IGL_F3,05/02/2022,14:31:00,345.90,345.90,345.90,345.90,1375,77000
IGL_F3,05/02/2022,14:47:00,348.00,348.00,348.00,348.00,1375,77000
IGL_F3,05/02/2022,15:15:00,347.50,347.50,347.50,347.50,1375,77000
IGL_F3,05/02/2022,15:20:00,347.25,347.25,347.25,347.25,1375,78375
IGL_F3,05/02/2022,15:28:00,346.00,346.00,346.00,346.00,1375,79750
IGL_F3,05/04/2022,09:30:00,345.95,345.95,345.95,345.95,1376,81125
IGL_F3,05/04/2022,09:36:00,345.00,345.00,345.00,345.00,2750,81125
IGL_F3,05/04/2022,09:39:00,344.50,344.50,344.50,344.50,1375,82500
IGL_F3,05/04/2022,09:45:00,344.05,344.05,344.05,344.05,4125,83875
IGL_F3,05/04/2022,09:52:00,344.30,344.30,344.30,344.30,1375,86625
IGL_F3,05/04/2022,10:56:00,342.15,342.15,342.15,342.15,1375,86625
IGL_F3,05/04/2022,11:40:00,341.50,341.50,341.50,341.50,1375,88000
IGL_F3,05/04/2022,11:44:00,341.50,341.50,341.50,341.50,1375,89375
IGL_F3,05/04/2022,12:10:00,341.00,341.00,341.00,341.00,1375,90750
IGL_F3,05/04/2022,12:14:00,340.60,340.60,340.60,340.60,1375,92125
IGL_F3,05/04/2022,12:21:00,340.60,340.60,340.60,340.60,1375,92125
IGL_F3,05/04/2022,12:22:00,341.65,341.65,341.65,341.65,1375,92125
IGL_F3,05/04/2022,12:36:00,340.30,340.30,340.30,340.30,1375,93500
IGL_F3,05/04/2022,12:42:00,339.50,339.50,339.50,339.50,1375,94875
IGL_F3,05/04/2022,12:59:00,339.50,339.50,339.50,339.50,1375,96250
IGL_F3,05/04/2022,13:03:00,341.80,341.80,341.80,341.80,1375,96250
IGL_F3,05/04/2022,13:04:00,342.00,342.00,342.00,342.00,1375,96250
IGL_F3,05/04/2022,13:21:00,344.15,344.15,344.15,344.15,1375,94875
IGL_F3,05/04/2022,13:36:00,344.00,344.00,344.00,344.00,1375,94875
IGL_F3,05/04/2022,14:18:00,342.50,342.50,342.50,342.50,1375,94875
IGL_F3,05/04/2022,14:44:00,340.00,340.00,340.00,340.00,2750,96250
IGL_F3,05/04/2022,14:55:00,340.00,340.00,340.00,340.00,1375,99000
IGL_F3,05/04/2022,14:59:00,340.70,340.70,340.70,340.70,1375,97625
IGL_F3,05/04/2022,15:03:00,341.30,341.30,341.30,341.30,1375,97625
IGL_F3,05/04/2022,15:27:00,343.95,343.95,343.95,343.95,1375,97625
IGL_F3,05/05/2022,09:23:00,348.00,348.00,348.00,348.00,1376,97625
IGL_F3,05/05/2022,09:31:00,349.05,349.05,349.05,349.05,1375,99000
IGL_F3,05/05/2022,09:38:00,349.05,349.05,349.05,349.05,1375,99000
IGL_F3,05/05/2022,10:08:00,351.85,351.85,351.85,351.85,1375,100375
IGL_F3,05/05/2022,10:36:00,352.00,352.00,352.00,352.00,1375,101750
IGL_F3,05/05/2022,10:39:00,352.00,352.00,352.00,352.00,1375,100375
IGL_F3,05/05/2022,10:42:00,352.00,352.00,352.00,352.00,1375,100375
IGL_F3,05/05/2022,10:46:00,352.00,352.00,352.00,352.00,2750,99000
IGL_F3,05/05/2022,10:47:00,352.50,352.50,352.50,352.50,1375,99000
IGL_F3,05/05/2022,10:52:00,352.50,352.50,352.50,352.50,1375,97625
IGL_F3,05/05/2022,11:18:00,353.85,353.85,353.85,353.85,1375,97625
IGL_F3,05/05/2022,13:13:00,353.85,353.85,353.85,353.85,1375,97625
IGL_F3,05/05/2022,13:32:00,353.75,353.75,353.75,353.75,2750,97625
IGL_F3,05/05/2022,14:22:00,347.05,347.05,347.05,347.05,1375,97625
IGL_F3,05/05/2022,14:58:00,347.05,347.05,347.05,347.05,1375,99000
IGL_F3,05/05/2022,15:17:00,348.50,348.50,348.50,348.50,1375,97625
IGL_F3,05/05/2022,15:29:00,348.25,348.25,348.25,348.25,1375,99000
IGL_F3,05/06/2022,09:22:00,340.40,340.40,340.40,340.40,1376,97625
