<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
RAMCOCEM_F3,05/04/2022,14:20:00,759.45,759.45,759.45,759.45,1701,1700
RAMCOCEM_F3,05/04/2022,14:34:00,756.00,756.00,756.00,756.00,1700,2550
RAMCOCEM_F3,05/05/2022,13:14:00,752.00,752.00,752.00,752.00,851,3400
RAMCOCEM_F3,05/05/2022,13:46:00,748.40,748.40,748.40,748.40,850,4250
RAMCOCEM_F3,05/06/2022,15:10:00,724.00,724.00,724.00,724.00,851,5100
RAMCOCEM_F3,05/09/2022,09:15:00,720.00,720.00,720.00,720.00,1701,5950
RAMCOCEM_F3,05/09/2022,09:57:00,717.10,717.10,717.10,717.10,850,7650
RAMCOCEM_F3,05/09/2022,13:38:00,717.10,717.10,717.10,717.10,850,7650
RAMCOCEM_F3,05/10/2022,12:29:00,731.45,731.45,731.45,731.45,851,7650
RAMCOCEM_F3,05/10/2022,13:17:00,729.20,729.20,729.20,729.20,850,8500
RAMCOCEM_F3,05/10/2022,15:24:00,723.25,723.25,723.25,723.25,850,9350
RAMCOCEM_F3,05/11/2022,12:09:00,717.40,717.40,717.40,717.40,1701,10200
RAMCOCEM_F3,05/12/2022,09:52:00,690.60,690.60,690.60,690.60,1701,10200
RAMCOCEM_F3,05/12/2022,10:10:00,691.55,691.55,691.55,691.55,850,10200
RAMCOCEM_F3,05/12/2022,10:13:00,691.55,691.55,691.55,691.55,850,10200
RAMCOCEM_F3,05/13/2022,10:02:00,691.00,691.00,684.00,684.00,2552,11050
RAMCOCEM_F3,05/13/2022,10:18:00,683.50,683.50,683.50,683.50,850,12750
RAMCOCEM_F3,05/13/2022,10:52:00,683.50,683.50,683.50,683.50,850,12750
RAMCOCEM_F3,05/13/2022,12:30:00,690.00,690.00,690.00,690.00,850,13600
RAMCOCEM_F3,05/13/2022,13:50:00,700.00,700.00,700.00,700.00,2550,14450
RAMCOCEM_F3,05/13/2022,14:26:00,700.00,700.00,700.00,700.00,2550,17000
RAMCOCEM_F3,05/13/2022,14:27:00,689.70,689.70,689.70,689.70,850,17850
RAMCOCEM_F3,05/16/2022,11:09:00,695.20,695.20,695.20,695.20,851,17850
RAMCOCEM_F3,05/17/2022,12:36:00,689.90,689.90,689.90,689.90,851,17850
RAMCOCEM_F3,05/17/2022,14:28:00,694.80,694.80,694.80,694.80,850,17850
RAMCOCEM_F3,05/17/2022,14:45:00,698.00,698.00,698.00,698.00,850,18700
RAMCOCEM_F3,05/17/2022,15:13:00,698.00,698.00,698.00,698.00,3400,17850
RAMCOCEM_F3,05/18/2022,09:20:00,698.00,698.00,698.00,698.00,851,21250
RAMCOCEM_F3,05/18/2022,09:21:00,698.00,698.00,698.00,698.00,1700,22100
RAMCOCEM_F3,05/18/2022,09:28:00,702.85,702.85,702.85,702.85,850,23800
RAMCOCEM_F3,05/18/2022,09:42:00,702.85,702.85,698.00,698.00,4250,23800
RAMCOCEM_F3,05/18/2022,09:50:00,698.00,698.00,698.00,698.00,3400,27200
RAMCOCEM_F3,05/18/2022,09:52:00,698.35,698.35,698.35,698.35,850,27200
RAMCOCEM_F3,05/18/2022,10:38:00,692.60,692.60,692.60,692.60,850,27200
RAMCOCEM_F3,05/18/2022,11:45:00,689.75,689.75,689.75,689.75,850,27200
RAMCOCEM_F3,05/18/2022,11:46:00,689.00,689.00,689.00,689.00,850,27200
RAMCOCEM_F3,05/18/2022,13:06:00,689.00,689.00,689.00,689.00,1700,28900
RAMCOCEM_F3,05/18/2022,13:10:00,693.50,693.50,693.50,693.50,850,28900
RAMCOCEM_F3,05/18/2022,13:36:00,700.00,700.00,700.00,700.00,850,28900
RAMCOCEM_F3,05/18/2022,15:26:00,698.00,698.00,698.00,698.00,850,28900
RAMCOCEM_F3,05/19/2022,09:24:00,680.35,680.35,680.35,680.35,1701,28900
RAMCOCEM_F3,05/19/2022,11:36:00,680.45,680.45,680.45,680.45,850,28900
RAMCOCEM_F3,05/19/2022,15:05:00,680.55,680.55,680.55,680.55,850,28900
RAMCOCEM_F3,05/19/2022,15:06:00,680.55,680.55,680.55,680.55,850,28900
RAMCOCEM_F3,05/19/2022,15:09:00,678.60,678.60,678.60,678.60,850,28900
RAMCOCEM_F3,05/19/2022,15:18:00,678.45,678.45,678.45,678.45,850,28900
RAMCOCEM_F3,05/19/2022,15:19:00,677.85,677.85,677.85,677.85,850,28900
RAMCOCEM_F3,05/19/2022,15:20:00,677.85,677.85,677.85,677.85,850,28900
RAMCOCEM_F3,05/20/2022,09:39:00,683.45,683.45,683.45,683.45,851,28900
RAMCOCEM_F3,05/20/2022,09:47:00,688.25,688.25,688.25,688.25,850,29750
RAMCOCEM_F3,05/20/2022,10:16:00,688.25,688.25,687.00,687.00,1700,30600
RAMCOCEM_F3,05/20/2022,11:21:00,679.55,679.55,679.55,679.55,850,32300
RAMCOCEM_F3,05/20/2022,11:42:00,679.55,679.55,679.55,679.55,850,33150
RAMCOCEM_F3,05/20/2022,12:03:00,684.00,684.00,684.00,684.00,3400,32300
RAMCOCEM_F3,05/20/2022,12:04:00,683.00,683.00,683.00,683.00,1700,32300
RAMCOCEM_F3,05/20/2022,12:06:00,683.00,683.00,683.00,683.00,850,34850
RAMCOCEM_F3,05/20/2022,12:09:00,682.50,682.50,682.00,682.00,3400,35700
RAMCOCEM_F3,05/20/2022,12:11:00,682.30,682.30,682.30,682.30,850,35700
RAMCOCEM_F3,05/20/2022,12:24:00,681.15,681.15,681.15,681.15,850,35700
RAMCOCEM_F3,05/23/2022,09:23:00,682.95,682.95,682.95,682.95,851,34850
RAMCOCEM_F3,05/23/2022,09:39:00,670.00,670.00,670.00,670.00,9350,35700
RAMCOCEM_F3,05/23/2022,09:42:00,670.00,670.00,670.00,670.00,850,34000
RAMCOCEM_F3,05/23/2022,11:07:00,677.45,677.45,677.45,677.45,850,34850
RAMCOCEM_F3,05/23/2022,11:55:00,676.90,676.90,676.90,676.90,850,34850
RAMCOCEM_F3,05/23/2022,12:25:00,680.25,680.25,680.25,680.25,850,34000
RAMCOCEM_F3,05/23/2022,12:26:00,680.35,680.35,680.35,680.35,1700,34000
RAMCOCEM_F3,05/23/2022,12:30:00,680.20,680.20,680.00,680.00,2550,36550
RAMCOCEM_F3,05/23/2022,12:31:00,679.65,679.65,679.65,679.65,850,36550
RAMCOCEM_F3,05/23/2022,12:32:00,679.95,679.95,679.95,679.95,3400,36550
RAMCOCEM_F3,05/23/2022,12:35:00,681.90,681.90,681.90,681.90,850,38250
RAMCOCEM_F3,05/23/2022,12:38:00,682.70,682.70,682.70,682.70,850,37400
RAMCOCEM_F3,05/23/2022,14:03:00,675.00,675.00,675.00,675.00,850,38250
RAMCOCEM_F3,05/23/2022,14:33:00,675.35,675.35,675.35,675.35,850,38250
RAMCOCEM_F3,05/23/2022,15:26:00,667.65,667.65,667.65,667.65,850,39100
