<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
ASTRAL_F1,05/02/2023,09:15:00,1457.8500,1462.6000,1457.7500,1462.6000,5507,1657005,
ASTRAL_F1,05/02/2023,09:16:00,1463.2000,1466.3000,1463.2000,1466.3000,7707,1657005,
ASTRAL_F1,05/02/2023,09:17:00,1468.0000,1468.0000,1466.2000,1466.2000,2936,1659574,
ASTRAL_F1,05/02/2023,09:18:00,1465.0000,1466.0000,1463.5500,1465.8500,4404,1659574,
ASTRAL_F1,05/02/2023,09:19:00,1465.0000,1469.9000,1465.0000,1469.9000,3670,1659574,
ASTRAL_F1,05/02/2023,09:20:00,1471.0500,1471.2500,1471.0500,1471.2500,6606,1661776,
ASTRAL_F1,05/02/2023,09:21:00,1471.2500,1471.2500,1466.0500,1466.0500,4037,1661776,
ASTRAL_F1,05/02/2023,09:22:00,1467.0500,1467.1000,1465.6000,1465.6000,3303,1661776,
ASTRAL_F1,05/02/2023,09:23:00,1467.7000,1467.7000,1465.6000,1465.9500,2936,1663611,
ASTRAL_F1,05/02/2023,09:24:00,1466.1000,1467.2500,1466.1000,1467.2500,1101,1663611,
ASTRAL_F1,05/02/2023,09:25:00,1466.9500,1471.2500,1465.1000,1471.2500,15047,1663611,
ASTRAL_F1,05/02/2023,09:26:00,1472.0000,1475.0000,1472.0000,1475.0000,11010,1672419,
ASTRAL_F1,05/02/2023,09:27:00,1474.3000,1477.0000,1474.3000,1476.7500,4771,1672419,
ASTRAL_F1,05/02/2023,09:28:00,1476.7500,1477.8000,1475.0000,1475.9000,6239,1672419,
ASTRAL_F1,05/02/2023,09:29:00,1476.8500,1476.9500,1475.0500,1475.0500,3303,1674621,
ASTRAL_F1,05/02/2023,09:30:00,1475.0500,1478.0000,1475.0000,1478.0000,7340,1674621,
ASTRAL_F1,05/02/2023,09:31:00,1478.0000,1478.9500,1476.5500,1478.9500,5872,1674621,
ASTRAL_F1,05/02/2023,09:32:00,1479.0000,1479.1500,1477.4500,1478.4500,8074,1675355,
ASTRAL_F1,05/02/2023,09:33:00,1478.0000,1478.0000,1471.0000,1473.9500,7340,1675355,
ASTRAL_F1,05/02/2023,09:35:00,1470.6000,1471.6500,1470.1500,1470.3500,2569,1674254,
ASTRAL_F1,05/02/2023,09:36:00,1471.5000,1471.5000,1471.0500,1471.0500,734,1674254,
ASTRAL_F1,05/02/2023,09:37:00,1471.0500,1475.0000,1471.0500,1475.0000,4037,1674254,
ASTRAL_F1,05/02/2023,09:38:00,1473.0000,1473.0000,1470.5500,1472.5000,10276,1678291,
ASTRAL_F1,05/02/2023,09:39:00,1472.0000,1472.0500,1470.0000,1470.5500,4771,1678291,
ASTRAL_F1,05/02/2023,09:40:00,1470.0000,1471.9500,1470.0000,1470.6000,3303,1678291,
ASTRAL_F1,05/02/2023,09:41:00,1470.4500,1471.2500,1468.0500,1468.0500,2569,1677924,
ASTRAL_F1,05/02/2023,09:42:00,1468.0000,1469.0000,1466.0000,1469.0000,3303,1677924,
ASTRAL_F1,05/02/2023,09:44:00,1468.4500,1470.4500,1468.4500,1470.4500,734,1678658,
ASTRAL_F1,05/02/2023,09:45:00,1469.4500,1469.4500,1466.7000,1466.7000,3303,1678658,
ASTRAL_F1,05/02/2023,09:46:00,1469.6000,1470.0000,1469.6000,1470.0000,2936,1678658,
ASTRAL_F1,05/02/2023,09:47:00,1470.0000,1470.1500,1470.0000,1470.0000,2202,1683062,
ASTRAL_F1,05/02/2023,09:48:00,1470.9500,1471.4500,1470.0500,1471.4500,5872,1683062,
ASTRAL_F1,05/02/2023,09:49:00,1470.9500,1471.9000,1468.6000,1468.7500,2936,1683062,
ASTRAL_F1,05/02/2023,09:50:00,1469.0000,1470.0000,1468.0000,1468.9000,6239,1685631,
ASTRAL_F1,05/02/2023,09:51:00,1469.4000,1469.4000,1462.0500,1462.8000,13946,1685631,
ASTRAL_F1,05/02/2023,09:52:00,1463.8500,1464.8500,1463.8500,1464.8500,1101,1685631,
ASTRAL_F1,05/02/2023,09:53:00,1464.3500,1464.3500,1463.2500,1463.2500,1101,1684163,
ASTRAL_F1,05/02/2023,09:54:00,1464.4500,1464.4500,1464.4500,1464.4500,1101,1684163,
ASTRAL_F1,05/02/2023,09:55:00,1464.0500,1464.4500,1463.9000,1463.9000,1101,1684163,
ASTRAL_F1,05/02/2023,09:56:00,1464.0500,1464.0500,1464.0500,1464.0500,367,1684530,
ASTRAL_F1,05/02/2023,09:58:00,1464.3000,1464.3000,1462.3000,1462.3000,2936,1684530,
ASTRAL_F1,05/02/2023,09:59:00,1463.7500,1463.7500,1460.4500,1460.4500,11010,1684897,
ASTRAL_F1,05/02/2023,10:00:00,1459.0000,1459.0000,1454.2500,1454.2500,11744,1684897,
ASTRAL_F1,05/02/2023,10:01:00,1454.1000,1458.8000,1454.1000,1458.8000,7340,1684897,
ASTRAL_F1,05/02/2023,10:02:00,1461.2500,1461.2500,1458.1500,1458.2500,4771,1691503,
ASTRAL_F1,05/02/2023,10:03:00,1457.4000,1457.5500,1457.4000,1457.5500,1101,1691503,
