<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
ATUL_F3,05/02/2023,09:21:00,6637.0000,6637.0000,6637.0000,6637.0000,76,150,
ATUL_F3,05/02/2023,09:26:00,6578.2002,6578.2002,6578.2002,6578.2002,75,225,
ATUL_F3,05/02/2023,09:37:00,6564.0498,6564.0498,6564.0498,6564.0498,75,300,
ATUL_F3,05/02/2023,09:55:00,6549.6499,6549.6499,6549.6499,6549.6499,75,375,
ATUL_F3,05/02/2023,10:05:00,6530.0000,6530.0000,6530.0000,6530.0000,75,450,
ATUL_F3,05/02/2023,10:06:00,6530.0000,6530.0000,6530.0000,6530.0000,75,450,
ATUL_F3,05/02/2023,12:17:00,6530.0000,6530.0000,6530.0000,6530.0000,75,600,
ATUL_F3,05/02/2023,12:18:00,6647.0000,6647.0000,6647.0000,6647.0000,75,600,
ATUL_F3,05/02/2023,12:20:00,6632.2998,6632.2998,6632.2998,6632.2998,75,600,
ATUL_F3,05/02/2023,13:43:00,6642.6499,6642.6499,6642.6499,6642.6499,75,825,
ATUL_F3,05/02/2023,13:48:00,6641.8999,6641.8999,6641.0000,6641.0000,225,975,
ATUL_F3,05/02/2023,14:03:00,6650.0000,6650.0000,6650.0000,6650.0000,75,1125,
ATUL_F3,05/02/2023,14:15:00,6650.0000,6650.0000,6650.0000,6650.0000,75,1200,
ATUL_F3,05/02/2023,14:17:00,6632.0000,6632.0000,6632.0000,6632.0000,75,1200,
ATUL_F3,05/03/2023,09:48:00,6660.0000,6660.0000,6660.0000,6660.0000,76,1350,
ATUL_F3,05/03/2023,10:07:00,6642.7500,6642.7500,6642.7500,6642.7500,150,1425,
ATUL_F3,05/03/2023,10:08:00,6642.7500,6642.7500,6642.7500,6642.7500,75,1425,
ATUL_F3,05/03/2023,10:14:00,6645.2500,6645.2500,6645.2500,6645.2500,75,1200,
ATUL_F3,05/03/2023,11:24:00,6615.8501,6615.8501,6615.8501,6615.8501,75,1200,
ATUL_F3,05/03/2023,13:36:00,6600.0000,6600.0000,6600.0000,6600.0000,75,1200,
ATUL_F3,05/03/2023,13:40:00,6599.2998,6599.2998,6599.0000,6599.0000,150,1275,
ATUL_F3,05/04/2023,09:46:00,6690.0000,6691.6001,6690.0000,6691.6001,377,1425,
ATUL_F3,05/04/2023,09:47:00,6700.0000,6700.0000,6700.0000,6700.0000,75,1425,
ATUL_F3,05/04/2023,11:14:00,6750.0000,6750.0000,6750.0000,6750.0000,75,975,
ATUL_F3,05/04/2023,11:36:00,6775.0000,6775.0000,6775.0000,6775.0000,75,975,
ATUL_F3,05/04/2023,11:47:00,6776.6499,6776.6499,6776.6499,6776.6499,75,1050,
ATUL_F3,05/04/2023,14:06:00,6780.0000,6780.0000,6780.0000,6780.0000,75,1050,
ATUL_F3,05/04/2023,14:09:00,6790.0000,6790.0000,6790.0000,6790.0000,75,975,
ATUL_F3,05/05/2023,11:09:00,6780.3501,6780.3501,6780.3501,6780.3501,76,900,
ATUL_F3,05/05/2023,15:25:00,6750.2500,6750.2500,6750.2500,6750.2500,75,825,
ATUL_F3,05/09/2023,09:32:00,6791.3501,6791.3501,6791.3501,6791.3501,76,900,
ATUL_F3,05/09/2023,11:01:00,6793.9502,6793.9502,6793.9502,6793.9502,75,900,
ATUL_F3,05/09/2023,11:02:00,6801.0000,6801.0000,6801.0000,6801.0000,75,975,
