<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
BALRAMCHIN_F2,05/02/2023,09:28:00,422.4000,422.4000,422.4000,422.4000,1601,70400,
BALRAMCHIN_F2,05/02/2023,09:33:00,423.5500,423.5500,423.5500,423.5500,1600,70400,
BALRAMCHIN_F2,05/02/2023,09:42:00,423.5500,423.5500,423.5500,423.5500,1600,70400,
BALRAMCHIN_F2,05/02/2023,09:58:00,420.4000,420.4000,420.4000,420.4000,1600,72000,
BALRAMCHIN_F2,05/02/2023,11:02:00,420.0500,420.0500,420.0500,420.0500,4800,72000,
BALRAMCHIN_F2,05/02/2023,11:08:00,419.5500,419.5500,419.5500,419.5500,3200,70400,
BALRAMCHIN_F2,05/02/2023,11:23:00,418.5000,418.5000,418.5000,418.5000,3200,68800,
BALRAMCHIN_F2,05/02/2023,11:50:00,419.8000,419.8000,419.8000,419.8000,1600,72000,
BALRAMCHIN_F2,05/02/2023,11:57:00,419.4500,419.4500,419.4500,419.4500,4800,72000,
BALRAMCHIN_F2,05/02/2023,12:21:00,419.6000,419.6000,419.6000,419.6000,3200,67200,
BALRAMCHIN_F2,05/02/2023,12:59:00,421.2000,421.2000,421.2000,421.2000,1600,68800,
BALRAMCHIN_F2,05/02/2023,13:07:00,424.0000,424.0000,424.0000,424.0000,1600,70400,
BALRAMCHIN_F2,05/02/2023,13:13:00,424.0000,424.0000,424.0000,424.0000,1600,68800,
BALRAMCHIN_F2,05/02/2023,13:26:00,424.0000,424.0000,424.0000,424.0000,1600,70400,
BALRAMCHIN_F2,05/02/2023,13:33:00,423.4500,423.4500,423.4500,423.4500,1600,70400,
BALRAMCHIN_F2,05/02/2023,14:08:00,422.6000,422.6000,422.6000,422.6000,1600,72000,
BALRAMCHIN_F2,05/02/2023,15:21:00,421.9000,421.9000,421.9000,421.9000,1600,70400,
BALRAMCHIN_F2,05/02/2023,15:25:00,422.2500,422.2500,422.2500,422.2500,1600,70400,
BALRAMCHIN_F2,05/03/2023,09:24:00,420.1500,420.1500,420.1500,420.1500,1601,70400,
BALRAMCHIN_F2,05/03/2023,10:00:00,417.6000,417.6000,417.6000,417.6000,3200,70400,
BALRAMCHIN_F2,05/03/2023,10:01:00,419.4500,419.4500,419.4500,419.4500,1600,70400,
BALRAMCHIN_F2,05/03/2023,10:05:00,418.9000,418.9000,418.9000,418.9000,1600,70400,
BALRAMCHIN_F2,05/03/2023,10:13:00,420.7500,420.7500,420.7500,420.7500,8000,72000,
BALRAMCHIN_F2,05/03/2023,10:22:00,420.7500,420.7500,420.7500,420.7500,1600,76800,
BALRAMCHIN_F2,05/03/2023,10:40:00,423.1500,423.1500,423.1500,423.1500,1600,76800,
BALRAMCHIN_F2,05/03/2023,10:49:00,424.4000,424.4000,424.4000,424.4000,1600,76800,
BALRAMCHIN_F2,05/03/2023,10:51:00,425.4000,425.4000,425.4000,425.4000,1600,78400,
BALRAMCHIN_F2,05/03/2023,11:00:00,425.4000,425.4000,425.4000,425.4000,1600,76800,
BALRAMCHIN_F2,05/03/2023,11:16:00,421.2000,421.2000,421.2000,421.2000,3200,76800,
BALRAMCHIN_F2,05/03/2023,11:37:00,424.1500,424.1500,424.1500,424.1500,1600,76800,
BALRAMCHIN_F2,05/03/2023,11:50:00,424.0000,424.0000,424.0000,424.0000,1600,78400,
BALRAMCHIN_F2,05/03/2023,12:00:00,424.0500,424.0500,424.0500,424.0500,1600,80000,
BALRAMCHIN_F2,05/03/2023,12:26:00,425.1000,425.1000,425.1000,425.1000,3200,80000,
BALRAMCHIN_F2,05/03/2023,13:56:00,422.0000,422.0000,422.0000,422.0000,1600,78400,
BALRAMCHIN_F2,05/04/2023,09:16:00,422.0000,422.0000,422.0000,422.0000,1601,80000,
BALRAMCHIN_F2,05/04/2023,10:11:00,426.9000,426.9000,426.9000,426.9000,1600,81600,
BALRAMCHIN_F2,05/04/2023,10:46:00,426.9000,426.9000,426.9000,426.9000,1600,83200,
BALRAMCHIN_F2,05/04/2023,11:01:00,425.2000,425.2000,425.2000,425.2000,1600,83200,
BALRAMCHIN_F2,05/04/2023,13:26:00,422.3500,422.3500,422.3500,422.3500,1600,83200,
BALRAMCHIN_F2,05/04/2023,13:57:00,422.0000,422.0000,422.0000,422.0000,6400,83200,
BALRAMCHIN_F2,05/04/2023,14:35:00,421.7500,421.7500,421.7500,421.7500,1600,89600,
BALRAMCHIN_F2,05/04/2023,15:05:00,421.7500,421.7500,421.7500,421.7500,6400,91200,
BALRAMCHIN_F2,05/04/2023,15:16:00,424.6000,424.6000,424.6000,424.6000,1600,84800,
BALRAMCHIN_F2,05/04/2023,15:17:00,424.7500,424.7500,424.7500,424.7500,1600,84800,
BALRAMCHIN_F2,05/04/2023,15:19:00,425.2500,425.2500,425.2500,425.2500,1600,86400,
BALRAMCHIN_F2,05/05/2023,10:32:00,421.0500,421.0500,421.0500,421.0500,1601,86400,
BALRAMCHIN_F2,05/05/2023,10:34:00,421.0000,421.0000,421.0000,421.0000,1600,86400,
BALRAMCHIN_F2,05/05/2023,10:35:00,421.0000,421.0000,421.0000,421.0000,1600,86400,
BALRAMCHIN_F2,05/05/2023,11:02:00,421.0000,421.0000,421.0000,421.0000,3200,88000,
BALRAMCHIN_F2,05/05/2023,11:18:00,419.0500,419.0500,419.0500,419.0500,3200,91200,
BALRAMCHIN_F2,05/05/2023,11:25:00,417.9000,417.9000,417.9000,417.9000,1600,94400,
BALRAMCHIN_F2,05/05/2023,11:35:00,417.9000,417.9000,417.9000,417.9000,3200,94400,
BALRAMCHIN_F2,05/05/2023,11:46:00,417.8500,417.8500,417.8500,417.8500,1600,97600,
BALRAMCHIN_F2,05/05/2023,12:16:00,417.8500,417.8500,417.8500,417.8500,1600,96000,
BALRAMCHIN_F2,05/05/2023,12:44:00,418.7000,418.7000,418.7000,418.7000,3200,96000,
BALRAMCHIN_F2,05/05/2023,12:56:00,418.7000,418.7000,418.7000,418.7000,20800,97600,
BALRAMCHIN_F2,05/05/2023,13:19:00,419.5000,419.5000,419.5000,419.5000,1600,116800,
BALRAMCHIN_F2,05/05/2023,14:59:00,421.7000,421.7000,421.7000,421.7000,1600,118400,
BALRAMCHIN_F2,05/05/2023,15:07:00,421.7000,421.7000,421.7000,421.7000,1600,118400,
BALRAMCHIN_F2,05/05/2023,15:16:00,420.6000,420.6000,420.6000,420.6000,3200,118400,
