<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
CPSEINDEX,05/12/2023,09:07:00,3177.6499,3177.6499,3177.6499,3177.6499,0,0,
CPSEINDEX,05/12/2023,09:15:00,3170.1499,3174.0000,3167.8501,3173.8501,0,0,
CPSEINDEX,05/12/2023,09:16:00,3173.2000,3178.2000,3172.4500,3176.4500,0,0,
CPSEINDEX,05/12/2023,09:17:00,3176.9500,3177.5500,3174.3501,3175.1001,0,0,
CPSEINDEX,05/12/2023,09:18:00,3175.3501,3175.3999,3173.3000,3175.1499,0,0,
CPSEINDEX,05/12/2023,09:19:00,3175.3000,3176.1499,3173.5000,3173.8501,0,0,
CPSEINDEX,05/12/2023,09:20:00,3174.8999,3174.8999,3169.9500,3170.3999,0,0,
CPSEINDEX,05/12/2023,09:21:00,3170.6001,3171.0000,3169.0500,3169.1499,0,0,
CPSEINDEX,05/12/2023,09:22:00,3169.3999,3169.3999,3166.5500,3167.5000,0,0,
CPSEINDEX,05/12/2023,09:23:00,3167.6001,3168.5500,3167.0000,3167.2000,0,0,
CPSEINDEX,05/12/2023,09:24:00,3167.5000,3169.2500,3167.2500,3168.2000,0,0,
CPSEINDEX,05/12/2023,09:25:00,3167.8501,3167.9500,3166.8501,3167.2000,0,0,
CPSEINDEX,05/12/2023,09:26:00,3167.3501,3167.8999,3164.8000,3165.2500,0,0,
CPSEINDEX,05/12/2023,09:27:00,3165.6499,3167.5500,3164.0000,3167.3000,0,0,
CPSEINDEX,05/12/2023,09:28:00,3167.5500,3168.2000,3165.3000,3165.8000,0,0,
CPSEINDEX,05/12/2023,09:29:00,3165.5500,3165.7500,3164.3501,3164.8000,0,0,
CPSEINDEX,05/12/2023,09:30:00,3165.6001,3165.6001,3161.1001,3161.3000,0,0,
CPSEINDEX,05/12/2023,09:31:00,3161.5500,3161.8501,3158.3000,3158.6001,0,0,
CPSEINDEX,05/12/2023,09:32:00,3159.1001,3159.7000,3156.7500,3157.0500,0,0,
CPSEINDEX,05/12/2023,09:33:00,3157.6001,3158.9500,3156.6001,3158.9500,0,0,
CPSEINDEX,05/12/2023,09:34:00,3159.0500,3161.0000,3158.4500,3160.3501,0,0,
CPSEINDEX,05/12/2023,09:35:00,3160.7000,3160.7500,3159.1499,3159.5000,0,0,
CPSEINDEX,05/12/2023,09:36:00,3159.0000,3159.0500,3157.3501,3158.1001,0,0,
CPSEINDEX,05/12/2023,09:37:00,3157.8999,3159.1001,3155.5500,3156.6499,0,0,
CPSEINDEX,05/12/2023,09:38:00,3156.3999,3157.4500,3155.8501,3157.3000,0,0,
CPSEINDEX,05/12/2023,09:39:00,3157.5000,3158.3501,3156.8501,3158.2000,0,0,
CPSEINDEX,05/12/2023,09:40:00,3157.8000,3158.3999,3153.3501,3153.3999,0,0,
CPSEINDEX,05/12/2023,09:41:00,3153.3501,3153.3501,3151.0500,3152.5500,0,0,
CPSEINDEX,05/12/2023,09:42:00,3152.7000,3152.7000,3148.1001,3148.6499,0,0,
CPSEINDEX,05/12/2023,09:43:00,3148.7000,3148.7000,3145.5000,3147.1499,0,0,
CPSEINDEX,05/12/2023,09:44:00,3147.4500,3148.3501,3146.7500,3147.5500,0,0,
CPSEINDEX,05/12/2023,09:45:00,3147.3000,3148.2000,3144.6499,3144.6499,0,0,
CPSEINDEX,05/12/2023,09:46:00,3144.4500,3146.8000,3143.2500,3146.4500,0,0,
CPSEINDEX,05/12/2023,09:47:00,3147.3999,3149.6001,3147.3999,3148.3501,0,0,
CPSEINDEX,05/12/2023,09:48:00,3148.0000,3149.7500,3148.0000,3149.3501,0,0,
CPSEINDEX,05/12/2023,09:49:00,3150.3000,3150.3501,3147.6499,3147.6499,0,0,
CPSEINDEX,05/12/2023,09:50:00,3147.4500,3148.3501,3147.0000,3148.0000,0,0,
CPSEINDEX,05/12/2023,09:51:00,3147.8000,3151.0500,3146.8501,3151.0500,0,0,
CPSEINDEX,05/12/2023,09:52:00,3151.3000,3153.0500,3151.3000,3152.7000,0,0,
CPSEINDEX,05/12/2023,09:53:00,3152.6499,3152.6499,3150.6499,3152.3000,0,0,
CPSEINDEX,05/12/2023,09:54:00,3152.1499,3152.3999,3151.0000,3151.0500,0,0,
CPSEINDEX,05/12/2023,09:55:00,3150.8501,3152.5000,3150.6499,3152.3000,0,0,
CPSEINDEX,05/12/2023,09:56:00,3152.7000,3152.9500,3151.8000,3152.6001,0,0,
CPSEINDEX,05/12/2023,09:57:00,3152.2500,3153.3000,3151.9500,3152.8999,0,0,
CPSEINDEX,05/12/2023,09:58:00,3152.5500,3153.4500,3151.2500,3151.3000,0,0,
CPSEINDEX,05/12/2023,09:59:00,3151.0000,3151.3501,3149.3000,3149.6499,0,0,
CPSEINDEX,05/12/2023,10:00:00,3149.7000,3149.8000,3147.8000,3148.3000,0,0,
CPSEINDEX,05/12/2023,10:01:00,3148.0000,3149.7000,3148.0000,3148.8999,0,0,
CPSEINDEX,05/12/2023,10:02:00,3149.2500,3150.9500,3149.0000,3150.4500,0,0,
CPSEINDEX,05/12/2023,10:03:00,3150.8000,3151.5000,3150.3999,3151.0000,0,0,
CPSEINDEX,05/12/2023,10:04:00,3151.2000,3151.3000,3149.3999,3150.2000,0,0,
CPSEINDEX,05/12/2023,10:05:00,3150.1499,3150.1499,3149.3000,3149.7500,0,0,
CPSEINDEX,05/12/2023,10:06:00,3149.3999,3149.3999,3145.8501,3146.4500,0,0,
CPSEINDEX,05/12/2023,10:07:00,3146.2500,3147.2500,3145.8501,3147.0500,0,0,
CPSEINDEX,05/12/2023,10:08:00,3147.3501,3147.8000,3146.8999,3147.6499,0,0,
CPSEINDEX,05/12/2023,10:09:00,3147.4500,3148.0000,3147.0000,3147.6001,0,0,
CPSEINDEX,05/12/2023,10:10:00,3147.8000,3147.8501,3146.5000,3147.8000,0,0,
CPSEINDEX,05/12/2023,10:11:00,3147.5000,3148.1499,3146.3501,3146.6001,0,0,
CPSEINDEX,05/12/2023,10:12:00,3147.1001,3147.3000,3146.3999,3146.8000,0,0,
CPSEINDEX,05/12/2023,10:13:00,3146.8501,3147.2500,3146.2500,3146.8501,0,0,
