<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
HAVELLS_F3,05/02/2023,12:30:00,1241.9500,1241.9500,1241.9500,1241.9500,501,0,
HAVELLS_F3,05/04/2023,14:28:00,1262.0000,1262.0000,1262.0000,1262.0000,501,500,
HAVELLS_F3,05/04/2023,15:23:00,1270.7000,1270.7000,1270.7000,1270.7000,500,500,
HAVELLS_F3,05/05/2023,09:49:00,1290.0000,1290.0000,1290.0000,1290.0000,1001,1000,
HAVELLS_F3,05/05/2023,10:14:00,1290.0000,1290.0000,1290.0000,1290.0000,500,1500,
HAVELLS_F3,05/05/2023,14:22:00,1300.1000,1300.1000,1300.1000,1300.1000,500,2000,
HAVELLS_F3,05/05/2023,14:28:00,1300.1000,1300.1000,1300.1000,1300.1000,500,2500,
HAVELLS_F3,05/08/2023,11:07:00,1290.0000,1290.0000,1290.0000,1290.0000,501,3000,
HAVELLS_F3,05/08/2023,12:58:00,1277.0000,1277.0000,1277.0000,1277.0000,500,3000,
HAVELLS_F3,05/08/2023,14:03:00,1276.1500,1276.1500,1276.1500,1276.1500,500,2500,
HAVELLS_F3,05/09/2023,09:52:00,1285.5000,1285.5000,1285.5000,1285.5000,1501,3000,
HAVELLS_F3,05/09/2023,13:45:00,1265.0000,1265.0000,1265.0000,1265.0000,500,3500,
HAVELLS_F3,05/09/2023,14:37:00,1260.8000,1260.8000,1260.8000,1260.8000,500,3500,
HAVELLS_F3,05/10/2023,10:57:00,1260.1500,1260.1500,1260.1500,1260.1500,501,4000,
HAVELLS_F3,05/10/2023,13:40:00,1269.4500,1269.4500,1269.4500,1269.4500,500,4000,
HAVELLS_F3,05/10/2023,15:29:00,1269.4500,1269.4500,1269.4500,1269.4500,500,4500,
HAVELLS_F3,05/11/2023,09:32:00,1282.0000,1282.0000,1282.0000,1282.0000,501,5000,
HAVELLS_F3,05/11/2023,10:03:00,1282.0000,1282.0000,1282.0000,1282.0000,500,5000,
HAVELLS_F3,05/11/2023,12:12:00,1285.2000,1285.2000,1285.2000,1285.2000,500,5000,
HAVELLS_F3,05/11/2023,14:57:00,1290.2500,1290.2500,1290.2500,1290.2500,500,5000,
HAVELLS_F3,05/12/2023,10:10:00,1320.0000,1320.0000,1320.0000,1320.0000,501,5000,
HAVELLS_F3,05/12/2023,10:25:00,1317.9000,1317.9000,1317.9000,1317.9000,500,5500,
HAVELLS_F3,05/12/2023,10:26:00,1317.9000,1317.9000,1317.9000,1317.9000,500,5500,
HAVELLS_F3,05/12/2023,11:34:00,1317.9000,1317.9000,1317.9000,1317.9000,500,5500,
HAVELLS_F3,05/15/2023,12:26:00,1321.5500,1321.5500,1321.5500,1321.5500,501,6000,
