<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
PEL_F3,05/02/2023,09:18:00,749.0000,749.0000,749.0000,749.0000,751,0,
PEL_F3,05/02/2023,09:30:00,756.2000,756.2000,756.2000,756.2000,750,750,
PEL_F3,05/02/2023,12:13:00,761.7000,761.7000,761.7000,761.7000,750,1500,
PEL_F3,05/02/2023,13:15:00,761.7000,761.7000,761.7000,761.7000,750,2250,
PEL_F3,05/03/2023,09:56:00,751.0000,751.0000,751.0000,751.0000,751,3000,
PEL_F3,05/03/2023,10:01:00,750.0000,750.0000,750.0000,750.0000,750,3750,
PEL_F3,05/03/2023,11:09:00,750.0000,750.0000,750.0000,750.0000,750,4500,
PEL_F3,05/03/2023,11:39:00,759.9000,759.9000,759.9000,759.9000,750,5250,
PEL_F3,05/03/2023,12:00:00,754.6500,754.6500,754.6500,754.6500,1500,6000,
PEL_F3,05/03/2023,14:00:00,749.5000,749.5000,749.5000,749.5000,750,7500,
PEL_F3,05/03/2023,14:09:00,749.5000,749.5000,749.5000,749.5000,2250,8250,
PEL_F3,05/03/2023,15:14:00,753.4000,753.4000,753.4000,753.4000,750,10500,
PEL_F3,05/04/2023,13:07:00,766.0000,766.0000,766.0000,766.0000,751,10500,
PEL_F3,05/04/2023,13:50:00,768.0000,768.0000,768.0000,768.0000,750,10500,
PEL_F3,05/04/2023,14:01:00,768.0000,768.0000,768.0000,768.0000,750,11250,
PEL_F3,05/04/2023,14:27:00,765.0000,765.0000,765.0000,765.0000,750,12000,
PEL_F3,05/04/2023,14:30:00,766.5000,766.5000,766.5000,766.5000,750,12000,
PEL_F3,05/04/2023,15:07:00,769.8000,769.8000,769.8000,769.8000,1500,13500,
PEL_F3,05/04/2023,15:15:00,769.8000,769.8000,769.0000,769.0000,2250,15000,
PEL_F3,05/04/2023,15:16:00,769.0000,769.0000,769.0000,769.0000,750,15000,
PEL_F3,05/05/2023,09:29:00,764.1500,764.1500,764.1500,764.1500,1501,15000,
PEL_F3,05/05/2023,09:44:00,767.5000,767.5000,767.5000,767.5000,750,16500,
PEL_F3,05/05/2023,10:20:00,767.5000,767.5000,767.5000,767.5000,750,16500,
PEL_F3,05/05/2023,11:29:00,758.4500,758.4500,758.4500,758.4500,1500,16500,
PEL_F3,05/05/2023,11:51:00,750.0000,750.0000,750.0000,750.0000,1500,18000,
PEL_F3,05/05/2023,13:19:00,746.0000,746.0000,746.0000,746.0000,750,19500,
PEL_F3,05/05/2023,13:22:00,746.0000,746.0000,746.0000,746.0000,750,20250,
PEL_F3,05/05/2023,13:53:00,744.0000,744.0000,744.0000,744.0000,1500,21000,
PEL_F3,05/05/2023,13:59:00,744.0000,744.0000,744.0000,744.0000,750,22500,
PEL_F3,05/05/2023,14:02:00,743.0000,743.0000,743.0000,743.0000,750,23250,
PEL_F3,05/05/2023,15:00:00,743.0000,743.0000,743.0000,743.0000,750,23250,
PEL_F3,05/08/2023,09:18:00,747.0000,747.0000,747.0000,747.0000,1501,24000,
PEL_F3,05/08/2023,09:21:00,760.5000,760.5000,760.5000,760.5000,750,24000,
PEL_F3,05/08/2023,09:24:00,760.5000,760.5000,760.5000,760.5000,1500,24750,
PEL_F3,05/08/2023,09:46:00,765.0000,765.0000,765.0000,765.0000,750,26250,
PEL_F3,05/08/2023,10:46:00,765.0000,765.0000,765.0000,765.0000,1500,26250,
PEL_F3,05/08/2023,12:51:00,761.9000,761.9000,761.9000,761.9000,750,27750,
PEL_F3,05/08/2023,15:04:00,761.5000,761.5000,761.5000,761.5000,750,27750,
PEL_F3,05/09/2023,09:15:00,765.0000,765.0000,765.0000,765.0000,751,27750,
PEL_F3,05/09/2023,10:49:00,772.0000,772.0000,772.0000,772.0000,750,27750,
PEL_F3,05/09/2023,10:55:00,772.0000,772.0000,772.0000,772.0000,750,27750,
PEL_F3,05/09/2023,11:11:00,764.0000,764.0000,764.0000,764.0000,750,28500,
PEL_F3,05/09/2023,12:25:00,764.0000,764.0000,764.0000,764.0000,2250,29250,
PEL_F3,05/09/2023,12:42:00,783.6000,783.6000,783.6000,783.6000,750,31500,
PEL_F3,05/09/2023,13:03:00,783.6000,783.6000,783.6000,783.6000,750,32250,
PEL_F3,05/09/2023,14:10:00,760.0000,760.0000,760.0000,760.0000,750,33000,
PEL_F3,05/09/2023,15:05:00,758.5000,758.5000,758.5000,758.5000,750,33000,
PEL_F3,05/09/2023,15:24:00,757.8000,757.8000,757.8000,757.8000,750,33000,
PEL_F3,05/10/2023,13:26:00,750.1000,750.1000,750.1000,750.1000,751,33750,
PEL_F3,05/10/2023,14:34:00,752.0000,752.0000,752.0000,752.0000,750,33750,
PEL_F3,05/11/2023,09:22:00,752.0000,752.0000,752.0000,752.0000,751,34500,
PEL_F3,05/11/2023,09:50:00,748.2000,748.2000,748.2000,748.2000,750,34500,
PEL_F3,05/11/2023,10:41:00,748.2000,748.2000,748.2000,748.2000,1500,35250,
PEL_F3,05/11/2023,11:49:00,748.2000,748.2000,748.2000,748.2000,750,35250,
PEL_F3,05/12/2023,11:31:00,745.0500,745.0500,745.0500,745.0500,751,35250,
PEL_F3,05/12/2023,11:34:00,741.7500,741.7500,741.7500,741.7500,1500,35250,
PEL_F3,05/12/2023,11:38:00,741.7500,741.7500,741.7500,741.7500,750,34500,
PEL_F3,05/12/2023,12:01:00,746.0000,746.0000,746.0000,746.0000,750,34500,
PEL_F3,05/12/2023,12:40:00,746.0000,746.0000,746.0000,746.0000,2250,33750,
PEL_F3,05/12/2023,13:02:00,741.7500,741.7500,741.7500,741.7500,750,33750,
PEL_F3,05/12/2023,14:59:00,738.0000,738.0000,738.0000,738.0000,750,33750,
PEL_F3,05/12/2023,15:00:00,737.0000,737.0000,737.0000,737.0000,750,33750,
PEL_F3,05/12/2023,15:25:00,734.6000,734.6000,734.6000,734.6000,1500,33750,
PEL_F3,05/12/2023,15:28:00,730.0000,730.0000,730.0000,730.0000,4500,33750,
PEL_F3,05/12/2023,15:29:00,734.5000,734.5000,734.5000,734.5000,750,33750,
PEL_F3,05/15/2023,09:57:00,744.2000,744.2000,744.2000,744.2000,751,34500,
PEL_F3,05/15/2023,11:15:00,752.9500,752.9500,752.9500,752.9500,3000,35250,
PEL_F3,05/15/2023,11:20:00,758.2000,758.2000,758.2000,758.2000,5250,35250,
PEL_F3,05/15/2023,11:46:00,758.2000,758.2000,758.2000,758.2000,750,38250,
PEL_F3,05/15/2023,11:50:00,745.5000,745.5000,745.5000,745.5000,750,38250,
PEL_F3,05/15/2023,13:59:00,750.0000,750.0000,750.0000,750.0000,750,38250,
PEL_F3,05/15/2023,14:12:00,749.0000,749.0000,749.0000,749.0000,750,38250,
PEL_F3,05/15/2023,14:55:00,751.2500,751.2500,751.2500,751.2500,750,38250,
PEL_F3,05/15/2023,14:56:00,751.2500,751.2500,751.2500,751.2500,1500,38250,
PEL_F3,05/15/2023,15:06:00,749.3000,749.3000,749.3000,749.3000,750,39000,
PEL_F3,05/15/2023,15:07:00,749.5500,749.5500,749.5500,749.5500,2250,39000,
PEL_F3,05/16/2023,09:17:00,752.3500,752.3500,752.3500,752.3500,751,39000,
PEL_F3,05/16/2023,09:21:00,752.0000,752.0000,752.0000,752.0000,750,38250,
PEL_F3,05/16/2023,09:23:00,752.0000,752.0000,752.0000,752.0000,750,38250,
PEL_F3,05/16/2023,09:49:00,754.6000,754.6000,754.6000,754.6000,750,37500,
PEL_F3,05/16/2023,09:55:00,758.0000,758.0000,758.0000,758.0000,750,36750,
PEL_F3,05/16/2023,09:57:00,758.0000,758.0000,758.0000,758.0000,750,36750,
PEL_F3,05/16/2023,10:09:00,760.0000,761.0000,760.0000,761.0000,1500,36750,
PEL_F3,05/16/2023,10:10:00,762.8500,762.8500,762.8500,762.8500,750,36750,
PEL_F3,05/16/2023,10:14:00,765.0000,765.0000,765.0000,765.0000,1500,34500,
PEL_F3,05/16/2023,10:15:00,767.6500,767.6500,767.6500,767.6500,750,34500,
PEL_F3,05/16/2023,10:43:00,767.6500,767.6500,767.6500,767.6500,750,35250,
PEL_F3,05/16/2023,11:36:00,762.0000,762.0000,762.0000,762.0000,750,35250,
PEL_F3,05/16/2023,14:03:00,767.0000,767.0000,767.0000,767.0000,750,35250,
PEL_F3,05/16/2023,15:01:00,764.0000,764.0000,764.0000,764.0000,1500,35250,
PEL_F3,05/17/2023,09:58:00,768.6000,768.6000,768.6000,768.6000,751,35250,
PEL_F3,05/17/2023,13:43:00,753.1000,753.1000,753.1000,753.1000,750,36000,
PEL_F3,05/17/2023,13:58:00,753.1000,753.1000,753.1000,753.1000,3000,36750,
PEL_F3,05/17/2023,14:08:00,752.4000,752.4000,752.4000,752.4000,750,39750,
PEL_F3,05/17/2023,15:27:00,752.4000,752.4000,752.4000,752.4000,750,40500,
PEL_F3,05/18/2023,09:35:00,760.0000,760.0000,760.0000,760.0000,751,39750,
PEL_F3,05/18/2023,09:48:00,760.0000,760.0000,760.0000,760.0000,750,40500,
