<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> ,
PVR_F3,05/02/2023,11:24:00,1485.0000,1485.0000,1485.0000,1485.0000,408,814,
PVR_F3,05/02/2023,11:30:00,1485.0000,1485.0000,1485.0000,1485.0000,407,1221,
PVR_F3,05/02/2023,14:51:00,1496.0000,1496.0000,1496.0000,1496.0000,407,1628,
PVR_F3,05/02/2023,15:09:00,1500.0000,1500.0000,1500.0000,1500.0000,1221,2035,
PVR_F3,05/03/2023,09:34:00,1495.0000,1495.0000,1495.0000,1495.0000,408,1628,
PVR_F3,05/03/2023,10:24:00,1500.0000,1500.0000,1500.0000,1500.0000,407,2035,
PVR_F3,05/03/2023,12:47:00,1510.0000,1510.0000,1510.0000,1510.0000,4884,2035,
PVR_F3,05/04/2023,09:25:00,1512.7000,1512.7000,1512.7000,1512.7000,408,5291,
PVR_F3,05/04/2023,11:38:00,1505.0000,1505.0000,1505.0000,1505.0000,407,5698,
PVR_F3,05/05/2023,11:07:00,1492.0000,1492.0000,1492.0000,1492.0000,408,6105,
PVR_F3,05/05/2023,11:17:00,1490.0000,1490.0000,1490.0000,1490.0000,1221,6512,
PVR_F3,05/05/2023,12:09:00,1477.7500,1477.7500,1477.7500,1477.7500,1221,7733,
PVR_F3,05/05/2023,12:27:00,1479.0000,1479.0000,1479.0000,1479.0000,407,8140,
PVR_F3,05/05/2023,15:08:00,1470.1500,1470.1500,1470.1500,1470.1500,407,8547,
PVR_F3,05/05/2023,15:13:00,1465.0000,1465.0000,1465.0000,1465.0000,407,8954,
PVR_F3,05/05/2023,15:14:00,1465.0000,1465.0000,1465.0000,1465.0000,1221,8954,
PVR_F3,05/05/2023,15:23:00,1465.0000,1465.0000,1465.0000,1465.0000,407,10582,
PVR_F3,05/08/2023,09:23:00,1467.1000,1467.1000,1467.1000,1467.1000,408,10582,
PVR_F3,05/08/2023,09:29:00,1467.1000,1467.1000,1467.1000,1467.1000,407,10989,
PVR_F3,05/08/2023,10:08:00,1481.5000,1481.5000,1481.5000,1481.5000,407,10989,
PVR_F3,05/08/2023,11:03:00,1483.0000,1483.0000,1483.0000,1483.0000,407,11396,
PVR_F3,05/08/2023,13:05:00,1483.0000,1483.0000,1483.0000,1483.0000,407,10989,
PVR_F3,05/09/2023,10:18:00,1479.9500,1479.9500,1479.9500,1479.9500,408,11396,
PVR_F3,05/09/2023,10:19:00,1478.7500,1478.7500,1478.7500,1478.7500,407,11396,
PVR_F3,05/09/2023,11:24:00,1478.7500,1478.7500,1478.7500,1478.7500,407,12210,
PVR_F3,05/10/2023,09:26:00,1473.6500,1473.6500,1473.6500,1473.6500,2036,12617,
PVR_F3,05/10/2023,09:53:00,1468.1000,1468.1000,1468.1000,1468.1000,407,14652,
PVR_F3,05/10/2023,10:02:00,1468.0000,1468.0000,1468.0000,1468.0000,407,15059,
PVR_F3,05/10/2023,10:14:00,1468.0000,1468.0000,1468.0000,1468.0000,407,15466,
PVR_F3,05/10/2023,13:23:00,1468.0000,1468.0000,1468.0000,1468.0000,407,15873,
PVR_F3,05/11/2023,09:42:00,1472.0000,1472.0000,1472.0000,1472.0000,408,15466,
PVR_F3,05/11/2023,09:55:00,1472.0000,1472.0000,1472.0000,1472.0000,407,15873,
PVR_F3,05/11/2023,10:03:00,1472.0000,1472.0000,1472.0000,1472.0000,814,15466,
PVR_F3,05/11/2023,10:05:00,1472.0000,1472.0000,1472.0000,1472.0000,407,15466,
PVR_F3,05/11/2023,10:16:00,1472.0000,1472.0000,1472.0000,1472.0000,407,14245,
PVR_F3,05/11/2023,10:21:00,1480.0000,1480.0000,1480.0000,1480.0000,407,13838,
PVR_F3,05/11/2023,10:26:00,1480.0000,1480.0000,1480.0000,1480.0000,407,13431,
PVR_F3,05/11/2023,11:17:00,1480.0000,1480.0000,1480.0000,1480.0000,407,13431,
PVR_F3,05/11/2023,11:48:00,1484.0000,1484.0000,1484.0000,1484.0000,407,13024,
