<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
ALKEM_F3,11/07/2022,10:06:00,3202.05,3202.05,3202.05,3202.05,201,200
ALKEM_F3,11/10/2022,12:51:00,3185.00,3185.00,3185.00,3185.00,201,400
ALKEM_F3,11/14/2022,09:25:00,3056.00,3056.00,3056.00,3056.00,201,600
ALKEM_F3,11/14/2022,10:37:00,3156.00,3156.00,3156.00,3156.00,200,800
ALKEM_F3,11/14/2022,11:34:00,3156.00,3156.00,3156.00,3156.00,400,800
ALKEM_F3,11/24/2022,11:42:00,3080.00,3080.00,3080.00,3080.00,201,1200
ALKEM_F3,11/24/2022,12:05:00,3075.00,3075.00,3075.00,3075.00,200,1400
ALKEM_F3,11/24/2022,12:51:00,3067.00,3067.00,3067.00,3067.00,200,1600
ALKEM_F3,11/24/2022,13:01:00,3067.00,3067.00,3067.00,3067.00,200,1800
ALKEM_F3,11/24/2022,13:03:00,3070.50,3070.50,3070.50,3070.50,200,1800
ALKEM_F3,11/24/2022,13:08:00,3065.00,3065.00,3065.00,3065.00,200,2200
ALKEM_F3,11/24/2022,14:16:00,3045.00,3045.00,3045.00,3045.00,200,2400
ALKEM_F3,11/24/2022,14:30:00,3045.00,3045.00,3045.00,3045.00,200,2400
ALKEM_F3,11/24/2022,14:43:00,3041.00,3041.00,3041.00,3041.00,200,2600
ALKEM_F3,11/24/2022,14:45:00,3039.30,3039.30,3039.30,3039.30,1000,2600
ALKEM_F3,11/24/2022,14:46:00,3039.30,3039.30,3039.30,3039.30,400,3200
ALKEM_F3,11/24/2022,15:17:00,3039.30,3039.30,3039.30,3039.30,200,3000
ALKEM_F3,11/24/2022,15:18:00,3050.00,3050.00,3050.00,3050.00,200,3000
