<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
AUROPHARMA_F1,11/01/2022,09:15:00,537.65,542.75,537.65,542.75,13002,12221000
AUROPHARMA_F1,11/01/2022,09:16:00,543.10,543.30,542.85,542.85,27000,12221000
AUROPHARMA_F1,11/01/2022,09:17:00,543.00,543.00,542.80,542.80,3000,12231000
AUROPHARMA_F1,11/01/2022,09:18:00,542.15,543.20,542.15,543.20,6000,12231000
AUROPHARMA_F1,11/01/2022,09:19:00,543.50,544.00,543.25,543.25,13000,12231000
AUROPHARMA_F1,11/01/2022,09:20:00,543.65,543.65,542.35,542.35,30000,12241000
AUROPHARMA_F1,11/01/2022,09:22:00,542.60,542.85,542.55,542.55,13000,12241000
AUROPHARMA_F1,11/01/2022,09:23:00,543.00,543.00,543.00,543.00,1000,12241000
AUROPHARMA_F1,11/01/2022,09:24:00,543.50,544.90,543.30,544.90,22000,12239000
AUROPHARMA_F1,11/01/2022,09:25:00,544.90,544.90,544.90,544.90,7000,12239000
AUROPHARMA_F1,11/01/2022,09:26:00,545.40,545.40,545.00,545.15,16000,12241000
AUROPHARMA_F1,11/01/2022,09:27:00,545.50,545.60,545.50,545.60,17000,12241000
AUROPHARMA_F1,11/01/2022,09:28:00,545.60,545.60,545.10,545.30,13000,12241000
AUROPHARMA_F1,11/01/2022,09:29:00,545.95,546.70,545.95,546.70,35000,12241000
AUROPHARMA_F1,11/01/2022,09:30:00,547.20,547.20,546.70,547.00,22000,12241000
AUROPHARMA_F1,11/01/2022,09:31:00,546.95,547.05,546.70,547.05,17000,12241000
AUROPHARMA_F1,11/01/2022,09:32:00,546.70,546.70,546.40,546.50,6000,12241000
AUROPHARMA_F1,11/01/2022,09:33:00,546.30,547.00,546.30,547.00,8000,12241000
AUROPHARMA_F1,11/01/2022,09:34:00,548.00,548.00,548.00,548.00,15000,12241000
AUROPHARMA_F1,11/01/2022,09:35:00,548.20,548.20,547.75,548.20,17000,12241000
AUROPHARMA_F1,11/01/2022,09:36:00,548.45,548.80,548.45,548.80,18000,12241000
AUROPHARMA_F1,11/01/2022,09:37:00,548.30,548.95,548.05,548.45,12000,12241000
AUROPHARMA_F1,11/01/2022,09:38:00,548.95,548.95,548.30,548.55,14000,12255000
AUROPHARMA_F1,11/01/2022,09:39:00,548.80,548.80,548.50,548.50,6000,12255000
AUROPHARMA_F1,11/01/2022,09:40:00,548.55,548.65,548.05,548.05,13000,12255000
AUROPHARMA_F1,11/01/2022,09:41:00,548.05,548.20,548.05,548.20,3000,12253000
AUROPHARMA_F1,11/01/2022,09:42:00,548.10,549.00,548.10,548.90,22000,12253000
AUROPHARMA_F1,11/01/2022,09:43:00,549.25,549.25,548.90,549.15,8000,12253000
AUROPHARMA_F1,11/01/2022,09:44:00,548.75,549.20,548.55,549.05,10000,12257000
AUROPHARMA_F1,11/01/2022,09:45:00,548.75,548.85,548.20,548.20,7000,12257000
AUROPHARMA_F1,11/01/2022,09:46:00,548.50,548.80,548.50,548.50,23000,12257000
AUROPHARMA_F1,11/01/2022,09:47:00,548.90,549.90,548.90,549.90,20000,12259000
AUROPHARMA_F1,11/01/2022,09:48:00,549.90,550.10,549.65,550.10,24000,12259000
AUROPHARMA_F1,11/01/2022,09:49:00,550.35,550.35,549.35,549.35,11000,12259000
AUROPHARMA_F1,11/01/2022,09:50:00,549.90,550.00,549.55,549.80,8000,12268000
AUROPHARMA_F1,11/01/2022,09:51:00,550.00,550.50,550.00,550.30,11000,12268000
AUROPHARMA_F1,11/01/2022,09:52:00,550.00,550.35,549.95,550.35,6000,12268000
AUROPHARMA_F1,11/01/2022,09:53:00,550.55,550.55,549.95,549.95,29000,12267000
AUROPHARMA_F1,11/01/2022,09:54:00,549.75,549.75,548.80,549.05,13000,12267000
AUROPHARMA_F1,11/01/2022,09:55:00,549.25,549.25,548.30,548.30,6000,12267000
AUROPHARMA_F1,11/01/2022,09:56:00,548.75,548.75,548.40,548.60,8000,12267000
AUROPHARMA_F1,11/01/2022,09:58:00,548.20,548.20,547.90,547.90,6000,12267000
AUROPHARMA_F1,11/01/2022,09:59:00,547.85,547.85,547.50,547.50,7000,12268000
AUROPHARMA_F1,11/01/2022,10:00:00,546.90,547.05,546.90,547.00,17000,12268000
AUROPHARMA_F1,11/01/2022,10:01:00,546.75,547.05,546.50,546.50,15000,12268000
AUROPHARMA_F1,11/01/2022,10:02:00,546.40,546.40,546.40,546.40,3000,12268000
AUROPHARMA_F1,11/01/2022,10:03:00,546.65,546.95,546.65,546.95,6000,12269000
AUROPHARMA_F1,11/01/2022,10:04:00,546.40,546.40,546.00,546.00,4000,12269000
AUROPHARMA_F1,11/01/2022,10:05:00,546.30,546.50,546.05,546.05,5000,12274000
AUROPHARMA_F1,11/01/2022,10:06:00,545.75,546.05,545.75,546.05,11000,12274000
AUROPHARMA_F1,11/01/2022,10:07:00,545.70,545.80,543.65,543.65,140000,12274000
AUROPHARMA_F1,11/01/2022,10:08:00,544.25,544.25,544.25,544.25,1000,12274000
AUROPHARMA_F1,11/01/2022,10:09:00,545.25,545.50,545.25,545.50,4000,12270000
AUROPHARMA_F1,11/01/2022,10:10:00,545.50,546.00,545.50,546.00,17000,12270000
AUROPHARMA_F1,11/01/2022,10:13:00,546.55,546.55,546.55,546.55,1000,12265000
AUROPHARMA_F1,11/01/2022,10:14:00,546.90,547.50,546.90,547.50,3000,12266000
AUROPHARMA_F1,11/01/2022,10:15:00,547.60,547.60,547.60,547.60,1000,12266000
AUROPHARMA_F1,11/01/2022,10:16:00,547.55,547.55,546.50,546.50,7000,12266000
AUROPHARMA_F1,11/01/2022,10:18:00,546.55,546.55,546.55,546.55,1000,12258000
AUROPHARMA_F1,11/01/2022,10:20:00,546.80,546.80,546.80,546.80,4000,12258000
AUROPHARMA_F1,11/01/2022,10:21:00,546.95,547.05,546.65,546.65,4000,12259000
AUROPHARMA_F1,11/01/2022,10:22:00,546.90,547.80,546.90,547.45,29000,12259000
AUROPHARMA_F1,11/01/2022,10:24:00,546.85,547.20,546.85,547.20,6000,12262000
AUROPHARMA_F1,11/01/2022,10:25:00,547.40,547.40,547.40,547.40,15000,12262000
AUROPHARMA_F1,11/01/2022,10:27:00,547.65,547.90,547.65,547.90,6000,12242000
AUROPHARMA_F1,11/01/2022,10:28:00,548.15,548.30,548.10,548.30,3000,12242000
