<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
AXISBANK_F3,11/01/2022,09:15:00,915.05,915.05,915.05,915.05,1201,21600
AXISBANK_F3,11/01/2022,09:16:00,907.35,907.35,907.35,907.35,1200,21600
AXISBANK_F3,11/01/2022,09:20:00,905.00,905.00,905.00,905.00,2400,21600
AXISBANK_F3,11/01/2022,09:21:00,903.00,903.00,903.00,903.00,1200,21600
AXISBANK_F3,11/01/2022,09:23:00,902.20,902.20,902.20,902.20,2400,25200
AXISBANK_F3,11/01/2022,09:24:00,902.00,902.00,900.65,900.65,2400,25200
AXISBANK_F3,11/01/2022,09:25:00,900.10,900.10,899.35,899.35,3600,25200
AXISBANK_F3,11/01/2022,09:26:00,899.35,899.35,899.35,899.35,1200,31200
AXISBANK_F3,11/01/2022,09:27:00,899.35,899.35,899.35,899.35,1200,31200
AXISBANK_F3,11/01/2022,09:28:00,899.00,899.00,899.00,899.00,1200,31200
AXISBANK_F3,11/01/2022,09:38:00,899.00,899.00,899.00,899.00,2400,33600
AXISBANK_F3,11/01/2022,09:44:00,901.10,901.10,901.10,901.10,1200,34800
AXISBANK_F3,11/01/2022,09:46:00,901.00,901.00,901.00,901.00,1200,34800
AXISBANK_F3,11/01/2022,09:49:00,902.60,902.60,902.35,902.35,3600,36000
AXISBANK_F3,11/01/2022,10:15:00,895.00,895.00,895.00,895.00,2400,38400
AXISBANK_F3,11/01/2022,10:17:00,895.00,895.00,895.00,895.00,2400,38400
AXISBANK_F3,11/01/2022,10:18:00,893.25,893.25,893.25,893.25,1200,38400
AXISBANK_F3,11/01/2022,10:23:00,893.25,893.25,893.25,893.25,1200,38400
AXISBANK_F3,11/01/2022,10:25:00,893.80,893.80,893.55,893.55,2400,38400
AXISBANK_F3,11/01/2022,10:27:00,892.00,892.00,892.00,892.00,1200,38400
AXISBANK_F3,11/01/2022,10:29:00,892.00,892.00,892.00,892.00,2400,38400
AXISBANK_F3,11/01/2022,10:36:00,891.15,891.15,891.15,891.15,1200,38400
AXISBANK_F3,11/01/2022,10:38:00,890.75,890.75,890.75,890.75,1200,38400
AXISBANK_F3,11/01/2022,10:41:00,890.75,890.75,890.75,890.75,1200,39600
AXISBANK_F3,11/01/2022,10:49:00,895.50,895.50,895.50,895.50,1200,39600
AXISBANK_F3,11/01/2022,10:52:00,894.70,894.70,894.70,894.70,1200,40800
AXISBANK_F3,11/01/2022,10:54:00,894.00,894.00,894.00,894.00,1200,40800
AXISBANK_F3,11/01/2022,11:12:00,894.00,894.00,894.00,894.00,1200,40800
AXISBANK_F3,11/01/2022,11:21:00,894.00,894.00,894.00,894.00,2400,42000
AXISBANK_F3,11/01/2022,11:28:00,893.55,893.55,893.45,893.45,2400,43200
AXISBANK_F3,11/01/2022,11:30:00,893.25,893.25,893.25,893.25,1200,45600
AXISBANK_F3,11/01/2022,11:32:00,893.75,893.75,893.75,893.75,1200,45600
AXISBANK_F3,11/01/2022,11:33:00,893.00,893.00,893.00,893.00,1200,48000
AXISBANK_F3,11/01/2022,11:35:00,892.60,892.60,892.60,892.60,1200,48000
AXISBANK_F3,11/01/2022,12:06:00,890.60,890.60,890.60,890.60,2400,49200
AXISBANK_F3,11/01/2022,12:07:00,890.00,890.00,890.00,890.00,1200,49200
AXISBANK_F3,11/01/2022,12:21:00,888.25,888.25,888.25,888.25,1200,52800
AXISBANK_F3,11/01/2022,12:22:00,888.25,888.25,888.25,888.25,1200,52800
AXISBANK_F3,11/01/2022,12:31:00,887.25,887.25,887.25,887.25,1200,54000
AXISBANK_F3,11/01/2022,12:35:00,885.00,885.00,885.00,885.00,1200,54000
AXISBANK_F3,11/01/2022,12:36:00,883.20,883.20,883.20,883.20,2400,54000
AXISBANK_F3,11/01/2022,12:38:00,883.20,883.20,883.20,883.20,1200,54000
AXISBANK_F3,11/01/2022,12:39:00,883.55,883.55,883.55,883.55,1200,55200
AXISBANK_F3,11/01/2022,12:40:00,883.10,883.10,883.10,883.10,1200,55200
AXISBANK_F3,11/01/2022,12:44:00,883.10,883.10,883.10,883.10,1200,56400
AXISBANK_F3,11/01/2022,12:49:00,886.00,886.00,886.00,886.00,1200,57600
AXISBANK_F3,11/01/2022,12:51:00,886.80,886.80,886.80,886.80,1200,58800
AXISBANK_F3,11/01/2022,13:01:00,885.10,885.10,885.10,885.10,1200,60000
AXISBANK_F3,11/01/2022,13:03:00,885.00,885.00,885.00,885.00,6000,61200
AXISBANK_F3,11/01/2022,13:05:00,885.45,885.45,885.45,885.45,1200,61200
AXISBANK_F3,11/01/2022,13:11:00,885.20,885.20,885.20,885.20,1200,61200
AXISBANK_F3,11/01/2022,13:18:00,885.30,885.30,885.30,885.30,1200,61200
AXISBANK_F3,11/01/2022,13:37:00,889.80,889.80,889.80,889.80,1200,62400
AXISBANK_F3,11/01/2022,13:38:00,889.15,889.15,889.00,889.00,2400,62400
AXISBANK_F3,11/01/2022,13:40:00,888.50,888.50,888.50,888.50,1200,64800
AXISBANK_F3,11/01/2022,13:50:00,890.30,890.30,890.30,890.30,2400,64800
AXISBANK_F3,11/01/2022,13:53:00,892.00,892.00,892.00,892.00,1200,64800
AXISBANK_F3,11/01/2022,13:55:00,890.30,890.30,890.30,890.30,1200,64800
AXISBANK_F3,11/01/2022,14:07:00,889.85,889.85,889.85,889.85,1200,66000
AXISBANK_F3,11/01/2022,14:25:00,890.55,890.55,890.55,890.55,1200,67200
AXISBANK_F3,11/01/2022,14:42:00,886.65,886.65,886.65,886.65,1200,67200
AXISBANK_F3,11/01/2022,14:47:00,886.50,886.50,886.50,886.50,1200,68400
AXISBANK_F3,11/01/2022,14:55:00,887.00,887.00,887.00,887.00,1200,69600
AXISBANK_F3,11/01/2022,14:57:00,885.30,885.30,885.30,885.30,1200,69600
AXISBANK_F3,11/01/2022,15:02:00,885.95,885.95,885.95,885.95,1200,72000
AXISBANK_F3,11/01/2022,15:06:00,885.70,885.70,885.70,885.70,1200,73200
AXISBANK_F3,11/01/2022,15:14:00,886.00,886.00,886.00,886.00,1200,73200
AXISBANK_F3,11/01/2022,15:15:00,885.70,885.70,885.70,885.70,2400,73200
AXISBANK_F3,11/01/2022,15:18:00,885.75,885.75,885.75,885.75,3600,78000
AXISBANK_F3,11/01/2022,15:20:00,885.75,885.75,885.75,885.75,1200,78000
AXISBANK_F3,11/01/2022,15:21:00,886.30,886.30,886.30,886.30,1200,80400
AXISBANK_F3,11/01/2022,15:25:00,886.80,886.80,886.80,886.80,1200,81600
AXISBANK_F3,11/01/2022,15:28:00,885.80,885.80,885.80,885.80,2400,81600
AXISBANK_F3,11/01/2022,15:29:00,884.75,884.75,884.75,884.75,1200,81600
AXISBANK_F3,11/02/2022,09:15:00,885.65,885.65,885.65,885.65,1201,85200
AXISBANK_F3,11/02/2022,09:17:00,884.00,884.00,884.00,884.00,1200,85200
AXISBANK_F3,11/02/2022,09:18:00,883.00,883.00,883.00,883.00,2400,87600
AXISBANK_F3,11/02/2022,09:19:00,881.00,881.00,881.00,881.00,1200,87600
AXISBANK_F3,11/02/2022,09:20:00,880.95,880.95,880.95,880.95,2400,85200
AXISBANK_F3,11/02/2022,09:27:00,886.80,886.80,886.80,886.80,2400,87600
AXISBANK_F3,11/02/2022,09:31:00,886.80,886.80,880.85,880.85,13200,87600
AXISBANK_F3,11/02/2022,09:34:00,882.30,882.30,882.30,882.30,1200,98400
AXISBANK_F3,11/02/2022,09:36:00,882.75,882.75,882.75,882.75,1200,97200
AXISBANK_F3,11/02/2022,09:38:00,882.00,882.00,882.00,882.00,1200,97200
