<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BAJFINANCE_F3,11/01/2022,09:45:00,7324.95,7325.00,7324.95,7325.00,627,4250
BAJFINANCE_F3,11/01/2022,09:53:00,7310.00,7310.00,7310.00,7310.00,125,4875
BAJFINANCE_F3,11/01/2022,11:03:00,7310.00,7310.00,7310.00,7310.00,125,4875
BAJFINANCE_F3,11/01/2022,11:05:00,7310.55,7310.55,7310.55,7310.55,125,4875
BAJFINANCE_F3,11/01/2022,11:33:00,7275.00,7275.00,7275.00,7275.00,500,4875
BAJFINANCE_F3,11/01/2022,11:54:00,7275.00,7275.00,7275.00,7275.00,125,4875
BAJFINANCE_F3,11/01/2022,12:29:00,7283.90,7283.90,7283.90,7283.90,125,4875
BAJFINANCE_F3,11/01/2022,12:49:00,7283.90,7283.90,7283.90,7283.90,125,5125
BAJFINANCE_F3,11/01/2022,13:01:00,7283.90,7283.90,7283.90,7283.90,125,5000
BAJFINANCE_F3,11/01/2022,15:12:00,7306.85,7306.85,7306.85,7306.85,125,5125
BAJFINANCE_F3,11/02/2022,09:24:00,7329.20,7329.20,7329.20,7329.20,126,5000
BAJFINANCE_F3,11/02/2022,09:29:00,7330.00,7330.00,7330.00,7330.00,250,5125
BAJFINANCE_F3,11/02/2022,09:30:00,7315.00,7315.00,7315.00,7315.00,125,5125
BAJFINANCE_F3,11/02/2022,09:39:00,7301.00,7301.00,7301.00,7301.00,125,5125
BAJFINANCE_F3,11/02/2022,09:46:00,7301.00,7301.00,7301.00,7301.00,125,5125
BAJFINANCE_F3,11/02/2022,09:53:00,7285.00,7285.00,7285.00,7285.00,375,5250
BAJFINANCE_F3,11/02/2022,09:54:00,7285.00,7285.00,7285.00,7285.00,625,5250
BAJFINANCE_F3,11/02/2022,09:57:00,7285.00,7285.00,7285.00,7285.00,125,4875
BAJFINANCE_F3,11/02/2022,10:25:00,7285.00,7285.00,7285.00,7285.00,125,5000
BAJFINANCE_F3,11/02/2022,12:18:00,7259.65,7259.65,7259.65,7259.65,125,5125
BAJFINANCE_F3,11/02/2022,12:46:00,7259.65,7259.65,7259.65,7259.65,125,5125
BAJFINANCE_F3,11/02/2022,12:49:00,7248.00,7248.00,7248.00,7248.00,125,5125
BAJFINANCE_F3,11/02/2022,12:54:00,7248.00,7248.00,7248.00,7248.00,250,5125
