<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BERGEPAINT_F3,11/01/2022,11:40:00,600.00,600.00,600.00,600.00,1101,5500
BERGEPAINT_F3,11/01/2022,13:37:00,602.70,602.70,602.70,602.70,1100,6600
BERGEPAINT_F3,11/01/2022,14:07:00,603.20,603.20,603.20,603.20,1100,7700
BERGEPAINT_F3,11/01/2022,14:53:00,607.00,607.00,607.00,607.00,1100,8800
BERGEPAINT_F3,11/01/2022,15:26:00,607.00,607.00,607.00,607.00,1100,8800
BERGEPAINT_F3,11/01/2022,15:28:00,606.50,606.50,606.50,606.50,1100,8800
BERGEPAINT_F3,11/02/2022,09:34:00,603.15,603.15,603.15,603.15,1101,8800
BERGEPAINT_F3,11/02/2022,10:11:00,602.00,602.00,602.00,602.00,2200,9900
BERGEPAINT_F3,11/02/2022,14:01:00,600.00,600.00,600.00,600.00,1100,8800
BERGEPAINT_F3,11/03/2022,14:40:00,612.50,612.50,612.50,612.50,1101,8800
BERGEPAINT_F3,11/03/2022,15:29:00,613.15,613.15,613.15,613.15,1100,8800
BERGEPAINT_F3,11/04/2022,09:26:00,610.15,610.15,610.15,610.15,1101,6600
BERGEPAINT_F3,11/04/2022,11:14:00,609.70,609.70,609.70,609.70,1100,6600
BERGEPAINT_F3,11/04/2022,11:42:00,608.60,608.60,608.60,608.60,1100,6600
BERGEPAINT_F3,11/04/2022,13:51:00,608.60,608.60,608.60,608.60,1100,7700
BERGEPAINT_F3,11/04/2022,14:21:00,612.65,612.65,612.65,612.65,1100,7700
BERGEPAINT_F3,11/04/2022,14:58:00,610.60,610.60,610.60,610.60,1100,7700
BERGEPAINT_F3,11/04/2022,15:11:00,613.05,613.05,613.05,613.05,1100,6600
BERGEPAINT_F3,11/04/2022,15:19:00,613.05,613.05,613.05,613.05,1100,7700
BERGEPAINT_F3,11/07/2022,09:20:00,610.60,610.60,610.60,610.60,1101,7700
BERGEPAINT_F3,11/07/2022,09:57:00,614.30,614.30,614.30,614.30,3300,7700
BERGEPAINT_F3,11/07/2022,10:10:00,617.70,617.70,617.70,617.70,1100,11000
BERGEPAINT_F3,11/07/2022,10:23:00,617.70,617.70,617.70,617.70,1100,11000
BERGEPAINT_F3,11/07/2022,11:11:00,620.05,620.05,620.05,620.05,1100,12100
BERGEPAINT_F3,11/07/2022,12:05:00,620.05,620.05,620.05,620.05,1100,12100
BERGEPAINT_F3,11/07/2022,12:58:00,618.00,618.00,618.00,618.00,1100,13200
BERGEPAINT_F3,11/07/2022,14:03:00,619.55,619.55,619.55,619.55,1100,14300
