<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
BOSCHLTD_F2,11/01/2022,09:42:00,16620.00,16620.00,16620.00,16620.00,51,2850
BOSCHLTD_F2,11/01/2022,09:57:00,16550.00,16550.00,16550.00,16550.00,50,2850
BOSCHLTD_F2,11/01/2022,10:08:00,16550.00,16550.00,16550.00,16550.00,150,2900
BOSCHLTD_F2,11/01/2022,10:42:00,16540.00,16540.00,16540.00,16540.00,50,3000
BOSCHLTD_F2,11/01/2022,10:47:00,16540.00,16540.00,16540.00,16540.00,50,3050
BOSCHLTD_F2,11/01/2022,10:48:00,16597.25,16597.25,16597.25,16597.25,150,3000
BOSCHLTD_F2,11/01/2022,10:53:00,16623.60,16623.60,16623.60,16623.60,50,3100
BOSCHLTD_F2,11/01/2022,11:17:00,16640.00,16640.00,16640.00,16640.00,50,3050
BOSCHLTD_F2,11/01/2022,11:27:00,16679.65,16679.65,16679.65,16679.65,50,3050
BOSCHLTD_F2,11/01/2022,11:53:00,16679.65,16679.65,16679.65,16679.65,50,3000
BOSCHLTD_F2,11/01/2022,12:12:00,16720.00,16720.00,16720.00,16720.00,50,3050
BOSCHLTD_F2,11/01/2022,12:17:00,16727.10,16727.10,16727.10,16727.10,50,3000
BOSCHLTD_F2,11/01/2022,12:22:00,16727.10,16727.10,16727.10,16727.10,100,2950
BOSCHLTD_F2,11/01/2022,12:28:00,16700.90,16700.90,16700.90,16700.90,50,3000
BOSCHLTD_F2,11/01/2022,12:37:00,16700.00,16700.00,16700.00,16700.00,50,3050
BOSCHLTD_F2,11/01/2022,12:54:00,16713.20,16713.20,16713.20,16713.20,50,3100
BOSCHLTD_F2,11/01/2022,13:05:00,16630.00,16630.00,16630.00,16630.00,50,3100
BOSCHLTD_F2,11/01/2022,13:14:00,16630.00,16630.00,16630.00,16630.00,50,3150
BOSCHLTD_F2,11/01/2022,13:53:00,16712.30,16712.30,16712.30,16712.30,50,3150
BOSCHLTD_F2,11/01/2022,13:56:00,16693.30,16693.30,16693.30,16693.30,50,3150
BOSCHLTD_F2,11/01/2022,14:20:00,16710.00,16710.00,16710.00,16710.00,50,3150
BOSCHLTD_F2,11/01/2022,14:47:00,16710.00,16725.00,16710.00,16725.00,100,3100
BOSCHLTD_F2,11/01/2022,15:03:00,16725.00,16725.00,16725.00,16725.00,50,3050
BOSCHLTD_F2,11/01/2022,15:06:00,16701.50,16701.50,16701.50,16701.50,100,3000
BOSCHLTD_F2,11/01/2022,15:27:00,16695.60,16695.60,16695.60,16695.60,50,2900
BOSCHLTD_F2,11/01/2022,15:29:00,16745.00,16745.00,16745.00,16745.00,50,2900
BOSCHLTD_F2,11/02/2022,09:16:00,16746.15,16746.15,16746.15,16746.15,51,2850
BOSCHLTD_F2,11/02/2022,09:32:00,16673.15,16673.15,16673.15,16673.15,50,2800
BOSCHLTD_F2,11/02/2022,09:52:00,16670.00,16670.00,16670.00,16670.00,50,2800
BOSCHLTD_F2,11/02/2022,09:54:00,16648.30,16648.30,16648.30,16648.30,100,2850
BOSCHLTD_F2,11/02/2022,09:58:00,16632.45,16632.45,16632.45,16632.45,100,2800
BOSCHLTD_F2,11/02/2022,10:28:00,16632.45,16632.45,16632.45,16632.45,50,2800
BOSCHLTD_F2,11/02/2022,10:33:00,16708.90,16708.90,16708.90,16708.90,50,2800
BOSCHLTD_F2,11/02/2022,10:36:00,16715.00,16715.00,16715.00,16715.00,50,2800
BOSCHLTD_F2,11/02/2022,11:12:00,16736.30,16736.30,16736.30,16736.30,50,2800
BOSCHLTD_F2,11/02/2022,11:21:00,16736.00,16736.00,16736.00,16736.00,50,2800
BOSCHLTD_F2,11/02/2022,11:50:00,16744.80,16744.80,16744.80,16744.80,100,2850
BOSCHLTD_F2,11/02/2022,12:09:00,16695.55,16695.55,16695.55,16695.55,50,2900
BOSCHLTD_F2,11/02/2022,12:14:00,16661.00,16661.00,16661.00,16661.00,50,2950
BOSCHLTD_F2,11/02/2022,13:33:00,16687.70,16687.70,16687.70,16687.70,50,2900
BOSCHLTD_F2,11/02/2022,13:45:00,16662.95,16662.95,16662.95,16662.95,50,2850
BOSCHLTD_F2,11/02/2022,13:51:00,16686.20,16686.20,16686.20,16686.20,50,2900
BOSCHLTD_F2,11/02/2022,15:13:00,16705.30,16705.30,16705.30,16705.30,50,2950
BOSCHLTD_F2,11/02/2022,15:15:00,16705.75,16705.75,16705.75,16705.75,50,2950
BOSCHLTD_F2,11/02/2022,15:27:00,16711.80,16711.80,16711.80,16711.80,50,2850
BOSCHLTD_F2,11/03/2022,10:03:00,16700.00,16700.00,16700.00,16700.00,51,2900
BOSCHLTD_F2,11/03/2022,10:46:00,16700.00,16700.00,16700.00,16700.00,50,2900
BOSCHLTD_F2,11/03/2022,12:58:00,16705.15,16705.15,16705.15,16705.15,50,2900
BOSCHLTD_F2,11/03/2022,14:29:00,16710.00,16710.00,16710.00,16710.00,100,2900
BOSCHLTD_F2,11/04/2022,09:18:00,16604.00,16604.00,16604.00,16604.00,51,2900
BOSCHLTD_F2,11/04/2022,09:19:00,16574.05,16574.05,16574.05,16574.05,50,2900
BOSCHLTD_F2,11/04/2022,09:21:00,16574.05,16574.05,16574.05,16574.05,50,3000
BOSCHLTD_F2,11/04/2022,09:24:00,16574.05,16574.05,16574.05,16574.05,50,3000
BOSCHLTD_F2,11/04/2022,09:27:00,16629.45,16629.45,16629.45,16629.45,100,2950
BOSCHLTD_F2,11/04/2022,09:53:00,16629.45,16629.45,16629.45,16629.45,100,2950
BOSCHLTD_F2,11/04/2022,10:11:00,16540.00,16540.00,16540.00,16540.00,50,2900
BOSCHLTD_F2,11/04/2022,10:28:00,16410.00,16410.00,16410.00,16410.00,50,2950
BOSCHLTD_F2,11/04/2022,10:31:00,16350.00,16350.00,16350.00,16350.00,50,2950
BOSCHLTD_F2,11/04/2022,10:40:00,16350.00,16350.00,16350.00,16350.00,100,2950
BOSCHLTD_F2,11/04/2022,10:41:00,16384.50,16384.50,16384.50,16384.50,100,2900
BOSCHLTD_F2,11/04/2022,10:49:00,16350.05,16350.05,16279.60,16279.60,500,2950
BOSCHLTD_F2,11/04/2022,10:50:00,16259.55,16259.55,16259.55,16259.55,200,2950
BOSCHLTD_F2,11/04/2022,11:03:00,16306.70,16306.70,16306.70,16306.70,100,2900
BOSCHLTD_F2,11/04/2022,11:11:00,16320.00,16320.00,16320.00,16320.00,50,2850
BOSCHLTD_F2,11/04/2022,11:39:00,16350.65,16350.65,16350.65,16350.65,100,2850
BOSCHLTD_F2,11/04/2022,11:47:00,16379.25,16404.20,16379.25,16404.20,100,2850
BOSCHLTD_F2,11/04/2022,11:48:00,16383.25,16383.25,16383.25,16383.25,250,2850
BOSCHLTD_F2,11/04/2022,12:01:00,16400.85,16400.85,16400.85,16400.85,50,2950
BOSCHLTD_F2,11/04/2022,12:16:00,16407.25,16407.25,16407.25,16407.25,50,3000
BOSCHLTD_F2,11/04/2022,12:36:00,16424.30,16424.30,16424.30,16424.30,50,3000
BOSCHLTD_F2,11/04/2022,12:46:00,16500.00,16500.00,16500.00,16500.00,50,2950
BOSCHLTD_F2,11/04/2022,12:58:00,16562.25,16562.25,16562.25,16562.25,100,2950
BOSCHLTD_F2,11/04/2022,13:12:00,16573.80,16573.80,16573.80,16573.80,50,3050
BOSCHLTD_F2,11/04/2022,13:29:00,16550.00,16550.00,16550.00,16550.00,50,3000
BOSCHLTD_F2,11/04/2022,13:52:00,16550.00,16550.00,16550.00,16550.00,50,3000
BOSCHLTD_F2,11/04/2022,14:03:00,16570.70,16570.70,16570.70,16570.70,50,2950
BOSCHLTD_F2,11/04/2022,14:18:00,16540.00,16540.00,16540.00,16540.00,50,2900
BOSCHLTD_F2,11/04/2022,14:23:00,16480.00,16481.10,16480.00,16481.10,150,2950
BOSCHLTD_F2,11/04/2022,14:28:00,16440.10,16440.10,16440.10,16440.10,50,3100
BOSCHLTD_F2,11/04/2022,14:46:00,16464.55,16464.55,16464.55,16464.55,100,3100
BOSCHLTD_F2,11/04/2022,15:09:00,16492.40,16492.40,16492.40,16492.40,50,3200
BOSCHLTD_F2,11/04/2022,15:18:00,16500.80,16500.80,16500.80,16500.80,50,3200
BOSCHLTD_F2,11/04/2022,15:24:00,16472.25,16472.25,16472.25,16472.25,50,3250
BOSCHLTD_F2,11/04/2022,15:26:00,16450.00,16450.00,16450.00,16450.00,100,3300
BOSCHLTD_F2,11/04/2022,15:27:00,16484.00,16484.00,16484.00,16484.00,50,3350
BOSCHLTD_F2,11/04/2022,15:28:00,16455.80,16455.80,16455.80,16455.80,50,3350
BOSCHLTD_F2,11/07/2022,09:15:00,16460.60,16460.60,16455.80,16455.80,102,3300
BOSCHLTD_F2,11/07/2022,09:18:00,16391.85,16391.85,16391.85,16391.85,100,3400
BOSCHLTD_F2,11/07/2022,09:22:00,16391.85,16391.85,16391.85,16391.85,350,3450
BOSCHLTD_F2,11/07/2022,09:23:00,16347.50,16347.50,16347.50,16347.50,350,3450
BOSCHLTD_F2,11/07/2022,09:25:00,16350.00,16350.00,16350.00,16350.00,250,3800
BOSCHLTD_F2,11/07/2022,09:26:00,16350.00,16370.00,16350.00,16370.00,100,3850
BOSCHLTD_F2,11/07/2022,09:27:00,16386.50,16386.50,16386.50,16386.50,100,3850
BOSCHLTD_F2,11/07/2022,09:32:00,16389.65,16389.65,16389.65,16389.65,100,3900
BOSCHLTD_F2,11/07/2022,09:34:00,16389.65,16389.65,16389.65,16389.65,50,3900
BOSCHLTD_F2,11/07/2022,09:36:00,16350.00,16350.00,16350.00,16350.00,50,3850
BOSCHLTD_F2,11/07/2022,09:45:00,16364.45,16364.45,16364.45,16364.45,50,3900
BOSCHLTD_F2,11/07/2022,10:11:00,16397.30,16397.30,16397.30,16397.30,50,3900
BOSCHLTD_F2,11/07/2022,10:30:00,16480.00,16480.00,16480.00,16480.00,100,3850
BOSCHLTD_F2,11/07/2022,10:33:00,16460.00,16460.00,16460.00,16460.00,50,3800
BOSCHLTD_F2,11/07/2022,10:59:00,16544.60,16544.60,16544.60,16544.60,50,3850
BOSCHLTD_F2,11/07/2022,11:07:00,16596.25,16596.25,16596.25,16596.25,50,3900
BOSCHLTD_F2,11/07/2022,11:20:00,16596.25,16596.25,16596.25,16596.25,50,3950
BOSCHLTD_F2,11/07/2022,11:29:00,16472.45,16472.45,16472.45,16472.45,50,3900
BOSCHLTD_F2,11/07/2022,11:53:00,16489.50,16489.50,16489.50,16489.50,50,3850
BOSCHLTD_F2,11/07/2022,13:17:00,16624.00,16624.00,16624.00,16624.00,50,3800
BOSCHLTD_F2,11/07/2022,13:28:00,16624.00,16624.00,16624.00,16624.00,50,3800
BOSCHLTD_F2,11/07/2022,13:31:00,16600.00,16600.00,16600.00,16600.00,50,3800
BOSCHLTD_F2,11/07/2022,13:36:00,16650.00,16650.00,16650.00,16650.00,50,3800
BOSCHLTD_F2,11/07/2022,13:37:00,16670.00,16675.00,16670.00,16675.00,100,3800
BOSCHLTD_F2,11/07/2022,13:38:00,16700.50,16700.50,16700.50,16700.50,50,3800
BOSCHLTD_F2,11/07/2022,13:44:00,16700.50,16700.50,16700.50,16700.50,50,3800
BOSCHLTD_F2,11/07/2022,13:45:00,16675.90,16675.90,16675.90,16675.90,50,3800
BOSCHLTD_F2,11/07/2022,13:46:00,16663.70,16663.70,16663.70,16663.70,100,3800
BOSCHLTD_F2,11/07/2022,13:57:00,16690.00,16690.00,16690.00,16690.00,100,3800
BOSCHLTD_F2,11/07/2022,13:59:00,16701.20,16701.20,16701.20,16701.20,50,3800
BOSCHLTD_F2,11/07/2022,14:03:00,16717.45,16717.45,16717.45,16717.45,50,3750
BOSCHLTD_F2,11/07/2022,14:04:00,16724.30,16724.30,16724.30,16724.30,50,3700
BOSCHLTD_F2,11/07/2022,14:08:00,16746.90,16746.90,16746.90,16746.90,150,3750
BOSCHLTD_F2,11/07/2022,14:27:00,16746.90,16746.90,16746.90,16746.90,50,3800
BOSCHLTD_F2,11/07/2022,14:28:00,16735.55,16735.55,16735.55,16735.55,50,3750
BOSCHLTD_F2,11/07/2022,14:31:00,16750.00,16750.00,16750.00,16750.00,100,3800
