<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
CHOLAFIN_F2,11/01/2022,09:19:00,713.00,713.00,713.00,713.00,1251,72500
CHOLAFIN_F2,11/01/2022,09:22:00,714.30,714.30,714.30,714.30,1250,73750
CHOLAFIN_F2,11/01/2022,09:25:00,714.30,714.30,714.30,714.30,1250,73750
CHOLAFIN_F2,11/01/2022,09:32:00,707.70,707.70,707.70,707.70,1250,75000
CHOLAFIN_F2,11/01/2022,09:39:00,707.70,707.70,707.70,707.70,1250,75000
CHOLAFIN_F2,11/01/2022,09:45:00,711.80,711.80,711.80,711.80,1250,75000
CHOLAFIN_F2,11/01/2022,09:56:00,713.50,713.50,713.50,713.50,1250,76250
CHOLAFIN_F2,11/01/2022,10:11:00,712.05,712.05,712.05,712.05,1250,77500
CHOLAFIN_F2,11/01/2022,10:12:00,712.60,712.60,712.60,712.60,1250,78750
CHOLAFIN_F2,11/01/2022,10:13:00,712.60,712.60,712.60,712.60,1250,78750
CHOLAFIN_F2,11/01/2022,10:24:00,710.00,710.00,710.00,710.00,1250,81250
CHOLAFIN_F2,11/01/2022,10:37:00,711.60,711.60,711.60,711.60,1250,82500
CHOLAFIN_F2,11/01/2022,10:45:00,712.10,712.10,712.10,712.10,2500,82500
CHOLAFIN_F2,11/01/2022,11:33:00,711.10,711.10,711.10,711.10,1250,86250
CHOLAFIN_F2,11/01/2022,12:48:00,714.70,714.70,714.70,714.70,1250,87500
CHOLAFIN_F2,11/01/2022,13:06:00,714.70,714.70,714.70,714.70,2500,87500
CHOLAFIN_F2,11/01/2022,13:56:00,712.00,712.00,712.00,712.00,1250,90000
CHOLAFIN_F2,11/01/2022,14:30:00,713.00,713.00,713.00,713.00,1250,91250
CHOLAFIN_F2,11/01/2022,14:47:00,713.50,713.50,713.50,713.50,1250,91250
CHOLAFIN_F2,11/01/2022,14:56:00,712.65,712.65,712.65,712.65,1250,90000
CHOLAFIN_F2,11/01/2022,15:10:00,713.50,713.50,713.50,713.50,2500,91250
CHOLAFIN_F2,11/01/2022,15:12:00,716.85,716.85,716.85,716.85,1250,92500
CHOLAFIN_F2,11/01/2022,15:13:00,716.85,716.85,716.85,716.85,2500,92500
CHOLAFIN_F2,11/01/2022,15:14:00,717.55,717.55,717.55,717.55,1250,92500
CHOLAFIN_F2,11/01/2022,15:16:00,717.55,717.55,717.55,717.55,1250,91250
CHOLAFIN_F2,11/01/2022,15:25:00,716.25,716.25,716.25,716.25,1250,91250
CHOLAFIN_F2,11/01/2022,15:27:00,715.10,715.10,715.10,715.10,1250,91250
CHOLAFIN_F2,11/02/2022,09:15:00,715.00,715.00,715.00,715.00,1251,92500
CHOLAFIN_F2,11/02/2022,09:16:00,730.40,730.40,730.40,730.40,1250,92500
CHOLAFIN_F2,11/02/2022,09:17:00,737.55,742.80,735.95,742.80,8750,91250
CHOLAFIN_F2,11/02/2022,09:18:00,746.15,746.15,736.00,736.00,7500,91250
CHOLAFIN_F2,11/02/2022,09:19:00,738.00,749.25,738.00,749.25,7500,91250
CHOLAFIN_F2,11/02/2022,09:20:00,749.25,749.25,745.20,745.20,2500,91250
CHOLAFIN_F2,11/02/2022,09:21:00,739.05,739.05,739.05,739.05,1250,96250
CHOLAFIN_F2,11/02/2022,09:22:00,738.75,738.75,738.75,738.75,1250,96250
CHOLAFIN_F2,11/02/2022,09:24:00,731.95,735.00,731.95,735.00,3750,96250
CHOLAFIN_F2,11/02/2022,09:26:00,736.05,736.05,736.05,736.05,1250,96250
CHOLAFIN_F2,11/02/2022,09:27:00,728.10,730.00,728.10,730.00,2500,93750
CHOLAFIN_F2,11/02/2022,09:28:00,721.55,721.55,721.55,721.55,2500,93750
CHOLAFIN_F2,11/02/2022,09:30:00,723.35,725.20,723.35,725.20,6250,92500
CHOLAFIN_F2,11/02/2022,09:31:00,725.10,725.10,722.90,722.90,2500,92500
CHOLAFIN_F2,11/02/2022,09:33:00,725.35,725.35,725.35,725.35,2500,92500
CHOLAFIN_F2,11/02/2022,09:34:00,724.15,724.15,724.15,724.15,1250,93750
CHOLAFIN_F2,11/02/2022,09:35:00,723.00,723.00,723.00,723.00,1250,93750
CHOLAFIN_F2,11/02/2022,09:36:00,722.00,722.90,722.00,722.90,2500,96250
CHOLAFIN_F2,11/02/2022,09:37:00,722.00,722.00,722.00,722.00,1250,96250
CHOLAFIN_F2,11/02/2022,09:39:00,721.95,721.95,721.95,721.95,2500,97500
CHOLAFIN_F2,11/02/2022,09:40:00,723.20,723.20,723.20,723.20,1250,97500
CHOLAFIN_F2,11/02/2022,09:42:00,722.75,722.75,722.75,722.75,1250,100000
CHOLAFIN_F2,11/02/2022,09:50:00,722.75,722.75,722.75,722.75,1250,101250
CHOLAFIN_F2,11/02/2022,09:51:00,722.50,722.50,722.50,722.50,2500,102500
CHOLAFIN_F2,11/02/2022,09:53:00,720.00,720.00,720.00,720.00,1250,101250
CHOLAFIN_F2,11/02/2022,09:55:00,722.10,723.70,722.10,723.70,11250,101250
CHOLAFIN_F2,11/02/2022,09:59:00,730.00,730.00,730.00,730.00,1250,103750
CHOLAFIN_F2,11/02/2022,10:00:00,733.95,733.95,731.80,731.80,2500,103750
CHOLAFIN_F2,11/02/2022,10:01:00,733.95,733.95,733.95,733.95,2500,103750
CHOLAFIN_F2,11/02/2022,10:02:00,736.00,736.00,736.00,736.00,2500,103750
CHOLAFIN_F2,11/02/2022,10:03:00,740.00,740.00,740.00,740.00,2500,105000
CHOLAFIN_F2,11/02/2022,10:04:00,740.00,740.00,740.00,740.00,1250,105000
CHOLAFIN_F2,11/02/2022,10:05:00,739.60,739.60,739.60,739.60,1250,105000
CHOLAFIN_F2,11/02/2022,10:09:00,744.10,745.00,744.10,745.00,5000,105000
CHOLAFIN_F2,11/02/2022,10:10:00,742.55,742.55,742.55,742.55,1250,105000
CHOLAFIN_F2,11/02/2022,10:13:00,745.00,745.00,745.00,745.00,1250,108750
CHOLAFIN_F2,11/02/2022,10:14:00,744.75,744.75,744.75,744.75,1250,108750
CHOLAFIN_F2,11/02/2022,10:15:00,744.50,744.50,744.50,744.50,1250,108750
CHOLAFIN_F2,11/02/2022,10:17:00,746.80,746.80,746.80,746.80,1250,108750
CHOLAFIN_F2,11/02/2022,10:20:00,744.90,745.65,744.90,745.65,2500,108750
CHOLAFIN_F2,11/02/2022,10:21:00,748.00,748.00,748.00,748.00,1250,107500
CHOLAFIN_F2,11/02/2022,10:22:00,752.00,752.00,752.00,752.00,1250,107500
CHOLAFIN_F2,11/02/2022,10:23:00,753.00,753.00,753.00,753.00,1250,107500
CHOLAFIN_F2,11/02/2022,10:24:00,753.00,753.00,753.00,753.00,1250,106250
CHOLAFIN_F2,11/02/2022,10:26:00,751.00,751.00,751.00,751.00,1250,106250
CHOLAFIN_F2,11/02/2022,10:27:00,755.00,755.00,755.00,755.00,5000,106250
CHOLAFIN_F2,11/02/2022,10:32:00,755.20,755.20,755.20,755.20,3750,106250
CHOLAFIN_F2,11/02/2022,10:33:00,755.35,755.35,755.35,755.35,3750,108750
CHOLAFIN_F2,11/02/2022,10:34:00,756.20,756.20,756.20,756.20,1250,108750
CHOLAFIN_F2,11/02/2022,10:36:00,756.20,756.20,756.20,756.20,1250,110000
CHOLAFIN_F2,11/02/2022,10:37:00,751.10,751.20,751.10,751.20,2500,110000
CHOLAFIN_F2,11/02/2022,10:40:00,751.20,753.50,751.20,753.50,2500,111250
CHOLAFIN_F2,11/02/2022,10:46:00,756.30,756.30,756.30,756.30,1250,111250
CHOLAFIN_F2,11/02/2022,10:47:00,756.30,756.30,756.30,756.30,1250,111250
CHOLAFIN_F2,11/02/2022,10:50:00,752.10,752.10,752.10,752.10,1250,113750
CHOLAFIN_F2,11/02/2022,10:59:00,753.00,753.00,753.00,753.00,1250,115000
CHOLAFIN_F2,11/02/2022,11:04:00,751.40,751.40,751.40,751.40,1250,113750
CHOLAFIN_F2,11/02/2022,11:12:00,751.90,751.90,751.90,751.90,1250,112500
CHOLAFIN_F2,11/02/2022,11:13:00,750.00,750.00,750.00,750.00,5000,112500
CHOLAFIN_F2,11/02/2022,11:15:00,750.00,750.00,750.00,750.00,1250,112500
CHOLAFIN_F2,11/02/2022,11:27:00,750.90,750.90,750.90,750.90,1250,113750
CHOLAFIN_F2,11/02/2022,11:36:00,752.00,752.00,752.00,752.00,1250,115000
CHOLAFIN_F2,11/02/2022,11:38:00,755.00,755.00,755.00,755.00,1250,115000
CHOLAFIN_F2,11/02/2022,12:35:00,758.00,758.00,758.00,758.00,1250,117500
CHOLAFIN_F2,11/02/2022,12:41:00,758.00,758.00,758.00,758.00,1250,118750
CHOLAFIN_F2,11/02/2022,12:43:00,755.85,755.85,755.85,755.85,1250,120000
CHOLAFIN_F2,11/02/2022,12:52:00,755.00,755.00,755.00,755.00,1250,121250
CHOLAFIN_F2,11/02/2022,13:03:00,755.00,755.00,755.00,755.00,1250,122500
CHOLAFIN_F2,11/02/2022,13:12:00,758.00,758.00,758.00,758.00,2500,121250
CHOLAFIN_F2,11/02/2022,13:14:00,758.80,758.80,758.80,758.80,2500,121250
CHOLAFIN_F2,11/02/2022,13:19:00,758.80,758.80,758.80,758.80,2500,121250
CHOLAFIN_F2,11/02/2022,13:26:00,755.00,755.00,755.00,755.00,1250,121250
CHOLAFIN_F2,11/02/2022,13:31:00,753.00,753.00,753.00,753.00,2500,120000
CHOLAFIN_F2,11/02/2022,13:32:00,752.00,752.00,752.00,752.00,2500,120000
CHOLAFIN_F2,11/02/2022,13:43:00,752.00,752.00,752.00,752.00,1250,123750
CHOLAFIN_F2,11/02/2022,13:59:00,752.60,752.60,752.60,752.60,1250,123750
CHOLAFIN_F2,11/02/2022,14:25:00,756.00,756.00,756.00,756.00,2500,122500
CHOLAFIN_F2,11/02/2022,14:27:00,754.00,754.00,753.30,753.30,2500,122500
CHOLAFIN_F2,11/02/2022,14:28:00,753.30,753.30,753.30,753.30,1250,122500
CHOLAFIN_F2,11/02/2022,14:44:00,753.65,753.65,753.65,753.65,1250,122500
CHOLAFIN_F2,11/02/2022,15:12:00,752.45,752.45,752.45,752.45,2500,123750
CHOLAFIN_F2,11/02/2022,15:18:00,752.40,752.55,752.40,752.55,2500,123750
CHOLAFIN_F2,11/02/2022,15:19:00,752.30,752.30,752.25,752.25,2500,123750
CHOLAFIN_F2,11/02/2022,15:20:00,750.40,750.40,750.40,750.40,1250,123750
CHOLAFIN_F2,11/02/2022,15:27:00,750.40,750.40,750.40,750.40,1250,123750
CHOLAFIN_F2,11/03/2022,09:15:00,747.30,747.30,746.50,746.50,3752,122500
