<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
COLPAL_F2,11/01/2022,09:49:00,1644.95,1644.95,1644.95,1644.95,351,29400
COLPAL_F2,11/01/2022,10:06:00,1643.00,1643.00,1643.00,1643.00,1400,29750
COLPAL_F2,11/01/2022,10:57:00,1640.00,1640.00,1640.00,1640.00,350,29750
COLPAL_F2,11/01/2022,14:19:00,1632.95,1632.95,1632.95,1632.95,350,31500
COLPAL_F2,11/01/2022,14:28:00,1632.95,1632.95,1632.95,1632.95,350,31850
COLPAL_F2,11/01/2022,14:53:00,1635.45,1635.45,1635.45,1635.45,350,32200
COLPAL_F2,11/01/2022,14:54:00,1636.00,1636.00,1636.00,1636.00,350,32200
COLPAL_F2,11/01/2022,14:56:00,1636.00,1636.00,1636.00,1636.00,700,32200
COLPAL_F2,11/02/2022,09:23:00,1642.60,1642.60,1642.60,1642.60,351,33250
COLPAL_F2,11/02/2022,09:34:00,1642.60,1642.60,1642.60,1642.60,350,33250
COLPAL_F2,11/02/2022,09:45:00,1644.05,1644.05,1644.05,1644.05,350,33250
COLPAL_F2,11/02/2022,09:50:00,1644.55,1644.55,1644.55,1644.55,700,32900
COLPAL_F2,11/02/2022,09:55:00,1644.00,1644.00,1644.00,1644.00,350,32900
COLPAL_F2,11/02/2022,10:24:00,1644.00,1644.00,1644.00,1644.00,350,33250
COLPAL_F2,11/02/2022,10:43:00,1645.00,1645.00,1645.00,1645.00,350,33250
COLPAL_F2,11/02/2022,11:25:00,1645.00,1645.00,1645.00,1645.00,350,32900
COLPAL_F2,11/02/2022,11:42:00,1639.00,1646.15,1639.00,1646.15,1750,33250
COLPAL_F2,11/02/2022,11:50:00,1646.15,1646.15,1646.15,1646.15,350,33950
COLPAL_F2,11/02/2022,11:53:00,1646.15,1646.15,1646.15,1646.15,700,34300
COLPAL_F2,11/02/2022,13:22:00,1637.00,1637.00,1637.00,1637.00,350,33950
COLPAL_F2,11/02/2022,13:23:00,1636.00,1636.00,1636.00,1636.00,350,33950
COLPAL_F2,11/02/2022,13:26:00,1634.90,1634.90,1634.90,1634.90,350,33950
COLPAL_F2,11/02/2022,13:41:00,1631.70,1631.70,1631.70,1631.70,350,34300
COLPAL_F2,11/02/2022,14:42:00,1631.70,1631.70,1631.70,1631.70,350,34650
COLPAL_F2,11/02/2022,14:50:00,1629.45,1629.45,1629.45,1629.45,700,34650
COLPAL_F2,11/02/2022,14:51:00,1627.50,1627.50,1627.50,1627.50,350,34650
COLPAL_F2,11/02/2022,15:15:00,1627.50,1627.50,1627.50,1627.50,350,34650
COLPAL_F2,11/02/2022,15:27:00,1631.75,1631.75,1631.75,1631.75,1050,34650
COLPAL_F2,11/03/2022,09:15:00,1625.35,1625.35,1625.35,1625.35,351,34650
COLPAL_F2,11/03/2022,09:17:00,1632.00,1635.00,1632.00,1635.00,700,35000
COLPAL_F2,11/03/2022,09:22:00,1635.00,1635.00,1635.00,1635.00,350,35000
COLPAL_F2,11/03/2022,09:25:00,1623.00,1623.00,1623.00,1623.00,700,35350
COLPAL_F2,11/03/2022,09:34:00,1623.00,1623.00,1623.00,1623.00,350,35350
COLPAL_F2,11/03/2022,09:46:00,1630.00,1630.00,1630.00,1630.00,350,35350
COLPAL_F2,11/03/2022,10:20:00,1626.30,1626.30,1626.30,1626.30,350,35350
COLPAL_F2,11/03/2022,10:23:00,1623.00,1623.00,1623.00,1623.00,350,35700
COLPAL_F2,11/03/2022,11:04:00,1616.15,1616.15,1616.15,1616.15,350,36050
COLPAL_F2,11/03/2022,11:07:00,1615.00,1615.00,1615.00,1615.00,350,36400
COLPAL_F2,11/03/2022,11:10:00,1614.00,1614.00,1614.00,1614.00,350,36750
COLPAL_F2,11/03/2022,11:12:00,1614.00,1614.00,1614.00,1614.00,350,36750
COLPAL_F2,11/03/2022,11:25:00,1616.45,1616.45,1616.45,1616.45,350,36750
COLPAL_F2,11/03/2022,11:26:00,1614.50,1614.50,1614.50,1614.50,350,36750
COLPAL_F2,11/03/2022,11:39:00,1612.55,1612.55,1612.55,1612.55,350,37100
COLPAL_F2,11/03/2022,11:40:00,1611.70,1611.70,1611.70,1611.70,2450,37100
COLPAL_F2,11/03/2022,11:49:00,1612.00,1612.55,1612.00,1612.55,1050,35700
COLPAL_F2,11/03/2022,12:20:00,1610.00,1610.00,1610.00,1610.00,350,36400
COLPAL_F2,11/03/2022,12:36:00,1610.00,1610.00,1610.00,1610.00,350,36400
COLPAL_F2,11/03/2022,12:45:00,1608.40,1608.40,1608.40,1608.40,700,36750
COLPAL_F2,11/03/2022,12:58:00,1606.00,1606.00,1606.00,1606.00,1750,36750
COLPAL_F2,11/03/2022,13:36:00,1605.05,1605.05,1605.05,1605.05,350,36750
COLPAL_F2,11/03/2022,13:41:00,1601.45,1601.45,1601.45,1601.45,1750,36400
COLPAL_F2,11/03/2022,14:13:00,1601.45,1601.45,1601.45,1601.45,350,34650
COLPAL_F2,11/03/2022,14:57:00,1599.05,1599.05,1599.05,1599.05,350,35000
COLPAL_F2,11/03/2022,15:03:00,1599.05,1599.05,1599.05,1599.05,350,35000
COLPAL_F2,11/03/2022,15:23:00,1609.75,1609.75,1609.75,1609.75,700,34650
COLPAL_F2,11/03/2022,15:24:00,1608.20,1608.20,1608.20,1608.20,350,34650
COLPAL_F2,11/04/2022,09:16:00,1611.90,1612.90,1611.90,1612.85,1053,34650
COLPAL_F2,11/04/2022,09:21:00,1613.00,1613.00,1613.00,1613.00,350,34650
COLPAL_F2,11/04/2022,09:46:00,1615.00,1615.00,1615.00,1615.00,350,34650
COLPAL_F2,11/04/2022,10:06:00,1615.00,1615.00,1615.00,1615.00,350,34650
