<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
FEDERALBNK_F3,11/01/2022,09:49:00,134.60,134.60,134.50,134.50,10001,135000
FEDERALBNK_F3,11/01/2022,11:16:00,134.50,134.50,134.50,134.50,5000,135000
FEDERALBNK_F3,11/01/2022,13:00:00,135.00,135.00,135.00,135.00,5000,135000
FEDERALBNK_F3,11/01/2022,14:01:00,133.40,133.40,133.40,133.40,5000,135000
FEDERALBNK_F3,11/01/2022,15:00:00,133.40,133.40,133.40,133.40,10000,130000
FEDERALBNK_F3,11/01/2022,15:29:00,133.70,133.70,133.70,133.70,20000,120000
FEDERALBNK_F3,11/02/2022,09:29:00,134.55,134.55,134.55,134.55,5001,140000
FEDERALBNK_F3,11/02/2022,10:03:00,134.35,134.35,134.35,134.35,5000,145000
FEDERALBNK_F3,11/02/2022,10:05:00,134.35,134.35,134.35,134.35,10000,150000
FEDERALBNK_F3,11/02/2022,10:07:00,135.00,135.00,135.00,135.00,10000,150000
FEDERALBNK_F3,11/02/2022,13:00:00,135.00,135.00,135.00,135.00,5000,160000
FEDERALBNK_F3,11/02/2022,13:29:00,134.70,134.70,134.70,134.70,10000,160000
FEDERALBNK_F3,11/02/2022,13:30:00,134.60,134.70,134.60,134.70,30000,170000
FEDERALBNK_F3,11/02/2022,13:33:00,134.65,134.65,134.65,134.65,20000,200000
FEDERALBNK_F3,11/02/2022,13:35:00,134.45,134.45,134.45,134.45,40000,200000
FEDERALBNK_F3,11/02/2022,13:37:00,134.85,134.85,134.85,134.85,20000,260000
FEDERALBNK_F3,11/02/2022,13:47:00,134.30,134.30,134.30,134.30,5000,280000
FEDERALBNK_F3,11/02/2022,13:53:00,134.30,134.30,134.30,134.30,5000,280000
FEDERALBNK_F3,11/02/2022,14:22:00,134.55,134.55,134.55,134.55,10000,285000
FEDERALBNK_F3,11/02/2022,14:45:00,134.75,134.75,134.75,134.75,5000,285000
FEDERALBNK_F3,11/02/2022,15:01:00,134.90,134.90,134.90,134.90,5000,280000
FEDERALBNK_F3,11/02/2022,15:10:00,135.00,135.00,135.00,135.00,5000,280000
FEDERALBNK_F3,11/03/2022,09:15:00,134.40,134.40,134.40,134.40,5001,275000
FEDERALBNK_F3,11/03/2022,09:16:00,134.95,134.95,134.95,134.95,5000,275000
FEDERALBNK_F3,11/03/2022,09:19:00,134.95,134.95,134.95,134.95,5000,270000
FEDERALBNK_F3,11/03/2022,09:26:00,135.95,135.95,135.95,135.95,5000,270000
FEDERALBNK_F3,11/03/2022,09:32:00,136.50,136.50,136.50,136.50,5000,275000
FEDERALBNK_F3,11/03/2022,09:37:00,136.75,136.75,136.75,136.75,10000,280000
FEDERALBNK_F3,11/03/2022,09:44:00,136.85,136.85,136.85,136.85,5000,270000
FEDERALBNK_F3,11/03/2022,09:45:00,137.00,137.35,137.00,137.35,10000,270000
FEDERALBNK_F3,11/03/2022,09:56:00,137.35,137.35,137.35,137.35,5000,275000
FEDERALBNK_F3,11/03/2022,09:59:00,137.45,137.45,137.45,137.45,5000,275000
FEDERALBNK_F3,11/03/2022,10:00:00,137.50,137.50,137.50,137.50,5000,275000
FEDERALBNK_F3,11/03/2022,10:01:00,137.95,137.95,137.95,137.95,10000,275000
FEDERALBNK_F3,11/03/2022,10:06:00,137.50,137.50,137.50,137.50,5000,275000
FEDERALBNK_F3,11/03/2022,10:10:00,137.85,137.85,137.85,137.85,5000,280000
FEDERALBNK_F3,11/03/2022,10:16:00,137.75,137.75,137.75,137.75,5000,280000
FEDERALBNK_F3,11/03/2022,10:27:00,137.75,137.75,137.75,137.75,5000,285000
FEDERALBNK_F3,11/03/2022,10:28:00,137.95,137.95,137.95,137.95,10000,285000
FEDERALBNK_F3,11/03/2022,10:39:00,138.50,138.50,138.50,138.50,50000,285000
FEDERALBNK_F3,11/03/2022,10:40:00,138.50,138.50,138.50,138.50,50000,285000
FEDERALBNK_F3,11/03/2022,10:41:00,138.40,138.40,138.40,138.40,20000,285000
FEDERALBNK_F3,11/03/2022,10:42:00,138.80,138.80,138.80,138.80,20000,405000
FEDERALBNK_F3,11/03/2022,10:50:00,138.80,138.80,138.80,138.80,30000,425000
FEDERALBNK_F3,11/03/2022,10:57:00,139.05,139.05,139.05,139.05,5000,435000
FEDERALBNK_F3,11/03/2022,11:00:00,139.05,139.05,139.05,139.05,5000,440000
FEDERALBNK_F3,11/03/2022,11:25:00,138.25,138.25,138.25,138.25,5000,440000
FEDERALBNK_F3,11/03/2022,11:26:00,138.50,138.50,138.50,138.50,5000,440000
FEDERALBNK_F3,11/03/2022,11:35:00,138.55,138.55,138.55,138.55,5000,440000
FEDERALBNK_F3,11/03/2022,11:39:00,138.90,138.95,138.90,138.95,10000,440000
