<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
GODREJPROP_F3,11/01/2022,09:23:00,1280.55,1280.55,1280.55,1280.55,851,3825
GODREJPROP_F3,11/01/2022,09:31:00,1275.70,1275.70,1275.70,1275.70,425,4675
GODREJPROP_F3,11/01/2022,09:33:00,1271.00,1271.00,1271.00,1271.00,425,4675
GODREJPROP_F3,11/01/2022,13:01:00,1271.00,1271.00,1271.00,1271.00,425,5100
GODREJPROP_F3,11/01/2022,13:05:00,1275.00,1275.00,1275.00,1275.00,425,5525
GODREJPROP_F3,11/01/2022,13:36:00,1283.00,1283.00,1283.00,1283.00,425,5950
GODREJPROP_F3,11/01/2022,14:11:00,1283.00,1283.00,1283.00,1283.00,850,5950
GODREJPROP_F3,11/02/2022,09:34:00,1293.00,1293.00,1293.00,1293.00,426,5950
GODREJPROP_F3,11/02/2022,09:43:00,1286.00,1286.00,1286.00,1286.00,425,5950
GODREJPROP_F3,11/02/2022,09:45:00,1283.00,1283.00,1283.00,1283.00,425,5950
GODREJPROP_F3,11/02/2022,11:20:00,1273.00,1273.00,1273.00,1273.00,425,5950
GODREJPROP_F3,11/02/2022,14:57:00,1255.00,1255.00,1255.00,1255.00,850,6375
GODREJPROP_F3,11/02/2022,15:24:00,1261.80,1261.80,1261.00,1261.00,850,7225
GODREJPROP_F3,11/03/2022,09:23:00,1250.00,1250.00,1250.00,1250.00,426,0
GODREJPROP_F3,11/03/2022,09:50:00,1257.70,1257.70,1257.70,1257.70,425,8500
GODREJPROP_F3,11/03/2022,11:05:00,1263.20,1263.20,1263.20,1263.20,425,8925
GODREJPROP_F3,11/03/2022,15:03:00,1269.00,1269.00,1269.00,1269.00,425,8925
GODREJPROP_F3,11/04/2022,10:17:00,1260.90,1260.90,1260.90,1260.90,426,8925
GODREJPROP_F3,11/04/2022,10:54:00,1254.00,1254.00,1254.00,1254.00,425,8925
GODREJPROP_F3,11/04/2022,13:40:00,1254.00,1254.00,1254.00,1254.00,850,9350
GODREJPROP_F3,11/04/2022,13:41:00,1277.00,1277.00,1277.00,1277.00,425,9350
GODREJPROP_F3,11/07/2022,09:47:00,1275.00,1275.00,1275.00,1275.00,426,9350
GODREJPROP_F3,11/07/2022,10:48:00,1264.95,1264.95,1264.95,1264.95,425,9350
GODREJPROP_F3,11/07/2022,12:40:00,1264.95,1264.95,1264.95,1264.95,425,9775
GODREJPROP_F3,11/07/2022,13:22:00,1273.00,1273.00,1273.00,1273.00,425,9775
GODREJPROP_F3,11/07/2022,13:27:00,1271.00,1271.00,1271.00,1271.00,425,10200
GODREJPROP_F3,11/07/2022,14:00:00,1268.00,1268.00,1268.00,1268.00,850,9775
GODREJPROP_F3,11/07/2022,15:15:00,1280.00,1280.00,1280.00,1280.00,425,9775
GODREJPROP_F3,11/07/2022,15:20:00,1282.00,1282.00,1282.00,1282.00,425,10200
GODREJPROP_F3,11/07/2022,15:22:00,1283.60,1283.60,1283.60,1283.60,425,10625
GODREJPROP_F3,11/07/2022,15:26:00,1283.60,1283.60,1283.60,1283.60,425,11050
GODREJPROP_F3,11/09/2022,09:22:00,1281.80,1281.80,1281.80,1281.80,426,11475
GODREJPROP_F3,11/09/2022,09:27:00,1281.80,1281.80,1281.80,1281.80,425,11475
GODREJPROP_F3,11/09/2022,09:56:00,1270.80,1270.80,1270.80,1270.80,425,11475
GODREJPROP_F3,11/09/2022,10:05:00,1270.80,1270.80,1270.80,1270.80,425,11475
GODREJPROP_F3,11/09/2022,10:19:00,1274.30,1274.30,1274.30,1274.30,425,11475
GODREJPROP_F3,11/09/2022,10:47:00,1278.15,1278.15,1278.15,1278.15,2125,11050
GODREJPROP_F3,11/09/2022,10:49:00,1278.00,1278.00,1278.00,1278.00,425,13175
GODREJPROP_F3,11/09/2022,10:59:00,1270.00,1270.00,1270.00,1270.00,425,13175
GODREJPROP_F3,11/09/2022,11:34:00,1265.00,1265.00,1265.00,1265.00,425,13600
GODREJPROP_F3,11/09/2022,12:20:00,1260.60,1260.60,1260.60,1260.60,1700,14025
GODREJPROP_F3,11/09/2022,12:32:00,1256.40,1256.40,1256.40,1256.40,425,14450
GODREJPROP_F3,11/09/2022,12:33:00,1252.30,1252.30,1252.30,1252.30,425,14875
GODREJPROP_F3,11/09/2022,12:36:00,1214.60,1214.60,1214.60,1214.60,425,15300
GODREJPROP_F3,11/09/2022,12:44:00,1214.60,1225.05,1214.60,1225.05,2125,15725
GODREJPROP_F3,11/09/2022,12:45:00,1222.00,1222.00,1222.00,1222.00,425,16150
GODREJPROP_F3,11/09/2022,12:46:00,1222.30,1222.30,1222.30,1222.30,425,16150
GODREJPROP_F3,11/09/2022,12:57:00,1222.30,1222.30,1222.30,1222.30,425,16150
GODREJPROP_F3,11/09/2022,12:59:00,1226.00,1226.00,1226.00,1226.00,425,16150
GODREJPROP_F3,11/09/2022,13:25:00,1228.00,1228.00,1228.00,1228.00,1700,17000
GODREJPROP_F3,11/09/2022,13:28:00,1227.90,1227.90,1227.90,1227.90,425,17850
GODREJPROP_F3,11/09/2022,13:38:00,1219.20,1219.20,1219.20,1219.20,425,18275
GODREJPROP_F3,11/09/2022,14:02:00,1213.00,1213.00,1213.00,1213.00,850,18700
GODREJPROP_F3,11/09/2022,14:20:00,1203.00,1203.00,1203.00,1203.00,850,19550
GODREJPROP_F3,11/09/2022,14:22:00,1203.00,1203.00,1203.00,1203.00,850,20400
GODREJPROP_F3,11/09/2022,14:27:00,1206.00,1206.00,1206.00,1206.00,425,20400
GODREJPROP_F3,11/09/2022,14:35:00,1202.00,1202.00,1202.00,1202.00,425,20825
GODREJPROP_F3,11/09/2022,14:37:00,1201.60,1201.60,1201.60,1201.60,425,21250
GODREJPROP_F3,11/09/2022,14:41:00,1201.25,1201.25,1200.00,1200.00,850,21250
GODREJPROP_F3,11/09/2022,14:42:00,1200.00,1200.00,1200.00,1200.00,425,21250
GODREJPROP_F3,11/09/2022,14:48:00,1200.00,1200.00,1200.00,1200.00,425,21675
GODREJPROP_F3,11/09/2022,14:55:00,1200.00,1200.00,1198.00,1198.00,850,22100
GODREJPROP_F3,11/09/2022,15:03:00,1198.00,1198.00,1198.00,1198.00,1275,22950
GODREJPROP_F3,11/09/2022,15:14:00,1191.00,1191.00,1191.00,1191.00,425,24225
GODREJPROP_F3,11/09/2022,15:15:00,1190.00,1190.00,1190.00,1190.00,425,24225
GODREJPROP_F3,11/09/2022,15:22:00,1190.00,1190.00,1190.00,1190.00,1275,25075
GODREJPROP_F3,11/09/2022,15:23:00,1190.00,1190.00,1190.00,1190.00,425,25075
GODREJPROP_F3,11/09/2022,15:24:00,1189.00,1189.00,1188.00,1188.00,2125,28475
GODREJPROP_F3,11/09/2022,15:26:00,1190.00,1190.00,1190.00,1190.00,425,28475
GODREJPROP_F3,11/09/2022,15:28:00,1189.45,1189.45,1189.45,1189.45,425,29325
GODREJPROP_F3,11/10/2022,09:18:00,1186.65,1186.65,1186.65,1186.65,426,29750
GODREJPROP_F3,11/10/2022,09:20:00,1192.00,1192.00,1192.00,1192.00,425,29750
GODREJPROP_F3,11/10/2022,09:21:00,1195.00,1195.00,1195.00,1195.00,425,29750
GODREJPROP_F3,11/10/2022,09:25:00,1206.00,1206.00,1206.00,1206.00,425,29325
GODREJPROP_F3,11/10/2022,09:30:00,1220.00,1220.00,1220.00,1220.00,1275,28900
GODREJPROP_F3,11/10/2022,09:33:00,1220.00,1220.00,1220.00,1220.00,425,27625
GODREJPROP_F3,11/10/2022,09:38:00,1215.60,1215.60,1215.60,1215.60,425,27200
GODREJPROP_F3,11/10/2022,09:42:00,1233.10,1235.00,1233.10,1235.00,1700,26775
GODREJPROP_F3,11/10/2022,09:43:00,1235.00,1235.00,1235.00,1235.00,425,26775
GODREJPROP_F3,11/10/2022,09:48:00,1234.00,1234.00,1234.00,1234.00,425,25500
GODREJPROP_F3,11/10/2022,09:51:00,1233.00,1233.00,1233.00,1233.00,425,25925
GODREJPROP_F3,11/10/2022,09:55:00,1242.90,1242.90,1242.90,1242.90,425,26350
GODREJPROP_F3,11/10/2022,10:03:00,1245.00,1245.00,1245.00,1245.00,425,26775
GODREJPROP_F3,11/10/2022,10:06:00,1245.00,1245.00,1245.00,1245.00,1275,26350
GODREJPROP_F3,11/10/2022,10:20:00,1249.25,1249.25,1249.25,1249.25,425,25925
GODREJPROP_F3,11/10/2022,10:30:00,1249.25,1249.25,1249.25,1249.25,425,26350
GODREJPROP_F3,11/10/2022,10:43:00,1232.00,1232.00,1232.00,1232.00,850,25925
GODREJPROP_F3,11/10/2022,11:18:00,1245.00,1245.00,1245.00,1245.00,425,26775
GODREJPROP_F3,11/10/2022,11:29:00,1246.00,1246.00,1246.00,1246.00,425,26775
GODREJPROP_F3,11/10/2022,11:34:00,1250.00,1250.00,1250.00,1250.00,425,27200
GODREJPROP_F3,11/10/2022,11:46:00,1250.00,1250.00,1250.00,1250.00,425,27200
GODREJPROP_F3,11/10/2022,11:56:00,1250.00,1250.00,1250.00,1250.00,425,27200
GODREJPROP_F3,11/10/2022,12:48:00,1252.00,1252.00,1252.00,1252.00,850,26775
GODREJPROP_F3,11/10/2022,12:49:00,1252.00,1252.00,1252.00,1252.00,425,26775
GODREJPROP_F3,11/10/2022,13:05:00,1249.00,1249.00,1249.00,1249.00,1700,27625
GODREJPROP_F3,11/10/2022,13:22:00,1256.90,1256.90,1256.90,1256.90,425,25925
GODREJPROP_F3,11/10/2022,13:24:00,1257.00,1257.00,1257.00,1257.00,425,26350
GODREJPROP_F3,11/10/2022,13:33:00,1257.00,1257.00,1257.00,1257.00,425,25925
GODREJPROP_F3,11/10/2022,13:37:00,1252.00,1252.00,1252.00,1252.00,850,25500
GODREJPROP_F3,11/10/2022,13:51:00,1260.00,1260.00,1260.00,1260.00,1700,24650
GODREJPROP_F3,11/10/2022,13:53:00,1260.00,1260.00,1260.00,1260.00,425,23800
GODREJPROP_F3,11/10/2022,13:58:00,1264.00,1264.00,1264.00,1264.00,1275,23375
GODREJPROP_F3,11/10/2022,14:14:00,1264.00,1264.00,1264.00,1264.00,425,23375
GODREJPROP_F3,11/10/2022,14:31:00,1251.00,1251.00,1251.00,1251.00,425,22100
GODREJPROP_F3,11/11/2022,09:19:00,1277.30,1277.30,1277.30,1277.30,426,21675
GODREJPROP_F3,11/11/2022,09:24:00,1290.00,1291.00,1290.00,1291.00,850,21675
GODREJPROP_F3,11/11/2022,09:28:00,1293.00,1293.00,1293.00,1293.00,850,20825
GODREJPROP_F3,11/11/2022,09:39:00,1293.00,1293.00,1293.00,1293.00,425,19975
GODREJPROP_F3,11/11/2022,09:40:00,1298.00,1298.00,1298.00,1298.00,425,19975
GODREJPROP_F3,11/11/2022,09:45:00,1298.00,1298.00,1298.00,1298.00,425,19550
GODREJPROP_F3,11/11/2022,09:47:00,1304.00,1304.00,1304.00,1304.00,425,19550
GODREJPROP_F3,11/11/2022,09:51:00,1313.00,1313.00,1313.00,1313.00,425,19125
GODREJPROP_F3,11/11/2022,09:52:00,1313.00,1313.00,1313.00,1313.00,425,19125
GODREJPROP_F3,11/11/2022,09:54:00,1312.95,1312.95,1312.95,1312.95,1275,19125
GODREJPROP_F3,11/11/2022,10:01:00,1312.00,1312.00,1312.00,1312.00,425,18275
GODREJPROP_F3,11/11/2022,10:09:00,1301.40,1301.40,1301.40,1301.40,425,17850
GODREJPROP_F3,11/11/2022,10:10:00,1309.90,1309.90,1309.90,1309.90,425,17850
GODREJPROP_F3,11/11/2022,10:15:00,1303.45,1303.45,1303.45,1303.45,425,17850
GODREJPROP_F3,11/11/2022,10:20:00,1311.80,1311.80,1311.80,1311.80,425,18275
GODREJPROP_F3,11/11/2022,10:39:00,1307.95,1307.95,1307.95,1307.95,425,18700
GODREJPROP_F3,11/11/2022,10:40:00,1308.00,1308.00,1308.00,1308.00,850,18700
GODREJPROP_F3,11/11/2022,10:54:00,1315.00,1315.00,1315.00,1315.00,425,18700
GODREJPROP_F3,11/11/2022,10:56:00,1315.00,1315.00,1315.00,1315.00,1275,17850
GODREJPROP_F3,11/11/2022,10:57:00,1315.00,1315.00,1315.00,1315.00,850,17850
GODREJPROP_F3,11/11/2022,11:16:00,1321.50,1321.50,1321.50,1321.50,425,17850
GODREJPROP_F3,11/11/2022,11:36:00,1321.50,1321.50,1321.50,1321.50,425,17850
GODREJPROP_F3,11/11/2022,11:51:00,1305.00,1305.00,1305.00,1305.00,425,18275
GODREJPROP_F3,11/11/2022,13:10:00,1321.50,1321.50,1321.50,1321.50,425,18275
GODREJPROP_F3,11/11/2022,13:12:00,1321.65,1321.65,1321.65,1321.65,425,18275
GODREJPROP_F3,11/11/2022,14:03:00,1321.65,1321.65,1321.65,1321.65,425,18700
GODREJPROP_F3,11/11/2022,14:30:00,1303.40,1303.40,1303.40,1303.40,1275,18700
GODREJPROP_F3,11/11/2022,15:13:00,1312.00,1312.00,1312.00,1312.00,425,17850
GODREJPROP_F3,11/11/2022,15:27:00,1313.00,1314.05,1313.00,1314.05,850,17850
GODREJPROP_F3,11/14/2022,09:20:00,1305.20,1305.20,1305.20,1305.20,426,18275
GODREJPROP_F3,11/14/2022,09:36:00,1306.45,1306.45,1306.45,1306.45,425,18275
GODREJPROP_F3,11/14/2022,11:21:00,1306.45,1306.45,1306.45,1306.45,425,17850
GODREJPROP_F3,11/14/2022,11:44:00,1290.85,1290.85,1290.85,1290.85,425,17850
GODREJPROP_F3,11/14/2022,11:50:00,1295.50,1295.50,1295.50,1295.50,425,17850
GODREJPROP_F3,11/14/2022,12:26:00,1306.45,1306.45,1306.45,1306.45,425,17850
GODREJPROP_F3,11/14/2022,14:41:00,1315.25,1315.25,1315.25,1315.25,425,17425
GODREJPROP_F3,11/14/2022,15:01:00,1320.00,1320.00,1320.00,1320.00,425,17850
GODREJPROP_F3,11/14/2022,15:11:00,1333.95,1333.95,1333.95,1333.95,425,17850
GODREJPROP_F3,11/14/2022,15:15:00,1333.95,1333.95,1333.95,1333.95,425,18275
GODREJPROP_F3,11/14/2022,15:18:00,1336.10,1336.10,1336.10,1336.10,425,18275
GODREJPROP_F3,11/14/2022,15:19:00,1336.10,1336.10,1336.10,1336.10,425,18700
GODREJPROP_F3,11/14/2022,15:29:00,1331.00,1331.00,1331.00,1331.00,1700,19125
GODREJPROP_F3,11/15/2022,09:17:00,1324.00,1324.00,1324.00,1324.00,426,19125
GODREJPROP_F3,11/15/2022,09:42:00,1314.30,1314.30,1314.30,1314.30,425,19125
GODREJPROP_F3,11/15/2022,09:49:00,1314.30,1321.00,1314.30,1321.00,850,19125
GODREJPROP_F3,11/15/2022,09:50:00,1322.45,1322.45,1322.45,1322.45,425,19125
GODREJPROP_F3,11/15/2022,09:59:00,1331.85,1331.85,1331.85,1331.85,425,19975
GODREJPROP_F3,11/15/2022,10:07:00,1333.00,1333.00,1333.00,1333.00,425,20400
GODREJPROP_F3,11/15/2022,10:16:00,1333.00,1333.00,1333.00,1333.00,425,20400
GODREJPROP_F3,11/15/2022,10:30:00,1333.00,1333.00,1333.00,1333.00,425,19975
GODREJPROP_F3,11/15/2022,10:46:00,1337.35,1337.35,1337.35,1337.35,425,20400
GODREJPROP_F3,11/15/2022,11:42:00,1337.35,1337.35,1337.35,1337.35,425,20825
GODREJPROP_F3,11/15/2022,12:10:00,1328.80,1328.80,1328.80,1328.80,850,21250
GODREJPROP_F3,11/15/2022,13:54:00,1328.80,1328.80,1328.80,1328.80,425,21250
GODREJPROP_F3,11/15/2022,14:31:00,1328.80,1328.80,1328.80,1328.80,425,21250
GODREJPROP_F3,11/16/2022,09:18:00,1328.80,1328.80,1328.80,1328.80,426,21675
GODREJPROP_F3,11/16/2022,11:31:00,1331.70,1331.70,1331.70,1331.70,425,22100
GODREJPROP_F3,11/16/2022,12:00:00,1331.70,1331.70,1331.70,1331.70,425,22525
GODREJPROP_F3,11/16/2022,12:57:00,1312.55,1312.55,1312.55,1312.55,850,22950
GODREJPROP_F3,11/16/2022,14:12:00,1312.55,1312.55,1312.55,1312.55,425,22100
GODREJPROP_F3,11/16/2022,15:00:00,1308.60,1308.60,1308.60,1308.60,425,22525
GODREJPROP_F3,11/16/2022,15:04:00,1308.60,1308.60,1308.60,1308.60,1275,22950
GODREJPROP_F3,11/17/2022,09:56:00,1311.15,1311.15,1311.15,1311.15,426,24225
GODREJPROP_F3,11/17/2022,10:34:00,1308.00,1308.00,1308.00,1308.00,425,24650
GODREJPROP_F3,11/17/2022,14:21:00,1308.00,1308.00,1308.00,1308.00,1275,24225
GODREJPROP_F3,11/17/2022,15:03:00,1314.00,1314.00,1314.00,1314.00,425,25500
GODREJPROP_F3,11/17/2022,15:23:00,1307.45,1307.45,1307.45,1307.45,425,25925
GODREJPROP_F3,11/18/2022,10:53:00,1290.95,1290.95,1290.95,1290.95,426,26350
GODREJPROP_F3,11/18/2022,11:14:00,1288.00,1288.00,1288.00,1288.00,425,26775
GODREJPROP_F3,11/18/2022,11:16:00,1288.00,1288.00,1288.00,1288.00,425,27200
GODREJPROP_F3,11/18/2022,11:40:00,1288.00,1288.00,1288.00,1288.00,425,26775
GODREJPROP_F3,11/18/2022,12:40:00,1291.25,1291.25,1291.25,1291.25,425,27200
GODREJPROP_F3,11/18/2022,13:43:00,1282.00,1282.00,1282.00,1282.00,425,27625
GODREJPROP_F3,11/18/2022,15:03:00,1282.00,1282.00,1282.00,1282.00,425,28050
GODREJPROP_F3,11/18/2022,15:08:00,1291.05,1291.05,1291.05,1291.05,425,28475
GODREJPROP_F3,11/21/2022,09:27:00,1280.00,1280.00,1280.00,1280.00,426,28900
GODREJPROP_F3,11/21/2022,10:28:00,1278.05,1278.05,1278.05,1278.05,425,29325
GODREJPROP_F3,11/21/2022,10:32:00,1278.05,1278.05,1278.05,1278.05,425,29325
GODREJPROP_F3,11/21/2022,10:40:00,1286.05,1286.05,1286.05,1286.05,3825,29325
GODREJPROP_F3,11/21/2022,10:43:00,1286.05,1286.05,1286.05,1286.05,425,33150
GODREJPROP_F3,11/21/2022,10:47:00,1285.30,1285.30,1285.30,1285.30,850,33575
GODREJPROP_F3,11/21/2022,12:07:00,1281.00,1281.00,1281.00,1281.00,425,34425
