<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
HDFCAMC_F1,11/01/2022,09:16:00,2080.25,2080.25,2080.20,2080.20,602,1644600
HDFCAMC_F1,11/01/2022,09:17:00,2079.15,2079.15,2079.15,2079.15,300,1644600
HDFCAMC_F1,11/01/2022,09:18:00,2075.60,2075.60,2075.60,2075.60,300,1644600
HDFCAMC_F1,11/01/2022,09:19:00,2075.60,2077.00,2075.60,2077.00,900,1644600
HDFCAMC_F1,11/01/2022,09:21:00,2080.20,2080.20,2080.20,2080.20,1200,1644600
HDFCAMC_F1,11/01/2022,09:22:00,2081.90,2081.90,2081.90,2081.90,300,1644600
HDFCAMC_F1,11/01/2022,09:23:00,2083.75,2087.90,2083.75,2087.90,1800,1644600
HDFCAMC_F1,11/01/2022,09:25:00,2085.35,2087.50,2085.35,2087.50,1200,1644600
HDFCAMC_F1,11/01/2022,09:26:00,2087.75,2090.90,2087.75,2090.90,2700,1644600
HDFCAMC_F1,11/01/2022,09:27:00,2090.90,2090.90,2090.90,2090.90,900,1644600
HDFCAMC_F1,11/01/2022,09:28:00,2088.60,2090.30,2088.60,2090.30,600,1644600
HDFCAMC_F1,11/01/2022,09:31:00,2088.95,2088.95,2088.95,2088.95,1200,1644600
HDFCAMC_F1,11/01/2022,09:32:00,2087.20,2087.20,2087.20,2087.20,900,1644600
HDFCAMC_F1,11/01/2022,09:33:00,2088.35,2088.35,2085.40,2085.40,600,1644600
HDFCAMC_F1,11/01/2022,09:34:00,2085.50,2085.50,2085.50,2085.50,300,1644600
HDFCAMC_F1,11/01/2022,09:35:00,2085.00,2085.00,2084.50,2084.50,3300,1644600
HDFCAMC_F1,11/01/2022,09:37:00,2085.00,2085.50,2085.00,2085.50,600,1643700
HDFCAMC_F1,11/01/2022,09:38:00,2083.30,2083.30,2083.30,2083.30,300,1643400
HDFCAMC_F1,11/01/2022,09:40:00,2086.20,2086.20,2086.20,2086.20,300,1643400
HDFCAMC_F1,11/01/2022,09:41:00,2086.20,2086.40,2085.55,2086.40,1200,1642800
HDFCAMC_F1,11/01/2022,09:42:00,2086.40,2086.40,2086.40,2086.40,300,1642800
HDFCAMC_F1,11/01/2022,09:44:00,2086.00,2086.00,2086.00,2086.00,900,1642800
HDFCAMC_F1,11/01/2022,09:46:00,2087.00,2087.00,2087.00,2087.00,900,1642200
HDFCAMC_F1,11/01/2022,09:47:00,2088.10,2088.10,2088.10,2088.10,300,1641900
HDFCAMC_F1,11/01/2022,09:48:00,2087.40,2087.40,2087.40,2087.40,300,1641900
