<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
IBULHSGFIN_F3,11/01/2022,09:19:00,130.55,130.55,130.55,130.55,4001,16000
IBULHSGFIN_F3,11/01/2022,10:15:00,131.25,131.25,131.25,131.25,4000,20000
IBULHSGFIN_F3,11/01/2022,10:18:00,131.25,131.25,131.25,131.25,4000,24000
IBULHSGFIN_F3,11/01/2022,11:56:00,131.05,131.05,131.05,131.05,4000,28000
IBULHSGFIN_F3,11/01/2022,13:19:00,129.50,129.50,129.50,129.50,4000,32000
IBULHSGFIN_F3,11/02/2022,12:51:00,127.70,127.70,127.70,127.70,4001,36000
IBULHSGFIN_F3,11/02/2022,14:09:00,127.95,127.95,127.95,127.95,4000,36000
IBULHSGFIN_F3,11/03/2022,09:52:00,128.80,128.80,128.80,128.80,4001,40000
IBULHSGFIN_F3,11/03/2022,10:27:00,130.25,130.25,130.25,130.25,4000,40000
IBULHSGFIN_F3,11/03/2022,10:29:00,130.25,130.25,130.25,130.25,8000,40000
IBULHSGFIN_F3,11/03/2022,11:08:00,131.25,131.25,131.25,131.25,4000,40000
IBULHSGFIN_F3,11/03/2022,11:34:00,131.25,131.25,131.25,131.25,8000,40000
IBULHSGFIN_F3,11/03/2022,15:07:00,129.25,129.25,129.25,129.25,4000,36000
IBULHSGFIN_F3,11/04/2022,09:23:00,130.60,130.60,130.60,130.60,4001,40000
IBULHSGFIN_F3,11/04/2022,10:30:00,127.70,127.70,127.70,127.70,4000,40000
IBULHSGFIN_F3,11/04/2022,11:52:00,127.70,127.70,127.70,127.70,4000,40000
IBULHSGFIN_F3,11/04/2022,13:30:00,130.80,130.80,130.80,130.80,4000,44000
IBULHSGFIN_F3,11/04/2022,13:44:00,133.75,133.75,133.75,133.75,8000,44000
IBULHSGFIN_F3,11/04/2022,13:57:00,133.75,133.75,133.75,133.75,4000,48000
IBULHSGFIN_F3,11/04/2022,14:39:00,133.75,133.75,133.75,133.75,12000,48000
IBULHSGFIN_F3,11/04/2022,14:41:00,132.55,132.55,132.55,132.55,4000,48000
IBULHSGFIN_F3,11/04/2022,15:26:00,131.55,131.55,131.55,131.55,4000,40000
IBULHSGFIN_F3,11/04/2022,15:29:00,131.75,131.75,131.75,131.75,4000,44000
IBULHSGFIN_F3,11/07/2022,09:19:00,132.05,132.05,132.05,132.05,4001,48000
IBULHSGFIN_F3,11/07/2022,09:22:00,133.05,133.05,133.05,133.05,4000,52000
IBULHSGFIN_F3,11/07/2022,10:35:00,133.05,133.05,133.05,133.05,8000,56000
IBULHSGFIN_F3,11/07/2022,11:28:00,134.10,134.10,134.10,134.10,4000,56000
IBULHSGFIN_F3,11/07/2022,13:29:00,134.10,134.10,134.10,134.10,4000,60000
IBULHSGFIN_F3,11/07/2022,15:23:00,134.25,134.25,134.25,134.25,4000,60000
IBULHSGFIN_F3,11/09/2022,09:25:00,135.70,135.70,135.70,135.70,4001,60000
IBULHSGFIN_F3,11/09/2022,09:52:00,135.75,135.75,135.75,135.75,4000,64000
IBULHSGFIN_F3,11/09/2022,09:59:00,136.25,136.25,136.25,136.25,4000,64000
IBULHSGFIN_F3,11/09/2022,14:42:00,136.25,136.25,136.25,136.25,4000,64000
IBULHSGFIN_F3,11/10/2022,09:17:00,132.60,132.60,132.60,132.60,4001,64000
IBULHSGFIN_F3,11/10/2022,09:25:00,133.75,133.75,133.75,133.75,4000,68000
IBULHSGFIN_F3,11/10/2022,12:31:00,133.75,133.75,133.75,133.75,4000,72000
IBULHSGFIN_F3,11/11/2022,09:44:00,133.50,133.50,133.50,133.50,4001,72000
IBULHSGFIN_F3,11/11/2022,09:51:00,133.40,133.40,133.40,133.40,4000,72000
IBULHSGFIN_F3,11/11/2022,11:26:00,133.40,133.40,133.40,133.40,4000,76000
IBULHSGFIN_F3,11/11/2022,12:00:00,135.05,135.05,135.05,135.05,4000,80000
IBULHSGFIN_F3,11/11/2022,12:47:00,135.05,135.05,135.05,135.05,4000,80000
IBULHSGFIN_F3,11/11/2022,14:22:00,133.70,133.70,133.70,133.70,4000,76000
IBULHSGFIN_F3,11/11/2022,14:54:00,134.10,134.10,134.10,134.10,4000,72000
IBULHSGFIN_F3,11/14/2022,09:27:00,131.90,131.90,131.90,131.90,4001,72000
IBULHSGFIN_F3,11/14/2022,09:33:00,130.80,130.80,130.80,130.80,4000,76000
IBULHSGFIN_F3,11/14/2022,09:40:00,130.80,130.80,130.80,130.80,8000,80000
IBULHSGFIN_F3,11/14/2022,09:44:00,132.45,132.45,132.45,132.45,4000,88000
IBULHSGFIN_F3,11/14/2022,09:57:00,132.70,132.70,132.70,132.70,4000,92000
IBULHSGFIN_F3,11/14/2022,12:06:00,135.00,135.00,135.00,135.00,4000,88000
IBULHSGFIN_F3,11/14/2022,12:07:00,135.00,135.00,135.00,135.00,4000,88000
IBULHSGFIN_F3,11/14/2022,13:32:00,135.00,135.00,135.00,135.00,4000,92000
IBULHSGFIN_F3,11/14/2022,14:23:00,135.50,135.50,135.50,135.50,4000,96000
IBULHSGFIN_F3,11/14/2022,14:29:00,135.50,135.50,135.50,135.50,4000,96000
IBULHSGFIN_F3,11/14/2022,14:32:00,136.50,136.50,136.50,136.50,8000,96000
