<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i> 
IDEA_F3,11/01/2022,12:32:00,8.90,8.90,8.90,8.90,70001,70000
IDEA_F3,11/02/2022,12:57:00,8.80,8.80,8.80,8.80,70001,140000
IDEA_F3,11/02/2022,12:59:00,8.80,8.80,8.80,8.80,140000,140000
IDEA_F3,11/03/2022,09:16:00,8.75,8.75,8.75,8.75,70001,350000
IDEA_F3,11/03/2022,09:26:00,8.75,8.75,8.75,8.75,70000,420000
IDEA_F3,11/03/2022,10:20:00,8.85,8.85,8.85,8.85,70000,420000
IDEA_F3,11/03/2022,13:01:00,8.85,8.85,8.85,8.85,70000,490000
IDEA_F3,11/03/2022,14:23:00,8.80,8.80,8.80,8.80,70000,490000
IDEA_F3,11/03/2022,14:31:00,8.80,8.80,8.80,8.80,70000,560000
IDEA_F3,11/03/2022,15:00:00,8.80,8.80,8.80,8.80,70000,560000
IDEA_F3,11/04/2022,09:32:00,8.70,8.70,8.70,8.70,70001,560000
IDEA_F3,11/04/2022,09:35:00,8.65,8.65,8.65,8.65,140000,560000
IDEA_F3,11/04/2022,09:49:00,8.60,8.60,8.60,8.60,70000,770000
IDEA_F3,11/04/2022,10:34:00,8.60,8.60,8.60,8.60,70000,840000
IDEA_F3,11/04/2022,11:39:00,8.55,8.55,8.55,8.55,210000,910000
IDEA_F3,11/04/2022,12:14:00,8.55,8.55,8.55,8.55,70000,1050000
IDEA_F3,11/04/2022,13:57:00,8.55,8.55,8.55,8.55,70000,1120000
IDEA_F3,11/04/2022,14:33:00,8.50,8.50,8.50,8.50,70000,1190000
IDEA_F3,11/07/2022,13:02:00,8.45,8.45,8.45,8.45,70001,1190000
IDEA_F3,11/07/2022,13:24:00,8.45,8.45,8.45,8.45,70000,1120000
IDEA_F3,11/09/2022,10:00:00,8.55,8.55,8.55,8.55,140001,1120000
IDEA_F3,11/09/2022,10:03:00,8.55,8.55,8.55,8.55,70000,1190000
IDEA_F3,11/09/2022,10:58:00,8.60,8.60,8.60,8.60,70000,1190000
IDEA_F3,11/09/2022,11:14:00,8.70,8.70,8.70,8.70,70000,1260000
IDEA_F3,11/09/2022,11:18:00,8.70,8.70,8.70,8.70,70000,1260000
IDEA_F3,11/09/2022,11:19:00,8.75,8.75,8.75,8.75,70000,1260000
IDEA_F3,11/09/2022,11:37:00,8.75,8.75,8.75,8.75,70000,1260000
IDEA_F3,11/09/2022,11:43:00,8.75,8.75,8.75,8.75,70000,1330000
IDEA_F3,11/09/2022,13:52:00,8.75,8.75,8.75,8.75,210000,1400000
IDEA_F3,11/09/2022,14:57:00,8.75,8.75,8.75,8.75,140000,1470000
IDEA_F3,11/09/2022,15:00:00,8.70,8.70,8.70,8.70,140000,1540000
IDEA_F3,11/09/2022,15:18:00,8.65,8.65,8.65,8.65,70000,1680000
IDEA_F3,11/10/2022,09:18:00,8.70,8.70,8.70,8.70,70001,1750000
IDEA_F3,11/10/2022,09:20:00,8.75,8.75,8.75,8.75,140000,1750000
IDEA_F3,11/10/2022,09:33:00,8.75,8.75,8.75,8.75,70000,1820000
IDEA_F3,11/10/2022,09:38:00,8.85,8.85,8.85,8.85,70000,1890000
IDEA_F3,11/10/2022,09:41:00,8.85,8.85,8.85,8.85,70000,1960000
IDEA_F3,11/10/2022,10:39:00,8.85,8.85,8.85,8.85,70000,1960000
IDEA_F3,11/10/2022,11:01:00,8.75,8.75,8.75,8.75,70000,1960000
IDEA_F3,11/10/2022,11:31:00,8.70,8.70,8.70,8.70,140000,2030000
IDEA_F3,11/10/2022,14:52:00,8.80,8.80,8.80,8.80,70000,2170000
IDEA_F3,11/10/2022,15:29:00,8.85,8.85,8.85,8.85,70000,2170000
IDEA_F3,11/11/2022,09:58:00,8.75,8.75,8.75,8.75,70001,2100000
IDEA_F3,11/11/2022,12:35:00,8.70,8.70,8.70,8.70,70000,2100000
IDEA_F3,11/11/2022,12:40:00,8.65,8.65,8.65,8.65,210000,2100000
IDEA_F3,11/11/2022,13:30:00,8.65,8.65,8.65,8.65,70000,2240000
IDEA_F3,11/11/2022,15:29:00,8.65,8.65,8.65,8.65,70000,2240000
IDEA_F3,11/14/2022,10:27:00,8.60,8.60,8.60,8.60,70001,2240000
IDEA_F3,11/14/2022,10:39:00,8.60,8.60,8.60,8.60,70000,2310000
IDEA_F3,11/14/2022,11:43:00,8.60,8.60,8.60,8.60,70000,2380000
IDEA_F3,11/14/2022,12:22:00,8.55,8.55,8.55,8.55,70000,2380000
IDEA_F3,11/14/2022,12:41:00,8.55,8.55,8.55,8.55,70000,2380000
IDEA_F3,11/14/2022,12:49:00,8.50,8.50,8.50,8.50,70000,2450000
IDEA_F3,11/14/2022,12:56:00,8.50,8.50,8.50,8.50,280000,2450000
IDEA_F3,11/14/2022,13:03:00,8.50,8.50,8.50,8.50,140000,2730000
IDEA_F3,11/14/2022,13:04:00,8.50,8.50,8.50,8.50,140000,2730000
IDEA_F3,11/14/2022,13:23:00,8.45,8.45,8.45,8.45,70000,3010000
