<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
COALINDIA_F1,01-11-2023,09:15:00,314.8,315.55,314.05,315.45,128101,60072600
COALINDIA_F1,01-11-2023,09:16:00,315.45,316.8,315.45,316.35,207900,60072600
COALINDIA_F1,01-11-2023,09:17:00,316.1,316.2,315.4,316.05,115500,60087300
COALINDIA_F1,01-11-2023,09:18:00,316.4,316.55,316.2,316.2,42000,60087300
COALINDIA_F1,01-11-2023,09:19:00,316.4,316.45,316.0,316.2,46200,60087300
COALINDIA_F1,01-11-2023,09:20:00,316.3,316.45,316.2,316.2,18900,60112500
COALINDIA_F1,01-11-2023,09:21:00,316.05,316.05,315.7,315.9,25200,60112500
COALINDIA_F1,01-11-2023,09:22:00,316.15,316.25,315.9,316.0,29400,60112500
COALINDIA_F1,01-11-2023,09:23:00,315.95,315.95,315.95,315.95,2100,60129300
COALINDIA_F1,01-11-2023,09:24:00,315.95,316.7,315.95,316.6,54600,60129300
COALINDIA_F1,01-11-2023,09:25:00,316.55,316.65,316.2,316.5,50400,60129300
COALINDIA_F1,01-11-2023,09:26:00,316.25,316.35,316.2,316.2,39900,60150300
COALINDIA_F1,01-11-2023,09:27:00,316.1,316.25,316.0,316.25,16800,60150300
COALINDIA_F1,01-11-2023,09:28:00,316.1,316.25,315.75,315.75,29400,60150300
COALINDIA_F1,01-11-2023,09:29:00,315.75,315.75,315.0,315.2,58800,60175500
COALINDIA_F1,01-11-2023,09:30:00,315.25,315.55,315.25,315.4,8400,60175500
COALINDIA_F1,01-11-2023,09:32:00,315.55,315.55,315.2,315.25,23100,60183900
COALINDIA_F1,01-11-2023,09:33:00,315.35,315.9,315.35,315.75,42000,60183900
COALINDIA_F1,01-11-2023,09:34:00,315.85,315.9,315.65,315.65,31500,60183900
COALINDIA_F1,01-11-2023,09:35:00,315.7,316.15,315.65,315.65,42000,60219600
COALINDIA_F1,01-11-2023,09:36:00,315.75,315.95,315.7,315.7,23100,60219600
COALINDIA_F1,01-11-2023,09:37:00,315.6,315.6,315.4,315.4,10500,60219600
COALINDIA_F1,01-11-2023,09:38:00,315.5,315.5,315.3,315.4,18900,60251100
COALINDIA_F1,01-11-2023,09:39:00,315.1,315.1,315.1,315.1,12600,60251100
COALINDIA_F1,01-11-2023,09:40:00,315.2,315.4,315.05,315.3,27300,60251100
COALINDIA_F1,01-11-2023,09:41:00,315.25,315.25,314.55,314.55,42000,60251100
COALINDIA_F1,01-11-2023,09:42:00,314.75,315.05,314.75,315.05,16800,60251100
COALINDIA_F1,01-11-2023,09:43:00,315.2,315.2,315.2,315.2,8400,60251100
