<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
COROMANDEL_F3,01-11-2023,09:17:00,1043.15,1043.15,1043.15,1043.15,701,16100
COROMANDEL_F3,01-11-2023,09:18:00,1039.0,1039.0,1039.0,1039.0,700,16100
COROMANDEL_F3,03-11-2023,14:09:00,1068.8,1068.8,1068.8,1068.8,701,16800
COROMANDEL_F3,06-11-2023,09:42:00,1084.45,1084.45,1084.45,1084.45,701,16800
COROMANDEL_F3,07-11-2023,12:37:00,1111.7,1111.7,1111.7,1111.7,1401,17500
COROMANDEL_F3,13-11-2023,11:44:00,1104.0,1104.0,1104.0,1104.0,701,18900
COROMANDEL_F3,17-11-2023,09:48:00,1130.45,1130.45,1130.45,1130.45,701,19600
COROMANDEL_F3,17-11-2023,15:20:00,1129.15,1129.15,1129.15,1129.15,700,19600
COROMANDEL_F3,20-11-2023,14:07:00,1120.0,1120.0,1120.0,1120.0,701,19600
COROMANDEL_F3,21-11-2023,10:59:00,1138.2,1138.2,1138.2,1138.2,701,19600
COROMANDEL_F3,21-11-2023,11:08:00,1131.45,1131.45,1131.45,1131.45,700,18900
COROMANDEL_F3,22-11-2023,12:55:00,1118.5,1118.5,1118.5,1118.5,1401,18200
COROMANDEL_F3,23-11-2023,09:40:00,1139.8,1139.8,1139.8,1139.8,701,16800
COROMANDEL_F3,24-11-2023,11:23:00,1139.0,1139.0,1139.0,1139.0,701,16100
COROMANDEL_F3,24-11-2023,12:08:00,1142.0,1142.0,1142.0,1142.0,700,16100
COROMANDEL_F3,24-11-2023,12:09:00,1142.0,1142.0,1142.0,1142.0,700,15400
COROMANDEL_F3,24-11-2023,14:06:00,1141.25,1141.25,1141.25,1141.25,700,15400
COROMANDEL_F3,28-11-2023,10:23:00,1126.0,1126.0,1126.0,1126.0,701,15400
COROMANDEL_F3,28-11-2023,13:18:00,1127.5,1127.5,1127.5,1127.5,1400,16800
COROMANDEL_F3,28-11-2023,13:19:00,1127.75,1127.75,1127.75,1127.75,1400,16800
COROMANDEL_F3,28-11-2023,13:25:00,1127.75,1129.3,1127.75,1129.3,1400,17500
COROMANDEL_F3,28-11-2023,13:26:00,1129.6,1129.6,1129.6,1129.6,1400,17500
COROMANDEL_F3,28-11-2023,15:23:00,1133.55,1133.55,1133.55,1133.55,700,19600
COROMANDEL_F3,29-11-2023,09:37:00,1133.0,1133.0,1133.0,1133.0,701,20300
COROMANDEL_F3,29-11-2023,11:01:00,1135.5,1135.5,1135.5,1135.5,700,20300
COROMANDEL_F3,29-11-2023,11:02:00,1136.0,1136.0,1136.0,1136.0,700,20300
COROMANDEL_F3,29-11-2023,12:58:00,1136.1,1136.1,1136.1,1136.1,700,21000
COROMANDEL_F3,30-11-2023,09:19:00,1151.9,1151.9,1151.9,1151.9,701,21000
COROMANDEL_F3,30-11-2023,10:18:00,1147.0,1147.0,1147.0,1147.0,700,21000
COROMANDEL_F3,30-11-2023,11:31:00,1147.0,1147.0,1147.0,1147.0,700,21700
COROMANDEL_F3,30-11-2023,12:23:00,1156.45,1156.45,1156.45,1156.45,700,21700
COROMANDEL_F3,30-11-2023,14:28:00,1161.25,1161.25,1161.25,1161.25,700,21700
COROMANDEL_F3,30-11-2023,14:53:00,1163.0,1163.0,1163.0,1163.0,700,21700
COROMANDEL_F3,30-11-2023,14:54:00,1163.0,1163.0,1163.0,1163.0,700,21700
COROMANDEL_F3,30-11-2023,15:27:00,1164.55,1164.55,1164.55,1164.55,700,22400
