<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
ICICIBANK_F2,01-11-2023,09:15:00,926.55,926.55,925.0,925.0,2101,1981000
ICICIBANK_F2,01-11-2023,09:16:00,925.0,925.25,925.0,925.2,2800,1981000
ICICIBANK_F2,01-11-2023,09:17:00,927.0,927.0,926.25,926.25,16800,1981000
ICICIBANK_F2,01-11-2023,09:18:00,926.15,926.15,926.15,926.15,700,1986600
ICICIBANK_F2,01-11-2023,09:19:00,927.2,927.2,927.2,927.2,700,1986600
ICICIBANK_F2,01-11-2023,09:21:00,928.4,928.4,928.4,928.4,1400,1986600
ICICIBANK_F2,01-11-2023,09:23:00,927.0,927.0,926.8,926.8,1400,1987300
ICICIBANK_F2,01-11-2023,09:25:00,926.3,926.3,926.3,926.3,700,1987300
ICICIBANK_F2,01-11-2023,09:26:00,925.75,925.8,925.6,925.6,2100,1987300
ICICIBANK_F2,01-11-2023,09:28:00,925.4,925.4,925.4,925.4,700,1989400
ICICIBANK_F2,01-11-2023,09:29:00,925.45,925.45,925.45,925.45,1400,1990100
ICICIBANK_F2,01-11-2023,09:30:00,925.1,925.15,925.0,925.0,2100,1990100
ICICIBANK_F2,01-11-2023,09:33:00,925.2,925.2,925.2,925.2,700,1990100
ICICIBANK_F2,01-11-2023,09:34:00,926.1,926.1,926.1,926.1,700,1990100
ICICIBANK_F2,01-11-2023,09:35:00,926.1,926.1,926.1,926.1,700,1990800
ICICIBANK_F2,01-11-2023,09:36:00,926.1,926.1,925.45,925.45,2100,1990800
ICICIBANK_F2,01-11-2023,09:37:00,925.45,925.5,925.2,925.2,2100,1990800
ICICIBANK_F2,01-11-2023,09:38:00,925.0,925.85,925.0,925.85,2800,1992900
ICICIBANK_F2,01-11-2023,09:39:00,925.1,925.1,924.6,924.6,2100,1992900
ICICIBANK_F2,01-11-2023,09:40:00,924.95,924.95,924.75,924.75,2100,1992900
ICICIBANK_F2,01-11-2023,09:41:00,924.6,924.6,924.15,924.15,1400,1996400
ICICIBANK_F2,01-11-2023,09:42:00,924.15,924.65,924.15,924.65,1400,1996400
ICICIBANK_F2,01-11-2023,09:44:00,925.3,925.3,925.3,925.3,1400,1996400
ICICIBANK_F2,01-11-2023,09:45:00,924.0,924.0,924.0,924.0,8400,1997800
ICICIBANK_F2,01-11-2023,09:46:00,924.0,924.1,924.0,924.1,4900,1997800
ICICIBANK_F2,01-11-2023,09:47:00,923.7,923.7,923.7,923.7,3500,2006200
ICICIBANK_F2,01-11-2023,09:48:00,923.7,923.7,923.7,923.7,4200,2006200
ICICIBANK_F2,01-11-2023,09:49:00,923.7,924.3,923.7,924.3,2100,2006200
ICICIBANK_F2,01-11-2023,09:51:00,923.15,923.15,923.15,923.15,6300,2013900
ICICIBANK_F2,01-11-2023,09:52:00,923.15,923.15,923.15,923.15,3500,2013900
ICICIBANK_F2,01-11-2023,09:54:00,923.35,923.35,923.35,923.35,4900,2020900
ICICIBANK_F2,01-11-2023,09:55:00,923.2,923.2,923.2,923.2,3500,2020900
ICICIBANK_F2,01-11-2023,09:56:00,923.3,923.3,923.3,923.3,700,2020900
ICICIBANK_F2,01-11-2023,09:57:00,922.95,922.95,922.95,922.95,3500,2027200
ICICIBANK_F2,01-11-2023,09:58:00,922.95,922.95,922.95,922.95,1400,2027200
ICICIBANK_F2,01-11-2023,09:59:00,923.1,923.1,923.1,923.1,700,2027200
ICICIBANK_F2,01-11-2023,10:00:00,923.55,923.55,923.55,923.55,2100,2030700
ICICIBANK_F2,01-11-2023,10:01:00,923.65,923.65,923.65,923.65,700,2030700
ICICIBANK_F2,01-11-2023,10:02:00,923.1,923.1,923.1,923.1,700,2030700
ICICIBANK_F2,01-11-2023,10:03:00,923.5,923.5,923.35,923.35,6300,2032100
ICICIBANK_F2,01-11-2023,10:05:00,924.0,924.0,924.0,924.0,700,2032100
ICICIBANK_F2,01-11-2023,10:06:00,923.85,924.15,923.85,924.15,4200,2038400
