<ticker>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<OI> 
OBEROIRLTY_F3,09-11-2023,12:25:00,1275.3,1275.3,1275.3,1275.3,701,0
OBEROIRLTY_F3,09-11-2023,13:11:00,1272.0,1272.0,1272.0,1272.0,700,700
OBEROIRLTY_F3,09-11-2023,14:07:00,1272.0,1272.0,1272.0,1272.0,700,1400
OBEROIRLTY_F3,09-11-2023,15:22:00,1279.0,1279.0,1279.0,1279.0,700,2100
OBEROIRLTY_F3,10-11-2023,10:10:00,1263.15,1263.15,1263.15,1263.15,701,2800
OBEROIRLTY_F3,13-11-2023,12:18:00,1260.15,1260.15,1260.15,1260.15,701,2800
OBEROIRLTY_F3,15-11-2023,09:44:00,1284.0,1284.0,1284.0,1284.0,1401,2800
OBEROIRLTY_F3,15-11-2023,09:50:00,1294.55,1294.55,1294.55,1294.55,700,3500
OBEROIRLTY_F3,15-11-2023,10:18:00,1294.55,1294.55,1294.55,1294.55,700,2800
OBEROIRLTY_F3,15-11-2023,11:37:00,1319.35,1319.35,1319.35,1319.35,2100,3500
OBEROIRLTY_F3,15-11-2023,11:52:00,1319.35,1319.35,1319.35,1319.35,700,4900
OBEROIRLTY_F3,15-11-2023,12:28:00,1325.0,1325.0,1325.0,1325.0,700,5600
OBEROIRLTY_F3,15-11-2023,13:20:00,1325.0,1325.0,1325.0,1325.0,700,5600
OBEROIRLTY_F3,15-11-2023,13:35:00,1310.0,1310.0,1310.0,1310.0,700,4900
OBEROIRLTY_F3,15-11-2023,15:04:00,1315.0,1315.0,1315.0,1315.0,700,5600
OBEROIRLTY_F3,16-11-2023,09:20:00,1315.0,1315.0,1315.0,1315.0,701,5600
OBEROIRLTY_F3,16-11-2023,09:21:00,1312.2,1312.2,1312.2,1312.2,700,5600
OBEROIRLTY_F3,16-11-2023,09:28:00,1312.2,1312.2,1312.2,1312.2,1400,6300
OBEROIRLTY_F3,16-11-2023,09:33:00,1319.0,1319.0,1319.0,1319.0,700,7700
OBEROIRLTY_F3,16-11-2023,10:09:00,1320.0,1320.0,1320.0,1320.0,700,8400
OBEROIRLTY_F3,16-11-2023,14:33:00,1339.15,1339.15,1339.15,1339.15,700,9100
OBEROIRLTY_F3,16-11-2023,14:39:00,1341.0,1341.0,1341.0,1341.0,700,8400
OBEROIRLTY_F3,17-11-2023,13:25:00,1347.0,1347.0,1347.0,1347.0,2801,9100
OBEROIRLTY_F3,17-11-2023,13:39:00,1343.65,1343.65,1343.65,1343.65,700,9100
OBEROIRLTY_F3,20-11-2023,09:20:00,1385.0,1385.0,1385.0,1385.0,701,9800
OBEROIRLTY_F3,20-11-2023,09:28:00,1390.0,1390.0,1390.0,1390.0,700,10500
OBEROIRLTY_F3,20-11-2023,09:33:00,1390.0,1390.0,1390.0,1390.0,700,9800
OBEROIRLTY_F3,20-11-2023,09:59:00,1400.0,1400.0,1400.0,1400.0,700,10500
OBEROIRLTY_F3,20-11-2023,10:09:00,1405.0,1405.0,1405.0,1405.0,700,11200
OBEROIRLTY_F3,20-11-2023,10:32:00,1406.0,1406.0,1406.0,1406.0,700,11900
OBEROIRLTY_F3,20-11-2023,10:37:00,1406.0,1406.0,1406.0,1406.0,700,12600
OBEROIRLTY_F3,20-11-2023,10:41:00,1389.85,1389.85,1389.85,1389.85,700,12600
OBEROIRLTY_F3,20-11-2023,10:43:00,1384.0,1384.0,1384.0,1384.0,700,12600
OBEROIRLTY_F3,20-11-2023,10:55:00,1381.0,1381.0,1381.0,1381.0,700,11900
OBEROIRLTY_F3,20-11-2023,11:46:00,1381.0,1381.0,1381.0,1381.0,700,12600
OBEROIRLTY_F3,20-11-2023,13:39:00,1367.15,1367.15,1367.15,1367.15,700,12600
OBEROIRLTY_F3,20-11-2023,15:08:00,1363.8,1363.8,1363.8,1363.8,1400,12600
OBEROIRLTY_F3,21-11-2023,09:17:00,1398.25,1402.9,1398.25,1402.9,1401,14700
OBEROIRLTY_F3,21-11-2023,09:29:00,1402.9,1402.9,1402.9,1402.9,700,15400
OBEROIRLTY_F3,21-11-2023,09:49:00,1381.25,1381.25,1381.25,1381.25,700,14700
OBEROIRLTY_F3,21-11-2023,10:19:00,1398.45,1398.45,1398.45,1398.45,700,14700
OBEROIRLTY_F3,21-11-2023,10:20:00,1399.25,1399.25,1399.25,1399.25,700,14700
OBEROIRLTY_F3,21-11-2023,10:29:00,1404.5,1404.5,1404.5,1404.5,700,16100
OBEROIRLTY_F3,21-11-2023,10:35:00,1404.5,1404.5,1404.5,1404.5,700,16100
OBEROIRLTY_F3,21-11-2023,11:02:00,1404.0,1404.0,1404.0,1404.0,700,16800
OBEROIRLTY_F3,21-11-2023,11:03:00,1405.0,1405.0,1405.0,1405.0,700,17500
OBEROIRLTY_F3,21-11-2023,11:45:00,1410.0,1410.0,1410.0,1410.0,700,18200
OBEROIRLTY_F3,21-11-2023,12:01:00,1416.0,1416.0,1416.0,1416.0,700,18900
OBEROIRLTY_F3,21-11-2023,12:07:00,1421.0,1421.0,1421.0,1421.0,1400,19600
OBEROIRLTY_F3,21-11-2023,12:12:00,1421.0,1421.0,1421.0,1421.0,700,19600
OBEROIRLTY_F3,21-11-2023,12:29:00,1410.45,1410.45,1410.45,1410.45,700,19600
OBEROIRLTY_F3,21-11-2023,12:32:00,1410.0,1410.0,1410.0,1410.0,700,20300
OBEROIRLTY_F3,21-11-2023,13:08:00,1408.65,1408.65,1408.65,1408.65,700,20300
OBEROIRLTY_F3,22-11-2023,09:38:00,1392.0,1392.0,1392.0,1392.0,701,21000
OBEROIRLTY_F3,22-11-2023,10:15:00,1394.8,1394.8,1394.8,1394.8,700,21000
OBEROIRLTY_F3,22-11-2023,10:24:00,1394.8,1394.8,1394.8,1394.8,1400,21000
OBEROIRLTY_F3,22-11-2023,10:49:00,1390.0,1390.0,1390.0,1390.0,700,21000
OBEROIRLTY_F3,22-11-2023,11:27:00,1384.95,1384.95,1384.95,1384.95,700,20300
OBEROIRLTY_F3,22-11-2023,11:28:00,1382.65,1382.65,1382.65,1382.65,700,20300
OBEROIRLTY_F3,22-11-2023,13:10:00,1382.65,1382.65,1382.65,1382.65,700,19600
OBEROIRLTY_F3,23-11-2023,09:17:00,1402.0,1402.0,1402.0,1402.0,701,20300
OBEROIRLTY_F3,23-11-2023,09:18:00,1401.0,1401.0,1401.0,1401.0,700,21000
OBEROIRLTY_F3,23-11-2023,10:00:00,1401.0,1401.0,1401.0,1401.0,700,21000
OBEROIRLTY_F3,23-11-2023,11:28:00,1415.0,1415.0,1415.0,1415.0,700,21700
OBEROIRLTY_F3,23-11-2023,11:43:00,1415.0,1415.0,1415.0,1415.0,700,21700
OBEROIRLTY_F3,23-11-2023,12:21:00,1415.0,1415.0,1415.0,1415.0,700,21700
OBEROIRLTY_F3,23-11-2023,13:20:00,1414.75,1414.75,1414.75,1414.75,700,21700
